STATEFP,GEOID,NAMELSAD,ALAND,AWATER,sum
30,3001675,Anaconda-Deer Lodge County,1907998860,12199890,107716.0
02,0236400,Juneau city and borough,7003406836,1426230792,377116.0
02,0270540,Sitka city and borough,7433415763,5037747536,75860.0
02,0286380,Wrangell city and borough,6619997018,2384375227,54833.0
02,0203000,Anchorage municipality,4420591349,621302197,4616836.0
49,4947290,Magna metro township,39125264,57944495,255940.12549019614
49,4922875,Emigration Canyon metro township,47187917,0,0.0
49,4984050,White City metro township,2256665,0,15779.596078431372
49,4915720,Copperton metro township,807087,0,0.32941176470588235
49,4940470,Kearns metro township,11993405,0,269392.92549019604
22,2218125,Covington city,20771074,345443,297131.4431372548
22,2248225,Mandeville city,18444828,423172,285521.4745098039
22,2218650,Crowley city,15154654,1397,373446.8470588232
22,2205000,Baton Rouge city,223557844,5708637,7882140.172549012
22,2253545,Natchitoches city,58765044,9308983,601766.6392156862
22,2210950,Bunkie city,7827181,39783,66025.17254901961
22,2261615,Ponchatoula city,12256259,10687,137633.38039215686
22,2248750,Marksville city,12466681,34862,80561.1843137255
22,2200975,Alexandria city,73790296,1788418,1671804.4078431376
22,2260530,Pineville city,32635245,1357876,274646.6039215686
22,2209340,Breaux Bridge city,19983443,462775,215419.0
22,2267600,St. Martinville city,7903789,277271,30106.780392156863
22,2243010,Leesville city,19822518,337144,192821.11764705877
22,2200100,Abbeville city,15660962,83689,159690.58823529416
22,2250885,Minden city,38946147,439466,453120.04705882346
22,2263645,Rayne city,9821507,17505,104946.81176470588
22,2270000,Shreveport city,279195930,40270180,6292041.584313725
22,2278715,Ville Platte city,10403641,1289,72496.88235294119
22,2229850,Gonzales city,23676763,278961,457014.3098039217
22,2221240,Donaldsonville city,9784790,60015,65638.0
22,2220610,DeRidder city,24062013,228174,271156.1960784314
22,2261790,Port Allen city,7342523,1276650,152845.00784313722
22,2283405,Zachary city,67705732,87474,173012.68235294116
22,2210075,Broussard city,46332274,101499,1298616.1960784313
22,2240735,Lafayette city,144582240,203100,4111063.270588235
22,2272485,Springhill city,16092285,206901,78304.64313725493
22,2266655,Ruston city,54750521,175428,745350.6901960784
22,2251410,Monroe city,76804875,8423374,2246127.019607844
22,2280955,West Monroe city,20787020,743977,869692.5490196077
22,2248365,Mansfield city,9459600,19783,79868.0
22,2220435,Denham Springs city,18887710,157595,427316.1843137255
22,2282495,Winnsboro city,10354904,160383,223269.1647058824
22,2232755,Hammond city,36355203,9581,1288451.6196078423
22,2267250,St. Gabriel city,76811029,579738,1308993.631372549
22,2254035,New Iberia city,28853949,292522,1278270.458823529
22,2258045,Opelousas city,25034040,8028,469603.90588235285
22,2252040,Morgan City city,15498740,689895,828023.6627450981
22,2213960,Central city,161244698,708155,105848.0
22,2230515,Grambling city,15287902,56873,163971.39607843137
22,2208920,Bossier City city,113438592,3325431,2302281.8627450983
22,2238075,Jeanerette city,5978221,139866,33982.529411764706
22,2227155,Franklin city,25696620,1476965,140040.30980392155
22,2260880,Plaquemine city,7570546,214131,39368.39215686274
22,2241155,Lake Charles city,118232073,7281617,2334938.109803921
22,2231915,Gretna city,10451944,1191856,269936.0431372549
22,2232930,Harahan city,5227222,1234216,34324.93333333331
22,2239475,Kenner city,38541001,600053,1744322.6274509807
22,2238355,Jennings city,26947663,47011,217209.94901960788
22,2281165,Westwego city,8070430,1241824,176838.60784313723
22,2256540,Oakdale city,13447472,161064,68499.43137254902
22,2273640,Sulphur city,29056325,42041,588169.3921568628
27,2740418,Marble city,11141200,261986,1837.0
27,2744980,Nashwauk city,38358155,1808559,11788.0
27,2709316,Calumet city,4662402,198134,485.0
27,2702872,Aurora city,9577360,557322,27549.066666666666
28,2864200,Ruleville city,6522346,21825,19059.0
28,2849320,Mound Bayou city,2270503,1086,16529.458823529414
28,2863720,Rosedale city,14024179,161250,19035.0
28,2867040,Shelby city,7073122,27405,19598.0
28,2836000,Jackson city,289342143,5532980,4092130.592156862
28,2862520,Ridgeland city,55390227,4587733,816976.6352941178
28,2844520,Madison city,65394922,3059241,341370.0705882353
28,2812900,Charleston city,3509615,9391,20735.749019607843
28,2855760,Pearl city,66008538,321286,901536.9725490194
28,2862400,Richland city,32439577,168591,1080671.9529411765
28,2876720,Vicksburg city,85503989,5386389,1495545.4666666666
28,2840600,Lexington city,6261178,9785,8084.980392156863
28,2834740,Indianola city,22198456,225273,243074.91372549016
28,2814420,Clinton city,108438662,712244,368604.6784313725
28,2808820,Brookhaven city,56053194,229104,622240.3137254901
28,2881520,Yazoo City city,26118466,322667,275333.8588235294
28,2811100,Canton city,55133669,739030,321351.2980392158
28,2813820,Clarksdale city,48657492,17529,467715.02352941176
28,2808300,Brandon city,66468051,234476,532754.9333333333
28,2817060,Crystal Springs city,14061772,136711,50791.86274509804
28,2831220,Hazlehurst city,11474844,116967,75098.7568627451
28,2829180,Greenville city,69656569,2002716,957431.0078431373
28,2840280,Leland city,9280974,130595,44907.38039215686
28,2843280,McComb city,30510048,154492,389478.6274509803
28,2844680,Magnolia city,15909646,117173,185910.47843137255
28,2825100,Flowood city,74587182,1033142,1045843.7686274508
28,2835260,Itta Bena city,3654131,115789,6189.878431372548
28,2829340,Greenwood city,31947513,922978,687054.1058823529
28,2810140,Byram city,47561697,688657,203751.93725490198
28,2850440,Natchez city,40961580,1527127,376062.2823529412
29,2923266,Fairfax city,1205634,14911,2678.0
30,3067450,Shelby city,14974418,453079,134307.2039215686
30,3067900,Sidney city,8508776,49128,102108.90196078435
30,3008950,Bozeman city,53350021,128022,1087635.415686275
30,3073975,Three Forks city,3709633,148667,49890.03529411765
30,3042700,Laurel city,5626414,4019,177146.81960784306
30,3050200,Missoula city,89346378,491344,1936228.0392156872
30,3016600,Columbia Falls city,5694415,8162,142712.2862745098
30,3049525,Miles City city,8707066,14553,157864.90980392156
30,3016525,Colstrip city,10478036,16125,55822.56862745098
30,3033775,Hamilton city,6278132,92799,146766.82352941175
30,3035600,Helena city,43565749,98206,1325873.1529411767
30,3058750,Polson city,11759189,437266,99197.56470588235
30,3018775,Cut Bank city,2995869,10561,72493.96470588235
30,3040075,Kalispell city,32183656,219526,655297.7882352943
30,3079825,Whitefish city,18106404,13911778,72695.14117647058
30,3043975,Livingston city,14610036,138920,127998.94509803923
30,3032800,Great Falls city,59578859,1236484,1229436.674509804
30,3031450,Glendive city,8997360,62705,158882.0235294118
30,3064525,Roundup city,3349364,571,18263.403921568628
30,3027700,Forsyth city,2982725,46254,59515.94901960784
30,3064150,Ronan city,3117406,737,31735.717647058824
30,3003475,Baker city,2925500,258085,10388.901960784315
30,3035050,Havre city,9606256,1241,95994.94509803924
30,3043450,Libby city,4770965,90891,37834.039215686265
30,3075025,Troy city,2192163,11867,0.0
30,3023125,East Helena city,10406897,173836,48972.015686274506
30,3006550,Billings city,115982241,277939,3741201.6666666656
31,3122080,Henderson city,1655840,3132,25566.46274509804
31,3102305,Ashland city,3680079,67712,52068.04313725489
31,3137595,Osmond city,2063586,8793,3949.0
31,3125055,Kearney city,37653029,716147,983794.145098039
31,3151840,Wayne city,7282449,114652,154723.63529411762
31,3137280,Ord city,5441498,1395,193545.2117647059
31,3105630,Blue Springs city,1985909,48674,0.0
31,3153835,Wymore city,4848190,78725,15289.521568627451
31,3123025,Hooper city,1746193,31602,13207.482352941177
31,3140710,Ravenna city,4300823,13898,22086.39607843137
31,3137525,Osceola city,2387890,304,50466.64705882353
31,3147465,Stromsburg city,2653850,3405,56058.47058823529
31,3100905,Alliance city,12906980,31691,502375.9215686276
31,3102690,Aurora city,8391461,20355,76043.41568627451
31,3104405,Bennington city,2311662,33090,33343.00784313726
31,3123690,Imperial city,7834700,13555,73879.27843137254
31,3140605,Ralston city,4232125,5247,150151.68627450982
31,3150020,Valley city,12319680,3107189,498274.69019607827
31,3132060,Milford city,2105419,20572,60703.01960784313
31,3103950,Bellevue city,54725227,590079,1173426.7019607842
31,3126385,La Vista city,14007328,5427,674484.0745098041
31,3123480,Humphrey city,1283337,11500,16840.749019607843
31,3135000,North Platte city,35018650,484894,784867.8666666666
31,3129855,Lyons city,1768206,20660,31260.678431372547
31,3106295,Bridgeport city,2972626,7047,83542.95294117645
31,3151070,Wakefield city,2751613,182706,34335.2862745098
31,3148585,Terrytown city,1224667,90919,23656.290196078433
31,3138295,Papillion city,29878814,702012,742893.4431372546
31,3122640,Holdrege city,10951898,36417,265151.6352941176
