STATEFP,GEOID,NAMELSAD,ALAND,AWATER,sum
30,3001675,Anaconda-Deer Lodge County,1907998860,12199890,1985033.0901960789
02,0236400,Juneau city and borough,7003406836,1426230792,2797288.0
02,0270540,Sitka city and borough,7433415763,5037747536,381131.0
02,0286380,Wrangell city and borough,6619997018,2384375227,184453.0
02,0203000,Anchorage municipality,4420591349,621302197,2.4518180105882354E7
49,4947290,Magna metro township,39125264,57944495,2403846.6901960773
49,4922875,Emigration Canyon metro township,47187917,0,145890.58823529413
49,4984050,White City metro township,2256665,0,613060.4392156864
49,4915720,Copperton metro township,807087,0,88230.62352941175
49,4940470,Kearns metro township,11993405,0,2753729.8509803927
22,2218125,Covington city,20771074,345443,1251227.2431372548
22,2248225,Mandeville city,18444828,423172,1229524.7490196084
22,2218650,Crowley city,15154654,1397,2328064.847058824
22,2205000,Baton Rouge city,223557844,5708637,2.7448754960784353E7
22,2253545,Natchitoches city,58765044,9308983,2321701.427450981
22,2210950,Bunkie city,7827181,39783,720355.7294117649
22,2261615,Ponchatoula city,12256259,10687,753675.9960784311
22,2248750,Marksville city,12466681,34862,864341.5137254905
22,2200975,Alexandria city,73790296,1788418,7384551.443137261
22,2260530,Pineville city,32635245,1357876,1981908.8000000026
22,2209340,Breaux Bridge city,19983443,462775,1293124.400000001
22,2267600,St. Martinville city,7903789,277271,930946.0705882352
22,2243010,Leesville city,19822518,337144,1281958.149019608
22,2200100,Abbeville city,15660962,83689,1935419.0549019591
22,2250885,Minden city,38946147,439466,2133683.1490196087
22,2263645,Rayne city,9821507,17505,1429701.5411764714
22,2270000,Shreveport city,279195930,40270180,2.7889482019607812E7
22,2278715,Ville Platte city,10403641,1289,1218173.8235294118
22,2229850,Gonzales city,23676763,278961,1591069.505882353
22,2221240,Donaldsonville city,9784790,60015,994726.0235294118
22,2220610,DeRidder city,24062013,228174,1734665.5490196075
22,2261790,Port Allen city,7342523,1276650,854296.5254901961
22,2283405,Zachary city,67705732,87474,1846368.6666666665
