STATEFP,GEOID,NAMELSAD,ALAND,AWATER,sum
30,3001675,Anaconda-Deer Lodge County,1907998860,12199890,8081634.752941176
02,0236400,Juneau city and borough,7003406836,1426230792,1.4910489E7
02,0270540,Sitka city and borough,7433415763,5037747536,1085480.0
02,0286380,Wrangell city and borough,6619997018,2384375227,501042.0
02,0203000,Anchorage municipality,4420591349,621302197,1.6825561757647058E8
49,4947290,Magna metro township,39125264,57944495,1.8320839125490192E7
49,4922875,Emigration Canyon metro township,47187917,0,542538.5568627451
49,4984050,White City metro township,2256665,0,4599861.090196078
49,4915720,Copperton metro township,807087,0,241186.4431372549
49,4940470,Kearns metro township,11993405,0,2.1639817458823532E7
22,2218125,Covington city,20771074,345443,1.4263704474509807E7
22,2248225,Mandeville city,18444828,423172,1.891246594117646E7
22,2218650,Crowley city,15154654,1397,2.07001739254902E7
22,2205000,Baton Rouge city,223557844,5708637,3.0703032372548985E8
22,2253545,Natchitoches city,58765044,9308983,1.8690992458823547E7
22,2210950,Bunkie city,7827181,39783,5415174.403921569
22,2261615,Ponchatoula city,12256259,10687,6679858.454901961
22,2248750,Marksville city,12466681,34862,5238293.337254905
22,2200975,Alexandria city,73790296,1788418,6.669562402745095E7
22,2260530,Pineville city,32635245,1357876,1.2546303709803913E7
22,2209340,Breaux Bridge city,19983443,462775,1.007456240392157E7
22,2267600,St. Martinville city,7903789,277271,5749742.588235292
22,2243010,Leesville city,19822518,337144,7677376.776470593
22,2200100,Abbeville city,15660962,83689,1.5555737854901964E7
22,2250885,Minden city,38946147,439466,1.5502660282352936E7
22,2263645,Rayne city,9821507,17505,1.1941243345098035E7
22,2270000,Shreveport city,279195930,40270180,2.5428417530588177E8
22,2278715,Ville Platte city,10403641,1289,9048671.203921577
22,2229850,Gonzales city,23676763,278961,1.4796555709803924E7
22,2221240,Donaldsonville city,9784790,60015,6095371.878431373
22,2220610,DeRidder city,24062013,228174,9976096.701960783
22,2261790,Port Allen city,7342523,1276650,8127986.85882353
22,2283405,Zachary city,67705732,87474,1.4720033584313719E7
22,2210075,Broussard city,46332274,101499,2.4581704631372537E7
22,2240735,Lafayette city,144582240,203100,1.7880714849019656E8
22,2272485,Springhill city,16092285,206901,4372358.725490196
22,2266655,Ruston city,54750521,175428,2.2308111215686277E7
22,2251410,Monroe city,76804875,8423374,7.807636811372551E7
22,2280955,West Monroe city,20787020,743977,2.8461297901960783E7
22,2248365,Mansfield city,9459600,19783,3714230.4196078423
22,2220435,Denham Springs city,18887710,157595,1.066181906666666E7
22,2282495,Winnsboro city,10354904,160383,5852151.788235295
22,2232755,Hammond city,36355203,9581,2.5935718403921604E7
22,2267250,St. Gabriel city,76811029,579738,1.646662046666667E7
22,2254035,New Iberia city,28853949,292522,4.16611868509804E7
22,2258045,Opelousas city,25034040,8028,2.397244564705882E7
22,2252040,Morgan City city,15498740,689895,2.0459348815686278E7
22,2213960,Central city,161244698,708155,2.0258776223529402E7
22,2230515,Grambling city,15287902,56873,2619862.31372549
22,2208920,Bossier City city,113438592,3325431,7.520546683137254E7
22,2238075,Jeanerette city,5978221,139866,5005011.909803923
22,2227155,Franklin city,25696620,1476965,8909626.50980392
22,2260880,Plaquemine city,7570546,214131,7109299.678431372
22,2241155,Lake Charles city,118232073,7281617,1.0895266939999984E8
22,2231915,Gretna city,10451944,1191856,1.9334047392156865E7
22,2232930,Harahan city,5227222,1234216,9028520.44313725
22,2239475,Kenner city,38541001,600053,6.342909021176474E7
22,2238355,Jennings city,26947663,47011,1.3436948345098032E7
