,GEOID,NAMELSAD,motorway,trunk,primary,secondary,tertiary,unclassified,residential,service,track,footway,cycleway,living_street,cl_motorway,cl_trunk,cl_primary,cl_secondary,cl_tertiary,cl_unclassified,cl_residential,cl_service,cl_track,cl_footway,cl_cycleway,cl_living_street,lane_m_motorway,lane_m_trunk,lane_m_primary,lane_m_secondary,lane_m_tertiary,lane_m_unclassified,lane_m_residential,lane_m_service,lane_m_track,lane_m_footway,lane_m_cycleway,lane_m_living_street,n_motorway,n_trunk,n_primary,n_secondary,n_tertiary,n_unclassified,n_residential,n_service,n_track,n_footway,n_cycleway,n_living_street,n_cl_motorway,n_cl_trunk,n_cl_primary,n_cl_secondary,n_cl_tertiary,n_cl_unclassified,n_cl_residential,n_cl_service,n_cl_track,n_cl_footway,n_cl_cycleway,n_cl_living_street,n_lane_m_motorway,n_lane_m_trunk,n_lane_m_primary,n_lane_m_secondary,n_lane_m_tertiary,n_lane_m_unclassified,n_lane_m_residential,n_lane_m_service,n_lane_m_track,n_lane_m_footway,n_lane_m_cycleway,n_lane_m_living_street
0,0102260,Ardmore town,0.0,0.0,4982.59329288,4515.60248184,3414.7747859,4679.35177938,37801.08648819,0.0,0.0,0.0,0,0,0.0,0.0,2491.29664644,2276.22071271,1707.38739295,2339.67588969,18935.83231103,0.0,0.0,0.0,0,0,0.0,0.0,5122.89405414,4703.67853391,3414.7747859,4679.35177938,37801.08648819,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0.0,31239.67023101,0.0,2854.98815763,0.0,0.0,0,0,0,0.0,0,0,0.0,16458.02222308,0.0,2854.98815763,0.0,0.0,0,0,0,0.0,0,0,0.0,31239.67023101,0.0,2854.98815763,0.0,0.0
1,0151264,Mooresville town,136.16154154999998,0.0,0.0,0.0,1221.00921779,0.0,4847.49876553,0.0,0.0,0.0,0,0,136.16154154999998,0.0,0.0,0.0,665.52683758,0.0,2454.80585473,0.0,0.0,0.0,0,0,136.16154154999998,0.0,0.0,0.0,1221.00921779,0.0,4847.49876553,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0.0,901.1811124,0.0,76.12430816,0.0,0.0,0,0,0,0.0,0,0,0.0,450.5905562,0.0,76.12430816,0.0,0.0,0,0,0,0.0,0,0,0.0,901.1811124,0.0,76.12430816,0.0,0.0
2,0171496,Somerville town,0.0,0.0,0.0,16702.05036978,0.0,0.0,42007.38767528,0.0,0.0,0.0,0,0,0.0,0.0,0.0,8351.025184889999,0.0,0.0,21003.69383764,0.0,0.0,0.0,0,0,0.0,0.0,0.0,17066.402390709998,0.0,0.0,42007.38767528,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0.0,4344.5698838,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,2172.2849419,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,4344.5698838,0.0,0.0,0.0,0.0
3,0176872,Trinity town,0.0,3921.73283009,0.0,0.0,24753.43964384,3779.4748859,64473.20671676,0.0,0.0,0.0,0,0,0.0,3921.73283009,0.0,0.0,12376.71982192,1889.73744295,32412.52161425,0.0,0.0,0.0,0,0,0.0,8144.63812517,0.0,0.0,24753.43964384,3779.4748859,65119.26327973,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0.0,13821.12868722,33.74119075,162.82822782,0.0,0.0,0,0,0,0.0,0,0,0.0,6910.56434361,33.74119075,162.82822782,0.0,0.0,0,0,0,0.0,0,0,0.0,13821.12868722,33.74119075,162.82822782,0.0,0.0
4,0130880,Goshen town,0.0,0.0,0.0,0.0,12662.95531834,2292.40449468,16229.5652301,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,6331.47765917,1146.20224734,8114.78261505,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,12662.95531834,2292.40449468,16229.5652301,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0.0,8056.2182665,403.60728654,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,4028.10913325,403.60728654,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,8056.2182665,403.60728654,0.0,0.0,0.0
5,0121280,Double Springs town,0.0,171.97801252,13089.15921184,14083.16040312,2299.6603403,2888.01359818,72385.4473514,0.0,0.0,0.0,0,0,0.0,171.97801252,6544.57960592,7041.58020156,1149.83017015,1444.00679909,36192.7236757,0.0,0.0,0.0,0,0,0.0,171.97801252,13089.15921184,14083.16040312,2299.6603403,2888.01359818,72385.4473514,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0.0,7864.6121990599995,283.23082899,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,3932.3060995299998,283.23082899,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,7864.6121990599995,283.23082899,0.0,0.0,0.0
6,0132704,Haleyville city,0.0,0.0,14015.10629112,10067.000458499999,20905.01451331,19389.3357719,168394.56990306,0.0,0.0,0.0,0,0,0.0,0.0,7007.55314556,5119.98363533,10505.78693545,9694.66788595,84237.79828522,0.0,0.0,0.0,0,0,0.0,0.0,17399.39781134,10067.000458499999,20905.01451331,19389.3357719,168394.56990306,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0.0,28295.07427946,0.0,658.68698733,0.0,0.0,0,0,0,0.0,0,0,0.0,14631.68384778,0.0,658.68698733,0.0,0.0,0,0,0,0.0,0,0,0.0,28295.07427946,0.0,658.68698733,0.0,0.0
7,0153376,Natural Bridge town,0.0,125.70141867999999,5007.53481245,0.0,1452.25337758,0.0,2067.47920188,0.0,0.0,0.0,0,0,0.0,125.70141867999999,4033.3664163900003,0.0,726.12668879,0.0,1033.73960094,0.0,0.0,0.0,0,0,0.0,125.70141867999999,7514.52430804,0.0,1452.25337758,0.0,2067.47920188,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0.0,685.54071614,26.68056001,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,342.77035807,26.68056001,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,685.54071614,26.68056001,0.0,0.0,0.0
8,0100124,Abbeville city,0.0,11123.06243595,15456.25486437,28732.13403415,9223.11850256,715.7463063,100021.350483,0.0,0.0,0.0,0,0,0.0,11123.06243595,7748.29047909,14410.66534252,4611.55925128,357.87315315,50010.6752415,0.0,0.0,0.0,0,0,0.0,23570.60450891,15456.25486437,28960.50183593,9223.11850256,715.7463063,100021.350483,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0.0,16815.06977693,1244.04149162,555.74053578,0.0,0.0,0,0,0,0.0,0,0,0.0,8877.12497969,1244.04149162,555.74053578,0.0,0.0,0,0,0,0.0,0,0,0.0,33630.13955386,1244.04149162,555.74053578,0.0,0.0
9,0112304,Carrollton town,0.0,0.0,6300.64970621,5683.3870658,0.0,4970.69478322,33522.78186226,0.0,0.0,0.0,0,0,0.0,0.0,3261.27336689,2841.6935329,0.0,2485.34739161,16761.39093113,0.0,0.0,0.0,0,0,0.0,0.0,11067.29391938,5995.41358926,0.0,4970.69478322,33522.78186226,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0.0,9222.68308953,0.0,6267.40619627,0.0,0.0,0,0,0,0.0,0,0,0.0,5123.08435491,0.0,6267.40619627,0.0,0.0,0,0,0,0.0,0,0,0.0,9222.68308953,0.0,6267.40619627,0.0,0.0
