,GEOID,NAMELSAD,motorway,trunk,primary,secondary,tertiary,unclassified,residential,service,track,footway,cycleway,living_street,cl_motorway,cl_trunk,cl_primary,cl_secondary,cl_tertiary,cl_unclassified,cl_residential,cl_service,cl_track,cl_footway,cl_cycleway,cl_living_street,lane_m_motorway,lane_m_trunk,lane_m_primary,lane_m_secondary,lane_m_tertiary,lane_m_unclassified,lane_m_residential,lane_m_service,lane_m_track,lane_m_footway,lane_m_cycleway,lane_m_living_street,n_motorway,n_trunk,n_primary,n_secondary,n_tertiary,n_unclassified,n_residential,n_service,n_track,n_footway,n_cycleway,n_living_street,n_cl_motorway,n_cl_trunk,n_cl_primary,n_cl_secondary,n_cl_tertiary,n_cl_unclassified,n_cl_residential,n_cl_service,n_cl_track,n_cl_footway,n_cl_cycleway,n_cl_living_street,n_lane_m_motorway,n_lane_m_trunk,n_lane_m_primary,n_lane_m_secondary,n_lane_m_tertiary,n_lane_m_unclassified,n_lane_m_residential,n_lane_m_service,n_lane_m_track,n_lane_m_footway,n_lane_m_cycleway,n_lane_m_living_street
0,0402830,Apache Junction city,25900.21850997,5959.01570136,30158.68527799,99867.84357349,52345.37453436,13579.91768916,508245.29287031,0.0,0.0,0.0,0.0,0.0,25900.21850997,5929.28083265,26496.72682001,52514.31665906,26416.74769391,6789.95884458,257715.06387224,0.0,0.0,0.0,0.0,0.0,43969.90442594,11563.95711385,70888.78997358,146613.1518471,55253.35441667,14588.7359185,513473.42843793,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,684902.54540358,74388.92889843,20057.75761222,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,352725.30927915,74388.92889843,19952.25632128,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,685131.33223515,74388.92889843,20057.75761222,0.0,0.0
1,0411300,Cave Creek town,0.0,0.0,8744.76445147,5160.66700887,30254.73263668,8940.36059404,348369.7114424,0.0,223.95136418,0.0,0.0,0.0,0.0,0.0,8737.91300026,5032.00916456,15127.36631834,4470.18029702,176359.18269081,0.0,223.95136418,0.0,0.0,0.0,0.0,0.0,19156.5758828,11504.39547281,30451.99418422,8940.36059404,348456.20988604,0.0,223.95136418,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,321028.01632017,30391.35828231,80094.31450291,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,161503.69870268,30391.35828231,80094.31450291,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,321028.01632017,30391.35828231,80094.31450291,0.0,0.0
2,0427050,Gila Bend town,26324.234956790002,27880.05377241,9888.77399435,34425.81323206,58815.632114,0.0,122826.65053001,0.0,0.0,0.0,0.0,0.0,26324.234956790002,20011.81711689,5910.57374043,17662.19907502,29407.816057,0.0,61535.54211864,0.0,0.0,0.0,0.0,0.0,50147.06082149,45923.43110355,10919.137145820001,34574.54162453,58815.632114,0.0,122826.65053001,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,158192.10467671,92996.39111182,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,79398.91903687,91800.92586664,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,158192.10467671,92996.39111182,0.0,0.0,0.0
3,0427400,Gilbert town,38618.38833127,0.0,32462.59243568,423028.3526485,260653.27923128,55258.3226507,2808115.65624109,109.66244727,0.0,0.0,0.0,0.0,38618.38833127,0.0,28895.40896202,337613.11031377,168443.66270432,29928.3995072,1447567.23887717,109.66244727,0.0,0.0,0.0,0.0,95382.55084221,0.0,99337.2344347,1111864.32688578,291271.52224423003,56442.80956984,2811148.90517668,109.66244727,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1947855.91174882,22345.773471340002,447475.68646892,8386.82484471,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1025472.37851405,22345.77347134,447475.68646892,7592.65427055,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1950240.9485981,22345.773471340002,447475.68646892,8386.82484471,0.0
4,0428380,Goodyear city,71299.05261561,6438.88480319,13143.55542968,362853.51646706,234985.07492629,73933.76663671,1235659.26186105,0.0,0.0,0.0,0.0,0.0,71299.05261561,6438.88480319,8415.72254258,268815.00826069,145556.65490926,37700.85779847,636499.76875681,0.0,0.0,0.0,0.0,0.0,192609.29491579,13357.8184388,21184.31206567,672364.39465437,297972.21275135,74538.44417772,1242254.2599262,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,944789.49213605,279141.59755643,266714.48024081,12862.73607164,0.0,0,0,0.0,0.0,0.0,0.0,0.0,491692.43514632003,279141.59755643,266711.37393741,12862.73607164,0.0,0,0,0.0,0.0,0.0,0.0,0.0,948364.10324309,558283.19511286,266714.48024081,12862.73607164,0.0
5,0452930,Paradise Valley town,0.0,0.0,15662.18415679,30946.23279702,68673.40313726,303.62409418,425640.84108768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15102.514943619999,25336.79059316,41174.08652672,151.81204709,217237.88134063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39363.02884752,50669.06075283,71409.07901841,303.62409418,426598.79258066,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,335538.06444046,118.63444537,51320.49908266,130.92266313,0.0,0,0,0.0,0.0,0.0,0.0,0.0,171834.19245994,118.63444537,34042.400378110004,130.92266313,0.0,0,0,0.0,0.0,0.0,0.0,0.0,336536.34061883,118.63444537,51320.49908266,130.92266313,0.0
6,0465000,Scottsdale city,42284.89093211,0.0,144438.90287794,338416.49853267,643609.88782265,103999.09386945001,3750106.84178672,47.68631612,1.88727821,0.0,0.0,0.0,42284.89093211,0.0,125883.65283803,275165.94136267,421091.4461899,54530.00100025,1966867.97413295,23.84315806,1.88727821,0.0,0.0,0.0,141352.64114148,0.0,408070.1683841,738973.38802074,875544.46757619,110933.69585668,3768085.47831739,47.68631612,1.88727821,0.0,0.0,0.0,0,0,11.23008676,0.0,198.484673,0.0,16.20811894,3196793.20834642,46705.68283541,341464.70799852,108639.38069792,766.0456337200001,0,0,11.23008676,0.0,99.2423365,0.0,8.10405947,1654401.08304577,45756.08650049,324608.76640727,88556.47805811,383.02281686000003,0,0,33.690260280000004,0.0,297.7270095,0.0,16.20811894,3206181.14670963,46705.68283541,341464.70799852,109281.30787199,766.0456337200001
7,0482740,Wickenburg town,0.0,22985.40877357,19718.46754004,11457.54021953,11613.62860678,2033.2037436,329990.95287314,0.0,0.0,0.0,0.0,0.0,0.0,15615.78115468,10500.42098544,5974.17500491,5806.81430339,1016.6018718,172686.91813292,0.0,0.0,0.0,0.0,0.0,0.0,34315.07737985,30018.74143899,14654.35211743,11613.62860678,2033.2037436,329990.95287314,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,236538.50548073,28888.03521995,10118.23899389,5549.00091565,0.0,0,0,0.0,0.0,0.0,0.0,0.0,120750.12674702,28888.03521995,10118.23899389,5549.00091565,0.0,0,0,0.0,0.0,0.0,0.0,0.0,236538.50548073,28888.03521995,10118.23899389,5549.00091565,0.0
8,0472420,Taylor town,0.0,23002.02534502,0.0,47083.50816388,17272.4600049,1151.6652873,160516.00171116,0.0,0.0,0.0,0.0,0.0,0.0,11501.01267251,0.0,23541.75408194,8636.23000245,575.83264365,80258.00085558,0.0,0.0,0.0,0.0,0.0,0.0,32762.73721751,0.0,47083.50816388,17272.4600049,1151.6652873,160516.00171116,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,45835.526541960004,32762.30791299,981.03939501,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,23053.47816553,32762.30791299,981.03939501,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,45835.526541960004,32762.30791299,981.03939501,0.0,0.0
9,0416410,Cottonwood city,0.0,23263.52529329,11701.1841615,18345.40017223,37091.58109626,16877.70788972,204961.23641985,0.0,0.0,0.0,0.0,0.0,0.0,19648.3536435,7779.39083514,9350.25633347,18641.71360998,8496.59621372,103014.42314194,0.0,0.0,0.0,0.0,0.0,0.0,46256.81830246,23280.97377737,20195.30630641,37091.58109626,16877.70788972,205055.65453603,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,165359.07165356,12348.7805593,9336.39927662,0.0,1085.70273502,0,0,0.0,0.0,0.0,0.0,0.0,86719.23436257,12348.7805593,9336.39927662,0.0,542.85136751,0,0,0.0,0.0,0.0,0.0,0.0,165359.07165356,12348.7805593,9336.39927662,0.0,1085.70273502
