,GEOID,NAMELSAD,motorway,trunk,primary,secondary,tertiary,unclassified,residential,service,track,footway,cycleway,living_street,cl_motorway,cl_trunk,cl_primary,cl_secondary,cl_tertiary,cl_unclassified,cl_residential,cl_service,cl_track,cl_footway,cl_cycleway,cl_living_street,lane_m_motorway,lane_m_trunk,lane_m_primary,lane_m_secondary,lane_m_tertiary,lane_m_unclassified,lane_m_residential,lane_m_service,lane_m_track,lane_m_footway,lane_m_cycleway,lane_m_living_street,n_motorway,n_trunk,n_primary,n_secondary,n_tertiary,n_unclassified,n_residential,n_service,n_track,n_footway,n_cycleway,n_living_street,n_cl_motorway,n_cl_trunk,n_cl_primary,n_cl_secondary,n_cl_tertiary,n_cl_unclassified,n_cl_residential,n_cl_service,n_cl_track,n_cl_footway,n_cl_cycleway,n_cl_living_street,n_lane_m_motorway,n_lane_m_trunk,n_lane_m_primary,n_lane_m_secondary,n_lane_m_tertiary,n_lane_m_unclassified,n_lane_m_residential,n_lane_m_service,n_lane_m_track,n_lane_m_footway,n_lane_m_cycleway,n_lane_m_living_street
0,0524250,Foreman city,0.0,0.0,0.0,14662.46288958,3841.23558362,4626.16996104,46521.06624984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7331.23144479,1920.61779181,2313.08498052,23260.53312492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29324.92577916,3841.23558362,4626.16996104,46521.06624984,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,1179.6059701,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,589.80298505,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,1179.6059701,0.0,0.0,0.0,0.0
1,0576250,Winthrop city,0.0,0.0,0.0,4214.43830823,2679.6876347400002,3745.57758758,9834.86194052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2139.1909094499997,1339.84381737,1872.78879379,4917.43097026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4214.43830823,2679.6876347400002,3745.57758758,9834.86194052,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,549.17260814,369.74817779,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,274.58630407,369.74817779,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,549.17260814,369.74817779,0.0,0.0,0.0
2,0566440,Star City city,0.0,0.0,9073.22765264,8952.29598258,17489.25764928,2397.9018315,87703.68057937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4536.61382632,4476.14799129,8744.62882464,1198.9509157500001,43899.35855526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23802.7574502,8952.29598258,20097.72761646,2397.9018315,87703.68057937,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,1239.22054346,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,619.61027173,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,1239.22054346,0.0,0.0,0.0,0.0
3,0543370,Magness town,0.0,0.0,3317.91072944,0.0,4853.91595568,316.15774484,8485.05933878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1658.95536472,0.0,2426.95797784,158.07887242,4242.52966939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3317.91072944,0.0,4853.91595568,316.15774484,8485.05933878,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,255.82329302,25.60727136,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,127.91164651,25.60727136,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,255.82329302,25.60727136,0.0,0.0,0.0
4,0551410,Oil Trough town,0.0,0.0,0.0,2839.72353664,0.0,0.0,11961.87174832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1419.86176832,0.0,0.0,5980.93587416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2839.72353664,0.0,0.0,11961.87174832,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0556270,Pleasant Plains town,0.0,4164.9257619,0.0,8704.39952746,0.0,2785.73005346,7784.13404306,0.0,0.0,0.0,0.0,0.0,0.0,2082.46288095,0.0,4352.19976373,0.0,1392.86502673,3892.06702153,0.0,0.0,0.0,0.0,0.0,0.0,8329.8515238,0.0,8704.39952746,0.0,2785.73005346,7784.13404306,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,2821.77322428,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,1410.88661214,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,2821.77322428,0.0,0.0,0.0,0.0
6,0567730,Sulphur Rock town,0.0,0.0,2402.3970504,3021.6044896,3301.11195862,1167.64374294,23697.2838399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1201.1985252,1510.8022448,1650.5559793099999,583.82187147,11848.64191995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2402.3970504,3021.6044896,3301.11195862,1167.64374294,23697.2838399,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,21.52747172,147.18724252,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,10.76373586,147.18724252,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,21.52747172,147.18724252,0.0,0.0,0.0
7,0531190,Helena-West Helena city,0.0,21515.55845375,19238.65903757,28393.04151341,53860.09242997,6570.4427151,296535.45418184,0.0,0.0,0.0,0.0,0.0,0.0,18978.30026132,12524.89457808,14315.3823107,26974.99079602,3285.22135755,148589.11329592,0.0,0.0,0.0,0.0,0.0,0.0,42053.90996084,38477.31807514,55707.43382454,53860.09242997,6570.4427151,296535.45418184,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,45147.5729085,3370.88643034,1200.46079121,2762.21635793,0.0,0,0,0,0,0.0,0.0,0.0,23173.19283249,3370.88643034,1200.46079121,2762.21635793,0.0,0,0,0,0,0.0,0.0,0.0,45147.5729085,3370.88643034,1200.46079121,2762.21635793,0.0
8,0502380,Ashdown city,0.0,11773.6492789,0.0,14191.37678184,13504.22475384,13605.53505178,155504.81548594,0.0,0.0,0.0,0.0,0.0,0.0,5886.82463945,0.0,7095.68839092,6752.11237692,6802.76752589,77752.40774297,0.0,0.0,0.0,0.0,0.0,0.0,23545.578135519998,0.0,14191.37678184,13504.22475384,13605.53505178,155504.81548594,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,15743.46991502,4513.90182985,377.14372916,0.0,0.0,0,0,0,0,0.0,0.0,0.0,7871.73495751,4513.90182985,377.14372916,0.0,0.0,0,0,0,0,0.0,0.0,0.0,15743.46991502,4513.90182985,377.14372916,0.0,0.0
9,0560590,Rondo town,0.0,0.0,0.0,3228.33050076,3478.38099902,0.0,9239.2734452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1614.16525038,1739.19049951,0.0,4619.6367226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3228.33050076,3478.38099902,0.0,9239.2734452,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,478.51195326,313.79034636,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,239.25597663,313.79034636,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,478.51195326,313.79034636,0.0,0.0,0.0
