,GEOID,NAMELSAD,motorway,trunk,primary,secondary,tertiary,unclassified,residential,service,track,footway,cycleway,living_street,cl_motorway,cl_trunk,cl_primary,cl_secondary,cl_tertiary,cl_unclassified,cl_residential,cl_service,cl_track,cl_footway,cl_cycleway,cl_living_street,lane_m_motorway,lane_m_trunk,lane_m_primary,lane_m_secondary,lane_m_tertiary,lane_m_unclassified,lane_m_residential,lane_m_service,lane_m_track,lane_m_footway,lane_m_cycleway,lane_m_living_street,n_motorway,n_trunk,n_primary,n_secondary,n_tertiary,n_unclassified,n_residential,n_service,n_track,n_footway,n_cycleway,n_living_street,n_cl_motorway,n_cl_trunk,n_cl_primary,n_cl_secondary,n_cl_tertiary,n_cl_unclassified,n_cl_residential,n_cl_service,n_cl_track,n_cl_footway,n_cl_cycleway,n_cl_living_street,n_lane_m_motorway,n_lane_m_trunk,n_lane_m_primary,n_lane_m_secondary,n_lane_m_tertiary,n_lane_m_unclassified,n_lane_m_residential,n_lane_m_service,n_lane_m_track,n_lane_m_footway,n_lane_m_cycleway,n_lane_m_living_street
0,0677364,Susanville city,0.0,7881.56703477,9172.28716702,2640.1951829199998,17340.5312278,16896.24922304,141662.45768372,0.0,0.0,0.0,0.0,0.0,0.0,4073.44857695,4586.14358351,1320.0975914599999,8670.2656139,8635.79660051,70923.71574056,0.0,0.0,0.0,0.0,0.0,0.0,14866.240191320001,9172.28716702,2640.1951829199998,17461.87483327,16896.24922304,141662.45768372,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,84200.89471235,25171.46157678,5173.19905406,401.43497727,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,42557.05357804,25171.46157678,5173.19905406,401.43497727,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,84200.89471235,25171.46157678,5173.19905406,401.43497727,0.0
1,0602000,Anaheim city,222251.88051065,4848.99275363,204454.36842256,166027.0448941,229483.7158833,44579.68761718,1497040.14665132,1022.69478871,0.0,145.6934456,0.0,0.0,222251.88051065,4610.49860656,163441.76659197,105174.94263193,123332.46380536,23996.41630784,756775.88156952,688.11719483,0.0,145.6934456,0.0,0.0,662772.21008438,15747.06483706,603302.11536345,364705.04001802,452028.97707184,88568.29710426,1499045.37442131,1376.23438966,0.0,291.3868912,0.0,0.0,0,0.0,0.0,0.0,0.0,849.94805473,0.0,2138805.47686358,38170.7769154,237404.28267172,21716.44527378,1776.21980632,0,0.0,0.0,0.0,0.0,727.183392,0.0,1153705.27025883,37682.36827766,237375.31454983,19031.13863128,888.10990316,0,0.0,0.0,0.0,0.0,1703.13863745,0.0,2149022.69169621,38170.7769154,474704.87736994,21716.44527378,1776.21980632
2,0616532,Costa Mesa city,77539.71229315,4194.49021164,31071.23108976,84242.12269183,179486.15759293,12169.91634594,428759.96883893,18.07640019,0.0,0.0,0.0,0.0,77354.40658812,4169.63813318,26500.86984043,61619.6449769,97164.5008469,6216.94526909,216771.32114975,13.25580378,0.0,0.0,0.0,0.0,238752.86578205,15559.82779184,107922.59275388,248759.54575702,200184.14774283,12405.56908435,429568.6659013,18.07640019,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,896934.96377375,2962.01106585,66567.30068941,21259.03455558,1540.77010436,0,0.0,0.0,0.0,0.0,0.0,0.0,476414.05920655,2962.01106585,66567.30068941,21259.03455558,770.38505218,0,0.0,0.0,0.0,0.0,0.0,0.0,898250.34251871,2962.01106585,66567.30068941,21259.03455558,1540.77010436
3,0617750,Cypress city,0.0,0.0,32318.45337656,42225.10179188,50995.846217109996,5387.88703018,245507.59378586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31876.94780515,24385.96989127,26169.90692573,3804.24575752,124902.49164368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89711.53142969,93621.27602054,101553.60143266,10775.77406036,245659.74677668,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,354799.05727942,1.15215221,36797.97088612,2838.13643884,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,188009.35640031,1.15215221,35981.21144556,2838.13643884,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,354799.05727942,1.15215221,36797.97088612,2838.13643884,0.0
4,0628000,Fullerton city,35513.2783721,0.0,83734.4397212,83275.6753495,141059.95895522,10565.73033443,785780.14189172,365.23411257,0.0,0.0,302.30961084,0.0,35321.05492798,0.0,58175.93457303,49764.14363667,75909.47438248999,5700.72239117,395533.3174545,283.93884799,0.0,0.0,302.30961084,0.0,104062.8494776,0.0,236211.43132672,183680.00667779,259748.78670662,19219.84929428,785937.49463493,365.23411257,0.0,0.0,302.30961084,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,888259.75995857,529.98794624,90491.9789784,15724.10399401,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,473034.59501042,529.98794624,90491.9789784,15724.10399401,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,889149.64054039,529.98794624,90491.9789784,15724.10399401,0.0
5,0629000,Garden Grove city,42500.67259631,0.0,93692.87623513,55819.0612093,117555.42813097,16968.08088781,755801.33647394,0.0,0.0,0.0,0.0,0.0,42500.67259631,0.0,81941.8421251,34473.37238455,61625.01851255,8624.58326255,380851.9187747,0.0,0.0,0.0,0.0,0.0,152266.89441708,0.0,295310.73317216,155506.85416284,234681.01962966,33978.53208235,755925.07714126,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2.01020516,0.0,727588.47509122,0.0,33966.26708819,0.0,0.0,0,0.0,0.0,0.0,0.0,2.01020516,0.0,389112.10161124,0.0,33966.26708819,0.0,0.0,0,0.0,0.0,0.0,0.0,5.04692054,0.0,1455012.3724487,0.0,33966.26708819,0.0,0.0
6,0639248,Laguna Niguel city,8776.3380883,0.0,64334.12036636,25506.93245055,68557.65345967,10305.3976313,519723.96247911,1795.51587494,306.88757052999995,0.0,0.0,0.0,8776.3380883,0.0,63108.43938218,23389.85196507,41337.94577636,5152.69881565,263032.72647187,937.68053308,306.88757053,0.0,0.0,0.0,23307.94429707,0.0,196611.25942928,55963.03695454,119085.08715477,10727.92660407,520831.49365402,3591.03174988,306.88757052999995,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,231346.72750277,5509.45411097,74259.9048993,19823.7356547,103.68375222,0,0.0,0.0,0.0,0.0,0.0,0.0,127183.90174035,5509.45411097,74259.9048993,19823.7356547,51.84187611,0,0.0,0.0,0.0,0.0,0.0,0.0,453812.43252922,5509.45411097,74259.9048993,19823.7356547,103.68375222
7,0653980,Orange city,80928.45373821,0.0,109898.99402286,83385.75921705,179824.82867613,12893.30025456,814580.82480243,0.0,0.0,0.0,0.0,0.0,80909.99962135,0.0,79950.65236452,49010.99872232,100280.27376128,7107.01151979,412401.30602263,0.0,0.0,0.0,0.0,0.0,244960.88277852,0.0,321668.93325903,170417.82717551,338677.88651817,13566.95274956,815616.87347285,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,884574.30349685,19718.83698834,112136.77165643,28252.19205059,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,470473.73785373,19717.91210419,112136.77165643,27884.55104161,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,887645.09393654,19718.83698834,112136.77165643,28252.19205059,0.0
8,0657526,Placentia city,6070.16429109,0.0,20792.83821026,24157.87875763,63093.30427907,1888.44739426,318103.60004522,0.0,0.0,0.0,0.0,0.0,6070.16429109,0.0,16847.48907313,19174.67294353,34238.63907121,944.22369713,161687.17768698,0.0,0.0,0.0,0.0,0.0,25670.640762810002,0.0,54954.3595161,67776.44491625,126526.55925121,1888.44739426,318183.81604745,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,218018.20429782,58.35338005,8442.87637253,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,115416.94291857,58.35338005,8442.87637253,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,218018.20429782,58.35338005,8442.87637253,0.0,0.0
9,0668028,San Juan Capistrano city,28179.67458111,0.0,9498.17131004,38510.82463623,39234.25421187,19777.98490109,354824.49219461,0.0,0.0,0.0,0.0,0.0,28179.67458111,0.0,6325.15462982,22997.57670974,21214.70345134,11882.20214485,182937.24986535,0.0,0.0,0.0,0.0,0.0,123666.94856241,0.0,20420.32506408,81889.33538778,48399.41357394,20211.83215221,357592.47831119,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,387.2631425,0.0,255441.56393814,35785.74779947,18808.11507487,17395.24274687,0.0,0,0.0,0.0,0.0,0.0,193.63157125,0.0,132447.38999353,35785.74779947,18808.11507487,17395.24274687,0.0,0,0.0,0.0,0.0,0.0,387.2631425,0.0,255935.27456055,35785.74779947,18808.11507487,17395.24274687,0.0
