,GEOID,NAMELSAD,motorway,trunk,primary,secondary,tertiary,unclassified,residential,service,track,footway,cycleway,living_street,cl_motorway,cl_trunk,cl_primary,cl_secondary,cl_tertiary,cl_unclassified,cl_residential,cl_service,cl_track,cl_footway,cl_cycleway,cl_living_street,lane_m_motorway,lane_m_trunk,lane_m_primary,lane_m_secondary,lane_m_tertiary,lane_m_unclassified,lane_m_residential,lane_m_service,lane_m_track,lane_m_footway,lane_m_cycleway,lane_m_living_street,n_motorway,n_trunk,n_primary,n_secondary,n_tertiary,n_unclassified,n_residential,n_service,n_track,n_footway,n_cycleway,n_living_street,n_cl_motorway,n_cl_trunk,n_cl_primary,n_cl_secondary,n_cl_tertiary,n_cl_unclassified,n_cl_residential,n_cl_service,n_cl_track,n_cl_footway,n_cl_cycleway,n_cl_living_street,n_lane_m_motorway,n_lane_m_trunk,n_lane_m_primary,n_lane_m_secondary,n_lane_m_tertiary,n_lane_m_unclassified,n_lane_m_residential,n_lane_m_service,n_lane_m_track,n_lane_m_footway,n_lane_m_cycleway,n_lane_m_living_street
0,0861315,Pritchett town,0.0,0.0,2068.52601498,0.0,0.0,355.56023982,10695.00325764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1034.26300749,0.0,0.0,177.78011991,5347.50162882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2068.52601498,0.0,0.0,355.56023982,10695.00325764,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,4166.23740836,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,2083.11870418,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,4166.23740836,0.0,0.0,0.0,0.0
1,0882460,Walsh town,0.0,0.0,2092.31632708,0.0,5564.79749644,539.97068508,24792.51938896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1046.15816354,0.0,2782.39874822,269.98534254,12396.25969448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2092.31632708,0.0,5564.79749644,539.97068508,24792.51938896,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,10106.19714944,57.06643858,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,5053.09857472,57.06643858,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,10106.19714944,57.06643858,0.0,0.0,0.0
2,0856970,Palisade town,0.0,0.0,3685.82729019,0.0,10063.27438282,858.5125736800001,40841.14093155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2308.09442658,0.0,5031.63719141,429.25628684000003,20590.98501906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4947.89895177,0.0,10159.969658170001,967.16733479,41055.00598755,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,20337.09435658,601.08369009,4445.00649467,4792.48521116,0.0,0,0,0,0.0,0.0,0.0,0.0,10374.45396441,601.08369009,4445.00649467,2396.2426055799997,0.0,0,0,0,0.0,0.0,0.0,0.0,20386.74722086,601.08369009,4445.00649467,4792.48521116,0.0
3,0852075,Morrison town,4447.2611770799995,4552.22908294,0.0,5955.77056408,9091.6050095,947.55236059,8052.51492021,0.0,0.0,0.0,0.0,0.0,4447.26117708,4552.22908294,0.0,3861.25331031,4890.48484579,490.38705593,4085.41398331,0.0,0.0,0.0,0.0,0.0,7482.86256247,9104.45816588,0.0,10460.35284611,9557.71120468,994.79515301,8052.51492021,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,13222.24233831,0.0,1911.9225618799999,2613.03627095,0.0,0,0,0,0.0,0.0,0.0,0.0,6906.10837109,0.0,1911.9225618799999,2613.03627095,0.0,0,0,0,0.0,0.0,0.0,0.0,13222.24233831,0.0,1911.9225618799999,2613.03627095,0.0
4,0805265,Bayfield town,0.0,1476.33492552,2604.6991259399997,12016.00168588,14192.86776681,515.95256236,32331.70652901,0.0,0.0,0.0,0.0,0.0,0.0,1052.77190065,1302.3495629699999,6442.55999921,7246.14569425,257.97628118,16185.83862355,0.0,0.0,0.0,0.0,0.0,0.0,1476.33492552,2604.6991259399997,12016.00168588,14192.86776681,515.95256236,32331.70652901,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,7691.65473752,0.0,430.64064241,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,3845.82736876,0.0,430.64064241,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,7691.65473752,0.0,430.64064241,0.0,0.0
5,0838535,Ignacio town,0.0,0.0,3876.86358752,0.0,0.0,99.121294,24340.96470906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1938.43179376,0.0,0.0,49.560647,12170.48235453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4441.92283174,0.0,0.0,99.121294,24340.96470906,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,191.14485562,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,95.57242781,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,191.14485562,0.0,0.0,0.0,0.0
6,0870580,Silverton town,0.0,0.0,2021.17250816,3318.2468151,2825.93405348,1528.16610878,27904.967551319998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1010.58625408,1701.92841884,1412.96702674,764.08305439,13952.483775659999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2156.45484526,3318.2468151,2825.93405348,1528.16610878,27904.967551319998,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,16283.6089089,1377.5344479999999,1142.64003933,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,8141.80445445,1377.5344479999999,1142.64003933,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,16283.6089089,1377.5344479999999,1142.64003933,0.0,0.0
7,0846355,Louisville city,279.42503665,83.27100102,8150.87252064,29878.58907988,27296.93492751,40677.5291375,232201.47314601,0.0,0.0,0.0,0.0,0.0,279.42503665,83.27100102,8150.87252064,21105.70013694,21177.12040792,21248.0508163,117521.1135957,0.0,0.0,0.0,0.0,0.0,297.29798592,83.27100102,20864.49241883,55931.14141649,52485.04966495,40815.93598939,232482.65860614,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,257497.32876845,616.92821712,119323.82131033,34562.92262025,0.0,0,0,0,0.0,0.0,0.0,0.0,131842.86485252,616.92821712,117463.40044336,31869.4664085,0.0,0,0,0,0.0,0.0,0.0,0.0,257623.35617793,616.92821712,119323.82131033,34562.92262025,0.0
8,0831605,Granby town,0.0,0.0,15503.39478751,0.0,6954.7912984,19028.78621372,110628.14439103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7753.68979643,0.0,3477.3956492,9514.39310686,55459.86512075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20485.01308734,0.0,6954.7912984,19028.78621372,110628.14439103,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,66773.12662811,34258.99674182,0.0,28683.43507117,0.0,0,0,0,0.0,0.0,0.0,0.0,33876.40945252,34258.99674182,0.0,21399.37303534,0.0,0,0,0,0.0,0.0,0.0,0.0,66773.12662811,34258.99674182,0.0,28683.43507117,0.0
9,0868105,San Luis town,0.0,0.0,3875.44361594,1360.92269786,0.0,321.28777546000003,23297.53407206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1937.72180797,680.46134893,0.0,160.64388773000002,11648.76703603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3875.44361594,1360.92269786,0.0,321.28777546000003,23297.53407206,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.69317088,0.0,7560.00193712,929.44416337,324.75659335,0.0,0.0,0,0,0,0.0,0.0,0.34658544,0.0,3780.00096856,929.44416337,324.75659335,0.0,0.0,0,0,0,0.0,0.0,0.69317088,0.0,7560.00193712,929.44416337,324.75659335,0.0,0.0
