,GEOID,NAMELSAD,motorway,trunk,primary,secondary,tertiary,unclassified,residential,service,track,footway,cycleway,living_street,cl_motorway,cl_trunk,cl_primary,cl_secondary,cl_tertiary,cl_unclassified,cl_residential,cl_service,cl_track,cl_footway,cl_cycleway,cl_living_street,lane_m_motorway,lane_m_trunk,lane_m_primary,lane_m_secondary,lane_m_tertiary,lane_m_unclassified,lane_m_residential,lane_m_service,lane_m_track,lane_m_footway,lane_m_cycleway,lane_m_living_street,n_motorway,n_trunk,n_primary,n_secondary,n_tertiary,n_unclassified,n_residential,n_service,n_track,n_footway,n_cycleway,n_living_street,n_cl_motorway,n_cl_trunk,n_cl_primary,n_cl_secondary,n_cl_tertiary,n_cl_unclassified,n_cl_residential,n_cl_service,n_cl_track,n_cl_footway,n_cl_cycleway,n_cl_living_street,n_lane_m_motorway,n_lane_m_trunk,n_lane_m_primary,n_lane_m_secondary,n_lane_m_tertiary,n_lane_m_unclassified,n_lane_m_residential,n_lane_m_service,n_lane_m_track,n_lane_m_footway,n_lane_m_cycleway,n_lane_m_living_street
0,0918780,Danielson borough,0.0,1359.6724235000001,0.0,4151.19693719,12387.87925656,0.0,35713.615600260004,0.0,0.0,0.0,0.0,0,0.0,1359.6724235,0.0,2240.12106298,6312.0658021,0.0,18056.84186638,0.0,0.0,0.0,0.0,0,0.0,2719.3448470000003,0.0,4151.19693719,12387.87925656,0.0,35713.615600260004,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,23517.52418203,0.0,5210.72250665,821.1786351000001,0.0,0,0.0,0,0.0,0,0.0,0.0,12373.38040235,0.0,5210.72250665,821.1786351,0.0,0,0.0,0,0.0,0,0.0,0.0,23517.52418203,0.0,5210.72250665,821.1786351000001,0.0
1,0973700,Stonington borough,0.0,0.0,0.0,0.0,421.02124536,0.0,18855.14263762,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,210.51062268,0.0,9973.62529597,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,421.02124536,0.0,18855.14263762,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,3871.16378512,0.0,2711.7036495800003,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,2027.63943997,0.0,2711.70364958,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,3871.16378512,0.0,2711.7036495800003,0.0,0.0
2,0934180,Groton city,5006.54972064,0.0,0.0,17651.63479007,17606.31801296,0.0,71717.63658667,0.0,0.0,0.0,0.0,0,4954.83350712,0.0,0.0,8902.34191011,8803.15900648,0.0,36438.17538038,0.0,0.0,0.0,0.0,0,16065.77445781,0.0,0.0,24737.82500574,17606.31801296,0.0,71717.63658667,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,56363.17495201,545.94052924,10154.37134498,1609.42469023,0.0,0,0.0,0,0.0,0,0.0,0.0,30280.05664832,545.94052924,9601.9293848,1609.42469023,0.0,0,0.0,0,0.0,0,0.0,0.0,56363.17495201,545.94052924,10154.37134498,1609.42469023,0.0
3,0939940,Jewett City borough,0.0,0.0,0.0,6365.24400618,0.0,0.0,23791.12959758,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,3182.62200309,0.0,0.0,12009.99366952,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,6365.24400618,0.0,0.0,23791.12959758,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,21186.18384011,558.0812837,8108.06461099,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,11070.5109018,558.0812837,8108.06461099,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,21186.18384011,558.0812837,8108.06461099,0.0,0.0
4,0956200,Norwich city,46596.67140994,19360.72033487,9003.8470288,70445.48885816,71089.86823151,0.0,483865.02865211,0.0,0.0,0.0,0.0,0,46596.67140994,10049.9387962,4914.56038745,36303.07021974,35675.75090989,0.0,245281.91279452,0.0,0.0,0.0,0.0,0,84050.46039493,29358.342361345,9003.8470288,72372.0998882,71089.86823151,0.0,483865.02865211,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,439861.03160136,13452.95527383,41801.02374336,575.39587863,0.0,0,0.0,0,0.0,0,0.0,0.0,226376.04849375,13201.46434626,41676.10147835,575.39587863,0.0,0,0.0,0,0.0,0,0.0,0.0,439861.03160136,13452.95527383,41801.02374336,575.39587863,0.0
5,0947290,Middletown city,45986.7345108,11856.53778002,24960.26860478,67829.9426808,82876.06741141,22233.2898997,569626.62347036,0.0,0.0,0.0,0.0,0,45986.7345108,6933.3571327399995,12666.91359074,33914.9713404,41911.68473367,11936.60287629,291424.2389723,0.0,0.0,0.0,0.0,0,99718.58760602,24845.49312509,27989.96606724,68236.69989329,83450.83185559,33349.93484955,569899.63712061,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,696675.94056668,37297.14243293,178436.03209779,9775.64617853,0.0,0,0.0,0,0.0,0,0.0,0.0,360660.54209546,37297.14243293,178436.03209779,9055.07067822,0.0,0,0.0,0,0.0,0,0.0,0.0,2090027.82170004,37297.14243293,178436.03209779,9775.64617853,0.0
6,0901150,Ansonia city,6112.20717071,0.0,7465.11613086,32270.4872771,24209.72730608,0.0,161134.12567627,678.25829996,0.0,0.0,0.0,0,6112.20717071,0.0,3732.55806543,16490.93253186,12423.52260033,0.0,82088.99956934,339.12914997999997,0.0,0.0,0.0,0,11923.47132731,0.0,22395.34839258,33109.59736794,24209.72730608,0.0,161134.12567627,678.25829996,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,74091.3350085,4108.18903425,13343.835482550001,1854.39511064,0.0,0,0.0,0,0.0,0,0.0,0.0,38875.76780969,4108.18903425,13343.83548255,1854.39511064,0.0,0,0.0,0,0.0,0,0.0,0.0,74091.3350085,4108.18903425,13343.835482550001,1854.39511064,0.0
7,0919480,Derby city,10824.78039066,7102.96950438,10182.0084911,17495.14594411,17567.57736233,0.0,115580.15286487,0.0,0.0,0.0,0.0,0,10824.78039066,7037.46268059,5242.77126369,8909.35147035,9001.61664389,0.0,58789.32663898,0.0,0.0,0.0,0.0,0,18631.5386543,14730.07931777,11070.64616642,17551.18064511,35135.15472466,0.0,115580.15286487,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,105078.79436455,6553.0913878,4579.04815969,3208.67152532,0.0,0,0.0,0,0.0,0,0.0,0.0,55470.65537463,6553.0913878,4579.04815969,3208.67152532,0.0,0,0.0,0,0.0,0,0.0,0.0,105304.73767945,6553.0913878,4579.04815969,3208.67152532,0.0
8,0946450,Meriden city,66348.40500319,3746.82643815,31087.839489680002,90283.70688844,84540.76749301,121.07036592,496471.21909627,0.0,0.0,0.0,0.0,0,65536.2311179,3715.67634731,17174.29615563,45447.20994615,46706.2856496,60.53518296,252664.65333265,0.0,0.0,0.0,0.0,0,135541.88531349,7493.6528763,34844.45474527,90283.70688844,84705.08349131,121.07036592,496471.21909627,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,417946.17073674,18747.57046767,60024.85924791,3957.12342384,0.0,0,0.0,0,0.0,0,0.0,0.0,219183.07440328,18747.57046767,60024.85924791,3957.12342384,0.0,0,0.0,0,0.0,0,0.0,0.0,417946.17073674,18747.57046767,60024.85924791,3957.12342384,0.0
9,0947515,Milford city (balance),53916.16435451,0.0,20299.89697661,126823.35005014,78841.45103454,3996.1252237100002,524128.34559258,33443.80096463,0.0,0.0,0.0,0,53916.16435451,0.0,11791.95189042,65492.5133371,41684.64265257,2129.11989347,268392.47390123,17319.40272986,0.0,0.0,0.0,0,113446.70360208,0.0,41849.48304937,127894.76102847,79397.92625898,5672.004988055,524128.34559258,33443.80096463,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,306.67656896,427369.11061695,4094.02525611,62546.03347152,1443.78194991,0.0,0,0.0,0,0.0,0,0.0,153.33828448,224236.16795932,4094.02525611,62546.03347152,1443.78194991,0.0,0,0.0,0,0.0,0,0.0,306.67656896,427369.11061695,4094.02525611,62546.03347152,1443.78194991,0.0
