,GEOID,NAMELSAD,motorway,trunk,primary,secondary,tertiary,unclassified,residential,service,track,footway,cycleway,living_street,cl_motorway,cl_trunk,cl_primary,cl_secondary,cl_tertiary,cl_unclassified,cl_residential,cl_service,cl_track,cl_footway,cl_cycleway,cl_living_street,lane_m_motorway,lane_m_trunk,lane_m_primary,lane_m_secondary,lane_m_tertiary,lane_m_unclassified,lane_m_residential,lane_m_service,lane_m_track,lane_m_footway,lane_m_cycleway,lane_m_living_street,n_motorway,n_trunk,n_primary,n_secondary,n_tertiary,n_unclassified,n_residential,n_service,n_track,n_footway,n_cycleway,n_living_street,n_cl_motorway,n_cl_trunk,n_cl_primary,n_cl_secondary,n_cl_tertiary,n_cl_unclassified,n_cl_residential,n_cl_service,n_cl_track,n_cl_footway,n_cl_cycleway,n_cl_living_street,n_lane_m_motorway,n_lane_m_trunk,n_lane_m_primary,n_lane_m_secondary,n_lane_m_tertiary,n_lane_m_unclassified,n_lane_m_residential,n_lane_m_service,n_lane_m_track,n_lane_m_footway,n_lane_m_cycleway,n_lane_m_living_street
0,1064840,Selbyville town,0.0,4800.81511499,0.0,16677.464475,9685.44136932,0.0,54159.5420712,0.0,0,0,0,0,0.0,4615.66454183,0.0,8338.7322375,4842.72068466,0.0,27131.5686877,0.0,0,0,0,0,0.0,8745.27310033,0.0,16677.464475,9685.44136932,0.0,54159.5420712,0.0,0,0,0,0,0,0,0,0,0,0,0.0,16914.48888093,820.69950164,174.94847154,0.0,0,0,0,0,0,0,0,0.0,8925.23626748,820.69950164,174.94847154,0.0,0,0,0,0,0,0,0,0.0,16914.48888093,820.69950164,174.94847154,0.0,0
1,1067050,Slaughter Beach town,0.0,0.0,0.0,7108.47768272,2469.2330922,270.5736783,2881.25621642,0.0,0,0,0,0,0.0,0.0,0.0,3554.23884136,1234.6165461,135.28683915,1440.62810821,0.0,0,0,0,0,0.0,0.0,0.0,7121.11366865,2469.2330922,270.5736783,2881.25621642,0.0,0,0,0,0,0,0,0,0,0,0,0.0,6690.65451746,181.75126431,72.56016268,0.0,0,0,0,0,0,0,0,0.0,3345.32725873,181.75126431,72.56016267999999,0.0,0,0,0,0,0,0,0,0.0,6690.65451746,181.75126431,72.56016268,0.0,0
2,1067700,South Bethany town,0.0,2696.33492826,0.0,300.71152026,0.0,0.0,30697.88247772,0.0,0,0,0,0,0.0,2626.81573229,0.0,150.35576013,0.0,0.0,15990.92516435,0.0,0,0,0,0,0.0,5450.75366067,0.0,300.71152026,0.0,0.0,30697.88247772,0.0,0,0,0,0,0,0,0,0,0,0,0.0,816.67617786,0.0,4215.97684261,0.0,0,0,0,0,0,0,0,0.0,408.33808893,0.0,4215.97684261,0.0,0,0,0,0,0,0,0,0.0,816.67617786,0.0,4215.97684261,0.0,0
3,1029090,Georgetown town,0.0,26515.17743039,0.0,13406.5536576,8623.4235567,88.43754245,94849.37970943,0.0,0,0,0,0,0.0,20643.58576592,0.0,7068.70891677,4322.16365944,88.43754245,48558.50246427,0.0,0,0,0,0,0.0,37744.09163897,0.0,13406.5536576,8623.4235567,88.43754245,94849.37970943,0.0,0,0,0,0,0,0,0,0,0,0,0.0,98322.07386938,0.0,6548.62221194,2789.47779059,0,0,0,0,0,0,0,0.0,51887.89295998,0.0,6548.62221194,2789.47779059,0,0,0,0,0,0,0,0.0,98322.07386938,0.0,6548.62221194,2789.47779059,0
4,1007250,Bowers town,0.0,0.0,0.0,0.0,2035.25715468,763.0168009,8011.35823434,0.0,0,0,0,0,0.0,0.0,0.0,0.0,1017.62857734,381.50840045,4005.67911717,0.0,0,0,0,0,0.0,0.0,0.0,0.0,2035.25715468,763.0168009,8011.35823434,0.0,0,0,0,0,0,0,0,0,0,0,0.0,4229.00742757,255.71730907,0.0,0.0,0,0,0,0,0,0,0,0.0,2171.93378901,255.71730907,0.0,0.0,0,0,0,0,0,0,0,0.0,4229.00742757,255.71730907,0.0,0.0,0
5,1010760,Camden town,0.0,6222.1498909,0.0,21956.514962369998,7229.89112749,1023.1172571,51526.62946685,0.0,0,0,0,0,0.0,6155.27812074,0.0,11649.68019702,3714.02161733,511.55862855,26299.67150456,0.0,0,0,0,0,0.0,12160.18090928,0.0,23344.97609096,7229.89112749,1023.1172571,103053.2589337,0.0,0,0,0,0,0,0,0,0,0,0,0.0,73930.87219864,557.68201365,2832.31386586,0.0,0,0,0,0,0,0,0,0.0,39247.63608321,557.68201365,2832.31386586,0.0,0,0,0,0,0,0,0,0.0,73930.87219864,557.68201365,2832.31386586,0.0,0
6,1014660,Cheswold town,0.0,406.26032093,0.0,2543.30895096,6478.2517579,0.0,34653.09726988,0.0,0,0,0,0,0.0,406.26032093000003,0.0,1271.65447548,3239.12587895,0.0,17549.78455207,0.0,0,0,0,0,0.0,812.52064186,0.0,2543.30895096,6478.2517579,0.0,34653.09726988,0.0,0,0,0,0,0,0,0,0,0,0,0.0,12697.95960839,749.0837526199999,0.0,0.0,0,0,0,0,0,0,0,0.0,6736.29861289,749.0837526199999,0.0,0.0,0,0,0,0,0,0,0,0.0,12697.95960839,749.0837526199999,0.0,0.0,0
7,1025840,Farmington town,0.0,0.0,0.0,0.0,1550.05688204,0.0,1600.1276242200001,0.0,0,0,0,0,0.0,0.0,0.0,0.0,775.02844102,0.0,800.0638121100001,0.0,0,0,0,0,0.0,0.0,0.0,0.0,1550.05688204,0.0,1600.1276242200001,0.0,0,0,0,0,0,0,0,0,0,0,0.0,66.39375118,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,33.19687559,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,66.39375118,0.0,0.0,0.0,0
8,1081350,Wyoming town,0.0,0.0,0.0,8290.73489766,5890.51296714,0.0,18822.3544828,0.0,0,0,0,0,0.0,0.0,0.0,4145.36744883,2945.25648357,0.0,9619.333489820001,0.0,0,0,0,0,0.0,0.0,0.0,8290.73489766,5890.51296714,0.0,18822.3544828,0.0,0,0,0,0,0,0,0,0,0,0,0.0,12079.46948119,822.02997335,0.0,0.0,0,0,0,0,0,0,0,0.0,6433.9070498,822.02997335,0.0,0.0,0,0,0,0,0,0,0,0.0,12079.46948119,822.02997335,0.0,0.0,0
9,1026620,Felton town,0.0,1119.6115861399999,0.0,2947.29861294,5658.096799,0.0,25586.12338621,0.0,0,0,0,0,0.0,1115.9776501,0.0,1473.64930647,2829.0483995,0.0,12978.90833853,0.0,0,0,0,0,0.0,2239.2231722799997,0.0,2947.29861294,5658.096799,0.0,25586.12338621,0.0,0,0,0,0,0,0,0,0,0,0,0.0,5882.27961685,0.0,713.80842943,0.0,0,0,0,0,0,0,0,0.0,3173.95072507,0.0,713.80842943,0.0,0,0,0,0,0,0,0,0.0,5882.27961685,0.0,713.80842943,0.0,0
10,1028440,Frederica town,0.0,2995.86422886,0.0,6447.47978432,2657.4159106,0.0,9210.90596158,0.0,0,0,0,0,0.0,2995.86422886,0.0,3660.41318683,1328.7079552999999,0.0,4605.45298079,0.0,0,0,0,0,0.0,5991.72845772,0.0,6447.47978432,2657.4159106,0.0,9210.90596158,0.0,0,0,0,0,0,0,0,0,0,0,0.0,6768.66867789,148.71793923,0.0,0.0,0,0,0,0,0,0,0,0.0,3687.15701703,148.71793923,0.0,0.0,0,0,0,0,0,0,0,0.0,6768.66867789,148.71793923,0.0,0.0,0
11,1033120,Harrington city,0.0,4927.36259953,0.0,6329.69826597,13852.68505371,575.17082749,57004.54331941,0.0,0,0,0,0,0.0,4890.83921904,0.0,3271.66528566,7175.15652476,327.24521993,28780.89799265,0.0,0,0,0,0,0.0,9780.25782374,0.0,6329.69826597,13852.68505371,575.17082749,57004.54331941,0.0,0,0,0,0,0,0,0,0,0,0,388.84885846,35327.44250349,0.0,4.71386584,0.0,0,0,0,0,0,0,0,194.42442923,18111.55713551,0.0,4.71386584,0.0,0,0,0,0,0,0,0,388.84885846,35327.44250349,0.0,4.71386584,0.0,0
12,1033250,Hartly town,0.0,0.0,0.0,2749.47705078,154.16390236,0.0,188.72715022,0.0,0,0,0,0,0.0,0.0,0.0,1413.91594086,77.08195118,0.0,94.36357511,0.0,0,0,0,0,0.0,0.0,0.0,2749.47705078,154.16390236,0.0,188.72715022,0.0,0,0,0,0,0,0,0,0,0,0,0.0,1356.66616271,0.0,2270.63859526,0.0,0,0,0,0,0,0,0,0.0,743.29127503,0.0,2270.63859526,0.0,0,0,0,0,0,0,0,0.0,1356.66616271,0.0,2270.63859526,0.0,0
13,1042870,Little Creek town,0.0,0.0,0.0,3147.11905404,117.25804486,0.0,1390.12906344,0.0,0,0,0,0,0.0,0.0,0.0,1573.55952702,58.62902243,0.0,695.06453172,0.0,0,0,0,0,0.0,0.0,0.0,3147.11905404,117.25804486,0.0,1390.12906344,0.0,0,0,0,0,0,0,0,0,0,0,0.0,703.32211852,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,351.66105926,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,703.32211852,0.0,0.0,0.0,0
