,GEOID,NAMELSAD,motorway,trunk,primary,secondary,tertiary,unclassified,residential,service,track,footway,cycleway,living_street,cl_motorway,cl_trunk,cl_primary,cl_secondary,cl_tertiary,cl_unclassified,cl_residential,cl_service,cl_track,cl_footway,cl_cycleway,cl_living_street,lane_m_motorway,lane_m_trunk,lane_m_primary,lane_m_secondary,lane_m_tertiary,lane_m_unclassified,lane_m_residential,lane_m_service,lane_m_track,lane_m_footway,lane_m_cycleway,lane_m_living_street,n_motorway,n_trunk,n_primary,n_secondary,n_tertiary,n_unclassified,n_residential,n_service,n_track,n_footway,n_cycleway,n_living_street,n_cl_motorway,n_cl_trunk,n_cl_primary,n_cl_secondary,n_cl_tertiary,n_cl_unclassified,n_cl_residential,n_cl_service,n_cl_track,n_cl_footway,n_cl_cycleway,n_cl_living_street,n_lane_m_motorway,n_lane_m_trunk,n_lane_m_primary,n_lane_m_secondary,n_lane_m_tertiary,n_lane_m_unclassified,n_lane_m_residential,n_lane_m_service,n_lane_m_track,n_lane_m_footway,n_lane_m_cycleway,n_lane_m_living_street
0,1229150,Havana town,0.0,6009.97495305,3731.46973397,4376.83717052,2740.20231401,0.0,56798.77184408,0.0,0.0,0.0,0.0,0.0,0.0,5717.21493092,2002.0462560199999,2188.41858526,1374.15793271,0.0,28513.28325362,0.0,0.0,0.0,0.0,0.0,0.0,12169.21134764,3818.4354517399997,4376.83717052,2740.20231401,0.0,56798.77184408,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,27367.55082759,1356.00828679,908.74611106,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,13872.35421866,1356.00828679,908.74611106,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,27367.55082759,1356.00828679,908.74611106,0.0,0.0
1,1239375,Lantana town,8456.09163374,0.0,9265.67732383,6422.39432008,13081.37243048,2948.5546998,101710.06310724,0.0,0.0,0.0,0.0,0.0,8456.09163374,0.0,5483.69930155,3476.49517755,6540.68621524,1954.66426968,51835.27215979,0.0,0.0,0.0,0.0,0.0,32605.91760945,0.0,19701.9968757,10865.15907934,14024.41311318,3041.20004944,101760.62786044,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,91556.03325605999,0.0,34286.60334217,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,49644.4688923,0.0,34286.60334217,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,181472.05646144,0.0,34286.60334217,0.0,0.0
2,1253800,Pahokee city,0.0,0.0,21653.58247142,8409.6557645,8341.00590347,1172.67625146,44516.73100497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10860.17158868,4204.82788225,4221.48965659,586.33812573,22671.56726457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21653.58247142,8409.6557645,8341.00590347,1172.67625146,44516.73100497,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,34019.93099447,13382.54811319,1951.63913686,0.0,8881.76185259,0,0,0.0,0,0.0,0.0,0.0,18136.58548783,13382.54811319,1951.63913686,0.0,4490.81790022,0,0,0.0,0,0.0,0.0,0.0,34019.93099447,13382.54811319,1951.63913686,0.0,8881.76185259
3,1276600,West Palm Beach city,72607.6152434,425.88345492,76772.6228801,68073.42681529,175822.78411151,11886.07923596,881945.58887796,0.0,0.0,190.05102198999998,0.0,0.0,72607.6152434,425.88345492,60679.38654998,61035.27024733,111505.46363037999,8258.16233223,462606.73388981,0.0,0.0,190.05102198999998,0.0,0.0,230588.059209,1616.5805788,199693.85546853,160420.25793609,255252.49454026,11886.07923596,884080.39259327,0.0,0.0,190.05102198999998,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,1129401.34487417,27968.07265138,812057.77768988,35568.15625355,3784.2831544,0,0,0.0,0,0.0,0.0,0.0,599140.58620595,27968.07265138,812057.77768988,35568.15625355,1892.1415772,0,0,0.0,0,0.0,0.0,0.0,1130664.23127057,27968.07265138,812057.77768988,35568.15625355,3784.2831544
4,1229275,Hawthorne city,0.0,17677.30709718,0.0,0.0,24809.8247625,1084.7253646200002,64176.0560227,0.0,0.0,0.0,0.0,0.0,0.0,17443.98914096,0.0,0.0,12404.91238125,542.36268231,32186.88725517,0.0,0.0,0.0,0.0,0.0,0.0,35578.45040273,0.0,0.0,24809.8247625,1084.7253646200002,64176.0560227,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,34738.30192972,7605.3055816,0.0,4621.31826394,0.0,0,0,0.0,0,0.0,0.0,0.0,17685.9893636,7605.305581600001,0.0,2310.65913197,0.0,0,0,0.0,0,0.0,0.0,0.0,34738.30192972,7605.3055816,0.0,4621.31826394,0.0
5,1245225,Micanopy town,0.0,0.0,3257.33352084,1080.54024322,6128.46545124,234.67411083000002,26853.51441302,0.0,129.65092273,0.0,0.0,0.0,0.0,0.0,3244.2854185300002,540.27012161,3189.3857335000002,234.67411083000002,13426.75720651,0.0,129.65092273,0.0,0.0,0.0,0.0,0.0,6805.73932771,1080.54024322,6128.46545124,234.67411083000002,26853.51441302,0.0,129.65092273,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,7687.30303378,265.74452692,3.54758005,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,3922.10705339,265.74452692,3.54758005,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,7687.30303378,265.74452692,3.54758005,0.0,0.0
6,1248200,Newberry city,0.0,31511.15862403,32546.12321025,46288.83156774,54802.44152818,1906.17359312,389702.57035782,0.0,407.74627016,0.0,0.0,0.0,0.0,23361.06091035,17316.47034209,23144.41578387,27401.22076409,953.08679656,196713.33272387,0.0,407.74627016,0.0,0.0,0.0,0.0,48148.77684297,34320.00360583,46288.83156774,54802.44152818,1906.17359312,389702.57035782,0.0,407.74627016,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,286085.54489794,24065.20105719,9163.55139879,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,144484.54014885,24065.20105719,9163.55139879,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,286085.54489794,24065.20105719,9163.55139879,0.0,0.0
7,1274925,Waldo city,0.0,9140.94451261,4022.42361891,612.08673388,4472.35303318,287.26220722,37641.30765587,0.0,0.0,0.0,0.0,0.0,0.0,9114.54122599,4012.7470997,306.04336694,2236.17651659,143.63110361,18933.26597162,0.0,0.0,0.0,0.0,0.0,0.0,18281.88902522,7769.50080201,612.08673388,4472.35303318,287.26220722,37641.30765587,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,24455.13106369,784.12741102,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,12437.31215406,784.12741102,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,24455.13106369,784.12741102,0.0,0.0,0.0
8,1264875,Sebring city,0.0,20041.44919765,6270.13803274,14079.70161485,72029.33201412,14590.7409587,220297.26482478,0.0,0.0,0.0,0.0,0.0,0.0,20041.44919765,3201.48397728,7245.32749917,41469.17691496,7295.37047935,111750.0463247,0.0,0.0,0.0,0.0,0.0,0.0,60396.86674449,6270.13803274,16331.78892733,86137.04346562,14590.7409587,220297.26482478,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,158074.32969785,3840.19227258,77883.88781464,7388.80918851,0.0,0,0,0.0,0,0.0,0.0,0.0,84813.41171815,3840.19227258,77883.88781464,7388.80918851,0.0,0,0,0.0,0,0.0,0.0,0.0,158074.32969785,3840.19227258,77883.88781464,7388.80918851,0.0
9,1202750,Avon Park city,0.0,13633.28083335,2648.71203665,11071.63214825,78465.52489318,1195.71992842,246981.02527238,0.0,0.0,0.0,0.0,0.0,0.0,13633.28083335,1338.82511835,7235.83796385,42043.18279433,597.85996421,123838.12853332,0.0,0.0,0.0,0.0,0.0,0.0,41283.23202964,2677.6502367,14242.63839108,83261.00232384,1195.71992842,246981.02527238,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,161856.15992331,29030.18699169,68115.18338632,4715.55102923,0.0,0,0,0.0,0,0.0,0.0,0.0,84002.29360374,29030.18699169,68112.24307238,4715.55102923,0.0,0,0,0.0,0,0.0,0.0,0.0,161856.15992331,29030.18699169,68115.18338632,4715.55102923,0.0
