,GEOID,NAMELSAD,motorway,trunk,primary,secondary,tertiary,unclassified,residential,service,track,footway,cycleway,living_street,cl_motorway,cl_trunk,cl_primary,cl_secondary,cl_tertiary,cl_unclassified,cl_residential,cl_service,cl_track,cl_footway,cl_cycleway,cl_living_street,lane_m_motorway,lane_m_trunk,lane_m_primary,lane_m_secondary,lane_m_tertiary,lane_m_unclassified,lane_m_residential,lane_m_service,lane_m_track,lane_m_footway,lane_m_cycleway,lane_m_living_street,n_motorway,n_trunk,n_primary,n_secondary,n_tertiary,n_unclassified,n_residential,n_service,n_track,n_footway,n_cycleway,n_living_street,n_cl_motorway,n_cl_trunk,n_cl_primary,n_cl_secondary,n_cl_tertiary,n_cl_unclassified,n_cl_residential,n_cl_service,n_cl_track,n_cl_footway,n_cl_cycleway,n_cl_living_street,n_lane_m_motorway,n_lane_m_trunk,n_lane_m_primary,n_lane_m_secondary,n_lane_m_tertiary,n_lane_m_unclassified,n_lane_m_residential,n_lane_m_service,n_lane_m_track,n_lane_m_footway,n_lane_m_cycleway,n_lane_m_living_street
0,1500400,Ahuimanu CDP,0.0,0.0,6054.49303383,0.0,11002.50806892,2.94635118,37543.47467514,0.0,0.0,0.0,0,0,0.0,0.0,3114.30430002,0.0,5501.25403446,1.47317559,18771.73733757,0.0,0.0,0.0,0,0,0.0,0.0,7100.67035435,0.0,11002.50806892,2.94635118,37543.47467514,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,22493.10945449,0.0,316.78142048999996,0.0,0.0,0,0,0,0,0,0.0,0.0,11384.97249539,0.0,316.78142049,0.0,0.0,0,0,0,0,0,0.0,0.0,22493.10945449,0.0,316.78142048999996,0.0,0.0
1,1500550,Aiea CDP,3943.12827809,0.0,3167.22534026,2514.98416925,16628.20424523,0.0,56474.58717919,0.0,0.0,0.0,0,0,3943.12827809,0.0,3039.03354699,1353.83133986,8348.99573522,0.0,28460.81164384,0.0,0.0,0.0,0,0,17057.14623269,0.0,3167.22534026,2514.98416925,17403.88529597,0.0,56474.58717919,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,9197.76432019,0.0,242.46718492,1387.6890490800001,0.0,0,0,0,0,0,0.0,0.0,5099.63026719,0.0,242.46718492,1387.68904908,0.0,0,0,0,0,0,0.0,0.0,9197.76432019,0.0,242.46718492,1387.6890490800001,0.0
2,1501085,Ainaloa CDP,0.0,0.0,493.22122371999995,0.0,0.0,0.0,10188.86100608,0.0,0.0,0.0,0,0,0.0,0.0,449.46340012,0.0,0.0,0.0,5094.43050304,0.0,0.0,0.0,0,0,0.0,0.0,787.3606589899999,0.0,0.0,0.0,10188.86100608,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,15276.09873842,2327.09701287,0.0,0.0,78012.32598844,0,0,0,0,0,0.0,0.0,7638.04936921,2327.09701287,0.0,0.0,39006.16299422,0,0,0,0,0,0.0,0.0,15276.09873842,4654.19402574,0.0,0.0,78012.32598844
3,1502200,Anahola CDP,0.0,0.0,8996.78193462,0.0,5323.62119946,331.72894085999997,36206.34662234,0.0,0.0,0.0,0,0,0.0,0.0,4498.39096731,0.0,2661.81059973,165.86447042999998,18103.17331117,0.0,0.0,0.0,0,0,0.0,0.0,8996.78193462,0.0,5323.62119946,331.72894085999997,36206.34662234,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,20.90468132,4686.45077084,8603.79607186,0.0,0.0,0.0,0,0,0,0,0,0.0,10.45234066,2343.22538542,8603.79607186,0.0,0.0,0.0,0,0,0,0,0,0.0,20.90468132,4686.45077084,8603.79607186,0.0,0.0,0.0
4,1502832,Black Sands CDP,0.0,0.0,0.0,1300.4813512,0.0,0.0,2693.05744286,0.0,0.0,0.0,0,0,0.0,0.0,0.0,650.2406756,0.0,0.0,1346.52872143,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1300.4813512,0.0,0.0,2693.05744286,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,17.0024214,1374.74633307,0.0,0.0,18368.47241112,0,0,0,0,0,0.0,0.0,8.5012107,1374.74633307,0.0,0.0,9184.23620556,0,0,0,0,0,0.0,0.0,17.0024214,2749.49266614,0.0,0.0,18368.47241112
5,1503850,Captain Cook CDP,0.0,0.0,11837.13505202,0.0,8716.45400014,1842.97430468,38383.38929429,0.0,152.44569001,0.0,0,0,0.0,0.0,5918.56752601,0.0,4417.86331769,921.48715234,19492.91438505,0.0,152.44569001,0.0,0,0,0.0,0.0,11837.13505202,0.0,8716.45400014,1842.97430468,38383.38929429,0.0,152.44569001,0.0,0,0,0,0,0,0,0,0.0,0.0,39432.0377284,5305.70189682,66.10988012000001,0.0,2737.0627230200002,0,0,0,0,0,0.0,0.0,20176.59969702,5305.70189682,66.10988012,0.0,1368.53136151,0,0,0,0,0,0.0,0.0,39432.0377284,5305.70189682,66.10988012000001,0.0,2737.0627230200002
6,1505900,Discovery Harbour CDP,0.0,0.0,0.0,0.0,8098.8799669400005,0.0,34209.83614722,0.0,52.20898889,0.0,0,0,0.0,0.0,0.0,0.0,4049.4399834700002,0.0,17104.91807361,0.0,52.20898889,0.0,0,0,0.0,0.0,0.0,0.0,8098.8799669400005,0.0,34209.83614722,0.0,52.20898889,0.0,0,0,0,0,0,0,0,0.0,0.0,40510.11250984,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,20255.05625492,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,40510.11250984,0.0,0.0,0.0,0.0
7,1506290,East Honolulu CDP,969.50886304,14056.47077551,18247.22662808,18911.23650901,51363.3050699,751.1593358,296293.30130962,0.0,0.0,0.0,0,0,969.5088630399999,14056.47077551,9336.68984199,10492.61472052,26390.10529256,375.5796679,148553.54115101,0.0,0.0,0.0,0,0,2543.55839076,43712.24044085,21080.78408199,37388.192289059996,51755.927712900004,751.1593358,296380.68170409,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,110335.65881748,626.09651104,18208.63488728,0.0,8802.58123214,0,0,0,0,0,0.0,0.0,58161.95239689,626.09651104,18208.63488728,0.0,4401.29061607,0,0,0,0,0,0.0,0.0,110953.08271625,626.09651104,18208.63488728,0.0,8802.58123214
8,1506300,East Kapolei CDP,5020.36605472,5583.67332598,7139.25924119,3461.66988315,15742.63002496,9925.26344787,30530.8465008,0.0,0.0,0.0,0,0,5020.36605472,5583.67332598,4179.35587553,3397.3421001,7987.2067454200005,5193.51785522,15265.4232504,0.0,0.0,0.0,0,0,14318.08139892,6435.74384979,7139.25924119,3461.66988315,15742.63002496,9925.26344787,30530.8465008,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,30837.30243178,3791.61969149,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,16007.64963967,3791.61969149,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,30837.30243178,3791.61969149,0.0,0.0,0.0
9,1506325,Eden Roc CDP,0.0,0.0,0.0,0.0,0.0,1877.88201866,321.93454978,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,938.94100933,160.96727489,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1877.88201866,321.93454978,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,132.14957034,82.32672261,0.0,0.0,119748.1347387,0,0,0,0,0,0.0,0.0,66.07478517,82.32672261,0.0,0.0,59874.06736935,0,0,0,0,0,0.0,0.0,132.14957034,164.65344522,0.0,0.0,119748.1347387
