,GEOID,NAMELSAD,motorway,trunk,primary,secondary,tertiary,unclassified,residential,service,track,footway,cycleway,living_street,cl_motorway,cl_trunk,cl_primary,cl_secondary,cl_tertiary,cl_unclassified,cl_residential,cl_service,cl_track,cl_footway,cl_cycleway,cl_living_street,lane_m_motorway,lane_m_trunk,lane_m_primary,lane_m_secondary,lane_m_tertiary,lane_m_unclassified,lane_m_residential,lane_m_service,lane_m_track,lane_m_footway,lane_m_cycleway,lane_m_living_street,n_motorway,n_trunk,n_primary,n_secondary,n_tertiary,n_unclassified,n_residential,n_service,n_track,n_footway,n_cycleway,n_living_street,n_cl_motorway,n_cl_trunk,n_cl_primary,n_cl_secondary,n_cl_tertiary,n_cl_unclassified,n_cl_residential,n_cl_service,n_cl_track,n_cl_footway,n_cl_cycleway,n_cl_living_street,n_lane_m_motorway,n_lane_m_trunk,n_lane_m_primary,n_lane_m_secondary,n_lane_m_tertiary,n_lane_m_unclassified,n_lane_m_residential,n_lane_m_service,n_lane_m_track,n_lane_m_footway,n_lane_m_cycleway,n_lane_m_living_street
0,1656890,New Meadows city,0.0,3727.73785864,0.0,0.0,5349.32466546,0.0,16893.53758928,0.0,0.0,0.0,0.0,0,0.0,1898.71335812,0.0,0.0,2674.66233273,0.0,8446.76879464,0.0,0.0,0.0,0.0,0,0.0,3727.73785864,0.0,0.0,5349.32466546,0.0,16893.53758928,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,12134.67179466,852.70842608,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,6067.33589733,852.70842608,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,12134.67179466,852.70842608,0.0,0.0,0.0
1,1611710,Butte City city,0.0,0.0,1787.05842448,0.0,0.0,0.0,4914.95115918,0.0,0.0,0.0,0.0,0,0.0,0.0,893.52921224,0.0,0.0,0.0,2457.47557959,0.0,0.0,0.0,0.0,0,0.0,0.0,1787.05842448,0.0,0.0,0.0,4914.95115918,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,2075.0585441,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,1037.52927205,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,2075.0585441,0.0,0.0,0.0,0.0
2,1625570,Emmett city,0.0,0.0,9111.6967911,10828.24986008,15243.028594,1617.70089016,117007.39845294,0.0,0.0,0.0,0.0,0,0.0,0.0,4555.84839555,5561.93361178,7679.1279544,808.85044508,58694.19538357,0.0,0.0,0.0,0.0,0,0.0,0.0,9111.6967911,10828.24986008,15243.028594,1617.70089016,117007.39845294,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,61487.14754923,203.37700447,234.85232458000002,0.0,0.0,0,0,0,0,0,0.0,0.0,30970.29752991,203.37700447,234.85232458000002,0.0,0.0,0,0,0,0,0,0.0,0.0,61487.14754923,203.37700447,234.85232458000002,0.0,0.0
3,1654100,Moore city,0.0,0.0,1894.4149907,0.0,0.0,577.34025632,13928.52982176,0.0,0.0,0.0,0.0,0,0.0,0.0,947.20749535,0.0,0.0,288.67012816,6964.26491088,0.0,0.0,0.0,0.0,0,0.0,0.0,1894.4149907,0.0,0.0,577.34025632,13928.52982176,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,994.56022664,1720.91010323,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,497.28011332,1720.91010323,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,994.56022664,1720.91010323,0.0,0.0,0.0
4,1687670,Wilder city,0.0,2976.06308628,817.4080553599999,0.0,4064.2330794599998,823.20898552,25384.57051045,0.0,0.0,0.0,0.0,0,0.0,1488.03154314,408.70402767999997,0.0,2032.1165397299999,411.60449276,12846.16054273,0.0,0.0,0.0,0.0,0,0.0,5054.72109422,817.4080553599999,0.0,4064.2330794599998,823.20898552,25384.57051045,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,9651.80534812,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,4885.23706182,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,9651.80534812,0.0,0.0,0.0,0.0
5,1616120,Clifton city,0.0,0.0,0.0,0.0,7505.1689684,1391.4005174,18467.90428762,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,3752.5844841999997,695.7002587,9233.95214381,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,7505.1689684,1391.4005174,18467.90428762,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,13141.74574072,1370.2718307,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,6570.87287036,1370.2718307,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,13141.74574072,1370.2718307,0.0,0.0,0.0
6,1620710,Dayton city,0.0,0.0,0.0,12032.89494684,5355.90107338,0.0,56245.26186862,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,6016.44747342,2677.95053669,0.0,28122.63093431,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,12032.89494684,5355.90107338,0.0,56245.26186862,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,22494.46137604,4931.88307323,1616.88644374,0.0,0.0,0,0,0,0,0,0.0,0.0,11310.18553347,4931.88307323,1616.88644374,0.0,0.0,0,0,0,0,0,0.0,0.0,22494.46137604,4931.88307323,1616.88644374,0.0,0.0
7,1665260,Preston city,0.0,0.0,18143.27679973,7858.22649289,0.0,3457.8686261400003,114917.37498084,0.0,0.0,0.0,0.0,0,0.0,0.0,9226.43475701,3975.99110142,0.0,1728.93431307,57458.68749042,0.0,0.0,0.0,0.0,0,0.0,0.0,22583.59784955,7858.22649289,0.0,3457.8686261400003,114917.37498084,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,80364.95340287,8256.62169636,11869.67513436,0.0,416.1350062,0,0,0,0,0,0.0,0.0,40763.35283517,8256.62169636,11869.67513436,0.0,208.0675031,0,0,0,0,0,0.0,0.0,80364.95340287,8256.62169636,11869.67513436,0.0,416.1350062
8,1687040,Weston city,0.0,0.0,0.0,6915.50693308,0.0,1017.53678528,26365.58975018,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,3457.75346654,0.0,508.76839264,13182.79487509,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,6915.50693308,0.0,1017.53678528,26365.58975018,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,8594.31059668,1791.55358109,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,4297.15529834,1791.55358109,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,8594.31059668,1791.55358109,0.0,0.0,0.0
9,1624310,Eden city,0.0,0.0,0.0,2511.6139842,0.0,1187.9269372200001,11373.45799794,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1255.8069921000001,0.0,593.9634686100001,5686.72899897,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2511.6139842,0.0,1187.9269372200001,11373.45799794,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,1701.4999726,204.0885779,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,850.7499863,204.0885779,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,1701.4999726,204.0885779,0.0,0.0,0.0
10,1636730,Hazelton city,0.0,0.0,0.0,3380.52424366,0.0,732.0950706599999,14522.45351676,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1690.26212183,0.0,366.04753532999996,7261.22675838,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,3380.52424366,0.0,732.0950706599999,14522.45351676,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,11531.98711066,401.58002777,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,5765.99355533,401.58002777,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,11531.98711066,401.58002777,0.0,0.0,0.0
11,1604420,Bancroft city,0.0,0.0,0.0,2386.2015906,2920.62591614,27.31877748,22112.6099712,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1193.1007953,1460.31295807,13.65938874,11056.3049856,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2386.2015906,2920.62591614,27.31877748,22112.6099712,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,890.1648995,2089.58285695,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,445.08244975,2089.58285695,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,890.1648995,2089.58285695,0.0,0.0,0.0
12,1634570,Hamer city,394.16374246,0.0,0.0,0.0,0.0,6014.36648948,4177.2576858,0.0,0.0,0.0,0.0,0,394.16374246,0.0,0.0,0.0,0.0,3007.18324474,2088.6288429,0.0,0.0,0.0,0.0,0,788.32748492,0.0,0.0,0.0,0.0,6014.36648948,4177.2576858,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,744.42649936,157.66990746,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,372.21324968,157.66990746,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,744.42649936,157.66990746,0.0,0.0,0.0
13,1603160,Arco city,0.0,0.0,7490.91095328,0.0,0.0,29.15580098,36371.38056608,0.0,0.0,0.0,0.0,0,0.0,0.0,3745.45547664,0.0,0.0,14.57790049,18185.69028304,0.0,0.0,0.0,0.0,0,0.0,0.0,11547.9191152,0.0,0.0,29.15580098,36371.38056608,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,15868.21474122,867.251882,0.0,469.46045586,0.0,0,0,0,0,0,0.0,0.0,7934.10737061,867.251882,0.0,469.46045586,0.0,0,0,0,0,0,0.0,0.0,15868.21474122,867.251882,0.0,469.46045586,0.0
14,1613780,Challis city,0.0,0.0,5828.05155568,0.0,2367.63571068,310.00107512,56618.3225753,0.0,0.0,0.0,0.0,0,0.0,0.0,2914.02577784,0.0,1183.81785534,155.00053756,28309.16128765,0.0,0.0,0.0,0.0,0,0.0,0.0,5828.05155568,0.0,2367.63571068,310.00107512,56618.3225753,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,23481.80546637,2531.29928033,4204.15146555,0.0,0.0,0,0,0,0,0,0.0,0.0,11914.59505191,2531.29928033,4204.15146555,0.0,0.0,0,0,0,0,0,0.0,0.0,23481.80546637,2531.29928033,4204.15146555,0.0,0.0
