,GEOID,NAMELSAD,motorway,trunk,primary,secondary,tertiary,unclassified,residential,service,track,footway,cycleway,living_street,cl_motorway,cl_trunk,cl_primary,cl_secondary,cl_tertiary,cl_unclassified,cl_residential,cl_service,cl_track,cl_footway,cl_cycleway,cl_living_street,lane_m_motorway,lane_m_trunk,lane_m_primary,lane_m_secondary,lane_m_tertiary,lane_m_unclassified,lane_m_residential,lane_m_service,lane_m_track,lane_m_footway,lane_m_cycleway,lane_m_living_street,n_motorway,n_trunk,n_primary,n_secondary,n_tertiary,n_unclassified,n_residential,n_service,n_track,n_footway,n_cycleway,n_living_street,n_cl_motorway,n_cl_trunk,n_cl_primary,n_cl_secondary,n_cl_tertiary,n_cl_unclassified,n_cl_residential,n_cl_service,n_cl_track,n_cl_footway,n_cl_cycleway,n_cl_living_street,n_lane_m_motorway,n_lane_m_trunk,n_lane_m_primary,n_lane_m_secondary,n_lane_m_tertiary,n_lane_m_unclassified,n_lane_m_residential,n_lane_m_service,n_lane_m_track,n_lane_m_footway,n_lane_m_cycleway,n_lane_m_living_street
0,1769212,Sheldon village,0.0,112.12406378,19.4300778,0.0,0.0,6428.46325126,36514.06520774,0.0,0.0,0.0,0.0,0.0,0.0,112.12406377999999,9.7150389,0.0,0.0,3214.23162563,18257.03260387,0.0,0.0,0.0,0.0,0.0,0.0,224.24812756,19.4300778,0.0,0.0,6428.46325126,36514.06520774,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,3876.33433988,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,1938.16716994,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,3876.33433988,0.0,0.0,0.0,0.0
1,1739077,Karnak village,0.0,0.0,0.0,5068.73263616,2505.47241842,5466.54830042,19506.11524086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2534.36631808,1252.73620921,2733.27415021,9753.05762043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5068.73263616,2505.47241842,5466.54830042,19506.11524086,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,5311.38874986,434.97438619,0.0,2727.16260151,0.0,0,0,0,0.0,0.0,0.0,0.0,2655.69437493,434.97438619,0.0,2727.16260151,0.0,0,0,0,0.0,0.0,0.0,0.0,5311.38874986,434.97438619,0.0,2727.16260151,0.0
2,1750751,Mound City city,0.0,0.0,4248.97152956,0.0,0.0,686.52016022,33747.21563226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2124.48576478,0.0,0.0,343.26008011,16873.60781613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4248.97152956,0.0,0.0,686.52016022,33747.21563226,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,652.929626,106.55051161,82.71720183,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,326.464813,106.55051161,82.71720183,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,652.929626,106.55051161,82.71720183,0.0,0.0
3,1752467,New Grand Chain village,0.0,0.0,3197.7976883,0.0,1712.52538672,0.0,16748.28024162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1598.89884415,0.0,856.26269336,0.0,8374.14012081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3197.7976883,0.0,1712.52538672,0.0,16748.28024162,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,1121.98584088,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,560.99292044,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,1121.98584088,0.0,0.0,0.0,0.0
4,1755899,Olmsted village,0.0,0.0,7934.72589736,0.0,6650.53754372,9332.15589256,22320.1387314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3967.36294868,0.0,3325.26877186,4666.07794628,11160.0693657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7934.72589736,0.0,6650.53754372,9332.15589256,22320.1387314,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,6467.581463179999,1172.55034892,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,3233.79073159,1172.55034892,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,6467.581463179999,1172.55034892,0.0,0.0,0.0
5,1762211,Pulaski village,0.0,0.0,0.0,5115.181449799999,0.0,1726.76431834,16990.31546844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2557.5907249,0.0,863.38215917,8495.15773422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5115.181449799999,0.0,1726.76431834,16990.31546844,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,2566.5854165,194.36616372,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,1283.29270825,194.36616372,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,2566.5854165,194.36616372,0.0,0.0,0.0
6,1704689,Belgium village,0.0,0.0,992.75211728,0.0,0.0,0.0,13554.30145828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,529.86056582,0.0,0.0,0.0,6777.15072914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1985.50423456,0.0,0.0,0.0,13554.30145828,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,3164.29005602,0.0,2997.2152418,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,1582.14502801,0.0,2997.2152418,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,3164.29005602,0.0,2997.2152418,0.0,0.0
7,1706184,Bismarck village,0.0,0.0,0.0,0.0,0.0,0.0,21106.12222566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10553.06111283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21106.12222566,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,6981.6560333200005,0.0,2337.91160543,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,3490.82801666,0.0,2337.9116054300002,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,6981.6560333200005,0.0,2337.91160543,0.0,0.0
8,1724985,Fairmount village,0.0,0.0,0.0,0.0,2160.60880194,395.08149688000003,19271.76033192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1080.30440097,197.54074844000002,9635.88016596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2160.60880194,395.08149688000003,19271.76033192,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,4226.7420839,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,2113.37104195,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,4226.7420839,0.0,0.0,0.0,0.0
9,1776615,Ullin village,3899.78562683,0.0,0.0,13331.00453164,1836.8287427,5091.46758278,24099.77305282,0.0,0.0,0.0,0.0,0.0,3899.78562683,0.0,0.0,6680.16274697,918.41437135,2545.73379139,12049.88652641,0.0,0.0,0.0,0.0,0.0,7799.57125366,0.0,0.0,13331.00453164,1836.8287427,5091.46758278,24099.77305282,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,6759.42299103,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,3401.87592317,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,6759.42299103,0.0,0.0,0.0,0.0
