,GEOID,NAMELSAD,motorway,trunk,primary,secondary,tertiary,unclassified,residential,service,track,footway,cycleway,living_street,cl_motorway,cl_trunk,cl_primary,cl_secondary,cl_tertiary,cl_unclassified,cl_residential,cl_service,cl_track,cl_footway,cl_cycleway,cl_living_street,lane_m_motorway,lane_m_trunk,lane_m_primary,lane_m_secondary,lane_m_tertiary,lane_m_unclassified,lane_m_residential,lane_m_service,lane_m_track,lane_m_footway,lane_m_cycleway,lane_m_living_street,n_motorway,n_trunk,n_primary,n_secondary,n_tertiary,n_unclassified,n_residential,n_service,n_track,n_footway,n_cycleway,n_living_street,n_cl_motorway,n_cl_trunk,n_cl_primary,n_cl_secondary,n_cl_tertiary,n_cl_unclassified,n_cl_residential,n_cl_service,n_cl_track,n_cl_footway,n_cl_cycleway,n_cl_living_street,n_lane_m_motorway,n_lane_m_trunk,n_lane_m_primary,n_lane_m_secondary,n_lane_m_tertiary,n_lane_m_unclassified,n_lane_m_residential,n_lane_m_service,n_lane_m_track,n_lane_m_footway,n_lane_m_cycleway,n_lane_m_living_street
0,1828494,Grabill town,0.0,0.0,0.0,2213.0173737,1738.80724066,371.30054229999996,20974.36537373,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1106.50868685,869.40362033,185.65027114999998,10541.79063955,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2213.0173737,1738.80724066,371.30054229999996,20974.36537373,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,16296.5582274,0.0,1668.46047842,0.0,0.0,0,0,0,0,0,0.0,0.0,8426.77298593,0.0,1668.46047842,0.0,0.0,0,0,0,0,0,0.0,0.0,16296.5582274,0.0,1668.46047842,0.0,0.0
1,1868832,Seymour city,1543.85487345,0.0,18083.22284841,17098.82991151,11189.09990626,33866.06384347,335241.00521856,0.0,0,0.0,0.0,0.0,1543.85487345,0.0,10518.55225749,8567.80866057,5751.3661222,17221.04149743,170280.49546546,0.0,0,0.0,0.0,0.0,2820.04422936,0.0,33448.01624494,17098.82991151,11189.09990626,33866.06384347,670482.01043712,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,189055.17651219,50.32715446,3810.48088829,0.0,0.0,0,0,0,0,0,0.0,0.0,95927.29272035,50.32715446,3810.48088829,0.0,0.0,0,0,0,0,0,0.0,0.0,189055.17651219,50.32715446,3810.48088829,0.0,0.0
2,1829898,Greenwood city,22874.43936018,0.0,49054.30941246,78211.26925512,90363.06346772,14597.12916415,689191.43727844,0.0,0,0.0,0.0,0.0,22874.43936018,0.0,33825.23250871,49008.43052628,46834.28099297,7538.03282977,350563.18800318,0.0,0,0.0,0.0,0.0,55022.65774406,0.0,104331.1102582,91888.8420518,92011.3461637,14597.12916415,689242.36778743,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,682178.08199842,987.59967143,438435.41210784,37140.27051029,0.0,0,0,0,0,0,0.0,0.0,357100.2217036,987.59967143,438319.81763184,34624.6155411,0.0,0,0,0,0,0,0.0,0.0,682655.10048251,987.59967143,438435.41210784,37140.27051029,0.0
3,1815652,Crane town,0.0,0.0,0.0,8.487097819999999,764.47618228,0.0,8278.5906244,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,4.2435489099999995,382.23809114,0.0,4139.2953122,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,8.487097819999999,764.47618228,0.0,8278.5906244,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,545.61892822,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,272.80946411,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,545.61892822,0.0,0.0,0.0,0.0
4,1869552,Shoals town,0.0,0.0,8014.64678738,0.0,0.0,0.0,37596.05549172,0.0,0,0.0,0.0,0.0,0.0,0.0,4007.32339369,0.0,0.0,0.0,18798.02774586,0.0,0,0.0,0.0,0.0,0.0,0.0,9863.25633998,0.0,0.0,0.0,37596.05549172,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,5744.383636850001,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,3194.71382339,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,5744.383636850001,0.0,0.0,0.0,0.0
5,1852002,Napoleon town,0.0,0.0,2177.9045935599997,1991.00559084,396.58227686,437.71487998,5410.8264766,0.0,0,0.0,0.0,0.0,0.0,0.0,1088.95229678,995.50279542,198.29113843,218.85743999000002,2705.4132383,0.0,0,0.0,0.0,0.0,0.0,0.0,2177.9045935599997,1991.00559084,396.58227686,437.71487998,5410.8264766,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,7870.65738432,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,3935.32869216,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,7870.65738432,0.0,0.0,0.0,0.0
6,1807966,Brook town,0.0,0.0,0.0,3354.98879762,0.0,39.74133432,22628.16794368,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1677.49439881,0.0,19.87066716,11314.08397184,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,3354.98879762,0.0,39.74133432,22628.16794368,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,18481.35173642,415.63069689,1045.05536786,0.0,0.0,0,0,0,0,0,0.0,0.0,9240.67586821,415.63069689,1045.05536786,0.0,0.0,0,0,0,0,0,0.0,0.0,18481.35173642,415.63069689,1045.05536786,0.0,0.0
7,1801954,Arcadia town,0.0,0.0,0.0,1601.94893784,3253.88034284,0.0,29118.20164078,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,800.9744689199999,1626.94017142,0.0,14589.24270357,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1601.94893784,3253.88034284,0.0,29118.20164078,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,17116.72605886,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,8677.45498694,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,17116.72605886,0.0,0.0,0.0,0.0
8,1839546,Kentland town,0.0,4302.54694664,5491.66760744,0.0,0.0,0.0,51490.57459327,0.0,0,0.0,0.0,0.0,0.0,4302.54694664,2745.83380372,0.0,0.0,0.0,26412.194645390002,0.0,0,0.0,0.0,0.0,0.0,8605.09389328,5775.94232098,0.0,0.0,0.0,51490.57459327,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,34891.98885651,231.24396515,13404.09281121,0.0,0.0,0,0,0,0,0,0.0,0.0,17831.23555994,231.24396515,13404.09281121,0.0,0.0,0,0,0,0,0,0.0,0.0,34891.98885651,231.24396515,13404.09281121,0.0,0.0
9,1851336,Mount Ayr town,0.0,0.0,0.0,2515.1999067,0.0,0.0,7130.78304472,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1257.59995335,0.0,0.0,3565.39152236,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2515.1999067,0.0,0.0,7130.78304472,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,894.4670238799999,0.0,471.30008068,0.0,0.0,0,0,0,0,0,0.0,0.0,447.23351193999997,0.0,471.30008068,0.0,0.0,0,0,0,0,0,0.0,0.0,894.4670238799999,0.0,471.30008068,0.0,0.0
