,GEOID,NAMELSAD,motorway,trunk,primary,secondary,tertiary,unclassified,residential,service,track,footway,cycleway,living_street,cl_motorway,cl_trunk,cl_primary,cl_secondary,cl_tertiary,cl_unclassified,cl_residential,cl_service,cl_track,cl_footway,cl_cycleway,cl_living_street,lane_m_motorway,lane_m_trunk,lane_m_primary,lane_m_secondary,lane_m_tertiary,lane_m_unclassified,lane_m_residential,lane_m_service,lane_m_track,lane_m_footway,lane_m_cycleway,lane_m_living_street,n_motorway,n_trunk,n_primary,n_secondary,n_tertiary,n_unclassified,n_residential,n_service,n_track,n_footway,n_cycleway,n_living_street,n_cl_motorway,n_cl_trunk,n_cl_primary,n_cl_secondary,n_cl_tertiary,n_cl_unclassified,n_cl_residential,n_cl_service,n_cl_track,n_cl_footway,n_cl_cycleway,n_cl_living_street,n_lane_m_motorway,n_lane_m_trunk,n_lane_m_primary,n_lane_m_secondary,n_lane_m_tertiary,n_lane_m_unclassified,n_lane_m_residential,n_lane_m_service,n_lane_m_track,n_lane_m_footway,n_lane_m_cycleway,n_lane_m_living_street
0,1955785,New Albin city,0.0,0.0,1880.51802438,0.0,0.0,0.0,15692.89725872,0.0,0.0,0.0,0.0,0,0.0,0.0,940.25901219,0.0,0.0,0.0,7846.44862936,0.0,0.0,0.0,0.0,0,0.0,0.0,1880.51802438,0.0,0.0,0.0,15692.89725872,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,5013.7664159099995,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,2530.07693132,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,5013.7664159099995,0.0,0.0,0.0,0.0
1,1969285,Russell city,0.0,0.0,0.0,9121.00189538,1676.3111515199998,0.0,25578.2929288,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,4560.5009476899995,838.1555757599999,0.0,12789.1464644,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,9121.00189538,1676.3111515199998,0.0,25578.2929288,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,456.24925745999997,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,228.12462872999998,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,456.24925745999997,0.0,0.0,0.0,0.0
2,1935580,Hazleton city,0.0,0.0,3394.64371368,1401.05433886,1408.91364816,0.0,15433.39389352,0.0,0.0,0.0,0.0,0,0.0,0.0,1697.32185684,700.52716943,704.45682408,0.0,7716.69694676,0.0,0.0,0.0,0.0,0,0.0,0.0,3394.64371368,1401.05433886,1408.91364816,0.0,15433.39389352,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,10559.56567258,0.0,455.79898938,0.0,0.0,0,0,0,0,0,0.0,0.0,5279.78283629,0.0,455.79898937999997,0.0,0.0,0,0,0,0,0,0.0,0.0,10559.56567258,0.0,455.79898938,0.0,0.0
3,1939900,Jolley city,0.0,0.0,0.0,900.49267498,0.0,0.0,5679.79332356,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,450.24633749,0.0,0.0,2839.89666178,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,900.49267498,0.0,0.0,5679.79332356,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,517.35495236,185.41926469,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,258.67747618,185.41926469,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,517.35495236,185.41926469,0.0,0.0,0.0
4,1942465,Lake City city,0.0,0.0,9242.76691274,9504.8464607,817.11865238,0.0,84044.69357481,0.0,0.0,0.0,0.0,0,0.0,0.0,4621.38345637,4752.42323035,408.55932619,0.0,42072.82551943,0.0,0.0,0.0,0.0,0,0.0,0.0,9242.76691274,9504.8464607,817.11865238,0.0,84044.69357481,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,18237.34805656,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,9118.67402828,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,18237.34805656,0.0,0.0,0.0,0.0
5,1946245,Lohrville city,0.0,0.0,5577.1190359,2413.99549866,811.91251392,0.0,23851.38165358,0.0,0.0,0.0,0.0,0,0.0,0.0,2788.55951795,1206.99774933,405.95625696,0.0,11925.69082679,0.0,0.0,0.0,0.0,0,0.0,0.0,5577.1190359,2413.99549866,811.91251392,0.0,23851.38165358,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,6205.30539746,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,3102.65269873,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,6205.30539746,0.0,0.0,0.0,0.0
6,1948990,Manson city,0.0,0.0,6520.83881742,5922.17509488,0.0,4792.1119081,53027.71023918,0.0,0.0,0.0,0.0,0,0.0,0.0,3260.41940871,2961.08754744,0.0,2396.05595405,26610.102827,0.0,0.0,0.0,0.0,0,0.0,0.0,6520.83881742,5922.17509488,0.0,4792.1119081,53027.71023918,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,21324.88622118,0.0,317.35486338,0.0,0.0,0,0,0,0,0,0.0,0.0,10662.44311059,0.0,317.35486338,0.0,0.0,0,0,0,0,0,0.0,0.0,21324.88622118,0.0,317.35486338,0.0,0.0
7,1964065,Pomeroy city,0.0,0.0,3826.36842816,0.0,9915.12839608,0.0,38213.0832771,0.0,0.0,0.0,0.0,0,0.0,0.0,1913.18421408,0.0,4957.5641980400005,0.0,19106.54163855,0.0,0.0,0.0,0.0,0,0.0,0.0,3826.36842816,0.0,9915.12839608,0.0,38213.0832771,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,12365.91922698,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,6182.95961349,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,12365.91922698,0.0,0.0,0.0,0.0
8,1907030,Bloomfield city,0.0,8036.34288758,523.32508828,8019.71755364,7704.65085158,0.0,78676.19567598,0.0,0.0,0.0,0.0,0,0.0,4018.17144379,261.66254414,4009.85877682,3852.3254257900003,0.0,39338.09783799,0.0,0.0,0.0,0.0,0,0.0,11740.321352320001,523.32508828,8019.71755364,7704.65085158,0.0,78676.19567598,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,7060.74360568,0.0,38.1338257,4.56031221,0.0,0,0,0,0,0,0.0,0.0,3530.37180284,0.0,38.1338257,4.56031221,0.0,0,0,0,0,0,0.0,0.0,7060.74360568,0.0,38.1338257,4.56031221,0.0
9,1949215,Maquoketa city,15545.68790036,0.0,8973.16969104,14856.09714214,20131.01862044,2251.83605454,91628.14940396,0.0,0.0,0.0,0.0,0,15545.68790036,0.0,4897.18920014,7428.04857107,10065.50931022,1125.91802727,45862.20644328,0.0,0.0,0.0,0.0,0,31091.37580072,0.0,8973.16969104,14856.09714214,20131.01862044,2251.83605454,91628.14940396,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,62246.72618631,0.0,3794.4673264900002,6162.87182576,0.0,0,0,0,0,0,0.0,0.0,31775.47240861,0.0,3794.46732649,5848.02314255,0.0,0,0,0,0,0,0.0,0.0,62246.72618631,0.0,3794.4673264900002,6162.87182576,0.0
