,GEOID,NAMELSAD,motorway,trunk,primary,secondary,tertiary,unclassified,residential,service,track,footway,cycleway,living_street,cl_motorway,cl_trunk,cl_primary,cl_secondary,cl_tertiary,cl_unclassified,cl_residential,cl_service,cl_track,cl_footway,cl_cycleway,cl_living_street,lane_m_motorway,lane_m_trunk,lane_m_primary,lane_m_secondary,lane_m_tertiary,lane_m_unclassified,lane_m_residential,lane_m_service,lane_m_track,lane_m_footway,lane_m_cycleway,lane_m_living_street,n_motorway,n_trunk,n_primary,n_secondary,n_tertiary,n_unclassified,n_residential,n_service,n_track,n_footway,n_cycleway,n_living_street,n_cl_motorway,n_cl_trunk,n_cl_primary,n_cl_secondary,n_cl_tertiary,n_cl_unclassified,n_cl_residential,n_cl_service,n_cl_track,n_cl_footway,n_cl_cycleway,n_cl_living_street,n_lane_m_motorway,n_lane_m_trunk,n_lane_m_primary,n_lane_m_secondary,n_lane_m_tertiary,n_lane_m_unclassified,n_lane_m_residential,n_lane_m_service,n_lane_m_track,n_lane_m_footway,n_lane_m_cycleway,n_lane_m_living_street
0,2016025,Courtland city,0.0,0.0,0.0,2440.20215106,0.0,0.0,14313.44165758,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1220.10107553,0.0,0.0,7156.72082879,0.0,0.0,0.0,0,0,0.0,0.0,0.0,2440.20215106,0.0,0.0,14313.44165758,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,4584.04481004,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,2292.02240502,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,4584.04481004,0.0,0.0,0.0,0.0
1,2039500,Leonardville city,0.0,0.0,3236.29666514,0.0,310.2031899,904.43910862,13192.86850382,0.0,0.0,0.0,0,0,0.0,0.0,1618.14833257,0.0,155.10159495,452.21955431000004,6596.43425191,0.0,0.0,0.0,0,0,0.0,0.0,3236.29666514,0.0,310.2031899,904.43910862,13192.86850382,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,7217.2947938,0.0,148.99656772,0.0,0.0,0,0,0,0,0,0.0,0.0,3608.6473969,0.0,148.99656772,0.0,0.0,0,0,0,0,0,0.0,0.0,7217.2947938,0.0,148.99656772,0.0,0.0
2,2052275,Ogden city,6705.25525487,0.0,0.0,0.0,12544.41270202,0.0,34526.23064241,0.0,0.0,0.0,0,0,6705.25525487,0.0,0.0,0.0,6272.20635101,0.0,17427.97985165,0.0,0.0,0.0,0,0,10681.92953204,0.0,0.0,0.0,23225.10486251,0.0,34526.23064241,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,12558.53062402,762.6786510300001,513.19377558,0.0,0.0,0,0,0,0,0,0.0,0.0,6279.26531201,762.6786510300001,513.19377558,0.0,0.0,0,0,0,0,0,0.0,0.0,12558.53062402,762.6786510300001,513.19377558,0.0,0.0
3,2059875,Riley city,0.0,0.0,160.56044872,0.0,5109.45420372,0.0,25081.35609737,0.0,0.0,0.0,0,0,0.0,0.0,80.28022436,0.0,2554.72710186,0.0,12604.24469887,0.0,0.0,0.0,0,0,0.0,0.0,160.56044872,0.0,5109.45420372,0.0,25081.35609737,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,10193.79693944,0.0,1024.15554702,0.0,0.0,0,0,0,0,0,0.0,0.0,5096.89846972,0.0,1024.15554702,0.0,0.0,0,0,0,0,0,0.0,0.0,10193.79693944,0.0,1024.15554702,0.0,0.0
4,2052200,Offerle city,0.0,1792.56076424,0.0,0.0,3152.54030628,0.0,10279.39210978,0.0,0.0,0.0,0,0,0.0,896.28038212,0.0,0.0,1576.27015314,0.0,5139.69605489,0.0,0.0,0.0,0,0,0.0,1792.56076424,0.0,0.0,3152.54030628,0.0,10279.39210978,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,4965.12378458,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,2482.56189229,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,4965.12378458,0.0,0.0,0.0,0.0
5,2015475,Copeland city,0.0,0.0,1930.11105608,0.0,929.7683697,217.75299606,19648.21584964,0.0,0.0,0.0,0,0,0.0,0.0,965.05552804,0.0,464.88418485,108.87649803,9824.10792482,0.0,0.0,0.0,0,0,0.0,0.0,3483.51935546,0.0,929.7683697,217.75299606,19648.21584964,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,2563.30201738,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,1281.65100869,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,2563.30201738,0.0,0.0,0.0,0.0
6,2015400,Coolidge city,0.0,3541.10153526,0.0,0.0,2034.68453538,838.69474922,8912.67013734,0.0,0.0,0.0,0,0,0.0,1770.55076763,0.0,0.0,1017.34226769,419.34737461,4456.33506867,0.0,0.0,0.0,0,0,0.0,3541.10153526,0.0,0.0,2034.68453538,838.69474922,8912.67013734,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,6355.31329454,1058.8164502700001,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,3177.65664727,1058.81645027,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,6355.31329454,1058.8164502700001,0.0,0.0,0.0
7,2053525,Otis city,0.0,0.0,0.0,2152.946091,1931.71117132,4.66041742,14511.77137498,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1076.4730455,965.85558566,2.33020871,7255.88568749,0.0,0.0,0.0,0,0,0.0,0.0,0.0,2152.946091,1931.71117132,4.66041742,14511.77137498,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,7106.77322672,0.0,235.25262661,0.0,0.0,0,0,0,0,0,0.0,0.0,3553.38661336,0.0,235.25262661,0.0,0.0,0,0,0,0,0,0.0,0.0,7106.77322672,0.0,235.25262661,0.0,0.0
8,2014700,Coldwater city,0.0,0.0,4188.66844554,0.0,6148.0340072399995,13180.16619152,54684.76483498,0.0,0.0,0.0,0,0,0.0,0.0,2094.33422277,0.0,3074.01700362,6590.08309576,27342.38241749,0.0,0.0,0.0,0,0,0.0,0.0,5705.1060545,0.0,6148.0340072399995,13180.16619152,54684.76483498,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,59390.84986066,1362.9571742599999,10840.694714,0.0,0.0,0,0,0,0,0,0.0,0.0,29695.42493033,1362.95717426,10840.694714,0.0,0.0,0,0,0,0,0,0.0,0.0,59390.84986066,1362.9571742599999,10840.694714,0.0,0.0
9,2057850,Protection city,0.0,0.0,2134.02127788,0.0,5468.58608158,3237.76697006,30207.26495686,0.0,0.0,0.0,0,0,0.0,0.0,1067.01063894,0.0,2734.29304079,1618.88348503,15103.63247843,0.0,0.0,0.0,0,0,0.0,0.0,2134.02127788,0.0,5468.58608158,3237.76697006,30207.26495686,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,30186.57684284,448.87713461,8894.91705051,0.0,0.0,0,0,0,0,0,0.0,0.0,15093.28842142,448.87713461,8894.91705051,0.0,0.0,0,0,0,0,0,0.0,0.0,30186.57684284,448.87713461,8894.91705051,0.0,0.0
