,GEOID,NAMELSAD,motorway,trunk,primary,secondary,tertiary,unclassified,residential,service,track,footway,cycleway,living_street,cl_motorway,cl_trunk,cl_primary,cl_secondary,cl_tertiary,cl_unclassified,cl_residential,cl_service,cl_track,cl_footway,cl_cycleway,cl_living_street,lane_m_motorway,lane_m_trunk,lane_m_primary,lane_m_secondary,lane_m_tertiary,lane_m_unclassified,lane_m_residential,lane_m_service,lane_m_track,lane_m_footway,lane_m_cycleway,lane_m_living_street,n_motorway,n_trunk,n_primary,n_secondary,n_tertiary,n_unclassified,n_residential,n_service,n_track,n_footway,n_cycleway,n_living_street,n_cl_motorway,n_cl_trunk,n_cl_primary,n_cl_secondary,n_cl_tertiary,n_cl_unclassified,n_cl_residential,n_cl_service,n_cl_track,n_cl_footway,n_cl_cycleway,n_cl_living_street,n_lane_m_motorway,n_lane_m_trunk,n_lane_m_primary,n_lane_m_secondary,n_lane_m_tertiary,n_lane_m_unclassified,n_lane_m_residential,n_lane_m_service,n_lane_m_track,n_lane_m_footway,n_lane_m_cycleway,n_lane_m_living_street
0,2105464,Bellewood city,0.0,0.0,0.0,1129.49198478,0.0,0.0,4658.23580524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,564.74599239,0.0,0.0,2329.11790262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1129.49198478,0.0,0.0,4658.23580524,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,563.70056546,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,281.85028273,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,563.70056546,0.0,0.0,0.0,0.0
1,2103376,Bancroft city,0.0,0.0,0.0,0.0,0.0,0.0,7600.5054625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3800.25273125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7600.5054625,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,633.30057096,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,316.65028548,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,633.30057096,0.0,0.0,0.0,0.0
2,2172138,South Park View city,0.0,0.0,0.0,0.0,0.0,0.0,2617.76076726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1308.8803836299999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2667.27483003,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,6545.64660774,0.0,790.49109099,0.0,0.0,0,0,0,0.0,0,0.0,0.0,3272.82330387,0.0,790.49109099,0.0,0.0,0,0,0,0.0,0,0.0,0.0,6545.64660774,0.0,790.49109099,0.0,0.0
3,2128612,Fort Wright city,10257.28969018,2944.6588008,8440.67280884,17871.12839401,9827.48791442,1082.48226954,68175.80923476,0.0,0.0,0.0,0.0,0.0,10257.28969018,2944.6588008,4828.43391267,9288.41341249,4913.74395721,541.24113477,34237.072264,0.0,0.0,0.0,0.0,0.0,25819.83224103,6320.1717071,18617.78397017,24591.03338768,10823.62771023,1082.48226954,136192.72819977,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,84666.69479659,1601.2887785,12323.90068948,0.0,0.0,0,0,0,0.0,0,0.0,0.0,44278.44860059,1601.2887785,12323.90068948,0.0,0.0,0,0,0,0.0,0,0.0,0.0,84982.01981407,1601.2887785,12323.90068948,0.0,0.0
4,2179698,Villa Hills city,0.0,0.0,0.0,19602.25079908,8544.97103383,1758.10566146,97195.22766554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9801.12539954,4273.89888645,879.05283073,49182.39760092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19775.12677753,8579.03425511,1790.37477933,97195.22766554,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,36198.69005398,1064.36193673,1766.8933816800002,0.0,0.0,0,0,0,0.0,0,0.0,0.0,18481.945504620002,1064.36193673,1766.8933816800002,0.0,0.0,0,0,0,0.0,0,0.0,0.0,36219.93221271,1064.36193673,1766.8933816800002,0.0,0.0
5,2128558,Fort Mitchell city,10184.13903453,0.0,5111.59937423,5662.6973348,2035.64654209,223.47146584,82253.06684311,0.0,0.0,0.0,0.0,0.0,10184.13903453,0.0,2752.55409636,2831.3486674,1039.66469469,111.73573292,41901.96539414,0.0,0.0,0.0,0.0,0.0,27082.394994405,0.0,10936.39260523,7425.34608724,2055.97294375,223.47146584,82613.16760262,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,90140.74465012,0.0,2085.58059912,0.0,0.0,0,0,0,0.0,0,0.0,0.0,46341.89207832,0.0,2085.58059912,0.0,0.0,0,0,0,0.0,0,0.0,0.0,179317.06804368,0.0,2085.58059912,0.0,0.0
6,2123932,Edgewood city,842.48485885,424.11462491,1964.08596934,3462.07408328,16130.666652,3854.44700434,107330.91030854,0.0,0.0,0.0,0.0,0.0,842.4848588499999,424.11462491,1039.33485832,1824.23388521,8065.333326,2052.20355629,54334.40049123,0.0,0.0,0.0,0.0,0.0,1262.04994863,1066.966687,4064.03284306,7758.61649079,17629.41795385,7506.22052401,214515.87722153,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,86200.86686824,1659.73146084,10712.28010004,0.0,0.0,0,0,0,0.0,0,0.0,0.0,45728.75523617,1659.73146084,10712.28010004,0.0,0.0,0,0,0,0.0,0,0.0,0.0,86368.91214773,1659.73146084,10712.28010004,0.0,0.0
7,2139142,Independence city,0.0,11195.94960179,0.0,63187.0361975,46694.7412193,25395.05711218,276729.77147346,0.0,0.0,0.0,0.0,0.0,0.0,8783.39687196,0.0,31593.51809875,23372.80399867,12697.52855609,140171.8242729,0.0,0.0,0.0,0.0,0.0,0.0,24281.42814728,0.0,72083.31907207,47736.17373116,38092.58566827,277559.58666973,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,229977.56345274,3613.0163937999996,19727.57236028,548.5415460300001,0.0,0,0,0,0.0,0,0.0,0.0,118402.38698466,3613.0163937999996,19727.57236028,548.5415460300001,0.0,0,0,0,0.0,0,0.0,0.0,230950.09485245,3613.0163937999996,19727.57236028,548.5415460300001,0.0
8,2167602,Ryland Heights city,0.0,0.0,0.0,14410.21080286,21714.95060812,6023.98788314,25543.47649588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7205.10540143,10857.475304059999,3011.99394157,12771.73824794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14410.21080286,21714.95060812,6023.98788314,25543.47649588,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,47431.73141615,2001.30620058,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,23801.44707762,2001.30620058,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,47444.58901284,2001.30620058,0.0,0.0,0.0
9,2113492,Cave City city,10525.9829452,0.0,13599.789358099999,10896.67876678,2316.68895524,6873.417460760001,59354.44736974,0.0,0.0,0.0,0.0,0.0,10525.9829452,0.0,6799.89467905,5448.33938339,1158.34447762,3436.7087303800004,29677.22368487,0.0,0.0,0.0,0.0,0.0,31577.9488356,0.0,13599.789358099999,10896.67876678,2316.68895524,6873.417460760001,59354.44736974,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,22907.540143,300.4545495,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,11548.193662759999,300.4545495,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,22907.540143,300.4545495,0.0,0.0,0.0
10,2159232,Park City city,3998.54068525,0.0,7593.10948588,1985.9791964199999,0.0,1611.21928824,21434.47705546,0.0,0.0,0.0,0.0,0.0,3998.54068525,0.0,3796.5547429400003,992.9895982099999,0.0,805.60964412,10717.23852773,0.0,0.0,0.0,0.0,0.0,9871.68549517,0.0,7593.10948588,1985.9791964199999,0.0,1611.21928824,21434.47705546,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,5469.6932556,0.0,435.56132734,1065.80126572,0.0,0,0,0,0.0,0,0.0,0.0,2734.8466278,0.0,435.56132734,1065.80126572,0.0,0,0,0,0.0,0,0.0,0.0,5469.6932556,0.0,435.56132734,1065.80126572,0.0
11,2111098,Burkesville city,0.0,6505.19564709,2706.00564788,0.0,7749.03605,0.0,44068.82755505,0.0,0.0,0.0,0.0,0.0,0.0,3466.50497135,1353.00282394,0.0,3874.518025,0.0,22124.68396144,0.0,0.0,0.0,0.0,0.0,0.0,6505.19564709,2706.00564788,0.0,7749.03605,0.0,44249.36792288,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,23155.60988926,792.08256812,1415.20703417,0.0,0.0,0,0,0,0.0,0,0.0,0.0,12514.6789931,792.08256812,1415.20703417,0.0,0.0,0,0,0,0.0,0,0.0,0.0,23155.60988926,792.08256812,1415.20703417,0.0,0.0
12,2154084,Mount Sterling city,4821.81265094,12132.39847232,20647.853287179998,3591.55472234,6998.84298725,9557.71506437,101665.01242935,483.22145848,0.0,0.0,0.0,0.0,4821.81265094,10002.76044249,10980.60169113,1795.77736117,3626.38078062,4846.16586787,51065.24354663,241.61072924,0.0,0.0,0.0,0.0,8540.56872777,20010.74983999,20867.49186395,3591.55472234,6998.84298725,9557.71506437,101665.01242935,483.22145848,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,33393.45783121,0.0,19.13747622,0.0,0.0,0,0,0,0.0,0,0.0,0.0,17816.69262659,0.0,19.13747622,0.0,0.0,0,0,0,0.0,0,0.0,0.0,33393.45783121,0.0,19.13747622,0.0,0.0
