,GEOID,NAMELSAD,motorway,trunk,primary,secondary,tertiary,unclassified,residential,service,track,footway,cycleway,living_street,cl_motorway,cl_trunk,cl_primary,cl_secondary,cl_tertiary,cl_unclassified,cl_residential,cl_service,cl_track,cl_footway,cl_cycleway,cl_living_street,lane_m_motorway,lane_m_trunk,lane_m_primary,lane_m_secondary,lane_m_tertiary,lane_m_unclassified,lane_m_residential,lane_m_service,lane_m_track,lane_m_footway,lane_m_cycleway,lane_m_living_street,n_motorway,n_trunk,n_primary,n_secondary,n_tertiary,n_unclassified,n_residential,n_service,n_track,n_footway,n_cycleway,n_living_street,n_cl_motorway,n_cl_trunk,n_cl_primary,n_cl_secondary,n_cl_tertiary,n_cl_unclassified,n_cl_residential,n_cl_service,n_cl_track,n_cl_footway,n_cl_cycleway,n_cl_living_street,n_lane_m_motorway,n_lane_m_trunk,n_lane_m_primary,n_lane_m_secondary,n_lane_m_tertiary,n_lane_m_unclassified,n_lane_m_residential,n_lane_m_service,n_lane_m_track,n_lane_m_footway,n_lane_m_cycleway,n_lane_m_living_street
0,2222465,East Hodge village,0.0,0.0,0.0,0.0,0.0,0.0,11418.618830880001,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,5709.3094154400005,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,11418.618830880001,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,60.71369743,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,60.71369743,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,60.71369743,0.0,0.0,0.0
1,2230830,Grand Isle town,0.0,0.0,0.0,32659.72685602,10884.4461414,16461.46369861,82084.31095907,0.0,0.0,0.0,0,0,0.0,0.0,0.0,16329.86342801,5442.2230707,9270.60596909,41354.88740033,0.0,0.0,0.0,0,0,0.0,0.0,0.0,32659.72685602,10884.4461414,16461.46369861,82084.31095907,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,22233.0727046,10946.50203345,1417.54414072,0.0,0.0,0,0,0,0,0.0,0,0.0,11569.73260187,10946.50203345,1417.54414072,0.0,0.0,0,0,0,0,0.0,0,0.0,22233.0727046,10946.50203345,1417.54414072,0.0,0.0
2,2239685,Killian town,0.0,0.0,15168.38711628,0.0,6848.28027488,2600.34859164,68584.58269873999,0.0,0.0,0.0,0,0,0.0,0.0,7584.19355814,0.0,3424.14013744,1300.17429582,34292.291349369996,0.0,0.0,0.0,0,0,0.0,0.0,15168.38711628,0.0,6848.28027488,2600.34859164,68584.58269873999,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,37525.54617931,4410.38800669,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,18783.77353861,4410.38800669,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,37525.54617931,4410.38800669,0.0,0.0,0.0
3,2230550,Gramercy town,0.0,3830.4048759400002,0.0,5461.30055706,14455.08261826,267.5779133,55989.28421534,0.0,0.0,0.0,0,0,0.0,3703.16852377,0.0,2730.65027853,7227.54130913,133.78895665,27994.64210767,0.0,0.0,0.0,0,0,0.0,7660.8097518800005,0.0,5461.30055706,14455.08261826,267.5779133,55989.28421534,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,13805.76307672,2982.27979048,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,6902.88153836,2982.27979048,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,13805.76307672,2982.27979048,0.0,0.0,0.0
4,2246720,Lutcher town,0.0,3426.1642651800003,0.0,5429.61373634,8079.30269935,0.0,64419.22697418,0.0,0.0,0.0,0,0,0.0,3392.66746492,0.0,2714.80686817,4654.76439633,0.0,32672.5490396,0.0,0.0,0.0,0,0,0.0,6852.3285303600005,0.0,5429.61373634,8079.30269935,0.0,64419.22697418,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,15297.16415645,1339.9785735799999,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,7755.18476534,1339.97857358,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,15297.16415645,1339.9785735799999,0.0,0.0,0.0
5,2218125,Covington city,0.0,0.0,23059.86737402,21884.37516522,43256.69088302,711.87029423,285851.0869738,0.0,0.0,0.0,0,0,0.0,0.0,13721.64279115,13159.32646669,21828.80208799,461.05950661,143428.09686917,0.0,0.0,0.0,0,0,0.0,0.0,29089.13113599,25751.27347007,43256.69088302,711.87029423,285851.0869738,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,103383.66333149999,3.61605285,1323.83544357,5253.57059358,0.0,0,0,0,0,0.0,0,0.0,52562.077783759996,3.61605285,1323.83544357,4386.63955703,0.0,0,0,0,0,0.0,0,0.0,103383.66333149999,3.61605285,1323.83544357,5253.57059358,0.0
6,2248225,Mandeville city,3334.79551815,9797.130435,20993.65861922,10495.20615892,41797.86812448,5093.86405522,226226.0227688,0.0,0.0,0.0,0,0,3334.79551815,9797.130435,14328.31858272,10434.85115562,22661.13198986,3888.85237383,117186.1750519,0.0,0.0,0.0,0,0,5754.58243338,26509.32290021,38458.56675875,10495.20615892,41797.86812448,5093.86405522,226226.0227688,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,136015.90714689,0.0,588.53034868,9347.61327977,0.0,0,0,0,0,0.0,0,0.0,69342.8814232,0.0,588.53034868,8258.07517591,0.0,0,0,0,0,0.0,0,0.0,136015.90714689,0.0,588.53034868,9347.61327977,0.0
7,2259445,Pearl River town,13238.26197482,0.0,16147.46410712,12915.27984158,5656.5142250399995,6253.03216736,54926.65969512,0.0,0.0,0.0,0,0,13238.26197482,0.0,8206.9948908,6612.25252029,2828.25711252,3153.65695221,27507.07887017,0.0,0.0,0.0,0,0,25738.08223181,0.0,16221.76518937,25830.55968316,5656.5142250399995,6253.03216736,54926.65969512,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,39678.45634063,375.05221936,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,19999.1990118,375.05221936,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,39678.45634063,375.05221936,0.0,0.0,0.0
8,2218650,Crowley city,13740.114845659999,0.0,22226.83604738,6446.42281562,42000.45587449,3303.32191506,261259.52656628,0.0,0.0,0.0,0,0,13740.11484566,0.0,15911.0652656,3246.02406393,26101.89872375,1651.66095753,130629.76328314,0.0,0.0,0.0,0,0,27480.229691319997,0.0,28484.76702348,6446.42281562,42000.45587449,3303.32191506,261259.52656628,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,8465.37900386,104.17625981,225.00215778,0.0,0.0,0,0,0,0,0.0,0,0.0,4232.68950193,104.17625981,225.00215778,0.0,0.0,0,0,0,0,0.0,0,0.0,8465.37900386,104.17625981,225.00215778,0.0,0.0
9,2204580,Basile town,0.0,3897.09107818,0.0,2729.66218756,5081.80274494,1869.45230296,38883.37353365,0.0,0.0,0.0,0,0,0.0,1948.54553909,0.0,1364.83109378,2540.90137247,934.72615148,19668.63965038,0.0,0.0,0.0,0,0,0.0,3897.09107818,0.0,2729.66218756,5081.80274494,1869.45230296,38883.37353365,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,2282.1035927000003,371.18579657,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,1141.0517963500001,371.18579657,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,2282.1035927000003,371.18579657,0.0,0.0,0.0
10,2215465,Church Point town,0.0,0.0,6571.64606378,8364.97227934,1719.0595184,4637.1974429,90079.4148689,0.0,0.0,0.0,0,0,0.0,0.0,3310.86210153,4182.48613967,859.5297592,2318.59872145,45039.70743445,0.0,0.0,0.0,0,0,0.0,0.0,6571.64606378,8364.97227934,1719.0595184,4637.1974429,90079.4148689,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,1651.49361682,0.0,190.32226043,0.0,0.0,0,0,0,0,0.0,0,0.0,825.74680841,0.0,190.32226043,0.0,0.0,0,0,0,0,0.0,0,0.0,1651.49361682,0.0,190.32226043,0.0,0.0
11,2224460,Estherwood village,0.0,0.0,3450.55542362,6077.06052576,0.0,0.0,32290.293784460002,0.0,0.0,0.0,0,0,0.0,0.0,1725.27771181,3038.53026288,0.0,0.0,16145.14689223,0.0,0.0,0.0,0,0,0.0,0.0,3450.55542362,6077.06052576,0.0,0.0,32290.293784460002,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,1793.7242737,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,896.8621368500001,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,1793.7242737,0.0,0.0,0.0,0.0
