,GEOID,NAMELSAD,motorway,trunk,primary,secondary,tertiary,unclassified,residential,service,track,footway,cycleway,living_street,cl_motorway,cl_trunk,cl_primary,cl_secondary,cl_tertiary,cl_unclassified,cl_residential,cl_service,cl_track,cl_footway,cl_cycleway,cl_living_street,lane_m_motorway,lane_m_trunk,lane_m_primary,lane_m_secondary,lane_m_tertiary,lane_m_unclassified,lane_m_residential,lane_m_service,lane_m_track,lane_m_footway,lane_m_cycleway,lane_m_living_street,n_motorway,n_trunk,n_primary,n_secondary,n_tertiary,n_unclassified,n_residential,n_service,n_track,n_footway,n_cycleway,n_living_street,n_cl_motorway,n_cl_trunk,n_cl_primary,n_cl_secondary,n_cl_tertiary,n_cl_unclassified,n_cl_residential,n_cl_service,n_cl_track,n_cl_footway,n_cl_cycleway,n_cl_living_street,n_lane_m_motorway,n_lane_m_trunk,n_lane_m_primary,n_lane_m_secondary,n_lane_m_tertiary,n_lane_m_unclassified,n_lane_m_residential,n_lane_m_service,n_lane_m_track,n_lane_m_footway,n_lane_m_cycleway,n_lane_m_living_street
0,2360825,Presque Isle city,0.0,0.0,62018.1615679,94870.57243749,50879.42192355,53795.15658124,258162.92192228,0.0,0,0.0,0.0,0,0.0,0.0,31373.58200075,47811.06267581,25479.88467146,26897.57829062,129558.77110503,0.0,0,0.0,0.0,0,0.0,0.0,94946.78214058,96017.64730311,50955.48027107,53795.15658124,258218.70279909,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,213397.11565128,63030.91873261,31432.11723451,8739.3095039,0.0,0,0,0,0,0,0,0.0,108866.26887003,63030.91873261,31432.11723451,8739.3095039,0.0,0,0,0,0,0,0,0.0,426759.70041196,63030.91873261,31432.11723451,8739.3095039,0.0
1,2355225,Old Town city,23961.9163171,0.0,20410.1096092,58652.54066443,0.0,1238.26232352,149453.73763732,0.0,0,0.0,0.0,0,23961.9163171,0.0,10205.0548046,29473.4011057,0.0,619.13116176,75060.25199289,0.0,0,0.0,0.0,0,44659.483794219996,0.0,21082.61190266,87978.810996645,0.0,1238.26232352,224180.60645598,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,67816.61141004,22757.89921395,28528.32613423,5953.39571639,105.23687944,0,0,0,0,0,0,0.0,35696.32430891,22757.89921395,28528.32613423,3417.5806536,52.61843972,0,0,0,0,0,0,0.0,101724.91711506,22757.89921395,28528.32613423,5953.39571639,105.23687944
2,2365725,Sanford city,0.0,19003.20068994,44752.0284667,36915.17704697,69811.89399786,95072.38960996,348892.86273302,0.0,0,0.0,0.0,0,0.0,9532.2786945,23539.32550057,18616.235498179998,34955.82533504,47746.0770399,177580.82535061,0.0,0,0.0,0.0,0,0.0,21367.3970881,75716.81596616,36974.4611779,69864.17199375,95072.38960996,349177.33463562,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,724239.70428019,37823.21530068,10075.22906753,0.0,0.0,0,0,0,0,0,0,0.0,367976.21960424,37823.21530068,10075.22906753,0.0,0.0,0,0,0,0,0,0,0.0,724729.76258441,37823.21530068,10075.22906753,0.0,0.0
3,2327085,Gardiner city,8703.777901270001,0.0,17477.85666223,28987.79176175,0.0,0.0,162746.85173303,0.0,0,0.0,0.0,0,8703.77790127,0.0,8871.84088178,14644.637342600001,0.0,0.0,81721.31004382,0.0,0,0.0,0.0,0,15033.9778264,0.0,17518.22942347,28987.79176175,0.0,0.0,162746.85173303,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,45270.90685466,1974.69185506,9379.02286246,846.67616265,0.0,0,0,0,0,0,0,0.0,22635.45342733,1974.69185506,9379.02286246,846.67616265,0.0,0,0,0,0,0,0,0.0,45270.90685466,1974.69185506,9379.02286246,846.67616265,0.0
4,2382105,Westbrook city,490.99791672,5073.211742930001,21443.91188693,30081.18749659,44149.25834817,364.49015908999996,217155.90224325,0.0,0,0.0,0.0,0,490.99791672,5026.51197105,12580.49650744,16795.46718436,22203.87816686,237.6398131,109452.04506866,0.0,0,0.0,0.0,0,490.99791672,9872.32554286,25566.20392064,33239.87355688,44264.78819843,728.9803181799999,217296.54764859,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,232217.77791982,864.6489515400001,5849.86632764,801.3428793699999,0.0,0,0,0,0,0,0,0.0,118692.93319329,864.64895154,5849.86632764,801.34287937,0.0,0,0,0,0,0,0,0.0,232293.00013518,864.6489515400001,5849.86632764,801.3428793699999,0.0
5,2360545,Portland city,54130.28148808,1529.23486296,62037.67944136,76694.69543021,64501.39560975,24792.71957461,623882.28745415,0.0,0,0.0,0.0,0,54130.28148808,1116.62691793,38782.97514827,41664.89071266,34152.43447217,12985.9140119,321083.78046393,0.0,0,0.0,0.0,0,95699.18339322999,2486.4335110800002,109303.48624191999,82123.87913081,66684.06590782,24792.71957461,623882.28745415,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,393368.24335683,4014.2099543199997,74770.0650041,1882.85625566,272.40482164,0,0,0,0,0,0,0.0,208275.04672502,4014.20995432,74506.3758723,1882.85625566,136.20241082,0,0,0,0,0,0,0.0,394186.80154647,4014.2099543199997,74770.0650041,1882.85625566,272.40482164
6,2371990,South Portland city,41996.90348974,3468.25261867,6005.40938482,37276.12406391,40891.52442548,25098.66892077,292213.2502326,1312.07905598,0,0.0,13.21535873,0,41448.29172423,3468.25261867,3002.70469241,23962.57716946,22616.14529352,13136.42602766,147341.07867564,656.03952799,0,0.0,13.21535873,0,74434.55749051,5516.87982277,9278.24212419,72855.76039635,41679.46389496,25098.66892077,292523.34098546,1312.07905598,0,0.0,13.21535873,0,0,0,0,0,0,0,0.0,319172.76138272,6070.27644093,36421.94263338,8512.79868706,0.0,0,0,0,0,0,0,0.0,163805.73053075,6070.27644093,36421.94263338,8512.79868706,0.0,0,0,0,0,0,0,0.0,319172.76138272,6070.27644093,36421.94263338,8512.79868706,0.0
7,2302795,Bangor city,50579.90965095,0.0,52296.72638003,24165.53946271,86870.41299676,66473.81762300999,356311.43318658,0.0,0,0.0,0.0,0,50579.90965095,0.0,27546.09374748,14295.46419493,45677.968575240004,33755.38334229,180433.00468577,0.0,0,0.0,0.0,0,83100.09669074,0.0,58134.68307139,47927.08181642,91425.01799668,66969.91852833,356358.3488411,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,396002.88464207,7882.48748299,39577.63893337,4107.64475299,0.0,0,0,0,0,0,0,0.0,206665.89875465,7882.48748299,39577.63893337,4107.64475299,0.0,0,0,0,0,0,0,0.0,792082.63946222,7882.48748299,39577.63893337,4107.64475299,0.0
8,2323200,Ellsworth city,0.0,0.0,75686.65279024,59373.58568207,12030.32609348,9072.82469624,466917.23105812,0.0,0,0.0,0.0,0,0.0,0.0,39748.55697085,29717.78927732,6015.16304674,4536.4123481199995,233458.61552906,0.0,0,0.0,0.0,0,0.0,0.0,89395.38321825,59373.58568207,12030.32609348,13609.23704436,466917.23105812,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,125131.13403822,38127.45254772,303.90173902,2557.11902636,0.0,0,0,0,0,0,0,0.0,63690.093912770004,38127.45254772,303.90173902,2557.11902636,0.0,0,0,0,0,0,0,0.0,125131.13403822,38127.45254772,303.90173902,2557.11902636,0.0
9,2302060,Auburn city,19941.24499292,0.0,49817.23434147,62706.18924331,156037.8002486,31466.86389553,501890.11437481,420.9190526,0,0.0,0.0,0,19370.01597615,0.0,35482.55470844,33863.5694649,78667.4239795,16488.7738519,251909.89251422,210.4595263,0,0.0,0.0,0,39882.48998584,0.0,93238.83607762,124494.49750471,156037.8002486,31466.86389553,501890.11437481,420.9190526,0,0.0,0.0,0,0,0,0,0,0,0,0.0,112189.256987,2005.1136759800002,5384.17680887,495.31475452,626.40220318,0,0,0,0,0,0,0.0,59644.45969326,2005.11367598,5384.17680887,495.31475452,313.20110159,0,0,0,0,0,0,0.0,112189.256987,2005.1136759800002,5384.17680887,495.31475452,626.40220318
