,GEOID,NAMELSAD,motorway,trunk,primary,secondary,tertiary,unclassified,residential,service,track,footway,cycleway,living_street,cl_motorway,cl_trunk,cl_primary,cl_secondary,cl_tertiary,cl_unclassified,cl_residential,cl_service,cl_track,cl_footway,cl_cycleway,cl_living_street,lane_m_motorway,lane_m_trunk,lane_m_primary,lane_m_secondary,lane_m_tertiary,lane_m_unclassified,lane_m_residential,lane_m_service,lane_m_track,lane_m_footway,lane_m_cycleway,lane_m_living_street,n_motorway,n_trunk,n_primary,n_secondary,n_tertiary,n_unclassified,n_residential,n_service,n_track,n_footway,n_cycleway,n_living_street,n_cl_motorway,n_cl_trunk,n_cl_primary,n_cl_secondary,n_cl_tertiary,n_cl_unclassified,n_cl_residential,n_cl_service,n_cl_track,n_cl_footway,n_cl_cycleway,n_cl_living_street,n_lane_m_motorway,n_lane_m_trunk,n_lane_m_primary,n_lane_m_secondary,n_lane_m_tertiary,n_lane_m_unclassified,n_lane_m_residential,n_lane_m_service,n_lane_m_track,n_lane_m_footway,n_lane_m_cycleway,n_lane_m_living_street
0,2447525,Loch Lynn Heights town,0.0,0.0,0.0,1465.66343118,1960.6082008,1345.24540518,13736.8007113,0.0,0.0,0.0,0,0,0.0,0.0,0.0,732.83171559,980.3041004,672.62270259,6868.40035565,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1465.66343118,1960.6082008,1345.24540518,13736.8007113,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4401.59779982,369.578827,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,2200.79889991,369.578827,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,4401.59779982,369.578827,0.0,0.0,0.0
1,2453800,Mountain Lake Park town,0.0,775.19612344,5551.313415770001,147.29384206,8893.2795942,4345.74297356,49640.08717401,0.0,0.0,0.0,0,0,0.0,387.59806172000003,2781.6622922,73.64692103,4466.98236337,2172.87148678,25348.30799305,0.0,0.0,0.0,0,0,0.0,775.19612344,5551.313415770001,147.29384206,8893.2795942,4345.74297356,49640.08717401,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,18337.20890785,1557.0002326,1381.8216471,524.7317642200001,0.0,0,0,0.0,0.0,0.0,0.0,0.0,9237.74010571,1557.0002326,1381.8216471,524.7317642200001,0.0,0,0,0.0,0.0,0.0,0.0,0.0,18337.20890785,1557.0002326,1381.8216471,524.7317642200001,0.0
2,2457650,Oakland town,0.0,11866.09150402,2210.54556943,0.0,29530.91013729,2861.79591558,38443.02738016,0.0,0.0,0.0,0,0,0.0,5983.56434891,1153.69658331,0.0,14900.80856547,1430.89795779,19339.64923075,0.0,0.0,0.0,0,0,0.0,11898.27882905,2210.54556943,0.0,29530.91013729,2861.79591558,38443.02738016,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,167.50211098,39460.06551173,990.28758034,4287.61785399,3098.07992602,0.0,0,0,0.0,0.0,0.0,0.0,83.75105549,20309.32772721,990.2875803400001,4287.61785399,3098.07992602,0.0,0,0,0.0,0.0,0.0,0.0,167.50211098,39460.06551173,990.28758034,4287.61785399,3098.07992602,0.0
3,2425800,Elkton town,339.00856372,19603.19807585,8790.96760448,25813.3607687,21970.31308481,4732.274285760001,140851.14515868,0.0,0.0,0.0,0,0,339.00856372,17630.58929937,4395.48380224,13362.39444072,11148.02779046,2953.0626885,72509.02964888,0.0,0.0,0.0,0,0,339.00856372,45464.08580648,10143.95659954,26785.32595085,22592.15351023,4994.2616012,141299.14886843,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,119.04533346,214138.13375148,257.46262404,4612.12837339,0.0,0.0,0,0,0.0,0.0,0.0,0.0,59.52266673,114004.45117073,257.46262404,4612.12837339,0.0,0.0,0,0,0.0,0.0,0.0,0.0,119.04533346,214391.48628136,257.46262404,4612.12837339,0.0,0.0
4,2466275,Rising Sun town,0.0,2153.94043256,4265.88894922,2499.69367122,774.4246058,206.72040838,30832.24432255,0.0,0.0,0.0,0,0,0.0,1076.97021628,2132.94447461,1249.84683561,387.2123029,103.36020419,15474.8172324,0.0,0.0,0.0,0,0,0.0,2251.26896095,4265.88894922,2499.69367122,774.4246058,206.72040838,30832.24432255,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,21420.95659765,279.20897093,19239.86833669,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,11401.4278755,279.20897093,19239.86833669,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,21420.95659765,279.20897093,19239.86833669,0.0,0.0
5,2446475,Leonardtown town,0.0,0.0,8484.73398591,8307.85651153,0.0,2833.76875554,80224.57511236,0.0,0.0,0.0,0,0,0.0,0.0,5409.89973663,4723.89471042,0.0,1462.98359886,40976.72401862,0.0,0.0,0.0,0,0,0.0,0.0,14987.18729275,8307.85651153,0.0,2833.76875554,80224.57511236,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,69491.59869404,2489.06201871,10809.48610436,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,36278.2064783,2489.06201871,10809.48610436,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,69491.59869404,2489.06201871,10809.48610436,0.0,0.0
6,2481275,Walkersville town,0.0,0.0,9715.84633697,0.0,23540.24726468,1838.0185870999999,70759.43587008,82.47821968,0.0,0.0,0,0,0.0,0.0,5678.26361658,0.0,11770.12363234,919.0092935499999,36225.50799685,41.23910984,0.0,0.0,0,0,0.0,0.0,12259.77496944,0.0,23763.13748335,1838.0185870999999,70759.43587008,164.95643936,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,51721.69982849,3091.66477966,23487.41932782,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,27882.21192303,3091.66477966,23487.41932782,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,103385.73890765,3091.66477966,23487.41932782,0.0,0.0
7,2452425,Middletown town,0.0,0.0,6076.8330007800005,2656.61772542,1427.11805202,951.67516139,61814.91995641,0.0,0.0,0.0,0,0,0.0,0.0,3038.4165003900002,1328.30886271,713.55902601,569.8904419099999,32299.53424643,0.0,0.0,0.0,0,0,0.0,0.0,6076.8330007800005,2656.61772542,1427.11805202,951.67516139,61814.91995641,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,52087.10686943,0.0,7354.12931485,2543.873171,0.0,0,0,0.0,0.0,0.0,0.0,0.0,26857.95821219,0.0,7354.12931485,2543.873171,0.0,0,0,0.0,0.0,0.0,0.0,0.0,104174.21373886,0.0,7354.12931485,2543.873171,0.0
8,2470850,Seat Pleasant city,0.0,0.0,4782.0775121,3278.9850462,4326.77789744,0.0,30586.75536618,0.0,0.0,0.0,0,0,0.0,0.0,4782.0775121,1763.87337786,2163.38894872,0.0,17068.51674991,0.0,0.0,0.0,0,0,0.0,0.0,14454.51891231,6284.92856733,4326.77789744,0.0,61173.51073236,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,22812.2618435,0.0,3618.47720408,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,11720.47214421,0.0,3618.47720408,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,22812.2618435,0.0,3618.47720408,0.0,0.0
9,2407200,Betterton town,0.0,0.0,0.0,2709.67529148,6634.58487118,91.65164060000001,5378.75251483,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1354.83764574,3317.29243559,45.825820300000004,2948.23847418,0.0,0.0,0.0,0,0,0.0,0.0,0.0,2709.67529148,6634.58487118,91.65164060000001,5378.75251483,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,15672.99442254,0.0,5989.06370003,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,8209.22982098,0.0,5989.06370003,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,15672.99442254,0.0,5989.06370003,0.0,0.0
