,GEOID,NAMELSAD,motorway,trunk,primary,secondary,tertiary,unclassified,residential,service,track,footway,cycleway,living_street,cl_motorway,cl_trunk,cl_primary,cl_secondary,cl_tertiary,cl_unclassified,cl_residential,cl_service,cl_track,cl_footway,cl_cycleway,cl_living_street,lane_m_motorway,lane_m_trunk,lane_m_primary,lane_m_secondary,lane_m_tertiary,lane_m_unclassified,lane_m_residential,lane_m_service,lane_m_track,lane_m_footway,lane_m_cycleway,lane_m_living_street,n_motorway,n_trunk,n_primary,n_secondary,n_tertiary,n_unclassified,n_residential,n_service,n_track,n_footway,n_cycleway,n_living_street,n_cl_motorway,n_cl_trunk,n_cl_primary,n_cl_secondary,n_cl_tertiary,n_cl_unclassified,n_cl_residential,n_cl_service,n_cl_track,n_cl_footway,n_cl_cycleway,n_cl_living_street,n_lane_m_motorway,n_lane_m_trunk,n_lane_m_primary,n_lane_m_secondary,n_lane_m_tertiary,n_lane_m_unclassified,n_lane_m_residential,n_lane_m_service,n_lane_m_track,n_lane_m_footway,n_lane_m_cycleway,n_lane_m_living_street
0,2563345,Southbridge Town city,0.0,0.0,12014.21889375,41700.91203601,26270.9972105,3686.71793298,212982.89760759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6190.34633482,21053.87870036,13135.49860525,1843.35896649,108144.28445566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12072.662188369999,41801.00223758,26303.82123339,3686.71793298,214657.38877668,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,149102.0182046,11694.74659278,5747.0581066899995,2696.5971641300002,0.0,0,0,0,0.0,0.0,0.0,0.0,77006.8866347,11694.74659278,5747.05810669,2696.59716413,0.0,0,0,0,0.0,0.0,0.0,0.0,149102.0182046,11694.74659278,5747.0581066899995,2696.5971641300002,0.0
1,2552144,Palmer Town city,27879.66715991,0.0,36024.86922449,73299.62144047,45310.79970191,396.11231,214530.0202673,0.0,0.0,0.0,0.0,0.0,27879.66715991,0.0,18385.44679579,37048.00984029,22721.18444424,230.90730642,108251.04461906,0.0,0.0,0.0,0.0,0.0,51780.41661701,0.0,36024.86922449,73447.72208115,45310.79970191,461.81461284,215411.76860647,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,240493.01524375,18937.00990779,6508.67457558,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,122546.45026465,18937.00990779,6508.67457558,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,240493.01524375,18937.00990779,6508.67457558,0.0,0.0
2,2507740,Braintree Town city,30923.371423419998,0.0,4321.77683178,83606.33785288,42877.73858395,8801.634233,324230.51956395,0.0,0.0,0.0,0.0,0.0,30923.37142342,0.0,2160.88841589,45962.90910565,23882.12041168,5478.44193442,167687.07550252,0.0,0.0,0.0,0.0,0.0,75004.06691946,0.0,8544.09546812,95477.62268491,47547.17961366,9629.18045188,328660.35265853,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,364488.64120522,9594.0668201,10568.9890913,3234.34177125,0.0,0,0,0,0.0,0.0,0.0,0.0,191853.41573989,9594.0668201,10568.9890913,3234.34177125,0.0,0,0,0,0.0,0.0,0.0,0.0,364882.66245855,9648.91843784,10568.9890913,3234.34177125,0.0
3,2578972,Weymouth Town city,13159.286223520001,0.0,30461.24593267,79628.4619202,80898.68110405,10574.04177723,441349.12027275,0.0,230.12363014000002,37.94910832,0.0,0.0,13159.28622352,0.0,17146.69677744,40499.28296318,41834.80754774,5468.2678485,224537.03810451,0.0,230.12363014000002,37.94910832,0.0,0.0,30868.36887905,0.0,46741.97482402,80754.68556203,82424.12683466,10574.04177723,443855.5295082,0.0,345.18544521,37.94910832,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,370281.87968214,7164.21610063,57547.4200646,6676.1173231,0.0,0,0,0,0.0,0.0,0.0,0.0,192756.80044085,7164.21610063,57485.23401372,6676.1173231,0.0,0,0,0,0.0,0.0,0.0,0.0,370336.69299379,10747.60762331,57547.4200646,6676.1173231,0.0
4,2503690,Barnstable Town city,33096.16248702,0.0,73473.34546691,191431.32394556,152512.20122184,27727.28966419,1151059.97567548,196.27893418000002,0.0,0.0,0.0,0.0,33096.16248702,0.0,43001.83060513,99441.04436513,79617.29831624,15494.99568392,579425.81136931,98.13946709000001,0.0,0.0,0.0,0.0,61365.73106639,0.0,86531.51249591,197702.95535706,158804.75973681,30683.72784857,1154482.59866367,196.27893418000002,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,867.7902974399999,923070.30132702,76817.99658277,79612.83255179,4698.72323713,0.0,0,0,0,0.0,0.0,0.0,433.89514871999995,477242.97850719,76817.99658277,79612.83255179,4698.72323713,0.0,0,0,0,0.0,0.0,0.0,867.7902974399999,923844.3896183,78216.16555792,119687.106175025,4698.72323713,0.0
5,2525485,Gardner city,15081.9101351,16823.20427865,0.0,46019.51508053,57041.7194948,680.4077230299999,251821.00940323,0.0,0.0,0.0,0.0,0.0,15081.9101351,8751.50969384,0.0,24533.51804605,29554.91193251,362.02280501,127199.24728464,0.0,0.0,0.0,0.0,0.0,27235.013026430002,23645.62425569,0.0,47305.89914755,58580.4481267,680.4077230299999,253350.71925972,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,184477.03206243,7225.5741073,10000.5059117,19410.99959513,0.0,0,0,0,0.0,0.0,0.0,0.0,94753.86351101,7225.5741073,10000.5059117,17643.41125172,0.0,0,0,0,0.0,0.0,0.0,0.0,184533.97941996,7225.5741073,10000.5059117,19410.99959513,0.0
6,2546330,Northampton city,24801.215523580002,0.0,37683.02667711,117779.74241648,52005.04758052,5321.70035398,270244.15775,2250.4622966,519.35081967,0.0,0.0,0.0,24801.21552358,0.0,19747.61830931,59366.87105469,26379.54838489,2660.85017699,136068.89538711,2120.19399378,519.35081967,0.0,0.0,0.0,44555.53531792,0.0,42763.97393819,122770.26094939,52459.70496109,5321.70035398,271017.54625932,3272.63496408,519.35081967,0.0,0.0,0.0,0,0,0,0.0,62.28966854,0.0,141.89020196,418688.6432496,57443.79628962,140350.08490686,32959.65763733,0.0,0,0,0,0.0,31.14483427,0.0,70.94510098,215814.13765901,53648.58296832,139571.56604639,20614.95358271,0.0,0,0,0,0.0,62.28966854,0.0,141.89020196,419942.96057717,59769.39430906,140386.06921607,32959.65763733,0.0
7,2523875,Fitchburg city,17048.12256898,0.0,31991.83591566,87137.43803196,79719.62418664,5944.7135011499995,440922.73510152,0.0,0.0,0.0,0.0,0.0,17048.12256898,0.0,17352.44994544,44880.17276234,40143.51540045,2992.27910397,225491.76437005,0.0,0.0,0.0,0.0,0.0,30587.00946499,0.0,33987.47534871,88361.58428975,80100.73148927,5984.55820794,449623.30170991,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,356616.25377602,4995.40498295,16666.59933212,2527.49292564,0.0,0,0,0,0.0,0.0,0.0,0.0,184215.21060297,4995.40498295,16666.59933212,2527.49292564,0.0,0,0,0,0.0,0.0,0.0,0.0,356844.59314658,9384.29639839,16666.59933212,2527.49292564,0.0
8,2581005,Winthrop Town city,0.0,0.0,0.0,22921.16093588,17941.58483555,0.0,65508.20143786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11786.30902596,10050.50847572,0.0,42441.7080867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23414.28065313,20071.78701724,0.0,84027.73212624001,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,34981.54185402,1032.07055437,10236.64551981,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,18382.73883322,1032.07055437,10236.64551981,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,34981.54185402,1807.25893916,10236.64551981,0.0,0.0
9,2509000,Brockton city,20311.71915163,0.0,19202.60910499,139659.61871608,107284.19958493,20076.48550959,646646.88924868,0.0,0.0,0.0,0.0,0.0,20311.71915163,0.0,10435.06593638,75000.8442871,55577.88893652,11963.36569639,329650.31693361,0.0,0.0,0.0,0.0,0.0,44732.29716358,0.0,22997.08725672,156034.11144641,110641.47526745,22626.14359716,656050.74132938,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,536780.64731239,5757.08538916,6953.43683905,0.0,74.3851965,0,0,0,0.0,0.0,0.0,0.0,283943.41259326,5757.08538916,6953.43683905,0.0,37.19259825,0,0,0,0.0,0.0,0.0,0.0,537133.39843019,5757.08538916,13906.8736781,0.0,74.3851965
10,2546225,North Adams city,0.0,21615.99188085,15412.93579284,13113.06440567,33029.46324098,1178.7727320000001,187689.69032239,130.1264428,0.0,0.0,0.0,0.0,0.0,13105.60312465,7989.91387577,6959.74382563,17227.75493682,589.3863660000001,94915.04804475,65.0632214,0.0,0.0,0.0,0.0,0.0,27014.25575003,15943.885439650001,13919.48765126,33912.48250421,1178.7727320000001,189514.46173885,130.1264428,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,455.50847874,98869.54562033,1202.93391254,18883.47277374,0.0,0.0,0,0,0,0.0,0.0,0.0,227.75423937,50957.99833314,1202.93391254,18883.47277374,0.0,0.0,0,0,0,0.0,0.0,0.0,455.50847874,98869.54562033,1202.93391254,18883.47277374,0.0,0.0
11,2553960,Pittsfield city,0.0,40382.70639585,28546.39097464,0.0,181439.28527542,1663.04149576,539567.67079844,0.0,0.0,0.0,0.0,0.0,0.0,24868.89566812,18867.45222558,0.0,93706.59438841,831.52074788,274936.26046372,0.0,0.0,0.0,0.0,0.0,0.0,54831.71798694,35065.68228227,0.0,186954.38549578,1663.04149576,546079.2793812,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,280133.64191001,29424.26463791,23383.85860522,4568.16808772,0.0,0,0,0,0.0,0.0,0.0,0.0,143190.49193447,29424.26463791,23383.85860522,2709.1685324,0.0,0,0,0,0.0,0.0,0.0,0.0,280133.64191001,58848.52927582,46767.71721044,4568.16808772,0.0
12,2519370,Easthampton Town city,1550.08113289,0.0,11925.585745,53498.15280954,39693.53803216,248.89883018,198945.71066353,0.0,0.0,0.0,0.0,0.0,1550.08113289,0.0,6134.80179237,27107.06637421,19937.85213924,124.44941509,100275.58409504,0.0,0.0,0.0,0.0,0.0,3100.16226578,0.0,12108.63996209,53955.19778842,39787.93838515,248.89883018,200428.51311658,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1082.03043922,0.0,138136.7649594,14806.46756852,5488.83942008,9454.12278219,0.0,0,0,0,0.0,0.0,541.01521961,0.0,71203.80352143,14806.46756852,5488.83942008,9454.12278219,0.0,0,0,0,0.0,0.0,1082.03043922,0.0,138136.7649594,29612.93513704,5488.83942008,9454.12278219,0.0
13,2500840,Agawam Town city,28374.00951026,0.0,19709.20744395,52893.02681335,101769.09245231,4095.5353676,311182.73767988,0.0,0.0,0.0,0.0,0.0,28122.34434133,0.0,10025.2022225,27585.22613257,51100.13031442,2047.7676838,156518.22001458,0.0,0.0,0.0,0.0,0.0,53032.11904997,0.0,19825.86503711,54564.64058902,101997.55351462,4095.5353676,311389.46177847,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,362967.37171523,11558.2904166,26495.29967835,2972.25559067,1153.89533937,0,0,0,0.0,0.0,0.0,0.0,188649.9326698,11558.2904166,26495.29967835,2972.25559067,737.82863717,0,0,0,0.0,0.0,0.0,0.0,362967.37171523,23116.5808332,26495.29967835,2972.25559067,1153.89533937
14,2513660,Chicopee city,57467.40110982,0.0,14375.22107663,109854.84650644,69398.4121533,32734.6532414,550967.43689432,7024.30488105,0.0,0.0,0.0,0.0,57080.66437008,0.0,14159.04287323,59689.11263812,35210.03526738,17920.0066457,283879.35454847,3661.95716789,0.0,0.0,0.0,0.0,112650.95043381,0.0,34131.4774036,117720.35067055,69948.09779151,33828.69672959,564346.350376,7234.27403139,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,462479.1922305,7432.71679979,8720.68601423,4091.61754451,0.0,0,0,0,0.0,0.0,0.0,0.0,240195.16336142,7432.71679979,8720.68601423,4091.61754451,0.0,0,0,0,0.0,0.0,0.0,0.0,463157.19436058,8780.02054344,8720.68601423,4091.61754451,0.0
15,2530840,Holyoke city,43816.60874923,1657.8733238,51998.81275156,57407.33117205,80323.75185347,30739.43209874,255733.31787586,1309.4015354,0.0,0.0,0.0,0.0,43816.60874923,1657.8733238,31723.05578916,33459.22870927,41516.66760489,16181.30117709,134992.84459876,654.7007677,0.0,0.0,0.0,0.0,87309.38126501,3315.7466476,65690.71221633,68391.1508774,84590.36134635,32325.23414531,267945.44535675,1309.4015354,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,64.187084,100.78054482,333032.26123234,40597.47391095,64920.01165215,0.0,0.0,0,0,0,0.0,0.0,32.093542,50.39027241,172189.59501424,40597.47391095,64916.42551688,0.0,0.0,0,0,0,0.0,0.0,64.187084,100.78054482,333247.80188164,74514.56165009,129840.0233043,0.0,0.0
16,2567000,Springfield city,58864.13223379,0.0,126972.02084644,189739.92759085,144484.75225223,5601.84061714,1081600.77781421,0.0,0.0,0.0,0.0,0.0,58864.13223379,0.0,83677.88212252,101589.00959879,76079.00554049,3014.40501602,569284.1392653,0.0,0.0,0.0,0.0,0.0,118873.16673782,0.0,204251.88191861,215671.47009842,155038.92409104,5601.84061714,1123526.90264073,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1424.53858866,796229.23772939,3506.62236035,80184.80836308,6084.94100136,0.0,0,0,0,0.0,0.0,0.0,1344.79618852,421457.6566842,3506.6223603500002,80012.98812284,6084.94100136,0.0,0,0,0,0.0,0.0,0.0,2689.59237704,799402.03436512,7013.2447207,82495.53279869,6084.94100136,0.0
17,2577890,West Springfield Town city,43223.10417363,0.0,36509.34792313,46443.551519,31405.85290023,16107.57134241,314461.39758402,181.85269413000003,0.0,0.0,0.0,0.0,43147.16842347,0.0,28201.66715739,24585.58501465,16073.20358628,8304.71832773,159620.25175366,142.55380572,0.0,0.0,0.0,0.0,79433.03034751,0.0,70994.47518455,48911.64028538,31797.75421199,16985.08553981,317751.03240697,181.85269413000003,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,3215.2742662,0.0,327583.15890529,27076.6494066,6930.61656397,0.0,0.0,0,0,0,0.0,0.0,1607.6371331,0.0,172044.62695449,27076.6494066,6930.61656397,0.0,0.0,0,0,0,0.0,0.0,3215.2742662,0.0,327715.09872467,27076.6494066,6930.61656397,0.0,0.0
18,2537000,Lowell city,27580.72572618,0.0,52280.00776557,108028.32496656,90715.64001695,5628.59784718,522194.68837556,27.930473810000002,0.0,0.0,0.0,192.85918818,27580.72572618,0.0,37731.35868996,56364.26819499,47555.04326235,2814.29892359,272482.5058596,27.930473810000002,0.0,0.0,0.0,96.42959409,62257.30772626,0.0,74816.94548664,112061.32124559,94238.81484736,5628.59784718,541093.43944745,27.930473810000002,0.0,0.0,0.0,192.85918818,0,0,0,0.0,0.0,142.25230048,95.01665228,385804.15427161,7491.67299546,112508.94920726,7496.81888713,0.0,0,0,0,0.0,0.0,71.12615024,47.50832614,205482.95836675,7491.67299546,112478.64030983,7496.81888713,0.0,0,0,0,0.0,0.0,142.25230048,95.01665228,386788.37139569997,7491.67299546,112508.94920726,7496.81888713,0.0
