,GEOID,NAMELSAD,motorway,trunk,primary,secondary,tertiary,unclassified,residential,service,track,footway,cycleway,living_street,cl_motorway,cl_trunk,cl_primary,cl_secondary,cl_tertiary,cl_unclassified,cl_residential,cl_service,cl_track,cl_footway,cl_cycleway,cl_living_street,lane_m_motorway,lane_m_trunk,lane_m_primary,lane_m_secondary,lane_m_tertiary,lane_m_unclassified,lane_m_residential,lane_m_service,lane_m_track,lane_m_footway,lane_m_cycleway,lane_m_living_street,n_motorway,n_trunk,n_primary,n_secondary,n_tertiary,n_unclassified,n_residential,n_service,n_track,n_footway,n_cycleway,n_living_street,n_cl_motorway,n_cl_trunk,n_cl_primary,n_cl_secondary,n_cl_tertiary,n_cl_unclassified,n_cl_residential,n_cl_service,n_cl_track,n_cl_footway,n_cl_cycleway,n_cl_living_street,n_lane_m_motorway,n_lane_m_trunk,n_lane_m_primary,n_lane_m_secondary,n_lane_m_tertiary,n_lane_m_unclassified,n_lane_m_residential,n_lane_m_service,n_lane_m_track,n_lane_m_footway,n_lane_m_cycleway,n_lane_m_living_street
0,2616140,Clarksville village,0.0,0.0,0.0,0.0,4037.50026166,0.0,7831.61419884,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2018.75013083,0.0,3915.8070994199998,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,4037.50026166,0.0,7831.61419884,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,3172.1306995,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,1646.44539004,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,3172.1306995,0.0,0.0,0.0,0.0
1,2669680,Rose City city,0.0,0.0,3199.78848282,0.0,3287.12993212,2653.95726106,20524.93604626,0.0,0.0,0.0,0,0.0,0.0,0.0,1599.89424141,0.0,1643.56496606,1326.97863053,10262.46802313,0.0,0.0,0.0,0,0.0,0.0,0.0,3199.78848282,0.0,3287.12993212,2653.95726106,20524.93604626,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,1093.33986708,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,546.66993354,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,1093.33986708,0.0,0.0,0.0,0.0
2,2685580,West Branch city,0.0,0.0,4575.71834734,3243.38560076,1753.59212204,14843.62806722,36842.93999916,0.0,0.0,0.0,0,0.0,0.0,0.0,2287.85917367,1621.69280038,876.79606102,7421.81403361,18421.46999958,0.0,0.0,0.0,0,0.0,0.0,0.0,4575.71834734,3243.38560076,1753.59212204,14843.62806722,36842.93999916,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,22789.21517451,2.26028441,4833.94282286,0.0,0.0,0,0,0,0,0.0,0.0,0.0,11523.88812126,2.26028441,4833.94282286,0.0,0.0,0,0,0,0,0.0,0.0,0.0,22789.21517451,2.26028441,4833.94282286,0.0,0.0
3,2616440,Climax village,0.0,0.0,0.0,0.0,6639.41841794,0.0,9527.001667139999,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,3319.70920897,0.0,4763.50083357,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,6639.41841794,0.0,9527.001667139999,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,4316.54520606,0.0,258.7280481,0.0,0.0,0,0,0,0,0.0,0.0,0.0,2158.27260303,0.0,258.7280481,0.0,0.0,0,0,0,0,0.0,0.0,0.0,4316.54520606,0.0,258.7280481,0.0,0.0
4,2606900,Belding city,0.0,0.0,0.0,7637.89281214,14941.90099974,0.0,118160.89281484,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,3818.94640607,7470.95049987,0.0,59276.55113801,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,7637.89281214,14941.90099974,0.0,118160.89281484,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,48922.39003062,161.44072575,2064.78569295,3904.93135472,0.0,0,0,0,0,0.0,0.0,0.0,25240.66555346,161.44072575,2064.78569295,3904.93135472,0.0,0,0,0,0,0.0,0.0,0.0,48922.39003062,161.44072575,2064.78569295,3904.93135472,0.0
5,2617740,Concord village,0.0,4569.33042512,0.0,4562.21298404,5484.65486598,65.95164126,25476.403045170002,0.0,0.0,0.0,0,0.0,0.0,2284.66521256,0.0,2281.10649202,2742.32743299,32.97582063,12856.76647606,0.0,0.0,0.0,0,0.0,0.0,5775.3426505,0.0,4562.21298404,5484.65486598,65.95164126,25476.403045170002,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,7437.56999926,56.86057375,22.04150062,0.0,1841.06575664,0,0,0,0,0.0,0.0,0.0,4043.83395168,56.86057375,22.04150062,0.0,920.53287832,0,0,0,0,0.0,0.0,0.0,7437.56999926,56.86057375,22.04150062,0.0,1841.06575664
6,2627080,Fairgrove village,0.0,0.0,0.0,3645.82543906,0.0,0.0,14321.51550875,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1822.91271953,0.0,0.0,7305.90190276,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,3645.82543906,0.0,0.0,14321.51550875,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,2368.72555472,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,1184.3627773599999,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,2368.72555472,0.0,0.0,0.0,0.0
7,2605660,Barton Hills village,17.404725550000002,0.0,0.0,0.0,3688.94642444,135.11229456,17824.63481551,38.38030024,0.0,0.0,0,0.0,17.404725550000002,0.0,0.0,0.0,1844.47321222,67.55614728,8959.62701696,19.19015012,0.0,0.0,0,0.0,17.404725550000002,0.0,0.0,0.0,3688.94642444,135.11229456,17824.63481551,38.38030024,0.0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,15918.50620846,270.19100936,61.67585378,11.12714219,0.0,0,0,0,0,0.0,0.0,0.0,8015.15762631,270.19100936,61.67585378,11.12714219,0.0,0,0,0,0,0.0,0.0,0.0,15918.50620846,270.19100936,61.67585378,11.12714219,0.0
8,2615020,Chelsea city,2844.5675806500003,0.0,8761.31586178,4904.70620288,12324.1832702,6076.44870516,69111.12383342,0.0,0.0,0.0,0,0.0,2844.5675806500003,0.0,4380.65793089,2452.35310144,6162.0916351,3084.33595245,34911.20162105,0.0,0.0,0.0,0,0.0,4959.833282,0.0,9228.13814721,5065.47532934,12400.55726911,6076.44870516,69111.12383342,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,135864.41325092,601.82926096,21352.17047931,229.09080896,0.0,0,0,0,0,0.0,0.0,0.0,69644.87585542,601.82926096,21352.17047931,229.09080896,0.0,0,0,0,0,0.0,0.0,0.0,135864.41325092,601.82926096,21352.17047931,229.09080896,0.0
9,2622160,Dexter city,0.0,0.0,0.0,0.0,16515.28277717,2581.81309405,61213.94904945,395.40186012000004,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,8324.37895915,1308.92645395,31496.38689856,197.70093006000002,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,17191.71560235,2581.81309405,61251.51734922,395.40186012000004,0.0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,54655.90063601,0.0,38529.04785948,3969.61540796,0.0,0,0,0,0,0.0,0.0,0.0,28425.10942212,0.0,38529.04785948,3969.61540796,0.0,0,0,0,0,0.0,0.0,0.0,54655.90063601,0.0,38529.04785948,3969.61540796,0.0
