,GEOID,NAMELSAD,motorway,trunk,primary,secondary,tertiary,unclassified,residential,service,track,footway,cycleway,living_street,cl_motorway,cl_trunk,cl_primary,cl_secondary,cl_tertiary,cl_unclassified,cl_residential,cl_service,cl_track,cl_footway,cl_cycleway,cl_living_street,lane_m_motorway,lane_m_trunk,lane_m_primary,lane_m_secondary,lane_m_tertiary,lane_m_unclassified,lane_m_residential,lane_m_service,lane_m_track,lane_m_footway,lane_m_cycleway,lane_m_living_street,n_motorway,n_trunk,n_primary,n_secondary,n_tertiary,n_unclassified,n_residential,n_service,n_track,n_footway,n_cycleway,n_living_street,n_cl_motorway,n_cl_trunk,n_cl_primary,n_cl_secondary,n_cl_tertiary,n_cl_unclassified,n_cl_residential,n_cl_service,n_cl_track,n_cl_footway,n_cl_cycleway,n_cl_living_street,n_lane_m_motorway,n_lane_m_trunk,n_lane_m_primary,n_lane_m_secondary,n_lane_m_tertiary,n_lane_m_unclassified,n_lane_m_residential,n_lane_m_service,n_lane_m_track,n_lane_m_footway,n_lane_m_cycleway,n_lane_m_living_street
0,2807780,Booneville city,0.0,20447.60533383,33347.73796737,22535.76171009,52339.21404809,11456.78576106,307854.78332762,0.0,0,0.0,0,0.0,0.0,20447.60533383,19222.71788676,11407.77178775,26298.94955112,5728.39288053,154217.27887302,0.0,0,0.0,0,0.0,0.0,35957.93415784,33471.98448815,22535.76171009,52339.21404809,11456.78576106,307854.78332762,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,25064.717969,1161.96611918,1217.83758341,0.0,0.0,0,0,0,0,0,0.0,0.0,12532.3589845,1161.96611918,1217.83758341,0.0,0.0,0,0,0,0,0,0.0,0.0,25064.717969,1161.96611918,1217.83758341,0.0,0.0
1,2837040,Jumpertown town,0.0,0.0,10192.60312548,0.0,0.0,0.0,16339.267268,0.0,0,0.0,0,0.0,0.0,0.0,5096.30156274,0.0,0.0,0.0,8169.633634,0.0,0,0.0,0,0.0,0.0,0.0,10192.60312548,0.0,0.0,0.0,16339.267268,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,1432.7458601,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,716.3729300499999,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,1432.7458601,0.0,0.0,0.0,0.0
2,2845120,Marietta town,0.0,0.0,0.0,9188.76434616,0.0,1030.15479602,11521.42580072,0.0,0,0.0,0,0.0,0.0,0.0,0.0,4594.38217308,0.0,515.07739801,5760.71290036,0.0,0,0.0,0,0.0,0.0,0.0,0.0,9188.76434616,0.0,1030.15479602,11521.42580072,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,978.43510318,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,489.21755159,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,978.43510318,0.0,0.0,0.0,0.0
3,2815380,Columbus city,34634.02207277,14010.6009402,19032.94535066,44013.78726238,77288.08713159,9679.67796985,557078.28845675,0.0,0,0.0,0,0.0,34634.02207277,7899.32537832,11571.96810599,24493.07569322,38737.26730996,5149.14662422,280228.3140572,0.0,0,0.0,0,0.0,64142.83180436,28816.61536988,29158.68422339,44516.79038769,77589.62797595,19359.3559397,557346.36821181,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,168876.45962008,1455.61467597,1102.61722588,0.0,0.0,0,0,0,0,0,0.0,0.0,86686.08393715,1455.61467597,1102.61722588,0.0,0.0,0,0,0,0,0,0.0,0.0,168876.45962008,1455.61467597,1102.61722588,0.0,0.0
4,2877520,Walnut Grove town,0.0,0.0,4943.46149998,8116.73568556,0.0,0.0,24365.84292724,0.0,0,0.0,0,0.0,0.0,0.0,2471.73074999,4058.36784278,0.0,0.0,12182.92146362,0.0,0,0.0,0,0.0,0.0,0.0,4943.46149998,8116.73568556,0.0,0.0,24365.84292724,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,3417.13542268,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,1708.56771134,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,3417.13542268,0.0,0.0,0.0,0.0
5,2852880,Noxapater town,0.0,0.0,3273.2907882,3306.1434454,0.0,0.0,19242.70602006,0.0,0,0.0,0,0.0,0.0,0.0,1636.6453941,1653.0717227,0.0,0.0,9621.35301003,0.0,0,0.0,0,0.0,0.0,0.0,3273.2907882,3306.1434454,0.0,0.0,19242.70602006,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,2159.08215359,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,1115.3719991,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,2159.08215359,0.0,0.0,0.0,0.0
6,2870240,Starkville city,18137.326148879998,24698.71024264,37818.20105555,22683.34895734,52357.1679799,43322.49591393,358727.52902269,0.0,0,0.0,0,0.0,18137.326148879998,24698.71024264,31153.83489584,11341.67447867,27267.79545625,23501.99101742,181792.7138661,0.0,0,0.0,0,0.0,36274.652297759996,49397.42048528,72426.33235236,22683.34895734,55162.53179994,43444.51720002,358727.52902269,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,230313.60545455,3265.35557695,48244.94027889,4763.72707642,225.79564912,0,0,0,0,0,0.0,0.0,119272.65850219999,3265.35557695,48244.94027889,4763.72707642,112.89782455999999,0,0,0,0,0,0.0,0.0,230313.60545455,3265.35557695,48244.94027889,4763.72707642,225.79564912
7,2864200,Ruleville city,0.0,0.0,10635.3557061,0.0,2555.64348204,296.96009616,60256.91411312,0.0,0,0.0,0,0.0,0.0,0.0,5317.6778530500005,0.0,1277.82174102,148.48004808,30128.45705656,0.0,0,0.0,0,0.0,0.0,0.0,10635.3557061,0.0,2555.64348204,296.96009616,60256.91411312,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,3871.6741233000002,3647.7490945699997,42.55146259,0.0,0.0,0,0,0,0,0,0.0,0.0,1935.83706165,3647.74909457,42.55146259,0.0,0.0,0,0,0,0,0,0.0,0.0,3871.6741233000002,3647.7490945699997,42.55146259,0.0,0.0
8,2835220,Isola town,0.0,2886.77231605,0.0,0.0,2690.92591052,84.17760848,20801.19654912,0.0,0,0.0,0,0.0,0.0,2886.77231605,0.0,0.0,1345.46295526,42.08880424,10400.59827456,0.0,0,0.0,0,0.0,0.0,5773.5446321,0.0,0.0,2690.92591052,84.17760848,20801.19654912,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,1678.901277,2243.29617341,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,839.4506385,2243.29617341,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,1678.901277,2243.29617341,0.0,0.0,0.0
9,2855400,Pass Christian city,0.0,0.0,18882.42653131,20312.48002242,36614.63075593,650.44565328,201609.42415468,0.0,0,0.0,0,0.0,0.0,0.0,18882.42653131,10156.24001121,18533.0809866,325.22282664,101138.87913564,0.0,0,0.0,0,0.0,0.0,0.0,37764.85306262,20312.48002242,36614.63075593,650.44565328,201609.42415468,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,27742.55875984,456.29139440999995,11044.526653320001,0.0,0.0,0,0,0,0,0,0.0,0.0,14761.13256634,456.29139440999995,11044.526653320001,0.0,0.0,0,0,0,0,0,0.0,0.0,27742.55875984,456.29139440999995,11044.526653320001,0.0,0.0
10,2805100,Belmont town,0.0,0.0,12017.03878354,4356.09327204,11452.85506544,13427.030648,79417.68309654,0.0,0,0.0,0,0.0,0.0,0.0,6008.51939177,2178.04663602,5726.42753272,6713.515324,39708.84154827,0.0,0,0.0,0,0.0,0.0,0.0,12017.03878354,4356.09327204,11452.85506544,13427.030648,79417.68309654,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,5893.51218622,86.68620605,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,2946.7560931099997,86.68620605,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,5893.51218622,86.68620605,0.0,0.0,0.0
11,2859480,Poplarville city,7521.50987117,0.0,28495.46911836,5566.40340518,6009.83240916,12987.64550915,90848.2072007,0.0,0,0.0,0,0.0,7521.50987117,0.0,15449.99059333,2783.20170259,3004.91620458,7267.95390776,45520.18865803,0.0,0,0.0,0,0.0,12073.08402635,0.0,28796.58680577,5566.40340518,6009.83240916,12987.64550915,90848.2072007,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,26521.70075062,113.66774623,0.0,458.13750755,0.0,0,0,0,0,0,0.0,0.0,13627.76774478,113.66774623,0.0,458.13750755,0.0,0,0,0,0,0,0.0,0.0,26521.70075062,113.66774623,0.0,458.13750755,0.0
12,2809820,Burnsville town,0.0,8505.85790947,0.0,10642.58144846,0.0,13.20258648,57956.62843186,0.0,0,0.0,0,0.0,0.0,8505.85790947,0.0,5326.45355475,0.0,6.60129324,28978.31421593,0.0,0,0.0,0,0.0,0.0,16142.67418815,0.0,10642.58144846,0.0,13.20258648,57956.62843186,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,6667.32082326,3631.90828529,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,3333.66041163,3631.90828529,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,6667.32082326,3631.90828529,0.0,0.0,0.0
13,2867000,Shaw city,0.0,3665.18693444,0.0,3763.51119942,0.0,0.0,47517.92918846,0.0,0,0.0,0,0.0,0.0,3665.18693444,0.0,1881.7555997099998,0.0,0.0,23758.96459423,0.0,0,0.0,0,0.0,0.0,7330.37386888,0.0,3763.51119942,0.0,0.0,47517.92918846,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,994.52307604,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,497.26153802,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,994.52307604,0.0,0.0,0.0,0.0
14,2800940,Alligator town,0.0,707.60365101,0.0,0.0,0.0,0.0,12419.52457548,0.0,0,0.0,0,0.0,0.0,707.60365101,0.0,0.0,0.0,0.0,6209.76228774,0.0,0,0.0,0,0.0,0.0,1415.20730202,0.0,0.0,0.0,0.0,12419.52457548,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,1166.39597206,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,583.19798603,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,1166.39597206,0.0,0.0,0.0,0.0
15,2805220,Benoit town,0.0,0.0,4453.91518054,2015.23265648,0.0,0.0,15675.25319302,0.0,0,0.0,0,0.0,0.0,0.0,2226.95759027,1007.61632824,0.0,0.0,7837.62659651,0.0,0,0.0,0,0.0,0.0,0.0,4453.91518054,2015.23265648,0.0,0.0,15675.25319302,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,133.89086222,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,133.89086222,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,133.89086222,0.0,0.0,0.0
16,2805820,Beulah town,0.0,0.0,3303.2916735000003,0.0,0.0,0.0,13604.20769026,0.0,0,0.0,0,0.0,0.0,0.0,1651.6458367500002,0.0,0.0,0.0,6802.10384513,0.0,0,0.0,0,0.0,0.0,0.0,3303.2916735000003,0.0,0.0,0.0,13604.20769026,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,227.54722042,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,113.77361021,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,227.54722042,0.0,0.0,0.0,0.0
