,GEOID,NAMELSAD,motorway,trunk,primary,secondary,tertiary,unclassified,residential,service,track,footway,cycleway,living_street,cl_motorway,cl_trunk,cl_primary,cl_secondary,cl_tertiary,cl_unclassified,cl_residential,cl_service,cl_track,cl_footway,cl_cycleway,cl_living_street,lane_m_motorway,lane_m_trunk,lane_m_primary,lane_m_secondary,lane_m_tertiary,lane_m_unclassified,lane_m_residential,lane_m_service,lane_m_track,lane_m_footway,lane_m_cycleway,lane_m_living_street,n_motorway,n_trunk,n_primary,n_secondary,n_tertiary,n_unclassified,n_residential,n_service,n_track,n_footway,n_cycleway,n_living_street,n_cl_motorway,n_cl_trunk,n_cl_primary,n_cl_secondary,n_cl_tertiary,n_cl_unclassified,n_cl_residential,n_cl_service,n_cl_track,n_cl_footway,n_cl_cycleway,n_cl_living_street,n_lane_m_motorway,n_lane_m_trunk,n_lane_m_primary,n_lane_m_secondary,n_lane_m_tertiary,n_lane_m_unclassified,n_lane_m_residential,n_lane_m_service,n_lane_m_track,n_lane_m_footway,n_lane_m_cycleway,n_lane_m_living_street
0,2959186,Portageville city,1350.54448632,0.0,5437.50849332,4198.6817245600005,10072.97549432,1266.32457248,75356.24750364,0.0,0.0,0.0,0,0,1350.54448632,0.0,2718.75424666,2099.3408622800002,5036.48774716,633.16228624,37678.12375182,0.0,0.0,0.0,0,0,2213.10893365,0.0,5437.50849332,4198.6817245600005,10072.97549432,1266.32457248,75356.24750364,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,11792.38024622,536.63385837,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,5896.19012311,536.63385837,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,11792.38024622,536.63385837,0.0,0.0,0.0
1,2912052,Catron town,0.0,0.0,0.0,0.0,4016.6066951400003,0.0,4905.95886668,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,2008.3033475700001,0.0,2452.97943334,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,4016.6066951400003,0.0,4905.95886668,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,542.457971,1519.79280773,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,271.2289855,1519.79280773,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,542.457971,1519.79280773,0.0,0.0,0.0
2,2926974,Gideon city,0.0,0.0,0.0,8776.865364020001,1052.73348342,3140.6051314799997,27106.1913315,0.0,0.0,0.0,0,0,0.0,0.0,0.0,4388.4326820100005,526.36674171,1570.3025657399999,13553.09566575,0.0,0.0,0.0,0,0,0.0,0.0,0.0,8776.865364020001,1052.73348342,3140.6051314799997,27106.1913315,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,12137.05828864,1646.8265388300001,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,6068.52914432,1646.82653883,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,12137.05828864,1646.8265388300001,0.0,0.0,0.0
3,2933364,Howardville city,0.0,0.0,2809.0466796200003,0.0,0.0,0.0,11145.0729746,0.0,0.0,0.0,0,0,0.0,0.0,1404.5233398100002,0.0,0.0,0.0,5572.5364873,0.0,0.0,0.0,0,0,0.0,0.0,2809.0466796200003,0.0,0.0,0.0,11145.0729746,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,207.34295292,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,103.67147646,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,207.34295292,0.0,0.0,0.0,0.0
4,2942536,Lilbourn city,0.0,0.0,0.0,0.0,8057.64747372,0.0,47096.5830648,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,4028.82373686,0.0,23548.2915324,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,8057.64747372,0.0,47096.5830648,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,2644.01120208,440.37811543,90.71356343,0.0,0.0,0,0,0,0,0.0,0.0,0.0,1322.0056010399999,440.37811543,90.71356343,0.0,0.0,0,0,0,0,0.0,0.0,0.0,2644.01120208,440.37811543,90.71356343,0.0,0.0
5,2946406,Marston city,3180.50091946,0.0,2879.12611464,0.0,6664.14474584,1369.99390844,27235.4253873,0.0,0.0,0.0,0,0,3180.50091946,0.0,1439.56305732,0.0,3332.07237292,684.99695422,13617.71269365,0.0,0.0,0.0,0,0,6361.00183892,0.0,2879.12611464,0.0,6664.14474584,1369.99390844,27235.4253873,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,2691.52402708,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,1345.76201354,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,2691.52402708,0.0,0.0,0.0,0.0
6,2949898,Morehouse city,0.0,189.00050883,0.0,4099.38591582,2946.5971669,0.0,28056.60635188,0.0,0.0,0.0,0,0,0.0,189.00050883,0.0,2049.69295791,1473.29858345,0.0,14028.30317594,0.0,0.0,0.0,0,0,0.0,378.00101766,0.0,4099.38591582,2946.5971669,0.0,28056.60635188,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,2997.75939166,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,1498.87969583,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,2997.75939166,0.0,0.0,0.0,0.0
7,2964172,St. Cloud village,7045.61884256,0.0,0.0,0.0,220.94455684000002,15295.3609085,9497.54987048,0.0,0.0,0.0,0,0,7045.61884256,0.0,0.0,0.0,110.47227842000001,7647.68045425,4748.77493524,0.0,0.0,0.0,0,0,14091.23768512,0.0,0.0,0.0,220.94455684000002,15295.3609085,9497.54987048,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,5397.5734004,0.0,124.68623291,0.0,0.0,0,0,0,0,0.0,0.0,0.0,2698.7867002,0.0,124.68623291,0.0,0.0,0,0,0,0,0.0,0.0,0.0,5397.5734004,0.0,124.68623291,0.0,0.0
8,2905068,Bethany city,9075.74613721,0.0,13085.8615229,3452.26459842,10410.98327884,8916.28138866,107312.7790608,0.0,0.0,0.0,0,0,9075.74613721,0.0,6705.37735519,1726.13229921,5205.49163942,4458.14069433,53656.3895304,0.0,0.0,0.0,0,0,16157.38182154,0.0,13085.8615229,3452.26459842,10410.98327884,8916.28138866,107312.7790608,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,41185.10468874,374.75081676,3218.62476904,0.0,0.0,0,0,0,0,0.0,0.0,0.0,21137.14997792,374.75081676,3218.62476904,0.0,0.0,0,0,0,0,0.0,0.0,0.0,41185.10468874,374.75081676,3218.62476904,0.0,0.0
9,2910342,Cainsville city,0.0,0.0,0.0,0.0,6660.60317834,386.51457204,30368.38615788,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,3330.30158917,193.25728601999998,15184.19307894,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,6660.60317834,386.51457204,30368.38615788,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,3307.68333278,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,1653.84166639,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,3307.68333278,0.0,0.0,0.0,0.0
