,GEOID,NAMELSAD,motorway,trunk,primary,secondary,tertiary,unclassified,residential,service,track,footway,cycleway,living_street,cl_motorway,cl_trunk,cl_primary,cl_secondary,cl_tertiary,cl_unclassified,cl_residential,cl_service,cl_track,cl_footway,cl_cycleway,cl_living_street,lane_m_motorway,lane_m_trunk,lane_m_primary,lane_m_secondary,lane_m_tertiary,lane_m_unclassified,lane_m_residential,lane_m_service,lane_m_track,lane_m_footway,lane_m_cycleway,lane_m_living_street,n_motorway,n_trunk,n_primary,n_secondary,n_tertiary,n_unclassified,n_residential,n_service,n_track,n_footway,n_cycleway,n_living_street,n_cl_motorway,n_cl_trunk,n_cl_primary,n_cl_secondary,n_cl_tertiary,n_cl_unclassified,n_cl_residential,n_cl_service,n_cl_track,n_cl_footway,n_cl_cycleway,n_cl_living_street,n_lane_m_motorway,n_lane_m_trunk,n_lane_m_primary,n_lane_m_secondary,n_lane_m_tertiary,n_lane_m_unclassified,n_lane_m_residential,n_lane_m_service,n_lane_m_track,n_lane_m_footway,n_lane_m_cycleway,n_lane_m_living_street
0,3067450,Shelby city,5870.87963682,10836.20302379,6052.74562912,0.0,0.0,37006.0585648,110168.55719236001,0.0,0.0,0.0,0.0,0,5870.87963682,6004.87660944,3026.37281456,0.0,0.0,18503.0292824,55084.278596180004,0.0,0.0,0.0,0.0,0,11741.75927364,15075.46452414,6052.74562912,0.0,0.0,37006.0585648,110168.55719236001,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,58178.68792634,22507.44557931,255.36961288,4292.58394469,0.0,0,0.0,0,0,0,0,0.0,29292.07152169,22507.44557931,255.36961288,4292.58394469,0.0,0,0.0,0,0,0,0,0.0,58178.68792634,22507.44557931,255.36961288,4292.58394469,0.0
1,3067900,Sidney city,0.0,16470.18347396,0.0,346.1269716,0.0,17913.91529848,120736.17764304,0.0,0.0,0.0,0.0,0,0.0,8235.09173698,0.0,173.0634858,0.0,8991.51185018,60368.08882152,0.0,0.0,0.0,0.0,0,0.0,16470.18347396,0.0,346.1269716,0.0,17913.91529848,120736.17764304,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,57559.52716814,1517.86056976,1411.33040822,0.0,0.0,0,0.0,0,0,0,0,0.0,28779.76358407,1517.86056976,1411.33040822,0.0,0.0,0,0.0,0,0,0,0,0.0,57559.52716814,1517.86056976,1411.33040822,0.0,0.0
2,3077125,Virginia City town,0.0,0.0,0.0,5719.45733718,0.0,2707.10315682,22618.079099399998,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2859.72866859,0.0,1353.55157841,11309.039549699999,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,5719.45733718,0.0,2707.10315682,22618.079099399998,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,15606.0890262,466.55820234,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,7803.0445131,466.55820234000004,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,15606.0890262,466.55820234,0.0,0.0,0.0
3,3067600,Sheridan town,0.0,0.0,0.0,3574.25880374,2827.24906006,348.54914410000003,21394.1000496,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1787.12940187,1413.62453003,174.27457205000002,10933.60675029,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,3574.25880374,2827.24906006,348.54914410000003,21394.1000496,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,10499.2434895,35.71808567,188.14676264,0.0,0.0,0,0.0,0,0,0,0,0.0,5249.62174475,35.71808567,188.14676264,0.0,0.0,0,0.0,0,0,0,0,0.0,10499.2434895,35.71808567,188.14676264,0.0,0.0
4,3019825,Deer Lodge city,1618.34546897,0.0,5260.01126082,0.0,6504.73146944,426.67644468,81140.46109096,0.0,0.0,0.0,0.0,0,1618.34546897,0.0,2630.00563041,0.0,3252.36573472,213.33822234,40570.23054548,0.0,0.0,0.0,0.0,0,3236.69093794,0.0,9455.35090148,0.0,6504.73146944,426.67644468,81140.46109096,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,40083.65125022,606.55901216,1345.68507911,0.0,0.0,0,0.0,0,0,0,0,0.0,20041.82562511,606.5590121600001,1345.68507911,0.0,0.0,0,0.0,0,0,0,0,0.0,40083.65125022,606.55901216,1345.68507911,0.0,0.0
5,3036700,Hobson city,0.0,0.0,0.0,0.0,2224.46463123,231.61029792,12150.04455636,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1553.83538255,115.80514896000001,6075.02227818,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2224.46463123,231.61029792,12150.04455636,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,8223.47488846,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,4111.73744423,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,8223.47488846,0.0,0.0,0.0,0.0
6,3008950,Bozeman city,28091.29504961,18352.19470037,8311.32177,80175.70998038,122165.91375927,22532.02217395,644983.91691079,569.2124483,0.0,0.0,0.0,0,28091.29504961,11210.215683979999,8311.32177,53176.14593911,67247.05547539,12615.22693248,328952.71958041,284.60622415,0.0,0.0,0.0,0,54838.02483381,36199.359916839996,16003.06898187,154139.81525351,127028.206021,22532.02217395,644983.91691079,569.2124483,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,660828.49123273,1448.01844505,208076.51831144,23307.64080086,0.0,0,0.0,0,0,0,0,0.0,334785.99028106,1448.01844505,208076.51831144,21878.34668582,0.0,0,0.0,0,0,0,0,0.0,660828.49123273,1448.01844505,208076.51831144,23307.64080086,0.0
7,3009475,Bridger town,0.0,2684.77906818,0.0,0.0,0.0,3480.89973302,24782.67794508,0.0,0.0,0.0,0.0,0,0.0,2223.62203549,0.0,0.0,0.0,1740.44986651,12391.33897254,0.0,0.0,0.0,0.0,0,0.0,2684.77906818,0.0,0.0,0.0,3480.89973302,24782.67794508,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,2459.67478532,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,1229.83739266,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,2459.67478532,0.0,0.0,0.0,0.0
8,3039700,Joliet town,0.0,0.0,3101.9061699,0.0,0.0,162.9946759,12279.8557368,0.0,0.0,0.0,0.0,0,0.0,0.0,1550.95308495,0.0,0.0,81.49733795,6139.9278684,0.0,0.0,0.0,0.0,0,0.0,0.0,3101.9061699,0.0,0.0,162.9946759,12279.8557368,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,7676.5932979,0.0,2034.19001282,0.0,0.0,0,0.0,0,0,0,0,0.0,3838.29664895,0.0,2034.19001282,0.0,0.0,0,0.0,0,0,0,0,0.0,7676.5932979,0.0,2034.19001282,0.0,0.0
9,3061525,Red Lodge city,0.0,0.0,12189.67299581,6197.61633389,17.76098858,4735.32820316,89015.14007255,0.0,0.0,0.0,0.0,0,0.0,0.0,6322.66075062,3157.62107361,8.88049429,2367.66410158,44607.21679649,0.0,0.0,0.0,0.0,0,0.0,0.0,12189.67299581,6197.61633389,17.76098858,4735.32820316,89015.14007255,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,58890.62903349,3463.37275645,30098.7227647,3795.9911385899995,331.05286708,0,0.0,0,0,0,0,0.0,29656.78403628,3463.37275645,30098.7227647,3795.99113859,165.52643354,0,0.0,0,0,0,0,0.0,58890.62903349,3463.37275645,30098.7227647,3795.9911385899995,331.05286708
