,GEOID,NAMELSAD,motorway,trunk,primary,secondary,tertiary,unclassified,residential,service,track,footway,cycleway,living_street,cl_motorway,cl_trunk,cl_primary,cl_secondary,cl_tertiary,cl_unclassified,cl_residential,cl_service,cl_track,cl_footway,cl_cycleway,cl_living_street,lane_m_motorway,lane_m_trunk,lane_m_primary,lane_m_secondary,lane_m_tertiary,lane_m_unclassified,lane_m_residential,lane_m_service,lane_m_track,lane_m_footway,lane_m_cycleway,lane_m_living_street,n_motorway,n_trunk,n_primary,n_secondary,n_tertiary,n_unclassified,n_residential,n_service,n_track,n_footway,n_cycleway,n_living_street,n_cl_motorway,n_cl_trunk,n_cl_primary,n_cl_secondary,n_cl_tertiary,n_cl_unclassified,n_cl_residential,n_cl_service,n_cl_track,n_cl_footway,n_cl_cycleway,n_cl_living_street,n_lane_m_motorway,n_lane_m_trunk,n_lane_m_primary,n_lane_m_secondary,n_lane_m_tertiary,n_lane_m_unclassified,n_lane_m_residential,n_lane_m_service,n_lane_m_track,n_lane_m_footway,n_lane_m_cycleway,n_lane_m_living_street
0,3126875,Lewiston village,0.0,0.0,0.0,0.0,1491.36013498,7.15256162,4810.72010406,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,745.68006749,3.57628081,2405.36005203,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1491.36013498,7.15256162,4810.72010406,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,2702.67471558,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,1351.33735779,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,2702.67471558,0.0,0.0,0.0,0.0
1,3130275,Madrid village,0.0,0.0,0.0,3480.93225662,1125.5300887,3831.6716982199996,16101.95895032,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1740.46612831,562.76504435,1915.83584911,8050.97947516,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,3480.93225662,1125.5300887,3831.6716982199996,16101.95895032,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,6612.22290014,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,3306.11145007,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,6612.22290014,0.0,0.0,0.0,0.0
2,3150230,Venango village,0.0,0.0,0.0,3452.81305694,5042.3859887,4971.58563626,8872.74808202,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1726.40652847,2521.19299435,2485.79281813,4436.37404101,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,3452.81305694,5042.3859887,4971.58563626,8872.74808202,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,7429.64034254,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,3714.82017127,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,7429.64034254,0.0,0.0,0.0,0.0
3,3103145,Bartlett village,0.0,0.0,0.0,0.0,1568.42725198,0.0,5603.70809608,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,784.21362599,0.0,2801.85404804,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1568.42725198,0.0,5603.70809608,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,985.47015142,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,492.73507571,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,985.47015142,0.0,0.0,0.0,0.0
4,3116025,Ericson village,0.0,0.0,0.0,2578.39840134,1631.55013788,0.0,9570.72671216,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1289.19920067,815.77506894,0.0,4785.36335608,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2578.39840134,1631.55013788,0.0,9570.72671216,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,1598.36741196,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,799.18370598,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,1598.36741196,0.0,0.0,0.0,0.0
5,3102550,Atkinson city,0.0,6820.74395607,0.0,2793.2955277300002,3187.70654482,9473.34951326,52949.4180899,0.0,0.0,0.0,0,0.0,0.0,3458.28564839,0.0,1551.02645204,1606.2779287,4736.67475663,26474.70904495,0.0,0.0,0.0,0,0.0,0.0,6820.74395607,0.0,2793.2955277300002,3187.70654482,9473.34951326,52949.4180899,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,15362.5515792,0.0,700.44824827,2893.83837925,0.0,0,0.0,0,0,0,0.0,0.0,7681.2757896,0.0,700.44824827,2893.83837925,0.0,0,0.0,0,0,0,0.0,0.0,15362.5515792,0.0,700.44824827,2893.83837925,0.0
6,3116270,Ewing village,0.0,0.0,2711.19173058,0.0,3269.5382741000003,0.0,17549.08846386,0.0,0.0,0.0,0,0.0,0.0,0.0,1355.5958652900001,0.0,1634.76913705,0.0,8774.54423193,0.0,0.0,0.0,0,0.0,0.0,0.0,2711.19173058,0.0,3269.5382741000003,0.0,17549.08846386,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,2543.7740099000002,0.0,0.0,555.19496878,0.0,0,0.0,0,0,0,0.0,0.0,1271.8870049500001,0.0,0.0,555.19496878,0.0,0,0.0,0,0,0,0.0,0.0,2543.7740099000002,0.0,0.0,555.19496878,0.0
7,3137105,O'Neill city,0.0,6287.21492301,7661.70642498,0.0,21475.79797892,896.89621242,87140.4266378,0.0,0.0,0.0,0,0.0,0.0,3185.87094223,3906.27539789,0.0,10737.89898946,448.44810621,43570.2133189,0.0,0.0,0.0,0,0.0,0.0,8807.96057569,7661.70642498,0.0,21475.79797892,896.89621242,87140.4266378,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,41777.80605268,132.95320196,614.43246463,1802.90613762,0.0,0,0.0,0,0,0,0.0,0.0,20888.903026339998,132.95320196,614.43246463,1802.90613762,0.0,0,0.0,0,0,0,0.0,0.0,41777.80605268,132.95320196,614.43246463,1802.90613762,0.0
8,3138085,Page village,0.0,0.0,0.0,0.0,1605.42578762,8.61424704,14138.4588526,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,802.71289381,4.30712352,7069.2294263,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1605.42578762,8.61424704,14138.4588526,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,743.37113928,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,371.68556964000004,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,743.37113928,0.0,0.0,0.0,0.0
9,3147500,Stuart village,0.0,3826.42926058,0.0,0.0,6256.93649314,3218.54185144,31306.90042524,0.0,0.0,0.0,0,0.0,0.0,1913.21463029,0.0,0.0,3128.4682465700002,1609.2709257200002,15742.18492005,0.0,0.0,0.0,0,0.0,0.0,3826.42926058,0.0,0.0,6256.93649314,3218.54185144,31306.90042524,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,12507.207347,0.0,0.0,2115.74159605,0.0,0,0.0,0,0,0,0.0,0.0,6253.6036735,0.0,0.0,2115.74159605,0.0,0,0.0,0,0,0,0.0,0.0,12507.207347,0.0,0.0,2115.74159605,0.0
