,GEOID,NAMELSAD,motorway,trunk,primary,secondary,tertiary,unclassified,residential,service,track,footway,cycleway,living_street,cl_motorway,cl_trunk,cl_primary,cl_secondary,cl_tertiary,cl_unclassified,cl_residential,cl_service,cl_track,cl_footway,cl_cycleway,cl_living_street,lane_m_motorway,lane_m_trunk,lane_m_primary,lane_m_secondary,lane_m_tertiary,lane_m_unclassified,lane_m_residential,lane_m_service,lane_m_track,lane_m_footway,lane_m_cycleway,lane_m_living_street,n_motorway,n_trunk,n_primary,n_secondary,n_tertiary,n_unclassified,n_residential,n_service,n_track,n_footway,n_cycleway,n_living_street,n_cl_motorway,n_cl_trunk,n_cl_primary,n_cl_secondary,n_cl_tertiary,n_cl_unclassified,n_cl_residential,n_cl_service,n_cl_track,n_cl_footway,n_cl_cycleway,n_cl_living_street,n_lane_m_motorway,n_lane_m_trunk,n_lane_m_primary,n_lane_m_secondary,n_lane_m_tertiary,n_lane_m_unclassified,n_lane_m_residential,n_lane_m_service,n_lane_m_track,n_lane_m_footway,n_lane_m_cycleway,n_lane_m_living_street
0,3208900,Carlin city,19670.96879696,0.0,0.0,15072.31386872,12361.81245816,9022.84089872,50538.9101569,0.0,0.0,0.0,0,0,19670.96879696,0.0,0.0,7536.15693436,6180.90622908,4511.42044936,25269.45507845,0.0,0.0,0.0,0,0,39341.93759392,0.0,0.0,17078.19462902,12361.81245816,9022.84089872,50538.9101569,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,12278.06754598,27313.45463679,2138.99042519,0.0,0.0,0,0,0.0,0,0,0,0.0,6202.1693016,27313.45463679,2138.99042519,0.0,0.0,0,0,0.0,0,0,0,0.0,12278.06754598,27313.45463679,2138.99042519,0.0,0.0
1,3283000,Wells city,10931.36779181,9655.78586678,0.0,7616.77806268,8425.50678784,24194.32222418,44298.42063452,0.0,0.0,0.0,0,0,10931.36779181,4827.89293339,0.0,4048.42440612,4212.75339392,12097.16111209,22149.21031726,0.0,0.0,0.0,0,0,19734.36276899,11384.85784039,0.0,12402.737282529999,8570.31773744,24194.32222418,44298.42063452,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,47812.63053807,3675.98595737,1597.5727401,0.0,0.0,0,0,0.0,0,0,0,0.0,24127.66712709,3675.98595737,1597.5727401,0.0,0.0,0,0,0.0,0,0,0,0.0,47812.63053807,3675.98595737,1597.5727401,0.0,0.0
2,3285400,Yerington city,0.0,12690.48055332,0.0,10294.3514877,15680.96970978,42776.91314084,74405.47302614,0.0,0.0,0.0,0,0,0.0,6345.24027666,0.0,5147.17574385,7840.48485489,21388.45657042,37202.73651307,0.0,0.0,0.0,0,0,0.0,12690.48055332,0.0,10294.3514877,15680.96970978,42776.91314084,74405.47302614,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,19509.14886493,196595.76781647,15170.64810226,0.0,0.0,0,0,0.0,0,0,0,0.0,10187.08736804,196595.76781647,15170.64810226,0.0,0.0,0,0,0.0,0,0,0,0.0,19509.14886493,196595.76781647,15170.64810226,0.0,0.0
3,3268400,Sparks city,30868.57081671,4143.04304957,83656.51461485,115897.77071784,183718.91815336,74295.6551532,835789.40626789,16337.59153206,0.0,29.394446870000003,0,0,30868.57081671,4143.04304957,78904.28630064,92787.38561307,106174.08634249,39824.30550462,420700.31686455,8350.72147065,0.0,29.394446870000003,0,0,68547.34320714,10233.70438782,176945.15438067,209473.84395525,192279.87684684,75192.11894049,835819.50348611,16427.60791715,0.0,29.394446870000003,0,0,0,0,0.0,0,0,0,0.0,883979.01867966,75675.61095332,299443.21446806,18813.77675151,0.0,0,0,0.0,0,0,0,0.0,459734.10551912,75675.61095332,299443.21446806,18813.77675151,0.0,0,0,0.0,0,0,0,0.0,884277.05408687,75675.61095332,299443.21446806,18813.77675151,0.0
4,3224100,Fallon city,0.0,10968.87084767,1789.55055276,3470.2133503200002,19032.41378543,4660.85774378,129580.35024119,0.0,0.0,0.0,0,0,0.0,5797.87237102,894.77527638,1881.88592368,9534.40934506,2330.42887189,65165.28251644,0.0,0.0,0.0,0,0,0.0,19329.25503066,3300.51442318,3470.2133503200002,19032.41378543,4660.85774378,129729.77323623,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,98151.15269088,2709.0028546900003,17458.04882584,1078.82388175,0.0,0,0,0.0,0,0,0,0.0,50352.3731256,2709.00285469,17458.04882584,1078.82388175,0.0,0,0,0.0,0,0,0,0.0,98151.15269088,2709.0028546900003,17458.04882584,2157.6477635,0.0
5,3224900,Fernley city,45385.59250693,29339.71911322,39295.6158084,1234.11656577,47024.02849848,26329.54925931,396185.44841833,0.0,0.0,0.0,0,0,45385.59250693,29133.57764018,20444.83898162,762.27626802,25679.33087536,13384.44966506,199289.71295744,0.0,0.0,0.0,0,0,86753.71233016,67628.89912282,42122.01536699,1661.61885322,50977.52529421,26931.64114687,396185.44841833,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,194447.85562116,421860.9825845,169122.06285793,5893.83658569,0.0,0,0,0.0,0,0,0,0.0,100035.76510555,421860.9825845,169119.20872344,5893.83658569,0.0,0,0,0.0,0,0,0,0.0,194447.85562116,421860.9825845,169122.06285793,5893.83658569,0.0
6,3206500,Boulder City city,52294.31104249,61783.10870984,13476.94092996,20190.49090157,60213.40756977,23333.68258396,226287.6262625,0.0,63334.41360377,0.0,0,0,52294.31104249,61501.63703731,12500.80419075,16950.64336066,40346.40218838,11666.84129198,115039.03924778,0.0,63334.41360377,0.0,0,0,104976.80773346,122272.67974562,28387.36491786,33341.08927146,68715.51954511,23333.68258396,226287.6262625,0.0,63334.41360377,0.0,0,0,0,0,0.0,0,0,0,0.0,603971.31104703,340188.98762662,15289.82237889,34190.13239128,227.76247224,0,0,0.0,0,0,0,0.0,306596.28294715,339172.75994748,15289.82237889,29502.33326086,113.88123612,0,0,0.0,0,0,0,0.0,603971.31104703,340907.07131496,15289.82237889,34190.13239128,227.76247224
7,3251800,North Las Vegas city,116634.43622384,0.0,147532.09272936,169625.22465866,467607.00647854,67648.26332814,2009064.02652922,704.46138888,255.81371538,0.0,0,0,116634.43622384,0.0,128759.26224196,141290.81127142,269334.20995333,35766.00191734,1017115.42235535,352.23069444,255.81371538,0.0,0,0,285843.10556999,0.0,454212.41927662,485794.64931537,940184.43345025,68062.69319563,2009539.15103292,704.46138888,255.81371538,0.0,0,0,0,0,0.0,0,0,0,0.0,1686117.57306894,117373.59211814,69434.06354607,22961.07910373,3217.24801056,0,0,0.0,0,0,0,0.0,875231.44404378,117373.59211814,69434.06354607,22944.17981589,1608.62400528,0,0,0.0,0,0,0,0.0,1686368.63577886,117373.59211814,69434.06354607,22961.07910373,3217.24801056
8,3283730,West Wendover city,15319.21634385,0.0,16772.87595184,0.0,21960.34822401,0.0,36666.25995624,0.0,5042.99025322,0.0,0,0,15319.21634385,0.0,8932.13416943,0.0,11824.12347615,0.0,18781.72740156,0.0,2907.95319117,0.0,0,0,35642.51009282,0.0,29307.90012314,0.0,21960.34822401,0.0,36666.25995624,0.0,5042.99025322,0.0,0,0,0,0,0.0,0,0,0,0.0,56609.84455524,39687.20093924,11185.40835165,0.0,0.0,0,0,0.0,0,0,0,0.0,29140.5825973,39687.20093924,11185.40835165,0.0,0.0,0,0,0.0,0,0,0,0.0,56609.84455524,39687.20093924,11185.40835165,0.0,0.0
9,3223500,Ely city,0.0,13546.92589281,6256.15902392,0.0,38929.38064168,2079.18592532,99505.9907443,0.0,0.0,0.0,0,0,0.0,7160.02356813,3506.71112357,0.0,19464.69032084,1039.59296266,49776.98852968,0.0,0.0,0.0,0,0,0.0,21008.96925892,11745.826243970001,0.0,38929.38064168,2079.18592532,99606.87315804,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,61632.39916688,19325.41012869,1900.9235157,0.0,0.0,0,0,0.0,0,0,0,0.0,31005.90646922,19325.41012869,1900.9235157,0.0,0.0,0,0,0.0,0,0,0,0.0,61632.39916688,19325.41012869,1900.9235157,0.0,0.0
