,GEOID,NAMELSAD,motorway,trunk,primary,secondary,tertiary,unclassified,residential,service,track,footway,cycleway,living_street,cl_motorway,cl_trunk,cl_primary,cl_secondary,cl_tertiary,cl_unclassified,cl_residential,cl_service,cl_track,cl_footway,cl_cycleway,cl_living_street,lane_m_motorway,lane_m_trunk,lane_m_primary,lane_m_secondary,lane_m_tertiary,lane_m_unclassified,lane_m_residential,lane_m_service,lane_m_track,lane_m_footway,lane_m_cycleway,lane_m_living_street,n_motorway,n_trunk,n_primary,n_secondary,n_tertiary,n_unclassified,n_residential,n_service,n_track,n_footway,n_cycleway,n_living_street,n_cl_motorway,n_cl_trunk,n_cl_primary,n_cl_secondary,n_cl_tertiary,n_cl_unclassified,n_cl_residential,n_cl_service,n_cl_track,n_cl_footway,n_cl_cycleway,n_cl_living_street,n_lane_m_motorway,n_lane_m_trunk,n_lane_m_primary,n_lane_m_secondary,n_lane_m_tertiary,n_lane_m_unclassified,n_lane_m_residential,n_lane_m_service,n_lane_m_track,n_lane_m_footway,n_lane_m_cycleway,n_lane_m_living_street
0,3406370,Bloomsbury borough,3746.60898538,0.0,575.11689558,0.0,3125.223436,0.0,17743.03394466,0.0,0.0,0.0,0,0,3746.60898538,0.0,287.55844779,0.0,1562.611718,0.0,8871.51697233,0.0,0.0,0.0,0,0,10620.29616729,0.0,575.11689558,0.0,3125.223436,0.0,17743.03394466,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,8604.06915142,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,5825.86760159,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,8604.06915142,0.0,0.0,0.0,0.0
1,3409280,Califon borough,0.0,0.0,1661.43981408,5185.6455976,132.75455874,6495.31611204,14219.3697472,0.0,0.0,0.0,0,0,0.0,0.0,830.71990704,2592.8227988,66.37727937,3247.65805602,7109.6848736,0.0,0.0,0.0,0,0,0.0,0.0,1661.43981408,5185.6455976,132.75455874,6495.31611204,14219.3697472,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,16540.37882572,0.0,419.05521904,2240.41475465,0.0,0,0,0,0,0,0.0,0.0,8390.411976450001,0.0,419.05521904,2240.41475465,0.0,0,0,0,0,0,0.0,0.0,16540.37882572,0.0,419.05521904,2240.41475465,0.0
2,3413720,Clinton town,4733.28778099,1618.89160535,0.0,7092.83210841,8536.18613248,814.91820338,26287.04811483,0.0,0.0,0.0,0,0,4733.28778099,1618.89160535,0.0,3720.75478332,4735.78547783,407.45910169,13209.11907053,0.0,0.0,0.0,0,0,14087.58705779,3237.7832107,0.0,7114.03383917,8536.18613248,814.91820338,26287.04811483,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,19780.42521265,0.0,679.95243914,998.07092689,0.0,0,0,0,0,0,0.0,0.0,10774.09547098,0.0,679.95243914,998.0709268899999,0.0,0,0,0,0,0,0.0,0.0,19780.42521265,0.0,679.95243914,998.07092689,0.0
3,3423700,Flemington borough,0.0,3339.70793938,0.0,2484.17708989,11455.35731834,988.54362331,32609.35173479,0.0,0.0,0.0,0,0,0.0,3104.71972302,0.0,1788.52043819,6000.96538568,524.49593067,17216.89048824,0.0,0.0,0.0,0,0,0.0,6949.8837455699995,0.0,4895.1797383,12316.59608921,988.54362331,65133.60474117,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,65736.69185237,0.0,37999.60004534,0.0,0.0,0,0,0,0,0,0.0,0.0,36159.14439206,0.0,37999.60004534,0.0,0.0,0,0,0,0,0,0.0,0.0,65736.69185237,0.0,37999.60004534,0.0,0.0
4,3426550,Glen Gardner borough,0.0,5260.62176224,0.0,4243.60513472,0.0,0.0,31641.09845228,0.0,0.0,0.0,0,0,0.0,2630.31088112,0.0,2137.53695713,0.0,0.0,15934.64018857,0.0,0.0,0.0,0,0,0.0,5260.62176224,0.0,4243.60513472,0.0,0.0,31641.09845228,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,61.69987196,15222.479475600001,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,30.84993598,7621.42881921,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,61.69987196,15222.479475600001,0.0,0.0,0.0,0.0
5,3429460,Hampton borough,0.0,3777.2320612599997,0.0,3009.41517084,321.80314776,2924.1106118,23987.82311709,0.0,0.0,0.0,0,0,0.0,1888.61603063,0.0,1504.70758542,160.90157388,1462.0553059,12352.28878966,0.0,0.0,0.0,0,0,0.0,3777.2320612599997,0.0,3009.41517084,321.80314776,2924.1106118,23987.82311709,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,15828.11262239,281.85287413000003,11.44774332,179.65997993,0.0,0,0,0,0,0,0.0,0.0,7941.5446264,281.85287413000003,11.44774332,179.65997993,0.0,0,0,0,0,0,0.0,0.0,15828.11262239,281.85287413000003,11.44774332,179.65997993,0.0
6,3431320,High Bridge borough,0.0,0.0,5985.07574194,0.0,1502.05190216,0.0,64773.53142108,0.0,0.0,0.0,0,0,0.0,0.0,2992.53787097,0.0,751.02595108,0.0,32386.76571054,0.0,0.0,0.0,0,0,0.0,0.0,5985.07574194,0.0,1502.05190216,0.0,64773.53142108,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,34774.67187118,497.12795145999996,5168.83035759,6842.21435011,0.0,0,0,0,0,0,0.0,0.0,17427.6050085,497.12795145999996,5168.83035759,3548.4851811199997,0.0,0,0,0,0,0,0.0,0.0,34774.67187118,497.12795145999996,5168.83035759,6842.21435011,0.0
7,3438610,Lambertville city,818.03381514,2487.54595862,2991.13427284,3325.90376871,3708.40003121,2490.49558968,41338.080370460004,0.0,0.0,0.0,0,0,818.03381514,2169.59137201,1516.30388075,1826.27259965,2024.55571548,1245.24779484,21962.00855928,0.0,0.0,0.0,0,0,1636.06763028,2684.31162897,2991.13427284,3325.90376871,3708.40003121,2490.49558968,41338.080370460004,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,19448.26098869,0.0,20059.42406605,3677.7596205600003,0.0,0,0,0,0,0,0.0,0.0,10069.11067746,0.0,20059.42406605,3677.7596205600003,0.0,0,0,0,0,0,0.0,0.0,19448.26098869,0.0,20059.42406605,3677.7596205600003,0.0
8,3439630,Lebanon borough,4616.85966884,4852.35890782,0.0,0.0,5750.87612748,1574.6262779600002,19671.90665395,0.0,0.0,0.0,0,0,4616.85966884,4778.53323439,0.0,0.0,2875.43806374,787.31313898,10701.49671291,0.0,0.0,0.0,0,0,13956.298849159999,9361.93643579,0.0,0.0,5750.87612748,1574.6262779600002,19671.90665395,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,22890.6339847,0.0,128.29925962,0.0,0.0,0,0,0,0,0,0.0,0.0,11639.4645211,0.0,128.29925962,0.0,0.0,0,0,0,0,0,0.0,0.0,22890.6339847,0.0,128.29925962,0.0,0.0
9,3446260,Milford borough,0.0,0.0,0.0,0.0,10261.59303936,1296.3896270999999,20848.2225051,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,5130.79651968,648.19481355,10464.39976118,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,10261.59303936,1296.3896270999999,20848.2225051,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,14043.92638515,0.0,2176.9124187400002,40.53377026,0.0,0,0,0,0,0,0.0,0.0,7077.14345776,0.0,2176.91241874,40.53377026,0.0,0,0,0,0,0,0.0,0.0,14043.92638515,0.0,2176.9124187400002,40.53377026,0.0
