,GEOID,NAMELSAD,motorway,trunk,primary,secondary,tertiary,unclassified,residential,service,track,footway,cycleway,living_street,cl_motorway,cl_trunk,cl_primary,cl_secondary,cl_tertiary,cl_unclassified,cl_residential,cl_service,cl_track,cl_footway,cl_cycleway,cl_living_street,lane_m_motorway,lane_m_trunk,lane_m_primary,lane_m_secondary,lane_m_tertiary,lane_m_unclassified,lane_m_residential,lane_m_service,lane_m_track,lane_m_footway,lane_m_cycleway,lane_m_living_street,n_motorway,n_trunk,n_primary,n_secondary,n_tertiary,n_unclassified,n_residential,n_service,n_track,n_footway,n_cycleway,n_living_street,n_cl_motorway,n_cl_trunk,n_cl_primary,n_cl_secondary,n_cl_tertiary,n_cl_unclassified,n_cl_residential,n_cl_service,n_cl_track,n_cl_footway,n_cl_cycleway,n_cl_living_street,n_lane_m_motorway,n_lane_m_trunk,n_lane_m_primary,n_lane_m_secondary,n_lane_m_tertiary,n_lane_m_unclassified,n_lane_m_residential,n_lane_m_service,n_lane_m_track,n_lane_m_footway,n_lane_m_cycleway,n_lane_m_living_street
0,3547570,Melrose village,0.0,4787.99196706,830.58383881,3827.19992836,0.0,0.0,60247.84347638,0.0,0.0,0,0,0.0,0.0,2393.99598353,463.52737817999997,1913.59996418,0.0,0.0,30123.92173819,0.0,0.0,0,0,0.0,0.0,6980.84326484,830.58383881,3827.19992836,0.0,0.0,60247.84347638,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0.0,1064.50177996,130.31749347,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,532.25088998,130.31749347,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,1064.50177996,130.31749347,0.0,0.0,0.0
1,3577250,Texico city,0.0,4378.99536169,0.0,3790.84312126,0.0,2920.6093176599998,29660.886856,0.0,0.0,0,0,0.0,0.0,2454.71489506,0.0,1895.42156063,0.0,1460.3046588299999,14830.443428,0.0,0.0,0,0,0.0,0.0,8659.05433366,0.0,3790.84312126,0.0,2920.6093176599998,29660.886856,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0.0,16578.19993594,145.72492999,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,8467.96424855,145.72492999,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,16578.19993594,145.72492999,0.0,0.0,0.0
2,3512850,Causey village,0.0,0.0,0.0,32881.7510446,0.0,0.0,63782.61134472,0.0,0.0,0,0,0.0,0.0,0.0,0.0,16440.8755223,0.0,0.0,31891.30567236,0.0,0.0,0,0,0.0,0.0,0.0,0.0,32881.7510446,0.0,0.0,63782.61134472,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0.0,9543.57832972,389.53674823999995,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,4771.78916486,389.53674823999995,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,9543.57832972,389.53674823999995,0.0,0.0,0.0
3,3521180,Dora village,0.0,23204.54318902,0.0,13800.58446426,0.0,0.0,21576.74716282,0.0,0.0,0,0,0.0,0.0,11602.271594509999,0.0,6900.29223213,0.0,0.0,10788.37358141,0.0,0.0,0,0,0.0,0.0,23204.54318902,0.0,13800.58446426,0.0,0.0,21576.74716282,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0.0,2318.96613428,138.71737532,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,1159.48306714,138.71737532,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,2318.96613428,138.71737532,0.0,0.0,0.0
4,3523000,Elida town,0.0,5114.05002722,0.0,3664.13553884,539.31373564,0.0,38171.6259608,0.0,0.0,0,0,0.0,0.0,4080.24767484,0.0,1832.06776942,269.65686782,0.0,19085.8129804,0.0,0.0,0,0,0.0,0.0,9391.80194728,0.0,3664.13553884,539.31373564,0.0,38171.6259608,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0.0,1613.16567068,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,806.58283534,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,1613.16567068,0.0,0.0,0.0,0.0
5,3526570,Floyd village,0.0,0.0,3993.79242674,15044.38166438,0.0,1554.68109542,35356.64257796,0.0,0.0,0,0,0.0,0.0,0.0,1996.89621337,7522.19083219,0.0,777.34054771,17678.32128898,0.0,0.0,0,0,0.0,0.0,0.0,3993.79242674,15044.38166438,0.0,1554.68109542,35356.64257796,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0.0,9378.003013,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,4689.0015065,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,9378.003013,0.0,0.0,0.0,0.0
6,3533290,Hope village,0.0,0.0,14393.52706296,0.0,1071.78647756,728.73399136,30468.104253,0.0,0.0,0,0,0.0,0.0,0.0,7196.76353148,0.0,535.89323878,364.36699568,15234.0521265,0.0,0.0,0,0,0.0,0.0,0.0,14393.52706296,0.0,1071.78647756,728.73399136,30468.104253,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,634.87085191,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,634.87085191,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,634.87085191,0.0,0.0,0.0
7,3539380,Las Cruces city,133262.84500707,838.70367566,36603.45256625,166154.51754197,317189.34283009,108880.62104715,1313051.94758124,0.0,8072.0904299,0,0,0.0,133005.46581927,838.70367566,33042.4450471,135857.85558274,178162.19060911,55365.26838101,662752.12322735,0.0,8072.0904299,0,0,0.0,271856.93538857,1933.67586241,75956.02889155,343888.93783424,331430.72997506,109292.71115072,1313051.94758124,0.0,8072.0904299,0,0,0.0,0,0,0,0,0,0.0,1085.95554162,735058.93087875,154021.26204329,39309.82342278,18976.14697237,0.0,0,0,0,0,0,0.0,542.97777081,389797.56663139,154021.26204329,39309.82342278,18976.14697237,0.0,0,0,0,0,0,0.0,1085.95554162,735058.93087875,154021.26204329,39309.82342278,18976.14697237,0.0
8,3575640,Sunland Park city,0.0,5971.63779571,618.58349898,37357.87704353,18123.14651803,27144.64030334,184294.59834096,0.0,0.0,0,0,0.0,0.0,5942.81946146,309.29174949,20753.55410765,9913.69605341,13572.32015167,92330.48843817,0.0,0.0,0,0,0.0,0.0,11943.27559142,1855.75049694,37357.87704353,18363.71567376,27144.64030334,184294.59834096,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0.0,80016.79490854,23005.44048727,785.59074253,3186.81563912,0.0,0,0,0,0,0,0.0,0.0,40431.2889399,23005.44048727,785.59074253,3186.81563912,0.0,0,0,0,0,0,0.0,0.0,80016.79490854,23005.44048727,785.59074253,3186.81563912,0.0
9,3530490,Grants city,22536.90063361,0.0,18943.44494565,15796.9010002,46455.03563159,17561.95496815,151344.77395299,0.0,0.0,0,0,0.0,22536.90063361,0.0,16280.936668979999,9379.03815292,23524.19241637,9739.99761539,75860.16047102,0.0,0.0,0,0,0.0,41379.096441710004,0.0,44480.64703993,16009.1259717,46916.95198243,17561.95496815,151344.77395299,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0.0,26052.44206941,24700.0335236,572.1175653500001,0.0,0.0,0,0,0,0,0,0.0,0.0,13036.56373461,24700.0335236,572.1175653500001,0.0,0.0,0,0,0,0,0,0.0,0.0,26052.44206941,24700.0335236,572.1175653500001,0.0,0.0
