,GEOID,NAMELSAD,motorway,trunk,primary,secondary,tertiary,unclassified,residential,service,track,footway,cycleway,living_street,cl_motorway,cl_trunk,cl_primary,cl_secondary,cl_tertiary,cl_unclassified,cl_residential,cl_service,cl_track,cl_footway,cl_cycleway,cl_living_street,lane_m_motorway,lane_m_trunk,lane_m_primary,lane_m_secondary,lane_m_tertiary,lane_m_unclassified,lane_m_residential,lane_m_service,lane_m_track,lane_m_footway,lane_m_cycleway,lane_m_living_street,n_motorway,n_trunk,n_primary,n_secondary,n_tertiary,n_unclassified,n_residential,n_service,n_track,n_footway,n_cycleway,n_living_street,n_cl_motorway,n_cl_trunk,n_cl_primary,n_cl_secondary,n_cl_tertiary,n_cl_unclassified,n_cl_residential,n_cl_service,n_cl_track,n_cl_footway,n_cl_cycleway,n_cl_living_street,n_lane_m_motorway,n_lane_m_trunk,n_lane_m_primary,n_lane_m_secondary,n_lane_m_tertiary,n_lane_m_unclassified,n_lane_m_residential,n_lane_m_service,n_lane_m_track,n_lane_m_footway,n_lane_m_cycleway,n_lane_m_living_street
0,3601517,Altamont village,0.0,0.0,7949.21805798,2057.8226330400003,2592.57128174,280.70190802,17852.73453847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3974.60902899,1028.9113165200001,1296.28564087,140.35095401,9013.56149792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7949.21805798,2057.8226330400003,2592.57128174,280.70190802,17852.73453847,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,19988.1515953,0.0,41.067164219999995,0.0,0.0,0,0,0,0,0.0,0.0,0.0,10197.01018988,0.0,41.067164219999995,0.0,0.0,0,0,0,0,0.0,0.0,0.0,19988.1515953,0.0,41.067164219999995,0.0,0.0
1,3656979,Peekskill city,11076.4223454,8364.94357272,11276.30763444,542.48259358,35939.44467292,3023.54881088,146358.11686142,0.0,0.0,0.0,0.0,0.0,11076.4223454,5889.4917351,5638.15381722,271.24129679,18284.11777764,1511.77440544,76852.75874342,0.0,0.0,0.0,0.0,0.0,18778.24615941,11430.17975148,14113.55000874,542.48259358,36066.83379386,3023.54881088,146358.11686142,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,63191.72453149,3460.46776012,4359.10701763,6938.78992818,0.0,0,0,0,0,0.0,0.0,0.0,33813.86883523,3460.46776012,4359.10701763,6632.48986069,0.0,0,0,0,0,0.0,0.0,0.0,63191.72453149,3460.46776012,4359.10701763,6938.78992818,0.0
2,3618388,Cortland city,5664.8830939,8165.20038262,14842.47107962,0.0,5937.06824927,0.0,141085.88115281,0.0,0.0,0.0,0.0,0.0,5664.8830939,4082.60019131,7421.23553981,0.0,3641.13570378,0.0,71060.95016494,0.0,0.0,0.0,0.0,0.0,10240.72123103,11142.332138509999,14842.47107962,0.0,6379.9085232,0.0,141273.40826791,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,29779.72256838,0.0,5871.25850074,0.0,0.0,0,0,0,0,0.0,0.0,0.0,15150.01569808,0.0,5871.25850074,0.0,0.0,0,0,0,0,0.0,0.0,0.0,44669.58385257,0.0,5871.25850074,0.0,0.0
3,3635276,Homer village,5463.87998823,0.0,17486.82480014,0.0,1542.6189474,0.0,42762.26763829,0.0,0.0,0.0,0.0,0.0,5055.15630386,0.0,8743.41240007,0.0,771.3094736999999,0.0,21520.2773984,0.0,0.0,0.0,0.0,0.0,9162.87792011,0.0,17497.65805963,0.0,1542.6189474,0.0,42762.26763829,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,7252.80810785,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,3738.46827955,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,7252.80810785,0.0,0.0,0.0,0.0
4,3642147,Lewiston village,0.0,0.0,7493.53297765,4250.37092048,0.0,477.6965199,48488.48467268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7462.3940997,2125.18546024,0.0,238.84825995,24494.85041743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14223.18559157,8500.74184096,0.0,477.6965199,48488.48467268,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,22801.35007541,0.0,3129.95500938,831.77371007,0.0,0,0,0,0,0.0,0.0,0.0,11489.15606918,0.0,3129.95500938,831.77371007,0.0,0,0,0,0,0.0,0.0,0.0,22801.35007541,0.0,3129.95500938,831.77371007,0.0
5,3643082,Lockport city,0.0,14605.4867217,12529.99567043,5778.01019052,32155.00112928,7976.99355528,245829.21067639,0.0,0.0,0.0,0.0,0.0,0.0,7651.38772765,7122.39905625,2889.00509526,16316.65610099,3988.49677764,124082.23146122,0.0,0.0,0.0,0.0,0.0,0.0,43620.96052458,12656.78071953,5778.01019052,32155.00112928,7976.99355528,245829.21067639,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,110770.98664236,66.27050146,8716.48291143,6630.8304955,0.0,0,0,0,0,0.0,0.0,0.0,56808.92643802,66.27050145999999,8716.48291143,6525.10912369,0.0,0,0,0,0,0.0,0.0,0.0,110770.98664236,66.27050146,8716.48291143,6630.8304955,0.0
6,3646998,Middleport village,0.0,2177.81882642,0.0,5531.3134862,0.0,0.0,22004.38176722,0.0,0.0,0.0,0.0,0.0,0.0,1088.90941321,0.0,2765.6567431,0.0,0.0,11002.19088361,0.0,0.0,0.0,0.0,0.0,0.0,2177.81882642,0.0,5531.3134862,0.0,0.0,22004.38176722,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,10431.07639171,596.8349901500001,8.7673729,1510.43294201,0.0,0,0,0,0,0.0,0.0,0.0,5289.45641954,596.8349901500001,8.7673729,1510.43294201,0.0,0,0,0,0,0.0,0.0,0.0,10431.07639171,596.8349901500001,8.7673729,1510.43294201,0.0
7,3651055,Niagara Falls city,12140.97211961,16121.68461576,46160.08652081,67969.37465335,59427.51860784,9131.46748805,461100.62352023,931.33474054,0.0,0.0,0.0,0.0,12140.97211961,15859.39770062,33389.07065575,36939.73923806,30784.07261995,5013.72904476,244789.34839556,931.33474054,0.0,0.0,0.0,0.0,19453.37733291,32054.97894179,85711.26387254,118804.59281735,62838.75185432,9526.167793820001,467373.8902429,931.33474054,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,385786.12861167,2100.2745929,60284.46948134,17363.05123842,0.0,0,0,0,0,0.0,0.0,0.0,200822.61780159,2100.2745929,60157.34833625,16367.00782589,0.0,0,0,0,0,0.0,0.0,0.0,386029.65225635,2100.2745929,60284.46948134,17363.05123842,0.0
8,3645392,Marathon village,5029.29406815,0.0,5410.99458916,1702.86701472,2272.86663364,1660.1298165,16556.50767084,0.0,0.0,0.0,0.0,0.0,5029.29406815,0.0,2705.49729458,851.43350736,1136.43331682,830.0649082499999,8278.25383542,0.0,0.0,0.0,0.0,0.0,9146.4928734,0.0,5410.99458916,1702.86701472,2272.86663364,1660.1298165,16556.50767084,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,16386.87377036,0.0,23.59489203,0.0,0.0,0,0,0,0,0.0,0.0,0.0,8253.82426876,0.0,23.59489203,0.0,0.0,0,0,0,0,0.0,0.0,0.0,16386.87377036,0.0,23.59489203,0.0,0.0
9,3684143,Youngstown village,0.0,0.0,1761.19045654,8011.8368048,71.45186924,0.0,24114.74638788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1761.19045654,4005.9184024,35.72593462,0.0,12258.55599723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3502.74192507,8011.8368048,71.45186924,0.0,24114.74638788,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,8185.8142589,0.0,1057.70001527,0.0,0.0,0,0,0,0,0.0,0.0,0.0,4339.66804369,0.0,1057.70001527,0.0,0.0,0,0,0,0,0.0,0.0,0.0,8185.8142589,0.0,1057.70001527,0.0,0.0
10,3601033,Albion village,0.0,6975.93403286,0.0,4879.65656522,13.14899548,0.0,75758.57532687,0.0,0.0,0.0,0.0,0.0,0.0,3487.96701643,0.0,2439.82828261,6.57449774,0.0,38085.20922441,0.0,0.0,0.0,0.0,0.0,0.0,6975.93403286,0.0,4879.65656522,13.14899548,0.0,75758.57532687,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,16696.15988188,0.0,284.87772377,128.8048212,0.0,0,0,0,0,0.0,0.0,0.0,8984.929938199999,0.0,284.87772377,128.8048212,0.0,0,0,0,0,0.0,0.0,0.0,16696.15988188,0.0,284.87772377,128.8048212,0.0
11,3635155,Holley village,0.0,5000.41715768,0.0,3306.84344026,175.81043418,0.0,22180.00331942,0.0,0.0,0.0,0.0,0.0,0.0,2500.20857884,0.0,1653.42172013,87.90521709,0.0,11191.75370269,0.0,0.0,0.0,0.0,0.0,0.0,5000.41715768,0.0,3306.84344026,175.81043418,0.0,22180.00331942,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,6518.50203826,1156.82785924,392.72645852,28.07068463,0.0,0,0,0,0,0.0,0.0,0.0,3259.2510191300003,1156.82785924,392.72645852,28.07068463,0.0,0,0,0,0,0.0,0.0,0.0,6518.50203826,1156.82785924,392.72645852,28.07068463,0.0
12,3605815,Belmont village,0.0,0.0,6819.97860908,0.0,0.0,2719.55456088,13856.5159172,0.0,0.0,141.76446847,0.0,0.0,0.0,0.0,3409.98930454,0.0,0.0,1359.77728044,7011.22639652,0.0,0.0,141.76446847,0.0,0.0,0.0,0.0,6819.97860908,0.0,0.0,2719.55456088,13856.5159172,0.0,0.0,141.76446847,0.0,0.0,0,0,0,0,0.0,0.0,0.0,8580.27566114,594.1799475299999,728.74776273,0.0,0.0,0,0,0,0,0.0,0.0,0.0,4575.44601233,594.1799475299999,728.74776273,0.0,0.0,0,0,0,0,0.0,0.0,0.0,8580.27566114,594.1799475299999,728.74776273,0.0,0.0
13,3676155,Union Springs village,0.0,0.0,7699.67717612,0.0,2045.96405136,0.0,28772.89116892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3849.83858806,0.0,1022.98202568,0.0,14386.44558446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7699.67717612,0.0,2045.96405136,0.0,28772.89116892,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,7050.42879757,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,3643.7794917,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,7050.42879757,0.0,0.0,0.0,0.0
14,3601198,Alfred village,0.0,0.0,2455.71696862,0.0,4937.05798338,0.0,29710.50342282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1255.71014613,0.0,2468.52899169,0.0,15204.69371105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2455.71696862,0.0,4937.05798338,0.0,29710.50342282,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,36683.33287015,0.0,26544.72030367,0.0,0.0,0,0,0,0,0.0,0.0,0.0,18607.89695355,0.0,26544.72030367,0.0,0.0,0,0,0,0,0.0,0.0,0.0,36683.33287015,0.0,26544.72030367,0.0,0.0
15,3602143,Andover village,0.0,0.0,6084.345568,0.0,7.7483467,64.39903909,24910.96666776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3042.172784,0.0,3.87417335,64.39903909,12506.47392274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6084.345568,0.0,7.7483467,64.39903909,24910.96666776,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,3258.28171994,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,1629.14085997,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,3258.28171994,0.0,0.0,0.0,0.0
16,3602176,Angelica village,6721.95955337,0.0,0.0,6196.17158951,4903.57499594,0.0,29745.2004482,0.0,0.0,0.0,0.0,0.0,6721.95955337,0.0,0.0,3282.77157396,2451.78749797,0.0,14986.92397906,0.0,0.0,0.0,0.0,0.0,11267.21363417,0.0,0.0,6196.17158951,4903.57499594,0.0,29745.2004482,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,14499.62420284,368.61016789999996,8455.30877918,0.0,0.0,0,0,0,0,0.0,0.0,0.0,7249.81210142,368.6101679,8455.308779179999,0.0,0.0,0,0,0,0,0.0,0.0,0.0,14499.62420284,368.61016789999996,8455.30877918,0.0,0.0
17,3607190,Bolivar village,0.0,0.0,6613.83660034,0.0,0.0,2116.62393476,19223.562000179998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3306.91830017,0.0,0.0,1058.31196738,9611.781000089999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6613.83660034,0.0,0.0,2116.62393476,19223.562000179998,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,175.03804138,0.0,2474.56207693,0.0,0.0,0,0,0,0,0.0,0.0,0.0,87.51902069,0.0,2474.56207693,0.0,0.0,0,0,0,0,0.0,0.0,0.0,175.03804138,0.0,2474.56207693,0.0,0.0
18,3619356,Cuba village,3970.42694207,0.0,5334.84306054,0.0,1916.19412038,1905.6215313,29219.60283166,0.0,0.0,0.0,0.0,0.0,3970.42694207,0.0,2667.42153027,0.0,958.09706019,952.81076565,14609.80141583,0.0,0.0,0.0,0.0,0.0,6583.93627658,0.0,5334.84306054,0.0,1916.19412038,1905.6215313,29219.60283166,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,12034.13035186,37.67460822,3650.62099224,0.0,0.0,0,0,0,0,0.0,0.0,0.0,6216.62506869,37.67460822,3644.60779912,0.0,0.0,0,0,0,0,0.0,0.0,0.0,12058.06074618,37.67460822,3650.62099224,0.0,0.0
19,3679092,Wellsville village,0.0,0.0,11008.06007039,0.0,4410.43974946,2403.34029216,82242.57527577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6724.88440891,0.0,2205.21987473,1201.67014608,41291.80473162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22221.14242274,0.0,4410.43974946,2403.34029216,82242.57527577,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,42742.3132579,110.29911538,6519.63034143,0.0,0.0,0,0,0,0,0.0,0.0,0.0,22519.85755395,110.29911538,6519.63034143,0.0,0.0,0,0,0,0,0.0,0.0,0.0,42742.3132579,110.29911538,6519.63034143,0.0,0.0
20,3620390,DeRuyter village,0.0,0.0,2746.14145582,0.0,1071.73570972,0.0,6532.67163008,600.4637907399999,0.0,0.0,0.0,0.0,0.0,0.0,1373.07072791,0.0,535.86785486,0.0,3266.33581504,300.23189536999996,0.0,0.0,0.0,0.0,0.0,0.0,2746.14145582,0.0,1071.73570972,0.0,6532.67163008,600.4637907399999,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,1900.16878012,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,950.08439006,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,1900.16878012,0.0,0.0,0.0,0.0
21,3644424,Madison village,0.0,2169.51780244,0.0,0.0,2456.80702668,0.0,1520.1119175,0.0,0.0,0.0,0.0,0.0,0.0,1084.75890122,0.0,0.0,1228.40351334,0.0,760.05595875,0.0,0.0,0.0,0.0,0.0,0.0,2169.51780244,0.0,0.0,2456.80702668,0.0,1520.1119175,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,3347.94550148,0.0,3580.32450776,0.0,0.0,0,0,0,0,0.0,0.0,0.0,1673.97275074,0.0,3580.32450776,0.0,0.0,0,0,0,0,0.0,0.0,0.0,3347.94550148,0.0,3580.32450776,0.0,0.0
22,3642950,Livonia village,0.0,0.0,4998.09858038,0.0,0.0,0.0,19835.32875001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2499.04929019,0.0,0.0,0.0,9961.20130186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4998.09858038,0.0,0.0,0.0,19835.32875001,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,8771.43830757,0.0,1467.86822111,0.0,0.0,0,0,0,0,0.0,0.0,0.0,4469.77648194,0.0,1467.86822111,0.0,0.0,0,0,0,0,0.0,0.0,0.0,8771.43830757,0.0,1467.86822111,0.0,0.0
23,3670123,Speculator village,0.0,0.0,28853.323992319998,0.0,7722.32042682,42767.6822315,25580.3187747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14456.82102528,0.0,3861.16021341,21383.84111575,12790.15938735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30525.16208584,0.0,7722.32042682,42767.6822315,25580.3187747,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,16281.32652306,34687.66696545,1511.12226354,0.0,0.0,0,0,0,0,0.0,0.0,0.0,8140.66326153,34687.66696545,1511.12226354,0.0,0.0,0,0,0,0,0.0,0.0,0.0,16281.32652306,34687.66696545,1511.12226354,0.0,0.0
24,3606959,Bloomingburg village,0.0,0.0,0.0,0.0,5699.8042171,59.60727392,10169.760418849999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2849.90210855,29.80363696,5139.62141505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5699.8042171,59.60727392,10169.760418849999,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,7586.43826067,919.5762691699999,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,3939.88815367,919.5762691699999,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,7586.43826067,919.5762691699999,0.0,0.0,0.0
25,3648142,Montgomery village,0.0,0.0,7401.02805474,0.0,2856.3735468,0.0,44540.500801610004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3700.51402737,0.0,1428.1867734,0.0,22468.38066596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7401.02805474,0.0,2856.3735468,0.0,44540.500801610004,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,15609.79015674,303.27492998,1800.99986,0.0,0.0,0,0,0,0,0.0,0.0,0.0,8139.10203679,303.27492998,1800.99986,0.0,0.0,0,0,0,0,0.0,0.0,0.0,15609.79015674,303.27492998,1800.99986,0.0,0.0
26,3650034,Newburgh city,1424.46867588,0.0,11085.23438786,3317.96583686,41797.16902256,775.4022171,138789.09682403,0.0,0.0,0.0,0.0,0.0,1424.46867588,0.0,5545.12905015,1658.98291843,21523.40934329,387.70110855,76337.50462591,0.0,0.0,0.0,0.0,0.0,2932.1221780700002,0.0,13609.0949824,6635.93167372,81953.93416884,775.4022171,138789.09682403,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,78395.82114732,3828.88112848,20350.77845622,0.0,0.0,0,0,0,0,0.0,0.0,0.0,41590.56248136,3828.88112848,20350.77845622,0.0,0.0,0,0,0,0,0.0,0.0,0.0,78395.82114732,3828.88112848,20350.77845622,0.0,0.0
27,3659388,Port Jervis city,355.57117175,5772.01602857,7285.90861737,667.88049904,3911.31067421,2233.1939682400002,88979.49072647,0.0,0.0,0.0,0.0,0.0,355.57117175,3686.65233705,3670.2396926300003,333.94024952,1972.33010874,1116.59698412,44819.84088856,0.0,0.0,0.0,0.0,0.0,711.1423435,6346.83506186,7317.26627939,667.88049904,3996.71197266,2233.1939682400002,88979.49072647,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,41345.07272662,120.05841093,18174.22515823,0.0,0.0,0,0,0,0,0.0,0.0,0.0,21573.22706631,120.05841093,18174.22515823,0.0,0.0,0,0,0,0,0.0,0.0,0.0,41345.07272662,120.05841093,18174.22515823,0.0,0.0
