,GEOID,NAMELSAD,motorway,trunk,primary,secondary,tertiary,unclassified,residential,service,track,footway,cycleway,living_street,cl_motorway,cl_trunk,cl_primary,cl_secondary,cl_tertiary,cl_unclassified,cl_residential,cl_service,cl_track,cl_footway,cl_cycleway,cl_living_street,lane_m_motorway,lane_m_trunk,lane_m_primary,lane_m_secondary,lane_m_tertiary,lane_m_unclassified,lane_m_residential,lane_m_service,lane_m_track,lane_m_footway,lane_m_cycleway,lane_m_living_street,n_motorway,n_trunk,n_primary,n_secondary,n_tertiary,n_unclassified,n_residential,n_service,n_track,n_footway,n_cycleway,n_living_street,n_cl_motorway,n_cl_trunk,n_cl_primary,n_cl_secondary,n_cl_tertiary,n_cl_unclassified,n_cl_residential,n_cl_service,n_cl_track,n_cl_footway,n_cl_cycleway,n_cl_living_street,n_lane_m_motorway,n_lane_m_trunk,n_lane_m_primary,n_lane_m_secondary,n_lane_m_tertiary,n_lane_m_unclassified,n_lane_m_residential,n_lane_m_service,n_lane_m_track,n_lane_m_footway,n_lane_m_cycleway,n_lane_m_living_street
0,3800340,Adams city,0.0,0.0,0.0,3181.10520084,8771.11326848,794.43001974,12541.42248752,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1590.55260042,4385.55663424,397.21500987,6270.71124376,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,3181.10520084,8771.11326848,794.43001974,12541.42248752,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,10387.98820768,1171.84872433,0.0,0.0,0.0,0,0,0,0,0,0,0.0,5193.99410384,1171.84872433,0.0,0.0,0.0,0,0,0,0,0,0,0.0,10387.98820768,1171.84872433,0.0,0.0,0.0
1,3815820,Conway city,0.0,0.0,0.0,0.0,0.0,1215.4488486,5379.55187534,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,607.7244243,2689.77593767,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1215.4488486,5379.55187534,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,185.64453356,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,185.64453356,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,185.64453356,0.0,0.0,0.0
2,3822260,Edinburg city,0.0,0.0,0.0,2039.06474646,3044.06249268,0.0,8821.835240119999,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1019.53237323,1522.03124634,0.0,4410.9176200599995,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2039.06474646,3044.06249268,0.0,8821.835240119999,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,4637.87207138,352.1296877,0.0,0.0,0.0,0,0,0,0,0,0,0.0,2318.93603569,352.1296877,0.0,0.0,0.0,0,0,0,0,0,0,0.0,4637.87207138,352.1296877,0.0,0.0,0.0
3,3827060,Fordville city,0.0,0.0,0.0,0.0,7187.86216904,1575.6228673599999,7547.87187668,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3593.93108452,787.8114336799999,3773.93593834,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7187.86216904,1575.6228673599999,7547.87187668,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,16335.3570132,3937.92833375,0.0,0.0,0.0,0,0,0,0,0,0,0.0,8167.6785066,3937.92833375,0.0,0.0,0.0,0,0,0,0,0,0,0.0,16335.3570132,3937.92833375,0.0,0.0,0.0
4,3827100,Forest River city,0.0,0.0,0.0,0.0,4857.30347716,2418.31404306,5291.03844854,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2428.65173858,1209.15702153,2645.51922427,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4857.30347716,2418.31404306,5291.03844854,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,5203.47169322,400.67226389,0.0,0.0,0.0,0,0,0,0,0,0,0.0,2601.73584661,400.67226389,0.0,0.0,0.0,0,0,0,0,0,0,0.0,5203.47169322,400.67226389,0.0,0.0,0.0
5,3871780,Sentinel Butte city,0.0,0.0,0.0,0.0,6615.9312243,0.0,7390.03897088,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3307.96561215,0.0,3695.01948544,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6615.9312243,0.0,7390.03897088,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,3469.05725468,1196.07819789,0.0,0.0,0.0,0,0,0,0,0,0,0.0,1734.52862734,1196.07819789,0.0,0.0,0.0,0,0,0,0,0,0,0.0,3469.05725468,1196.07819789,0.0,0.0,0.0
6,3831820,Grafton city,0.0,0.0,17197.872095400002,0.0,3832.03633724,5771.9112213,98316.90702296,0.0,0,0.0,0.0,0.0,0.0,0.0,8598.9360477,0.0,1916.01816862,2885.95561065,50279.07711173,0.0,0,0.0,0.0,0.0,0.0,0.0,20178.58320328,0.0,3832.03633724,5771.9112213,99562.65734522,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,69627.69435987,6720.2489223699995,646.95868918,7015.01985719,0.0,0,0,0,0,0,0,0.0,35023.04120099,6720.2489223699995,646.95868918,7015.01985719,0.0,0,0,0,0,0,0,0.0,69627.69435987,6720.2489223699995,646.95868918,7015.01985719,0.0
7,3838780,Hoople city,0.0,0.0,0.0,0.0,2729.45083348,6082.1928096599995,8446.93391142,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1364.72541674,3041.0964048299998,4223.46695571,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2729.45083348,6082.1928096599995,8446.93391142,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,9195.46032592,73.69629224,0.0,0.0,0.0,0,0,0,0,0,0,0.0,4597.73016296,73.69629224,0.0,0.0,0.0,0,0,0,0,0,0,0.0,9195.46032592,73.69629224,0.0,0.0,0.0
8,3853540,Minto city,0.0,0.0,5683.42919044,0.0,3199.27334216,9518.43006862,19132.2663436,0.0,0,0.0,0.0,0.0,0.0,0.0,2841.71459522,0.0,1599.6366710799998,4759.21503431,9566.1331718,0.0,0,0.0,0.0,0.0,0.0,0.0,5683.42919044,0.0,3199.27334216,9518.43006862,19132.2663436,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,14034.20324386,164.19917412,0.0,0.0,0.0,0,0,0,0,0,0,0.0,7017.10162193,164.19917412,0.0,0.0,0.0,0,0,0,0,0,0,0.0,14034.20324386,164.19917412,0.0,0.0,0.0
9,3860900,Park River city,0.0,0.0,3450.66530094,4894.69595694,6411.18765574,7926.54080762,40136.8263593,0.0,0,0.0,0.0,0.0,0.0,0.0,1725.33265047,2447.34797847,3205.59382787,3963.27040381,20257.05215709,0.0,0,0.0,0.0,0.0,0.0,0.0,3450.66530094,4940.51902429,6411.18765574,7926.54080762,40136.8263593,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,40112.14818536,2917.24415274,2871.84461505,1838.27571303,0.0,0,0,0,0,0,0,0.0,20096.64948761,2917.24415274,2871.84461505,1838.2757130300001,0.0,0,0,0,0,0,0,0.0,40112.14818536,2917.24415274,2871.84461505,1838.27571303,0.0
