,GEOID,NAMELSAD,motorway,trunk,primary,secondary,tertiary,unclassified,residential,service,track,footway,cycleway,living_street,cl_motorway,cl_trunk,cl_primary,cl_secondary,cl_tertiary,cl_unclassified,cl_residential,cl_service,cl_track,cl_footway,cl_cycleway,cl_living_street,lane_m_motorway,lane_m_trunk,lane_m_primary,lane_m_secondary,lane_m_tertiary,lane_m_unclassified,lane_m_residential,lane_m_service,lane_m_track,lane_m_footway,lane_m_cycleway,lane_m_living_street,n_motorway,n_trunk,n_primary,n_secondary,n_tertiary,n_unclassified,n_residential,n_service,n_track,n_footway,n_cycleway,n_living_street,n_cl_motorway,n_cl_trunk,n_cl_primary,n_cl_secondary,n_cl_tertiary,n_cl_unclassified,n_cl_residential,n_cl_service,n_cl_track,n_cl_footway,n_cl_cycleway,n_cl_living_street,n_lane_m_motorway,n_lane_m_trunk,n_lane_m_primary,n_lane_m_secondary,n_lane_m_tertiary,n_lane_m_unclassified,n_lane_m_residential,n_lane_m_service,n_lane_m_track,n_lane_m_footway,n_lane_m_cycleway,n_lane_m_living_street
0,3958912,Osgood village,0.0,0.0,0.0,3611.74812746,0.0,812.73355268,5916.55877914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1805.87406373,0.0,406.36677634,2958.27938957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3611.74812746,0.0,812.73355268,5916.55877914,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,2126.21557288,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,1063.10778644,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,2126.21557288,0.0,0.0,0.0,0.0
1,3983972,Weston village,0.0,0.0,0.0,3319.88291948,13374.4268885,859.85848416,22916.00094025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1659.94145974,6687.21344425,429.92924208,11567.86620694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3319.88291948,13374.4268885,859.85848416,22916.00094025,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,6548.61575246,0.0,10387.15166765,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,3274.30787623,0.0,10387.15166765,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,6548.61575246,0.0,10387.15166765,0.0,0.0
2,3909358,Brookville city,7091.9972554,0.0,0.0,0.0,25843.51457266,1440.61249526,83261.85358503,0.0,133.33072073,0.0,0.0,0.0,7091.9972554000005,0.0,0.0,0.0,12921.75728633,720.30624763,42776.97034745,0.0,133.33072073,0.0,0.0,0.0,14183.9945108,0.0,0.0,0.0,25843.51457266,1440.61249526,83261.85358503,0.0,133.33072073,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,139728.48149067,912.73508888,12458.56488986,3389.5991088799997,0.0,0,0,0.0,0,0.0,0.0,0.0,71645.21764233,912.73508888,12276.53719254,3389.59910888,0.0,0,0,0.0,0,0.0,0.0,0.0,139728.48149067,912.73508888,12458.56488986,3389.5991088799997,0.0
3,3925396,Englewood city,16866.75604154,1627.50509749,15430.318065,8369.0533083,8264.93188758,2854.8678177,176700.60117512,0.0,0.0,0.0,7088.07969536,0.0,16866.75604154,1627.50509749,7715.1590325,5519.99858118,4132.46594379,1427.43390885,88661.82215304,0.0,0.0,0.0,3544.03984768,0.0,33615.18149601,3255.01019498,29091.83592288,8369.0533083,8264.93188758,2854.8678177,176700.60117512,0.0,0.0,0.0,7088.07969536,0.0,0,0,0.0,0,0.0,0.0,0.0,157213.43664985,757.48587591,1611.92760975,6765.95533632,0.0,0,0,0.0,0,0.0,0.0,0.0,82612.65245775,757.48587591,1611.92760975,4246.35798705,0.0,0,0,0.0,0,0.0,0.0,0.0,157213.43664985,757.48587591,1611.92760975,6765.95533632,0.0
4,3926656,Farmersville village,0.0,0.0,0.0,0.0,8116.25620534,0.0,12658.270966940001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4058.12810267,0.0,6401.9261391400005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8116.25620534,0.0,12658.270966940001,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,10397.34238547,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,5253.80091466,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,10397.34238547,0.0,0.0,0.0,0.0
5,3931948,Green Camp village,0.0,0.0,0.0,2388.03596506,2243.69597016,0.0,7065.76801098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1194.0179825300002,1121.84798508,0.0,3532.88400549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2388.03596506,2243.69597016,0.0,7065.76801098,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,342.3193023,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,171.15965115,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,342.3193023,0.0,0.0,0.0,0.0
6,3921616,Delta village,0.0,0.0,10640.40587896,4549.99881982,10597.00283632,849.51843542,44900.49776465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5320.20293948,2274.99940991,5298.50141816,424.75921771,22652.7551849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10640.40587896,4549.99881982,10597.00283632,849.51843542,44900.49776465,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,34721.26159879,0.0,62.40147768,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,17795.25009798,0.0,62.40147768,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,34721.26159879,0.0,62.40147768,0.0,0.0
7,3926768,Fayette village,0.0,0.0,3008.6895113,2319.6538236,7856.8927429,0.0,22313.20807866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1504.34475565,1159.8269118,3928.44637145,0.0,11156.60403933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3008.6895113,2319.6538236,7856.8927429,0.0,22313.20807866,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,11192.32979743,0.0,601.21919526,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,5901.20577185,0.0,601.21919526,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,11192.32979743,0.0,601.21919526,0.0,0.0
8,3949238,Metamora village,0.0,0.0,0.0,6801.99498014,2645.8483594,574.57890582,6983.2739612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3400.99749007,1322.9241797,287.28945291,3491.6369806000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6801.99498014,2645.8483594,574.57890582,6983.2739612,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,5357.44465318,0.0,404.77628568,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,2678.72232659,0.0,404.77628568,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,5357.44465318,0.0,404.77628568,0.0,0.0
9,3929932,Germantown city,0.0,0.0,6891.20617612,8770.91240204,9680.60216536,1878.27553532,72521.07048685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3956.14105405,4385.45620102,4840.30108268,939.13776766,36609.95570074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7912.2821081,8770.91240204,9680.60216536,1878.27553532,72521.07048685,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,50709.00313044,20.86237766,92.30535993,4716.77130216,0.0,0,0,0.0,0,0.0,0.0,0.0,28071.94124267,20.86237766,92.30535993,4716.77130216,0.0,0,0,0.0,0,0.0,0.0,0.0,50709.00313044,20.86237766,92.30535993,4716.77130216,0.0
