,GEOID,NAMELSAD,motorway,trunk,primary,secondary,tertiary,unclassified,residential,service,track,footway,cycleway,living_street,cl_motorway,cl_trunk,cl_primary,cl_secondary,cl_tertiary,cl_unclassified,cl_residential,cl_service,cl_track,cl_footway,cl_cycleway,cl_living_street,lane_m_motorway,lane_m_trunk,lane_m_primary,lane_m_secondary,lane_m_tertiary,lane_m_unclassified,lane_m_residential,lane_m_service,lane_m_track,lane_m_footway,lane_m_cycleway,lane_m_living_street,n_motorway,n_trunk,n_primary,n_secondary,n_tertiary,n_unclassified,n_residential,n_service,n_track,n_footway,n_cycleway,n_living_street,n_cl_motorway,n_cl_trunk,n_cl_primary,n_cl_secondary,n_cl_tertiary,n_cl_unclassified,n_cl_residential,n_cl_service,n_cl_track,n_cl_footway,n_cl_cycleway,n_cl_living_street,n_lane_m_motorway,n_lane_m_trunk,n_lane_m_primary,n_lane_m_secondary,n_lane_m_tertiary,n_lane_m_unclassified,n_lane_m_residential,n_lane_m_service,n_lane_m_track,n_lane_m_footway,n_lane_m_cycleway,n_lane_m_living_street
0,4066750,Shattuck town,0.0,9468.50618334,3679.9590127799997,0.0,2949.37640658,0.0,81706.01805734,0.0,0.0,0.0,0,0.0,0.0,4734.25309167,1839.97950639,0.0,1474.68820329,0.0,40853.00902867,0.0,0.0,0.0,0,0.0,0.0,9468.50618334,3679.9590127799997,0.0,2949.37640658,0.0,81706.01805734,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,4106.6597817599995,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,2053.3298908799998,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,4106.6597817599995,0.0,0.0,0.0,0.0
1,4029400,Glencoe town,3426.826782,0.0,0.0,5500.0651537,1439.99474852,1388.02343662,24743.38238518,0.0,0.0,0.0,0,0.0,3426.826782,0.0,0.0,2750.03257685,719.99737426,694.01171831,12371.69119259,0.0,0.0,0.0,0,0.0,7315.77020485,0.0,0.0,5500.0651537,1439.99474852,1388.02343662,24743.38238518,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,13290.737987139999,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,6645.36899357,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,13290.737987139999,0.0,0.0,0.0,0.0
2,4058150,Perkins city,0.0,0.0,9294.17371959,0.0,20034.90876382,847.7929206399999,66368.02905011,0.0,0.0,0.0,0,0.0,0.0,0.0,4737.62886281,0.0,10017.45438191,423.89646031999996,33260.48805309,0.0,0.0,0.0,0,0.0,0.0,0.0,10320.75095517,0.0,20034.90876382,847.7929206399999,66368.02905011,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,38141.99635829,416.18849488,9481.81119497,0.0,0.0,0,0,0.0,0,0,0,0.0,19644.80222214,416.18849488,9481.81119497,0.0,0.0,0,0,0.0,0,0,0,0.0,38141.99635829,416.18849488,9481.81119497,0.0,0.0
3,4063500,Ripley town,0.0,0.0,0.0,2570.77397716,0.0,0.0,16948.43822872,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1285.38698858,0.0,0.0,8474.21911436,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2570.77397716,0.0,0.0,16948.43822872,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,4991.25592362,94.30077472,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,2495.62796181,94.30077472,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,4991.25592362,94.30077472,0.0,0.0,0.0
4,4001350,Aline town,0.0,0.0,0.0,6.08942998,1113.86414668,2023.0166668,5926.78086206,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,3.04471499,556.93207334,1011.5083334,2963.39043103,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6.08942998,1113.86414668,2023.0166668,5926.78086206,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,5300.54518498,5009.51922519,1240.53121127,0.0,0.0,0,0,0.0,0,0,0,0.0,2650.27259249,5009.51922519,1240.53121127,0.0,0.0,0,0,0.0,0,0,0,0.0,5300.54518498,5009.51922519,1240.53121127,0.0,0.0
5,4002000,Amorita town,0.0,0.0,0.0,1641.21427602,0.0,0.0,6940.16288222,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,820.6071380100001,0.0,0.0,3470.08144111,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1641.21427602,0.0,0.0,6940.16288222,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,2239.1670393,653.37973979,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,1119.58351965,653.37973979,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,2239.1670393,653.37973979,0.0,0.0,0.0
6,4010650,Byron town,0.0,0.0,0.0,1989.55305966,0.0,941.04884728,10684.41534678,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,994.77652983,0.0,470.52442364,5342.20767339,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1989.55305966,0.0,941.04884728,10684.41534678,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,610.99448108,137.37532761,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,305.49724054,137.37532761,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,610.99448108,137.37532761,0.0,0.0,0.0
7,4012000,Carmen town,0.0,0.0,0.0,4808.9041023400005,1687.33336928,3309.7592229,36094.25455906,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2404.45205117,843.66668464,1654.87961145,18047.12727953,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,4808.9041023400005,1687.33336928,3309.7592229,36094.25455906,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,9727.81527994,8.3852627,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,4863.90763997,8.3852627,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,9727.81527994,8.3852627,0.0,0.0,0.0
8,4013750,Cherokee city,0.0,0.0,8335.30744688,0.0,4418.5279013,2116.93765782,84099.10298836,0.0,0.0,0.0,0,0.0,0.0,0.0,4338.45672936,0.0,2209.26395065,1058.46882891,42049.55149418,0.0,0.0,0.0,0,0.0,0.0,0.0,11816.77014714,0.0,4418.5279013,2116.93765782,84099.10298836,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,16679.99931486,122.66371855,141.00280918,0.0,0.0,0,0,0.0,0,0,0,0.0,8339.99965743,122.66371855,141.00280918,0.0,0.0,0,0,0.0,0,0,0,0.0,16679.99931486,122.66371855,141.00280918,0.0,0.0
9,4033450,Helena town,0.0,0.0,0.0,1806.35669584,0.0,0.0,25193.33111556,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,903.17834792,0.0,0.0,12596.66555778,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1806.35669584,0.0,0.0,25193.33111556,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,16018.41589744,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,8009.20794872,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,16018.41589744,0.0,0.0,0.0,0.0
10,4038000,Jet town,0.0,0.0,1616.80360122,1117.81458254,0.0,0.0,15057.3530339,0.0,0.0,0.0,0,0.0,0.0,0.0,808.40180061,558.90729127,0.0,0.0,7528.67651695,0.0,0.0,0.0,0,0.0,0.0,0.0,1616.80360122,1117.81458254,0.0,0.0,15057.3530339,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,2372.17987172,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,1186.08993586,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,2372.17987172,0.0,0.0,0.0,0.0
