,GEOID,NAMELSAD,motorway,trunk,primary,secondary,tertiary,unclassified,residential,service,track,footway,cycleway,living_street,cl_motorway,cl_trunk,cl_primary,cl_secondary,cl_tertiary,cl_unclassified,cl_residential,cl_service,cl_track,cl_footway,cl_cycleway,cl_living_street,lane_m_motorway,lane_m_trunk,lane_m_primary,lane_m_secondary,lane_m_tertiary,lane_m_unclassified,lane_m_residential,lane_m_service,lane_m_track,lane_m_footway,lane_m_cycleway,lane_m_living_street,n_motorway,n_trunk,n_primary,n_secondary,n_tertiary,n_unclassified,n_residential,n_service,n_track,n_footway,n_cycleway,n_living_street,n_cl_motorway,n_cl_trunk,n_cl_primary,n_cl_secondary,n_cl_tertiary,n_cl_unclassified,n_cl_residential,n_cl_service,n_cl_track,n_cl_footway,n_cl_cycleway,n_cl_living_street,n_lane_m_motorway,n_lane_m_trunk,n_lane_m_primary,n_lane_m_secondary,n_lane_m_tertiary,n_lane_m_unclassified,n_lane_m_residential,n_lane_m_service,n_lane_m_track,n_lane_m_footway,n_lane_m_cycleway,n_lane_m_living_street
0,4109050,Brownsville city,0.0,0.0,3518.902314,5594.83585184,4306.7672186,0.0,38252.8858948,0.0,0.0,0.0,0,0,0.0,0.0,1759.451157,2797.41792592,2153.3836093,0.0,19126.4429474,0.0,0.0,0.0,0,0,0.0,0.0,3518.902314,5594.83585184,4306.7672186,0.0,38252.8858948,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,6600.06029036,0.0,1742.43480951,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,3381.6551528,0.0,1742.43480951,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,6600.06029036,0.0,1742.43480951,0.0,0.0
1,4135800,Idanha city,0.0,9917.07873522,0.0,0.0,920.4838128399999,534.63456766,6029.80984064,0.0,0.0,0.0,0,0,0.0,4958.53936761,0.0,0.0,460.24190641999996,267.31728383,3014.90492032,0.0,0.0,0.0,0,0,0.0,9917.07873522,0.0,0.0,920.4838128399999,534.63456766,6029.80984064,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,4336.00420912,1378.3174137800002,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,2168.00210456,1378.3174137800002,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,4336.00420912,1378.3174137800002,0.0,0.0,0.0
2,4144300,Lyons city,0.0,0.0,0.0,3568.78108728,4571.24365034,2036.14435778,24966.94297352,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1784.39054364,2285.62182517,1018.07217889,12483.47148676,0.0,0.0,0.0,0,0,0.0,0.0,0.0,3568.78108728,4571.24365034,2036.14435778,24966.94297352,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,12673.30872459,9.51592611,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,6407.07298811,9.51592611,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,12673.30872459,9.51592611,0.0,0.0,0.0
3,4148300,Millersburg city,3991.92592811,0.0,0.0,13548.91837964,8689.76517414,0.0,53981.26771082,0.0,0.0,0.0,0,0,3991.92592811,0.0,0.0,6863.93341649,4344.88258707,0.0,26990.63385541,0.0,0.0,0.0,0,0,7581.85845694,0.0,0.0,13548.91837964,8689.76517414,0.0,53981.26771082,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,80402.90846733,0.0,5491.87017986,467.88444601000003,0.0,0,0,0.0,0,0.0,0.0,0.0,41055.16798428,0.0,5491.87017986,467.88444601000003,0.0,0,0,0.0,0,0.0,0.0,0.0,80402.90846733,0.0,5491.87017986,467.88444601000003,0.0
4,4168550,Sodaville city,0.0,0.0,0.0,2182.84922642,2333.25560458,0.0,10995.85636812,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1091.42461321,1166.62780229,0.0,5497.92818406,0.0,0.0,0.0,0,0,0.0,0.0,0.0,2182.84922642,2333.25560458,0.0,10995.85636812,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,6897.97405804,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,3448.98702902,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,6897.97405804,0.0,0.0,0.0,0.0
5,4172600,Tangent city,0.0,15608.04300005,0.0,0.0,9670.52330104,6043.39603216,18706.84916276,0.0,0.0,0.0,0,0,0.0,12017.84109485,0.0,0.0,4835.26165052,3090.24168057,9353.42458138,0.0,0.0,0.0,0,0,0.0,30653.68968336,0.0,0.0,9670.52330104,6043.39603216,18706.84916276,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,44902.88903631,245.92109361,269.56135036,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,22733.54978154,245.92109361,269.56135036,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,44902.88903631,245.92109361,269.56135036,0.0,0.0
6,4179050,Waterloo town,0.0,0.0,0.0,1560.03470444,402.28932268,0.0,9244.7162373,0.0,0.0,0.0,0,0,0.0,0.0,0.0,780.01735222,203.14597132,0.0,4622.35811865,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1560.03470444,402.28932268,0.0,9244.7162373,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,1002.01733976,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,518.53825852,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,1002.01733976,0.0,0.0,0.0,0.0
7,4169450,Spray town,0.0,0.0,0.0,4493.19291544,0.0,724.7776971000001,8842.0745322,0.0,0.0,0.0,0,0,0.0,0.0,0.0,2246.59645772,0.0,362.38884855000003,4421.0372661,0.0,0.0,0.0,0,0,0.0,0.0,0.0,4493.19291544,0.0,724.7776971000001,8842.0745322,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.3591944,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.6795972,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.3591944
8,4109800,Burns city,0.0,7683.80658226,2267.40026904,0.0,2496.29940004,2811.64325594,98247.09350176,0.0,0.0,0.0,0,0,0.0,3841.90329113,1133.70013452,0.0,1248.14970002,1405.82162797,49123.54675088,0.0,0.0,0.0,0,0,0.0,7683.80658226,2267.40026904,0.0,2496.29940004,2811.64325594,98247.09350176,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,32295.57929948,1227.14752035,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,16147.78964974,1227.14752035,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,32295.57929948,1227.14752035,0.0,0.0,0.0
9,4134250,Hines city,0.0,8606.59560546,0.0,0.0,2801.7267102,4133.0259800799995,43276.2613413,0.0,0.0,0.0,0,0,0.0,4303.29780273,0.0,0.0,1400.8633551,2066.51299004,21638.13067065,0.0,0.0,0.0,0,0,0.0,8606.59560546,0.0,0.0,2801.7267102,4133.0259800799995,43276.2613413,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,9614.74207572,822.10155921,2687.8152312599996,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,4807.37103786,822.10155921,2687.8152312599996,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,9614.74207572,822.10155921,2687.8152312599996,0.0,0.0
