,GEOID,NAMELSAD,motorway,trunk,primary,secondary,tertiary,unclassified,residential,service,track,footway,cycleway,living_street,cl_motorway,cl_trunk,cl_primary,cl_secondary,cl_tertiary,cl_unclassified,cl_residential,cl_service,cl_track,cl_footway,cl_cycleway,cl_living_street,lane_m_motorway,lane_m_trunk,lane_m_primary,lane_m_secondary,lane_m_tertiary,lane_m_unclassified,lane_m_residential,lane_m_service,lane_m_track,lane_m_footway,lane_m_cycleway,lane_m_living_street,n_motorway,n_trunk,n_primary,n_secondary,n_tertiary,n_unclassified,n_residential,n_service,n_track,n_footway,n_cycleway,n_living_street,n_cl_motorway,n_cl_trunk,n_cl_primary,n_cl_secondary,n_cl_tertiary,n_cl_unclassified,n_cl_residential,n_cl_service,n_cl_track,n_cl_footway,n_cl_cycleway,n_cl_living_street,n_lane_m_motorway,n_lane_m_trunk,n_lane_m_primary,n_lane_m_secondary,n_lane_m_tertiary,n_lane_m_unclassified,n_lane_m_residential,n_lane_m_service,n_lane_m_track,n_lane_m_footway,n_lane_m_cycleway,n_lane_m_living_street
0,4422960,East Providence city,19689.10735898,0.0,48136.19520412,59104.86609223,40520.11128359,6328.3344665800005,479096.68421243,0.0,0,15.17363261,0.0,0.0,19689.10735898,0.0,31735.654200869998,32359.37388902,21866.50773134,3164.1672332900002,242623.81512635,0.0,0,15.17363261,0.0,0.0,44106.00908434,0.0,89525.06179224,59527.50023323,40520.11128359,6328.3344665800005,479096.68421243,0.0,0,15.17363261,0.0,0.0,0,0,0,0,0,0.0,0.0,324007.62894221,1473.75054698,7576.04102314,14062.2422049,1544.39048804,0,0,0,0,0,0.0,0.0,169556.30970264,1473.7505469799999,7548.74363094,10127.6868192,772.19524402,0,0,0,0,0,0.0,0.0,324030.32019585,1473.75054698,7576.04102314,14062.2422049,1544.39048804
1,4459000,Providence city,88930.70665142,0.0,80268.36991118,137018.70774408,157406.97343874,68313.51899632999,820794.36529356,187.69445942,0,0.0,0.0,603.64784876,88930.70665142,0.0,55710.55389888,79005.44894573,85132.05539864,40392.35371743,427695.48394578,93.84722971,0,0.0,0.0,301.82392438,191072.96274308,0.0,146086.2309034,148626.18684847,158031.39749251,68498.09715457,820951.90960578,187.69445942,0,0.0,0.0,603.64784876,0,0,0,0,0,906.46222986,0.0,572466.02233165,0.0,322237.72047496,32631.85396319,66.87218632,0,0,0,0,0,453.23111493,0.0,300851.86779197,0.0,322015.29453134,21607.14320085,33.43609316,0,0,0,0,0,906.46222986,0.0,572466.02233165,0.0,322237.72047496,32631.85396319,66.87218632
2,4480780,Woonsocket city,453.91234016,0.0,31963.13833552,29820.94528672,55105.18899149,6392.56258803,259912.19888358,1555.68055964,0,0.0,51.52384059,0.0,453.91234016,0.0,18297.21591348,17033.36288538,28003.694503400002,3228.96519088,131235.35179824,777.84027982,0,0.0,51.52384059,0.0,833.22919673,0.0,63567.99523353,30947.00273885,55105.18899149,6392.56258803,259932.41239862,1555.68055964,0,0.0,51.52384059,0.0,0,0,0,0,0,0.0,0.0,189131.63376036,849.77997815,8109.2259517,7773.27609081,0.0,0,0,0,0,0,0.0,0.0,98700.61672737,849.77997815,8109.2259517,4250.52349063,0.0,0,0,0,0,0,0.0,0.0,189131.63376036,849.77997815,8109.2259517,7773.27609081,0.0
3,4419180,Cranston city,56880.78760107,0.0,69397.68537864,81782.59130569,103734.20651044,19544.96155464,870328.34821471,0.0,0,0.0,0.0,0.0,56880.78760107,0.0,44943.85876199,41126.81340364,53467.24013563,10556.96444991,439510.24008732,0.0,0,0.0,0.0,0.0,109362.27211706,0.0,129168.6082531,84948.1377068,106434.94497004,20010.37525638,870328.34821471,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,863.89884746,496118.91778128,5374.89849495,9336.85383162,11062.78490762,0.0,0,0,0,0,0,0.0,431.94942373,256907.65746429,5374.89849495,9336.85383162,10112.76159024,0.0,0,0,0,0,0,0.0,863.89884746,992213.13993929,5374.89849495,9336.85383162,11062.78490762,0.0
4,4414140,Central Falls city,0.0,0.0,9270.43222604,6157.44373617,14218.838560279999,974.98160018,48290.87303131,0.0,0,0.0,0.0,0.0,0.0,0.0,4691.33152118,3655.65467354,8271.08868076,487.49080009,26783.44326078,0.0,0,0.0,0.0,0.0,0.0,0.0,9270.43222604,6171.04068249,14218.838560279999,974.98160018,48290.87303131,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,24058.0474006,0.0,0.0,1028.98615296,0.0,0,0,0,0,0,0.0,0.0,12480.62381865,0.0,0.0,514.49307648,0.0,0,0,0,0,0,0.0,0.0,24058.0474006,0.0,0.0,1028.98615296,0.0
5,4454640,Pawtucket city,18610.56411485,0.0,45876.77356983,60949.3212347,53907.41691544,3674.88525619,430838.32558921,0.0,0,0.0,0.0,0.0,18610.56411485,0.0,27546.38696187,36092.97247077,31441.9349284,2018.92945781,225977.63460188,0.0,0,0.0,0.0,0.0,42019.07157595,0.0,48929.74507559,121007.40831192,54212.80637424,3674.88525619,430838.32558921,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,198943.46868705,977.62237168,42916.03685204,3600.49125116,0.0,0,0,0,0,0,0.0,0.0,106309.08321427,977.62237168,42916.03685204,3600.49125116,0.0,0,0,0,0,0,0.0,0.0,198943.46868705,977.62237168,42916.03685204,3600.49125116,0.0
6,4474300,Warwick city,68179.96106778,0.0,121865.98866036,52598.43894822,116713.14175901,15203.00910634,1166591.64533918,935.8676645200001,0,0.0,0.0,0.0,68179.96106778,0.0,78869.01872261,27511.77194342,60040.75111714,8099.77661511,588548.68733529,525.87998894,0,0.0,0.0,0.0,156989.03173879,0.0,237360.76708234,97375.10831511,116962.31878764,15321.2068093,1166652.83238452,935.8676645200001,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,818350.99388608,1474.64343413,23360.093488040002,3177.7574043699997,0.0,0,0,0,0,0,0.0,0.0,429509.25466656,1474.64343413,23360.093488040002,3074.31432525,0.0,0,0,0,0,0,0.0,0.0,819645.79021513,1474.64343413,23360.093488040002,3177.7574043699997,0.0
7,4449960,Newport city,5381.76131417,3388.84797944,18800.72732697,38989.01455402,77150.93232784,27680.69560203,182692.85998113,0.0,0,0.0,0.0,0.0,5176.11540914,2520.74309851,13076.12946119,21931.17631621,40688.10725972,14137.4419406,101314.96654838,0.0,0,0.0,0.0,0.0,9204.31322321,5097.175596,26068.67623007,39039.55603568,77150.93232784,27680.69560203,183067.21272671001,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,231170.885378,2243.43969326,35306.7981875,2835.62607617,0.0,0,0,0,0,0,0.0,0.0,120537.00868776,2243.4396932600002,35306.7981875,2835.62607617,0.0,0,0,0,0,0,0.0,0.0,346556.930603875,2243.43969326,35306.7981875,2835.62607617,0.0
8,4403520,Ashaway CDP,0.0,0.0,7841.5813837,8806.81607658,13683.87314954,0.0,23388.28156548,0.0,0,0.0,0.0,0.0,0.0,0.0,3920.79069185,4403.40803829,6841.93657477,0.0,11694.14078274,0.0,0,0.0,0.0,0.0,0.0,0.0,7841.5813837,8806.81607658,13683.87314954,0.0,23388.28156548,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,15130.45941482,172.75176708,811.60311307,0.0,0.0,0,0,0,0,0,0.0,0.0,7659.35187809,172.75176708,811.60311307,0.0,0.0,0,0,0,0,0,0.0,0.0,15130.45941482,172.75176708,811.60311307,0.0,0.0
9,4408020,Bradford CDP,0.0,0.0,0.0,13200.5069997,938.74610622,0.0,21041.70022632,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,6992.11610176,469.37305311,0.0,10520.85011316,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,13200.5069997,938.74610622,0.0,21041.70022632,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,9870.33834016,0.0,5075.98462932,0.0,0.0,0,0,0,0,0,0.0,0.0,4935.16917008,0.0,5075.98462932,0.0,0.0,0,0,0,0,0,0.0,0.0,9870.33834016,0.0,5075.98462932,0.0,0.0
