,GEOID,NAMELSAD,motorway,trunk,primary,secondary,tertiary,unclassified,residential,service,track,footway,cycleway,living_street,cl_motorway,cl_trunk,cl_primary,cl_secondary,cl_tertiary,cl_unclassified,cl_residential,cl_service,cl_track,cl_footway,cl_cycleway,cl_living_street,lane_m_motorway,lane_m_trunk,lane_m_primary,lane_m_secondary,lane_m_tertiary,lane_m_unclassified,lane_m_residential,lane_m_service,lane_m_track,lane_m_footway,lane_m_cycleway,lane_m_living_street,n_motorway,n_trunk,n_primary,n_secondary,n_tertiary,n_unclassified,n_residential,n_service,n_track,n_footway,n_cycleway,n_living_street,n_cl_motorway,n_cl_trunk,n_cl_primary,n_cl_secondary,n_cl_tertiary,n_cl_unclassified,n_cl_residential,n_cl_service,n_cl_track,n_cl_footway,n_cl_cycleway,n_cl_living_street,n_lane_m_motorway,n_lane_m_trunk,n_lane_m_primary,n_lane_m_secondary,n_lane_m_tertiary,n_lane_m_unclassified,n_lane_m_residential,n_lane_m_service,n_lane_m_track,n_lane_m_footway,n_lane_m_cycleway,n_lane_m_living_street
0,4529950,Govan town,0.0,0.0,3178.37738136,0.0,2736.9006241,0.0,7306.66368744,0.0,0.0,0.0,0,0,0.0,0.0,1589.18869068,0.0,1368.4503120499999,0.0,3653.33184372,0.0,0.0,0.0,0,0,0.0,0.0,3178.37738136,0.0,2736.9006241,0.0,7306.66368744,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,4503790,Bamberg town,0.0,6131.05973764,5826.1704637,1171.3045741800001,12903.72780282,685.2053487,115660.2491744,0.0,0.0,0.0,0,0,0.0,3065.52986882,2913.08523185,585.6522870900001,6527.59651864,397.54463714999997,57830.1245872,0.0,0.0,0.0,0,0,0.0,12262.11947528,6955.38989846,1171.3045741800001,12903.72780282,685.2053487,115660.2491744,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,25744.10805927,1234.10813031,2739.00437891,0.0,0.0,0,0,0,0,0,0.0,0.0,13330.47088777,1234.10813031,2739.00437891,0.0,0.0,0,0,0,0,0,0.0,0.0,25744.10805927,1234.10813031,2739.00437891,0.0,0.0
2,4552585,Olar town,0.0,0.0,3283.91241968,3325.79127636,0.0,283.06178856,19031.11736092,0.0,0.0,0.0,0,0,0.0,0.0,1641.95620984,1662.89563818,0.0,141.53089428,9515.55868046,0.0,0.0,0.0,0,0,0.0,0.0,3283.91241968,3325.79127636,0.0,283.06178856,19031.11736092,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,4508245,Branchville town,0.0,0.0,12994.421002340001,1963.02613915,2226.2904539,5207.3865611,58079.32280418,0.0,0.0,0.0,0,0,0.0,0.0,6567.05509613,1050.66683333,1113.14522695,2603.69328055,29039.66140209,0.0,0.0,0.0,0,0,0.0,0.0,16225.80174114,1963.02613915,2226.2904539,5207.3865611,58079.32280418,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,6527.40235554,155.94295624,1846.46555669,0.0,0.0,0,0,0,0,0,0.0,0.0,3481.89230778,155.94295624,1846.46555669,0.0,0.0,0,0,0,0,0,0.0,0.0,6527.40235554,155.94295624,1846.46555669,0.0,0.0
4,4524100,Eutawville town,0.0,0.0,0.0,7624.31904804,1038.65015354,0.0,16777.51106816,0.0,0.0,0.0,0,0,0.0,0.0,0.0,4012.97154985,519.32507677,0.0,8388.75553408,0.0,0.0,0.0,0,0,0.0,0.0,0.0,7624.31904804,1038.65015354,0.0,16777.51106816,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,1708.46771828,0.0,1635.5257198900001,0.0,0.0,0,0,0,0,0,0.0,0.0,854.23385914,0.0,1635.52571989,0.0,0.0,0,0,0,0,0,0.0,0.0,1708.46771828,0.0,1635.5257198900001,0.0,0.0
5,4534360,Holly Hill town,0.0,0.0,4914.37573542,5240.27138316,1231.2138943,1953.3184536200001,48409.71393112,0.0,0.0,0.0,0,0,0.0,0.0,2457.18786771,2620.13569158,615.60694715,976.6592268100001,24204.85696556,0.0,0.0,0.0,0,0,0.0,0.0,4914.37573542,5240.27138316,1231.2138943,1953.3184536200001,48409.71393112,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,2237.9631333,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,1190.93384575,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,2237.9631333,0.0,0.0,0.0,0.0
6,4518565,Darlington city,0.0,6635.10903977,15062.34434404,10661.01617103,609.9894391400001,2220.78147464,170333.14164738,0.0,0.0,0.0,0,0,0.0,5985.82803091,7852.75258098,5444.35689047,304.99471957000003,1110.39073732,85166.57082369,0.0,0.0,0.0,0,0,0.0,13270.21807954,17606.27183646,19784.956990579998,609.9894391400001,2220.78147464,170333.14164738,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,28181.59237316,508.61234434,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,14475.49886385,508.61234434,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,28181.59237316,508.61234434,0.0,0.0,0.0
7,4532560,Hartsville city,0.0,3795.01292269,4342.56123506,30064.25210081,34348.69598793,13073.41623362,164335.90756556,0.0,0.0,0.0,0,0,0.0,2169.87308502,3034.8922709,15429.4453347,17285.31528883,6994.51136355,84327.37404603,0.0,0.0,0.0,0,0,0.0,7910.68256924,4342.56123506,31027.35427241,34348.69598793,13073.41623362,164335.90756556,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,44886.86991822,147.19541034999997,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,23903.90248238,147.19541034999997,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,134652.6448969,147.19541034999997,0.0,0.0,0.0
8,4519420,Dillon city,4712.50997462,17155.16674631,0.0,8875.64007413,13150.56779005,1876.05307002,191145.8635869,0.0,0.0,0.0,0,0,4712.50997462,9224.5201683,0.0,4602.7885277,6580.33260949,938.02653501,95572.93179345,0.0,0.0,0.0,0,0,9425.01994924,34247.38251994,0.0,8875.64007413,13150.56779005,1876.05307002,191145.8635869,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,23835.04892005,237.00006487,592.69568035,0.0,0.0,0,0,0,0,0,0.0,0.0,11925.57736142,237.00006487,592.69568035,0.0,0.0,0,0,0,0,0,0.0,0.0,23835.04892005,237.00006487,592.69568035,0.0,0.0
9,4542100,Livingston town,0.0,0.0,3329.23365984,0.0,154.34056108000001,3541.3439618800003,9431.18324344,0.0,0.0,0.0,0,0,0.0,0.0,1664.6168299199999,0.0,77.17028054000001,1770.6719809400001,4715.59162172,0.0,0.0,0.0,0,0,0.0,0.0,6658.46731968,0.0,154.34056108000001,3541.3439618800003,9431.18324344,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,1041.05865976,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,520.52932988,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,1041.05865976,0.0,0.0,0.0,0.0
