,GEOID,NAMELSAD,motorway,trunk,primary,secondary,tertiary,unclassified,residential,service,track,footway,cycleway,living_street,cl_motorway,cl_trunk,cl_primary,cl_secondary,cl_tertiary,cl_unclassified,cl_residential,cl_service,cl_track,cl_footway,cl_cycleway,cl_living_street,lane_m_motorway,lane_m_trunk,lane_m_primary,lane_m_secondary,lane_m_tertiary,lane_m_unclassified,lane_m_residential,lane_m_service,lane_m_track,lane_m_footway,lane_m_cycleway,lane_m_living_street,n_motorway,n_trunk,n_primary,n_secondary,n_tertiary,n_unclassified,n_residential,n_service,n_track,n_footway,n_cycleway,n_living_street,n_cl_motorway,n_cl_trunk,n_cl_primary,n_cl_secondary,n_cl_tertiary,n_cl_unclassified,n_cl_residential,n_cl_service,n_cl_track,n_cl_footway,n_cl_cycleway,n_cl_living_street,n_lane_m_motorway,n_lane_m_trunk,n_lane_m_primary,n_lane_m_secondary,n_lane_m_tertiary,n_lane_m_unclassified,n_lane_m_residential,n_lane_m_service,n_lane_m_track,n_lane_m_footway,n_lane_m_cycleway,n_lane_m_living_street
0,4649460,Pickstown town,0.0,0.0,3057.94464052,0.0,6704.63866394,0.0,9211.39021632,0.0,0.0,0.0,0,0,0.0,0.0,1638.44293855,0.0,3502.8927957399997,0.0,4605.69510816,0.0,0.0,0.0,0,0,0.0,0.0,3057.94464052,0.0,6704.63866394,0.0,9211.39021632,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,6422.0091739399995,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,3211.0045869699998,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,6422.0091739399995,0.0,0.0,0.0,0.0
1,4653220,Ravinia town,0.0,0.0,1021.65137726,0.0,0.0,1624.5350974,4730.4564917,0.0,0.0,0.0,0,0,0.0,0.0,510.82568863,0.0,0.0,812.2675487,2365.22824585,0.0,0.0,0.0,0,0,0.0,0.0,1021.65137726,0.0,0.0,1624.5350974,4730.4564917,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1021.58074946,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,510.79037473,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1021.58074946,0.0,0.0,0.0,0.0
2,4668020,Wagner city,0.0,0.0,6065.37538926,0.0,12208.99840584,0.0,43673.00060628,0.0,0.0,0.0,0,0,0.0,0.0,3032.68769463,0.0,6104.49920292,0.0,21836.50030314,0.0,0.0,0.0,0,0,0.0,0.0,6065.37538926,0.0,12208.99840584,0.0,43673.00060628,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,16138.69788366,0.0,2251.51920477,0.0,0.0,0,0,0,0,0,0,0,8069.3489418300005,0.0,2251.51920477,0.0,0.0,0,0,0,0,0,0,0,16138.69788366,0.0,2251.51920477,0.0,0.0
3,4617020,Draper town,0.0,0.0,0.0,2535.7468551399998,84.97003804,0.0,16660.12825592,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1267.8734275699999,42.48501902,0.0,8330.06412796,0.0,0.0,0.0,0,0,0.0,0.0,0.0,2535.7468551399998,84.97003804,0.0,16660.12825592,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,3774.7588585,3.61318915,0.0,0.0,0.0,0,0,0,0,0,0,0,1887.37942925,3.61318915,0.0,0.0,0.0,0,0,0,0,0,0,0,3774.7588585,3.61318915,0.0,0.0,0.0
4,4644260,Murdo city,0.0,0.0,2118.58908722,406.17362964,4036.48937768,8383.54455258,23768.85131664,0.0,0.0,0.0,0,0,0.0,0.0,1059.29454361,203.08681482,2073.84604894,4191.77227629,11884.42565832,0.0,0.0,0.0,0,0,0.0,0.0,2118.58908722,406.17362964,4036.48937768,8383.54455258,23768.85131664,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,15544.0320919,0.0,434.63006631999997,0.0,0.0,0,0,0,0,0,0,0,7772.01604595,0.0,434.63006631999997,0.0,0.0,0,0,0,0,0,0,0,15544.0320919,0.0,434.63006631999997,0.0,0.0
5,4645100,New Witten town,0.0,0.0,0.0,1502.90712354,0.0,0.0,12905.87729746,0.0,0.0,0.0,0,0,0.0,0.0,0.0,751.45356177,0.0,0.0,6452.93864873,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1502.90712354,0.0,0.0,12905.87729746,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2295.6477348,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1147.8238674,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,2295.6477348,0.0,0.0,0.0,0.0
6,4613300,Colome city,0.0,0.0,1941.77258707,454.81639272,0.0,1607.44018022,16539.6595584,0.0,0.0,0.0,0,0,0.0,0.0,997.22034407,227.40819636,0.0,803.72009011,8269.8297792,0.0,0.0,0.0,0,0,0.0,0.0,2696.808810065,454.81639272,0.0,1607.44018022,16539.6595584,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,4612.61125882,81.16699693,0.0,0.0,0.0,0,0,0,0,0,0,0,2306.30562941,81.16699693,0.0,0.0,0.0,0,0,0,0,0,0,0,4612.61125882,81.16699693,0.0,0.0,0.0
7,4672180,Winner city,0.0,0.0,11748.23215799,0.0,0.0,0.0,104193.49474606,0.0,0.0,0.0,0,0,0.0,0.0,6249.583181,0.0,0.0,0.0,52199.37466089,0.0,0.0,0.0,0,0,0.0,0.0,23496.46431598,0.0,0.0,0.0,104193.49474606,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,39240.6717254,0.0,6607.83451893,0.0,0.0,0,0,0,0,0,0,0,19690.6195563,0.0,6607.83451893,0.0,0.0,0,0,0,0,0,0,0,39240.6717254,0.0,6607.83451893,0.0,0.0
8,4620980,Faith city,0.0,0.0,6356.82044376,0.0,1239.33065546,0.0,26182.30580668,0.0,0.0,0.0,0,0,0.0,0.0,3178.41022188,0.0,619.66532773,0.0,13091.15290334,0.0,0.0,0.0,0,0,0.0,0.0,6356.82044376,0.0,1239.33065546,0.0,26182.30580668,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2388.76090268,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1194.38045134,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,2388.76090268,0.0,0.0,0.0,0.0
9,4627420,Harrold town,0.0,2748.26194912,0.0,0.0,0.0,0.0,16735.8084546,0.0,0.0,0.0,0,0,0.0,1374.13097456,0.0,0.0,0.0,0.0,8367.9042273,0.0,0.0,0.0,0,0,0.0,2748.26194912,0.0,0.0,0.0,0.0,16735.8084546,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,3140.09596942,58.77052132,0.0,0.0,0.0,0,0,0,0,0,0,0,1570.04798471,58.77052132,0.0,0.0,0.0,0,0,0,0,0,0,0,3140.09596942,58.77052132,0.0,0.0,0.0
