,GEOID,NAMELSAD,motorway,trunk,primary,secondary,tertiary,unclassified,residential,service,track,footway,cycleway,living_street,cl_motorway,cl_trunk,cl_primary,cl_secondary,cl_tertiary,cl_unclassified,cl_residential,cl_service,cl_track,cl_footway,cl_cycleway,cl_living_street,lane_m_motorway,lane_m_trunk,lane_m_primary,lane_m_secondary,lane_m_tertiary,lane_m_unclassified,lane_m_residential,lane_m_service,lane_m_track,lane_m_footway,lane_m_cycleway,lane_m_living_street,n_motorway,n_trunk,n_primary,n_secondary,n_tertiary,n_unclassified,n_residential,n_service,n_track,n_footway,n_cycleway,n_living_street,n_cl_motorway,n_cl_trunk,n_cl_primary,n_cl_secondary,n_cl_tertiary,n_cl_unclassified,n_cl_residential,n_cl_service,n_cl_track,n_cl_footway,n_cl_cycleway,n_cl_living_street,n_lane_m_motorway,n_lane_m_trunk,n_lane_m_primary,n_lane_m_secondary,n_lane_m_tertiary,n_lane_m_unclassified,n_lane_m_residential,n_lane_m_service,n_lane_m_track,n_lane_m_footway,n_lane_m_cycleway,n_lane_m_living_street
0,4718880,Cumberland Gap town,1853.2737508,318.57845846,0.0,0.0,2094.26174358,0.0,10410.12042764,0.0,0.0,0.0,0,0.0,1853.2737508,318.57845846,0.0,0.0,1047.13087179,0.0,5205.06021382,0.0,0.0,0.0,0,0.0,3758.16302981,827.64001165,0.0,0.0,2094.26174358,0.0,15615.18064146,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,1999.23167687,0.0,16.75300091,1677.04124837,0.0,0,0.0,0,0.0,0,0,0.0,1302.982133,0.0,16.75300091,1677.04124837,0.0,0,0.0,0,0.0,0,0,0.0,1999.23167687,0.0,16.75300091,1677.04124837,0.0
1,4721500,Doyle town,0.0,1304.46333245,0.0,6247.79969788,2.21231772,3551.8393642600004,20103.85178002,0.0,0.0,0.0,0,0.0,0.0,1276.36232118,0.0,3123.89984894,1.10615886,1775.9196821300002,10051.92589001,0.0,0.0,0.0,0,0.0,0.0,2608.9266649,0.0,6247.79969788,2.21231772,3551.8393642600004,20103.85178002,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,3006.87925212,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,1503.4396260600001,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,3006.87925212,0.0,0.0,0.0,0.0
2,4772540,Sweetwater city,6009.61105015,0.0,27887.082452,13636.307138440001,5513.71042036,3418.10625096,203848.82255695,46.16289714,0.0,0.0,0,0.0,6009.61105015,0.0,15180.405480200001,6818.1535692200005,2756.85521018,1759.31172792,102338.43378168,23.08144857,0.0,0.0,0,0.0,10331.12882601,0.0,29672.1413583,13636.307138440001,5513.71042036,3418.10625096,203848.82255695,46.16289714,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,45721.47149885,0.0,1275.34621429,0.0,0.0,0,0.0,0,0.0,0,0,0.0,23208.75699001,0.0,1275.34621429,0.0,0.0,0,0.0,0,0.0,0,0,0.0,45721.47149885,0.0,1275.34621429,0.0,0.0
3,4702320,Athens city,8500.93097267,8662.22550104,31150.21067881,34741.61244276,8597.6907602,38642.18698377,360450.5076721,0.0,0.0,0.0,0,0.0,8500.93097267,8640.88194859,23762.72740575,18350.6893235,4298.8453801000005,20013.09674901,180328.47177687,0.0,0.0,0.0,0,0.0,14675.30534104,17324.45100208,59496.6273212,34741.61244276,8597.6907602,38905.60540159,360450.5076721,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,123278.45117265,0.0,7843.5251703700005,0.0,0.0,0,0.0,0,0.0,0,0,0.0,62883.60485152,0.0,7843.52517037,0.0,0.0,0,0.0,0,0.0,0,0,0.0,123278.45117265,0.0,7843.5251703700005,0.0,0.0
4,4750780,Mount Juliet city,29716.09875034,0.0,19350.20284534,39964.15139553,63659.6417717,29873.3310453,505820.85433879,0.0,0.0,44.9011071,0,0.0,29716.09875034,0.0,9675.10142267,26218.08784373,38522.40862796,15939.68569138,254839.96410565,0.0,0.0,44.9011071,0,0.0,98994.38027155,0.0,34954.2645103,70249.57355371,124690.46397282,30332.89733808,508314.46952433,0.0,0.0,44.9011071,0,0.0,0,0.0,0,0.0,0,0,0.0,513654.57592724,440.47795599,14672.08399314,5504.05231582,0.0,0,0.0,0,0.0,0,0,0.0,265691.24778566,440.47795599,14672.08399314,2835.63194974,0.0,0,0.0,0,0.0,0,0,0.0,514217.72778449,440.47795599,14672.08399314,5504.05231582,0.0
5,4764440,Rockwood city,0.0,20377.88685181,11162.35615675,2662.27975314,0.0,390.40512836,192002.95097636,0.0,0.0,0.0,0,0.0,0.0,15731.07657818,6003.68437551,1381.9119198800001,0.0,195.20256418,96001.47548818,0.0,0.0,0.0,0,0.0,0.0,51379.2804987,11162.35615675,2662.27975314,0.0,390.40512836,192002.95097636,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,34015.980669900004,249.68211449,676.75812679,0.0,0.0,0,0.0,0,0.0,0,0,0.0,17243.82742537,249.68211449,676.75812679,0.0,0.0,0,0.0,0,0.0,0,0,0.0,34015.980669900004,249.68211449,676.75812679,0.0,0.0
6,4775320,Tullahoma city,0.0,19796.811885709998,27824.79560138,18286.11252186,44363.97165678,16665.7314909,467072.00069452,0.0,0.0,0.0,0,0.0,0.0,18374.01819673,13941.58000352,9143.05626093,22181.98582839,8332.86574545,234146.95501848,0.0,0.0,0.0,0,0.0,0.0,45724.83893141,55649.59120276,18286.11252186,44363.97165678,16675.21770113,467072.00069452,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,119556.84746895,1121.2844275,22249.8616321,0.0,0.0,0,0.0,0,0.0,0,0,0.0,62200.08734899,1121.2844275,22249.8616321,0.0,0.0,0,0.0,0,0.0,0,0,0.0,119556.84746895,1121.2844275,22249.8616321,0.0,0.0
7,4717180,Cornersville town,6206.67633974,0.0,17153.47193638,16408.21840992,0.0,0.0,49005.61343768,0.0,0.0,0.0,0,0.0,6206.67633974,0.0,8576.73596819,8204.10920496,0.0,0.0,24502.80671884,0.0,0.0,0.0,0,0.0,10349.34077578,0.0,17153.47193638,16408.21840992,0.0,0.0,49005.61343768,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,8941.92444899,213.6495546,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,4548.22306059,213.6495546,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,8941.92444899,213.6495546,0.0,0.0,0.0
8,4725920,Fayetteville city,0.0,25239.368095589998,25986.05713133,5080.45978543,16055.13401982,6099.69083566,179076.26683277,0.0,0.0,0.0,0,0.0,0.0,14833.07336352,13610.98100184,2602.65496438,8075.57481508,3049.84541783,90057.99087411,0.0,0.0,0.0,0,0.0,0.0,50097.51808117,39197.40975451,5080.45978543,16055.13401982,6099.69083566,179076.26683277,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,65010.24435279,332.64183696,399.74750015,0.0,409.58611783,0,0.0,0,0.0,0,0,0.0,33864.34304924,332.64183696,399.74750015,0.0,409.58611783000003,0,0.0,0,0.0,0,0,0.0,65010.24435279,332.64183696,399.74750015,0.0,409.58611783
9,4757080,Parsons city,0.0,24365.66960062,0.0,0.0,7633.6604040600005,6040.90607474,103787.87115874,0.0,0.0,0.0,0,0.0,0.0,12182.83480031,0.0,0.0,3816.8302020300002,3020.45303737,51893.93557937,0.0,0.0,0.0,0,0.0,0.0,24365.66960062,0.0,0.0,7633.6604040600005,6040.90607474,103787.87115874,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,10123.868180290001,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,5184.68174291,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,10123.868180290001,0.0,0.0,0.0,0.0
