,GEOID,NAMELSAD,motorway,trunk,primary,secondary,tertiary,unclassified,residential,service,track,footway,cycleway,living_street,cl_motorway,cl_trunk,cl_primary,cl_secondary,cl_tertiary,cl_unclassified,cl_residential,cl_service,cl_track,cl_footway,cl_cycleway,cl_living_street,lane_m_motorway,lane_m_trunk,lane_m_primary,lane_m_secondary,lane_m_tertiary,lane_m_unclassified,lane_m_residential,lane_m_service,lane_m_track,lane_m_footway,lane_m_cycleway,lane_m_living_street,n_motorway,n_trunk,n_primary,n_secondary,n_tertiary,n_unclassified,n_residential,n_service,n_track,n_footway,n_cycleway,n_living_street,n_cl_motorway,n_cl_trunk,n_cl_primary,n_cl_secondary,n_cl_tertiary,n_cl_unclassified,n_cl_residential,n_cl_service,n_cl_track,n_cl_footway,n_cl_cycleway,n_cl_living_street,n_lane_m_motorway,n_lane_m_trunk,n_lane_m_primary,n_lane_m_secondary,n_lane_m_tertiary,n_lane_m_unclassified,n_lane_m_residential,n_lane_m_service,n_lane_m_track,n_lane_m_footway,n_lane_m_cycleway,n_lane_m_living_street
0,4839352,Kingsville city,16814.67105429,5996.95522387,20464.56522116,38721.7777715,77131.88283624,6282.8471518,357727.50421694,0.0,0.0,0.0,0.0,0.0,16814.67105429,5996.95522387,10380.05967041,19653.8090352,48438.6920536,3141.4235759,180730.43312928,0.0,0.0,0.0,0.0,0.0,30451.57566073,5996.95522387,37767.19098812,72803.78581964,148306.27440992,6282.8471518,357727.50421694,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,95806.00933395,1251.10188597,12379.41809529,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,48671.61911565,1251.10188597,12379.41809529,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,95806.00933395,1251.10188597,12379.41809529,0.0,0.0
1,4830308,Gorman city,0.0,0.0,5090.35132146,5850.36704086,2769.07025866,2669.2794574,44499.11336746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2545.17566073,2925.18352043,1384.53512933,1334.6397287,22249.55668373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5090.35132146,5850.36704086,2769.07025866,2669.2794574,44499.11336746,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2139.14419236,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1069.57209618,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2139.14419236,0.0,0.0,0.0,0.0
2,4816192,Comanche city,0.0,11367.59153077,12513.30037018,9202.24381718,4415.15038432,0.0,136644.85120281,0.0,0.0,0.0,0.0,0.0,0.0,7561.35847231,6256.65018509,4601.12190859,2207.57519216,0.0,68349.66041973,0.0,0.0,0.0,0.0,0.0,0.0,22423.57248624,23251.82264352,9202.24381718,4415.15038432,0.0,136644.85120281,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,23012.20812109,0.0,1181.63620016,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,11570.33108576,0.0,1181.63620016,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,23012.20812109,0.0,1181.63620016,0.0,0.0
3,4831628,Gustine town,0.0,0.0,3826.50900592,0.0,1556.37769212,0.0,24396.62421064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1913.25450296,0.0,778.18884606,0.0,12198.31210532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3826.50900592,0.0,1556.37769212,0.0,24396.62421064,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1913.8222728800001,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,956.91113644,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1913.8222728800001,0.0,0.0,0.0,0.0
4,4814260,Channing city,0.0,0.0,3458.97191536,3213.39375646,0.0,0.0,25184.49520078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1729.48595768,1606.69687823,0.0,0.0,12592.24760039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3458.97191536,3213.39375646,0.0,0.0,25184.49520078,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2554.63901492,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1277.31950746,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2554.63901492,0.0,0.0,0.0,0.0
5,4840888,Lakeview town,0.0,0.0,2021.69821344,0.0,171.48799748,0.0,12083.637183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1010.84910672,0.0,85.74399874,0.0,6041.8185915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021.69821344,0.0,171.48799748,0.0,12083.637183,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,886.22328598,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,443.11164299,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,886.22328598,0.0,0.0,0.0,0.0
6,4847616,Memphis city,0.0,8714.68913637,3716.91230702,1501.5136542,5283.19111486,531.9788126,114686.96577888,0.0,0.0,0.0,0.0,0.0,0.0,5060.55633044,1858.45615351,750.7568271,2641.59555743,265.9894063,57343.48288944,0.0,0.0,0.0,0.0,0.0,0.0,17429.37827274,3716.91230702,1501.5136542,5283.19111486,531.9788126,114686.96577888,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10470.28398022,1.66079842,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,5235.14199011,1.66079842,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10470.28398022,1.66079842,0.0,0.0,0.0
7,4815988,Colleyville city,33.17507567,0.0,13918.63255521,42599.09795836,61334.80053627,4166.13183969,415713.04139988,0.0,0.0,0.0,0.0,0.0,33.17507567,0.0,12651.92531575,26509.78216581,34657.48993902,2363.25732807,215149.87486778,0.0,0.0,0.0,0.0,0.0,33.17507567,0.0,43212.38380697,81770.04472953,68704.83800749,4166.13183969,415713.04139988,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,248125.53141179,0.0,59557.89012677,5225.68275076,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,128385.92832464,0.0,59557.89012677,5225.68275076,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,248125.53141179,0.0,59557.89012677,5225.68275076,0.0
8,4820332,Dickens city,0.0,4865.27430621,2129.28194186,0.0,2257.78004432,455.97345956,25148.66990566,0.0,0.0,0.0,0.0,0.0,0.0,2647.00495463,1064.64097093,0.0,1128.89002216,227.98672978,12574.33495283,0.0,0.0,0.0,0.0,0.0,0.0,4865.27430621,2129.28194186,0.0,2257.78004432,455.97345956,25148.66990566,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1264.17797196,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,632.08898598,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1264.17797196,0.0,0.0,0.0,0.0
9,4869848,Spur city,0.0,0.0,4710.79118268,14372.70828482,507.35507918,0.0,62300.7353443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2355.39559134,7186.35414241,253.67753959,0.0,31150.36767215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4710.79118268,14372.70828482,507.35507918,0.0,62300.7353443,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,5193.3562995,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2596.67814975,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,5193.3562995,0.0,0.0,0.0,0.0
