,GEOID,NAMELSAD,motorway,trunk,primary,secondary,tertiary,unclassified,residential,service,track,footway,cycleway,living_street,cl_motorway,cl_trunk,cl_primary,cl_secondary,cl_tertiary,cl_unclassified,cl_residential,cl_service,cl_track,cl_footway,cl_cycleway,cl_living_street,lane_m_motorway,lane_m_trunk,lane_m_primary,lane_m_secondary,lane_m_tertiary,lane_m_unclassified,lane_m_residential,lane_m_service,lane_m_track,lane_m_footway,lane_m_cycleway,lane_m_living_street,n_motorway,n_trunk,n_primary,n_secondary,n_tertiary,n_unclassified,n_residential,n_service,n_track,n_footway,n_cycleway,n_living_street,n_cl_motorway,n_cl_trunk,n_cl_primary,n_cl_secondary,n_cl_tertiary,n_cl_unclassified,n_cl_residential,n_cl_service,n_cl_track,n_cl_footway,n_cl_cycleway,n_cl_living_street,n_lane_m_motorway,n_lane_m_trunk,n_lane_m_primary,n_lane_m_secondary,n_lane_m_tertiary,n_lane_m_unclassified,n_lane_m_residential,n_lane_m_service,n_lane_m_track,n_lane_m_footway,n_lane_m_cycleway,n_lane_m_living_street
0,4907470,Boulder town,0.0,0.0,30100.15337008,0.0,4508.46912936,9177.49159674,19906.21874214,1050.66707816,0.0,0.0,0.0,0.0,0.0,0.0,15050.07668504,0.0,2254.23456468,4588.74579837,9953.10937107,525.33353908,0.0,0.0,0.0,0.0,0.0,0.0,30100.15337008,0.0,4508.46912936,9177.49159674,19906.21874214,1050.66707816,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,25747.9710543,28407.653207440002,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,12873.98552715,28407.65320744,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,25747.9710543,28407.653207440002,0.0,0.0,0.0
1,4950590,Minersville town,0.0,0.0,1973.57989636,14546.469518220001,6486.29598524,0.0,24070.76036904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,986.78994818,7273.234759110001,3243.14799262,0.0,12035.38018452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1973.57989636,14546.469518220001,6486.29598524,0.0,24070.76036904,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,206.71256021,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,206.71256021,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,206.71256021,0.0,0.0,0.0
2,4932660,Gunnison city,0.0,0.0,13779.30350655,1981.39357318,3131.5111148,4205.7419803,48178.36181828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6985.54310137,990.69678659,1565.7555574,2102.87099015,24089.18090914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20069.15628242,2196.3342348,3131.5111148,4205.7419803,48178.36181828,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,13518.44639795,6280.38280105,3706.97342866,0.0,0.0,0,0,0,0,0,0.0,0.0,6878.556490200001,6280.38280105,3706.97342866,0.0,0.0,0,0,0,0,0,0.0,0.0,13518.44639795,6280.38280105,3706.97342866,0.0,0.0
3,4940250,Kanosh town,0.0,0.0,0.0,3953.9771334800002,179.44583008,1819.57684312,25172.38295336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1976.98856674,89.72291504,909.78842156,12586.19147668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3953.9771334800002,179.44583008,1819.57684312,25172.38295336,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,2891.8455604,200.18636801000002,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,1445.9227802,200.18636801000002,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,2891.8455604,200.18636801000002,0.0,0.0,0.0
4,4955430,Oak City town,0.0,0.0,0.0,2792.19767124,0.0,2099.0374936800004,17322.4159861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1396.09883562,0.0,1049.51874684,8661.20799305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2792.19767124,0.0,2099.0374936800004,17322.4159861,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,104.78069226,1516.3557532799998,0.0,0.0,347.62234698,0,0,0,0,0,0.0,0.0,52.39034613,1516.35575328,0.0,0.0,173.81117349,0,0,0,0,0,0.0,0.0,104.78069226,1516.3557532799998,0.0,0.0,347.62234698
5,4955100,North Ogden city,0.0,0.0,0.0,6112.16063648,42048.71670174,14168.34133736,248452.58212729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3411.12411757,21024.35835087,7084.17066868,124297.09501497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14119.9086248,44911.56667003,14168.34133736,248452.58212729,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,107741.9849112,8935.55372102,134095.47635338,73.07403647,0.0,0,0,0,0,0,0.0,0.0,55929.803901190004,8935.55372102,134095.47635338,73.07403647,0.0,0,0,0,0,0,0.0,0.0,107741.9849112,8935.55372102,134095.47635338,73.07403647,0.0
6,4924850,Farr West city,13676.78866256,0.0,1667.65274854,23963.34032088,7371.61827532,6903.34292736,100655.42471866,0.0,0.0,0.0,0.0,0.0,13676.78866256,0.0,833.82637427,11981.67016044,3685.80913766,3451.67146368,50395.84633622,0.0,0.0,0.0,0.0,0.0,36620.12269657,0.0,5002.9582456200005,23963.34032088,7371.61827532,13806.68585472,100655.42471866,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,83468.83457061,2232.56608797,1367.01486847,2853.3577471500003,0.0,0,0,0,0,0,0.0,0.0,43015.80450914,2232.56608797,1367.01486847,2853.3577471500003,0.0,0,0,0,0,0,0.0,0.0,83468.83457061,2232.56608797,1367.01486847,2853.3577471500003,0.0
7,4965110,Roy city,6132.28058899,0.0,27259.41305964,13496.59460002,38677.14712583,1243.0058307,355775.68388404,0.0,0.0,0.0,0.0,0.0,5974.50386908,0.0,13858.96215521,6967.34140662,19662.96563069,621.50291535,178298.40571093,0.0,0.0,0.0,0.0,0.0,18048.90934571,0.0,44345.67825651,26762.14184054,38880.33989029,1243.0058307,355775.68388404,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,162693.73901894,11961.82546163,54511.61930468,5378.37737481,0.0,0,0,0,0,0,0.0,0.0,84144.53741004,11961.82546163,54511.61930468,5378.37737481,0.0,0,0,0,0,0,0.0,0.0,162693.73901894,11961.82546163,54511.61930468,5378.37737481,0.0
8,4953010,Mount Pleasant city,0.0,0.0,12860.548392659999,974.8547576999999,5610.07488466,11536.60076664,95842.64832368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6430.27419633,487.42737884999997,2805.03744233,5768.30038332,47921.32416184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20387.041074149998,974.8547576999999,5610.07488466,11536.60076664,95842.64832368,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,16900.73681592,585.99355587,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,8450.36840796,585.99355587,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,16900.73681592,585.99355587,0.0,0.0,0.0
9,4967880,Scipio town,2154.77400918,4865.22235796,0.0,0.0,144.7580316,4396.1737847,31297.171212960002,0.0,0.0,0.0,0.0,0.0,2154.7740091799997,2432.61117898,0.0,0.0,72.3790158,2198.08689235,15648.585606480001,0.0,0.0,0.0,0.0,0.0,3296.87103754,4865.22235796,0.0,0.0,144.7580316,4396.1737847,31297.171212960002,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,141.6592425,386.01357628,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,70.82962125,386.01357628,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,141.6592425,386.01357628,0.0,0.0,0.0
