,GEOID,NAMELSAD,motorway,trunk,primary,secondary,tertiary,unclassified,residential,service,track,footway,cycleway,living_street,cl_motorway,cl_trunk,cl_primary,cl_secondary,cl_tertiary,cl_unclassified,cl_residential,cl_service,cl_track,cl_footway,cl_cycleway,cl_living_street,lane_m_motorway,lane_m_trunk,lane_m_primary,lane_m_secondary,lane_m_tertiary,lane_m_unclassified,lane_m_residential,lane_m_service,lane_m_track,lane_m_footway,lane_m_cycleway,lane_m_living_street,n_motorway,n_trunk,n_primary,n_secondary,n_tertiary,n_unclassified,n_residential,n_service,n_track,n_footway,n_cycleway,n_living_street,n_cl_motorway,n_cl_trunk,n_cl_primary,n_cl_secondary,n_cl_tertiary,n_cl_unclassified,n_cl_residential,n_cl_service,n_cl_track,n_cl_footway,n_cl_cycleway,n_cl_living_street,n_lane_m_motorway,n_lane_m_trunk,n_lane_m_primary,n_lane_m_secondary,n_lane_m_tertiary,n_lane_m_unclassified,n_lane_m_residential,n_lane_m_service,n_lane_m_track,n_lane_m_footway,n_lane_m_cycleway,n_lane_m_living_street
0,5053125,Old Bennington village,0.0,0.0,1647.02925762,0.0,0.0,0.0,7280.03797248,0.0,0.0,0,0,0,0.0,0.0,823.51462881,0.0,0.0,0.0,3798.19149758,0.0,0.0,0,0,0,0.0,0.0,1647.02925762,0.0,0.0,0.0,7280.03797248,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,1762.94779388,0.0,1991.52044329,0.0,0.0,0,0,0,0,0,0.0,0.0,881.47389694,0.0,1991.52044329,0.0,0.0,0,0,0,0,0,0.0,0.0,1762.94779388,0.0,1991.52044329,0.0,0.0
1,5004225,Bellows Falls village,0.0,0.0,5629.18218402,1221.10751892,3262.84898775,704.43152524,39343.58106237,0.0,0.0,0,0,0,0.0,0.0,2814.59109201,610.55375946,1681.50682095,352.21576262,19871.83789128,0.0,0.0,0,0,0,0.0,0.0,5629.18218402,1221.10751892,3262.84898775,704.43152524,39343.58106237,0.0,0.0,0,0,0,0,0,0,0,0,40.14965628,0.0,5388.16680717,95.93526196,117.67332625,0.0,0.0,0,0,0,0,0,20.07482814,0.0,2732.69664303,95.93526196,117.67332625,0.0,0.0,0,0,0,0,0,40.14965628,0.0,5388.16680717,95.93526196,117.67332625,0.0,0.0
2,5048325,Newfane village,0.0,0.0,1892.0561633,0.0,0.0,0.0,3543.91043842,0.0,0.0,0,0,0,0.0,0.0,946.02808165,0.0,0.0,0.0,1771.95521921,0.0,0.0,0,0,0,0.0,0.0,1892.0561633,0.0,0.0,0.0,3543.91043842,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,150.07312012,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,75.03656006,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,150.07312012,0.0,0.0,0.0,0.0
3,5062950,Saxtons River village,0.0,0.0,0.0,5124.2367579,0.0,0.0,12135.47350191,0.0,0.0,0,0,0,0.0,0.0,0.0,2562.11837895,0.0,0.0,6216.46282315,0.0,0.0,0,0,0,0.0,0.0,0.0,5124.2367579,0.0,0.0,12135.47350191,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,4155.67302788,825.87121569,3800.57176709,0.0,0.0,0,0,0,0,0,0.0,0.0,2077.83651394,825.87121569,3800.57176709,0.0,0.0,0,0,0,0,0,0.0,0.0,4155.67302788,825.87121569,3800.57176709,0.0,0.0
4,5024025,Enosburg Falls village,0.0,0.0,11795.4895382,3229.08011426,2622.78996014,0.0,25925.53182935,0.0,0.0,0,0,0,0.0,0.0,5897.7447691,1614.5400571300002,1311.39498007,0.0,13131.37662475,0.0,0.0,0,0,0,0.0,0.0,11795.4895382,3229.08011426,2622.78996014,0.0,25925.53182935,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,26675.99985249,298.10858754,5188.9439569,3176.91160215,0.0,0,0,0,0,0,0.0,0.0,13430.77984526,298.10858754,5188.9439569,3176.91160215,0.0,0,0,0,0,0,0.0,0.0,26675.99985249,298.10858754,5188.9439569,3176.91160215,0.0
5,5061675,St. Albans city,0.0,0.0,7940.055217,6523.5422459,1402.1014678400002,1862.98195989,67044.02948095,0.0,0.0,0,0,0,0.0,0.0,4186.25921819,3261.77112295,701.05073392,1084.39494154,33839.58375317,0.0,0.0,0,0,0,0.0,0.0,8088.26332363,6993.0283827,1402.1014678400002,1862.98195989,67044.02948095,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,9018.3674944,0.0,12530.64357512,0.0,0.0,0,0,0,0,0,0.0,0.0,4509.1837472,0.0,12530.64357512,0.0,0.0,0,0,0,0,0,0.0,0.0,9018.3674944,0.0,12530.64357512,0.0,0.0
6,5071650,Swanton village,0.0,3687.67073614,4992.3688802199995,928.73325754,0.0,579.97933356,28753.49280244,0.0,0.0,0,0,0,0.0,1843.83536807,2496.18444011,464.36662877000003,0.0,289.98966678,14376.74640122,0.0,0.0,0,0,0,0.0,3811.40368844,4992.3688802199995,928.73325754,0.0,579.97933356,28753.49280244,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,4555.5196556,0.0,557.99005751,779.38442411,0.0,0,0,0,0,0,0.0,0.0,2277.7598278,0.0,557.99005751,779.38442411,0.0,0,0,0,0,0,0.0,0.0,4555.5196556,0.0,557.99005751,779.38442411,0.0
7,5042700,Manchester village,0.0,0.0,0.0,6424.85808849,6474.17308688,683.87081383,46196.67302772,0.0,0.0,0,0,0,0.0,0.0,0.0,3329.45291256,3237.08654344,363.49039898,23168.07049013,0.0,0.0,0,0,0,0.0,0.0,0.0,6424.85808849,6474.17308688,683.87081383,46196.67302772,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,78135.6080309,4472.70121918,11117.12976448,0.0,0.0,0,0,0,0,0,0.0,0.0,39325.86140501,4472.70121918,11117.12976448,0.0,0.0,0,0,0,0,0,0.0,0.0,78135.6080309,4472.70121918,11117.12976448,0.0,0.0
8,5041950,Lyndonville village,0.0,0.0,4851.3654817999995,1123.2693206,319.32681216,5549.14911892,12257.09820468,0.0,0.0,0,0,0,0.0,0.0,2425.6827409,561.6346603,159.66340608,2774.57455946,6128.54910234,0.0,0.0,0,0,0,0.0,0.0,4851.3654817999995,1123.2693206,319.32681216,5549.14911892,12257.09820468,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,20841.16762651,537.7602669,6775.13886445,0.0,0.0,0,0,0,0,0,0.0,0.0,10784.07494275,537.7602669,6775.13886445,0.0,0.0,0,0,0,0,0,0.0,0.0,20841.16762651,537.7602669,6775.13886445,0.0,0.0
9,5079150,West Burke village,0.0,0.0,2230.9061068,2540.5192072,2266.64173088,1897.57431948,3250.62273716,0.0,0.0,0,0,0,0.0,0.0,1115.4530534,1270.2596036,1133.32086544,948.78715974,1625.31136858,0.0,0.0,0,0,0,0.0,0.0,2230.9061068,2540.5192072,2266.64173088,1897.57431948,3250.62273716,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,3937.70909614,433.77181417,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,1968.85454807,433.77181417,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,3937.70909614,433.77181417,0.0,0.0,0.0
