,GEOID,NAMELSAD,motorway,trunk,primary,secondary,tertiary,unclassified,residential,service,track,footway,cycleway,living_street,cl_motorway,cl_trunk,cl_primary,cl_secondary,cl_tertiary,cl_unclassified,cl_residential,cl_service,cl_track,cl_footway,cl_cycleway,cl_living_street,lane_m_motorway,lane_m_trunk,lane_m_primary,lane_m_secondary,lane_m_tertiary,lane_m_unclassified,lane_m_residential,lane_m_service,lane_m_track,lane_m_footway,lane_m_cycleway,lane_m_living_street,n_motorway,n_trunk,n_primary,n_secondary,n_tertiary,n_unclassified,n_residential,n_service,n_track,n_footway,n_cycleway,n_living_street,n_cl_motorway,n_cl_trunk,n_cl_primary,n_cl_secondary,n_cl_tertiary,n_cl_unclassified,n_cl_residential,n_cl_service,n_cl_track,n_cl_footway,n_cl_cycleway,n_cl_living_street,n_lane_m_motorway,n_lane_m_trunk,n_lane_m_primary,n_lane_m_secondary,n_lane_m_tertiary,n_lane_m_unclassified,n_lane_m_residential,n_lane_m_service,n_lane_m_track,n_lane_m_footway,n_lane_m_cycleway,n_lane_m_living_street
0,5147528,Luray town,0.0,15455.52007432,17264.75195063,454.56558791000003,34209.76536032,0.0,108756.14884759,0.0,0.0,0.0,0.0,0.0,0.0,15455.52007432,10272.41948203,240.89738291,17181.79516174,0.0,55984.83842146,0.0,0.0,0.0,0.0,0.0,0.0,30465.094315270002,21754.03183963,454.56558791000003,34209.76536032,0.0,108756.14884759,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,76145.81446043,1092.88699576,6456.75786747,1367.2688505400001,0.0,0,0,0,0.0,0.0,0.0,0.0,38675.23044564,1092.88699576,6456.75786747,1367.26885054,0.0,0,0,0,0.0,0.0,0.0,0.0,76145.81446043,1092.88699576,6456.75786747,1367.2688505400001,0.0
1,5171776,Shenandoah town,0.0,0.0,6895.57117826,0.0,8189.60471782,0.0,62176.07823926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3447.78558913,0.0,4094.80235891,0.0,31088.03911963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6895.57117826,0.0,8189.60471782,0.0,62176.07823926,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,21508.6832434,2899.3580843600002,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,10847.08883647,2899.3580843600002,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,21508.6832434,2899.3580843600002,0.0,0.0,0.0
2,5175024,Stanley town,0.0,0.0,7663.99082108,0.0,1418.41023624,0.0,32123.23342132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3831.99541054,0.0,709.20511812,0.0,16061.61671066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7663.99082108,0.0,1418.41023624,0.0,32123.23342132,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,22833.90450908,3.61343299,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,11416.95225454,3.61343299,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,22833.90450908,3.61343299,0.0,0.0,0.0
3,5173904,South Hill town,19676.03544405,13304.38400829,24151.4389461,8637.49009788,32741.6573787,3708.50364266,130583.77790025,0.0,0.0,0.0,0.0,0.0,19676.03544405,13090.821849420001,14076.99023648,4318.74504894,16518.72607442,1854.25182133,65644.3536614,0.0,0.0,0.0,0.0,0.0,39618.10353869,26608.76801658,27688.38256382,8637.49009788,32741.6573787,3708.50364266,130583.77790025,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,92052.47025911,9702.60435511,1479.86510865,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,46584.34276623,9702.60435511,1479.86510865,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,92052.47025911,9702.60435511,1479.86510865,0.0,0.0
4,5117536,Clinchport town,0.0,53.51901703,0.0,4668.37467162,0.0,0.0,12096.67814262,0.0,0.0,0.0,0.0,0.0,0.0,53.51901703,0.0,2334.18733581,0.0,0.0,6048.33907131,0.0,0.0,0.0,0.0,0.0,0.0,107.03803406,0.0,4668.37467162,0.0,0.0,12096.67814262,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,1490.43246248,1355.26065427,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,745.21623124,1355.26065427,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,1490.43246248,1355.26065427,0.0,0.0,0.0
5,5123680,Duffield town,0.0,4994.51121886,603.15133814,165.5817513,0.0,0.0,8607.22964928,0.0,0.0,0.0,0.0,0.0,0.0,4994.511218860001,301.57566907,82.79087565,0.0,0.0,4303.61482464,0.0,0.0,0.0,0.0,0.0,0.0,9989.02243772,1206.30267628,165.5817513,0.0,0.0,8607.22964928,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,2020.13699126,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,1010.06849563,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,2020.13699126,0.0,0.0,0.0,0.0
6,5123952,Dungannon town,0.0,0.0,0.0,3620.5862157799997,0.0,0.0,14550.11774604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1810.2931078899999,0.0,0.0,7275.05887302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3620.5862157799997,0.0,0.0,14550.11774604,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,5880.99559628,255.68853644,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,2940.49779814,255.68853644,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,5880.99559628,255.68853644,0.0,0.0,0.0
7,5130496,Gate City town,0.0,10838.402847899999,8336.1515951,8882.5741987,3124.70910164,1922.01145166,85891.4565277,0.0,0.0,0.0,0.0,0.0,0.0,10668.497356599999,4168.07579755,4441.28709935,1562.35455082,961.00572583,42945.728263850004,0.0,0.0,0.0,0.0,0.0,0.0,21676.805695799998,9285.2709872,8882.5741987,3124.70910164,1922.01145166,85891.4565277,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,24866.3624008,3630.2864163199997,31.0014664,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,12851.80855252,3630.28641632,31.0014664,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,24866.3624008,3630.2864163199997,31.0014664,0.0,0.0
8,5156304,Nickelsville town,0.0,0.0,0.0,3729.91646028,1760.9143773,0.0,12714.39427698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1864.95823014,906.82595739,0.0,6357.19713849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3729.91646028,1760.9143773,0.0,12714.39427698,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,6188.10091968,0.0,988.7247938600001,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,3094.05045984,0.0,988.7247938600001,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,6188.10091968,0.0,988.7247938600001,0.0,0.0
9,5161336,Pembroke town,0.0,5157.3450327499995,0.0,0.0,0.0,6837.32205208,31471.02714086,0.0,0.0,0.0,0.0,0.0,0.0,3017.50030304,0.0,0.0,0.0,3418.66102604,15735.51357043,0.0,0.0,0.0,0.0,0.0,0.0,10314.690065499999,0.0,0.0,0.0,6837.32205208,31471.02714086,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,8468.75366397,564.46787377,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,4326.21334237,564.46787377,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,8468.75366397,564.46787377,0.0,0.0,0.0
10,5166896,Rich Creek town,0.0,4646.263504250001,1894.02619598,0.0,0.0,41.79830548,28424.20569672,0.0,0.0,0.0,0.0,0.0,0.0,4646.26350425,947.01309799,0.0,0.0,20.89915274,14212.10284836,0.0,0.0,0.0,0.0,0.0,0.0,9292.527008500001,2089.27700264,0.0,0.0,41.79830548,28424.20569672,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,3166.35626602,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,1583.17813301,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,3166.35626602,0.0,0.0,0.0,0.0
