,GEOID,NAMELSAD,motorway,trunk,primary,secondary,tertiary,unclassified,residential,service,track,footway,cycleway,living_street,cl_motorway,cl_trunk,cl_primary,cl_secondary,cl_tertiary,cl_unclassified,cl_residential,cl_service,cl_track,cl_footway,cl_cycleway,cl_living_street,lane_m_motorway,lane_m_trunk,lane_m_primary,lane_m_secondary,lane_m_tertiary,lane_m_unclassified,lane_m_residential,lane_m_service,lane_m_track,lane_m_footway,lane_m_cycleway,lane_m_living_street,n_motorway,n_trunk,n_primary,n_secondary,n_tertiary,n_unclassified,n_residential,n_service,n_track,n_footway,n_cycleway,n_living_street,n_cl_motorway,n_cl_trunk,n_cl_primary,n_cl_secondary,n_cl_tertiary,n_cl_unclassified,n_cl_residential,n_cl_service,n_cl_track,n_cl_footway,n_cl_cycleway,n_cl_living_street,n_lane_m_motorway,n_lane_m_trunk,n_lane_m_primary,n_lane_m_secondary,n_lane_m_tertiary,n_lane_m_unclassified,n_lane_m_residential,n_lane_m_service,n_lane_m_track,n_lane_m_footway,n_lane_m_cycleway,n_lane_m_living_street
0,5307870,Bridgeport city,0.0,0.0,0.0,7882.0892870200005,0.0,9.02326438,47419.21382264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3941.0446435100002,0.0,4.51163219,23709.60691132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7882.0892870200005,0.0,9.02326438,47419.21382264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,18499.78266148,949.65843826,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,9249.89133074,949.65843826,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,18499.78266148,949.65843826,0.0,0.0,0.0
1,5342800,Mansfield town,0.0,0.0,0.0,3087.3682363,1021.00871032,35.40589606,17527.5671033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1543.68411815,510.50435516,17.70294803,8763.78355165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3087.3682363,1021.00871032,35.40589606,17527.5671033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,5376510,Waterville town,0.0,0.0,5164.89107058,1228.15128632,3877.00831994,0.0,42643.70966697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2582.44553529,614.07564316,1938.50415997,0.0,21338.95206014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5164.89107058,1228.15128632,3877.00831994,0.0,42643.70966697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,10179.50913092,0.0,184.56496893,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,5089.75456546,0.0,184.56496893,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,10179.50913092,0.0,184.56496893,0.0,0.0
3,5312630,Clarkston city,0.0,5125.70366948,5956.21465896,13350.93674664,21599.49493306,650.3282706,70399.30019104,0.0,0.0,0.0,0.0,0.0,0.0,2562.85183474,3358.6869631,6756.90297217,11610.74771339,325.1641353,35311.67923377,0.0,0.0,0.0,0.0,0.0,0.0,5742.76750618,7499.45402292,13350.93674664,23182.94795216,650.3282706,70399.30019104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,46221.14054567,0.0,3075.5638923,907.6740130400001,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,23369.86017184,0.0,3075.5638923,907.6740130400001,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,46221.14054567,0.0,3075.5638923,907.6740130400001,0.0
4,5330060,Hatton town,0.0,0.0,0.0,2779.3039500200002,801.65211664,1565.48254482,3474.20285838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1389.6519750100001,400.82605832,782.74127241,1737.10142919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2779.3039500200002,801.65211664,1565.48254482,3474.20285838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2789.52725542,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1394.76362771,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2789.52725542,0.0,0.0,0.0,0.0
5,5356450,Prosser city,3063.0816595700003,0.0,10998.21513512,16670.629971,25416.17637182,6828.71001576,105243.24003215,0.0,0.0,0.0,0.0,0.0,3063.0816595700003,0.0,5499.10756756,8562.34805901,12785.06353521,3414.35500788,52670.45784796,0.0,0.0,0.0,0.0,0.0,6126.163319140001,0.0,10998.21513512,16670.629971,25416.17637182,6828.71001576,105243.24003215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,76749.35306734,261.78172908,25652.6108001,2030.47686432,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,39334.71052628,261.78172908,25652.6108001,2030.47686432,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,76749.35306734,261.78172908,25652.6108001,2030.47686432,0.0
6,5374060,Vancouver city,152884.72160676,267.19079129,55557.75420509,162702.36874263,433067.85150429,42538.93532332,1436371.5861027,0.0,0.0,0.0,0.0,0.0,152884.72160676,267.19079129,50452.24343136,112108.48037208,240407.16679079,22370.45265512,724404.83982488,0.0,0.0,0.0,0.0,0.0,316724.05429353,768.468889995,152071.63086934,330542.88244406,464283.07259024,42587.97563703,1436563.18177697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,13.21003282,1712797.89992317,5789.29951549,104524.64014373,1846.9373139,0.0,0.0,0.0,0,0.0,0.0,0.0,6.60501641,900705.34762691,5789.29951549,104520.89945031,1846.9373139,0.0,0.0,0.0,0,0.0,0.0,0.0,13.21003282,1713639.50291218,5789.29951549,209049.28028746,1846.9373139,0.0
7,5379975,Yacolt town,0.0,0.0,0.0,3053.7737110000003,2011.42345842,0.0,24974.05677944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1526.8868555,1005.7117292099999,0.0,12487.02838972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3053.7737110000003,2011.42345842,0.0,24974.05677944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,8101.89720523,0.0,514.48530851,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,4133.84355234,0.0,514.48530851,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,8101.89720523,0.0,514.48530851,0.0,0.0
8,5339510,Lind town,0.0,0.0,0.0,7660.0439565,1659.2909448,2900.68348752,28897.35776908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3830.02197825,829.6454724,1450.34174376,14448.67888454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7660.0439565,1659.2909448,2900.68348752,28897.35776908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,14563.37671208,846.4190862,1248.54809856,1401.9464368600002,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,7281.68835604,846.4190862,1248.54809856,1401.94643686,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,14563.37671208,846.4190862,1248.54809856,1401.9464368600002,0.0
9,5352215,Othello city,0.0,0.0,11969.44028198,11379.08234793,29416.68473506,1646.31748674,107403.22544082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6751.09663362,5689.95750363,14708.34236753,823.1587433699999,53701.61272041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13535.4289202,22758.16469586,30094.09882938,1646.31748674,107403.22544082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,71346.83022684,243.72605805999999,4057.7641815,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,36573.77553539,243.72605805999999,4057.7641815,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,71346.83022684,243.72605805999999,4057.7641815,0.0,0.0
10,5308605,Bucoda town,0.0,0.0,0.0,3096.72774076,2210.0101277,0.0,15235.79119076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1548.36387038,1105.00506385,0.0,7617.89559538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3096.72774076,2210.0101277,0.0,15235.79119076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,8483.5416072,0.0,98.85979733,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,4241.7708036,0.0,98.85979733,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,8483.5416072,0.0,98.85979733,0.0,0.0
