,GEOID,NAMELSAD,motorway,trunk,primary,secondary,tertiary,unclassified,residential,service,track,footway,cycleway,living_street,cl_motorway,cl_trunk,cl_primary,cl_secondary,cl_tertiary,cl_unclassified,cl_residential,cl_service,cl_track,cl_footway,cl_cycleway,cl_living_street,lane_m_motorway,lane_m_trunk,lane_m_primary,lane_m_secondary,lane_m_tertiary,lane_m_unclassified,lane_m_residential,lane_m_service,lane_m_track,lane_m_footway,lane_m_cycleway,lane_m_living_street,n_motorway,n_trunk,n_primary,n_secondary,n_tertiary,n_unclassified,n_residential,n_service,n_track,n_footway,n_cycleway,n_living_street,n_cl_motorway,n_cl_trunk,n_cl_primary,n_cl_secondary,n_cl_tertiary,n_cl_unclassified,n_cl_residential,n_cl_service,n_cl_track,n_cl_footway,n_cl_cycleway,n_cl_living_street,n_lane_m_motorway,n_lane_m_trunk,n_lane_m_primary,n_lane_m_secondary,n_lane_m_tertiary,n_lane_m_unclassified,n_lane_m_residential,n_lane_m_service,n_lane_m_track,n_lane_m_footway,n_lane_m_cycleway,n_lane_m_living_street
0,5586750,White Lake village,0.0,0.0,1388.84785354,0.0,7740.51686208,14978.1926536,10494.76526152,0.0,0.0,0.0,0,0.0,0.0,0.0,694.42392677,0.0,3870.25843104,7489.0963268,5247.38263076,0.0,0.0,0.0,0,0.0,0.0,0.0,1388.84785354,0.0,7740.51686208,14978.1926536,10494.76526152,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,4890.65246098,4304.94557754,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,2445.32623049,4304.94557754,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,4890.65246098,4304.94557754,0.0,0.0,0.0
1,5520775,Doylestown village,0.0,0.0,0.0,0.0,9657.1195562,14094.80541638,16373.939233879999,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,4828.5597781,7047.40270819,8186.96961694,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,9657.1195562,14094.80541638,16373.939233879999,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,4734.1485332,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,2367.0742666,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,4734.1485332,0.0,0.0,0.0,0.0
2,5528000,Friesland village,0.0,0.0,0.0,0.0,3249.07434008,0.0,9380.31205808,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1624.53717004,0.0,4690.15602904,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,3249.07434008,0.0,9380.31205808,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,2658.02116398,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,1329.01058199,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,2658.02116398,0.0,0.0,0.0,0.0
3,5564100,Portage city,11301.11227019,0.0,35480.86518626,7796.61677906,4003.15209068,12539.53644955,165262.74550385,0.0,0.0,0.0,0,0.0,11301.11227019,0.0,21777.10510182,4001.0301342400003,2001.57604534,6355.46860571,82679.32797782,0.0,0.0,0.0,0,0.0,21541.68225123,0.0,63489.84229556,7796.61677906,4003.15209068,12539.53644955,165262.74550385,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,128766.28558416,1984.84505085,12620.36510642,3550.4548711499997,0.0,0,0,0,0,0.0,0.0,0.0,66534.28809839,1984.84505085,12620.36510642,3550.4548711499997,0.0,0,0,0,0,0.0,0.0,0.0,128766.28558416,1984.84505085,12620.36510642,3550.4548711499997,0.0
4,5509800,Bristol village,10446.19502382,16727.78162646,21053.58089875,3970.46118913,141002.85590535,2305.6113152000003,95626.09359833,233.8530088,0.0,0.0,0,0.0,10446.19502382,16707.67913602,11219.6071826,2324.20079695,73092.69672685,1152.8056576000001,48694.996925190004,116.9265044,0.0,0.0,0,0.0,37453.747852960005,33408.19699753,22595.74745672,3970.46118913,141644.50815073,2305.6113152000003,95626.09359833,233.8530088,0.0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,271409.06685736,8833.95429193,10990.53454602,458.66505701,0.0,0,0,0,0,0.0,0.0,0.0,137465.21009335,8833.95429193,10385.48079579,458.66505701,0.0,0,0,0,0,0.0,0.0,0.0,271409.06685736,8833.95429193,10990.53454602,458.66505701,0.0
5,5500100,Abbotsford city,5668.93386193,771.0112456300001,4894.52490149,7995.44240364,0.0,0.0,70995.14218848,0.0,0.0,0.0,0,0.0,5668.93386193,771.0112456300001,3264.01123078,3997.72120182,0.0,0.0,35497.57109424,0.0,0.0,0.0,0,0.0,8969.84573444,1542.0224912600002,9789.04980298,7995.44240364,0.0,0.0,70995.14218848,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,11319.3719069,0.0,631.9056436999999,0.0,0.0,0,0,0,0,0.0,0.0,0.0,5817.8016770799995,0.0,631.9056436999999,0.0,0.0,0,0,0,0,0.0,0.0,0.0,11319.3719069,0.0,631.9056436999999,0.0,0.0
6,5520450,Dorchester village,0.0,0.0,1931.9359447000002,0.0,5860.46195422,0.0,29420.19876968,0.0,0.0,0.0,0,0.0,0.0,0.0,989.61726645,0.0,2930.23097711,0.0,14710.09938484,0.0,0.0,0.0,0,0.0,0.0,0.0,1931.9359447000002,0.0,5860.46195422,0.0,29420.19876968,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,2921.62180938,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,1460.81090469,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,2921.62180938,0.0,0.0,0.0,0.0
7,5581850,Unity village,0.0,3366.87002492,0.0,0.0,3481.35259502,0.0,13134.55523556,0.0,0.0,0.0,0,0.0,0.0,1683.43501246,0.0,0.0,1740.67629751,0.0,6567.27761778,0.0,0.0,0.0,0,0.0,0.0,6726.62670358,0.0,0.0,3481.35259502,0.0,13134.55523556,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,1826.16964998,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,913.08482499,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,1826.16964998,0.0,0.0,0.0,0.0
8,5576625,Stanley city,0.0,11198.119099040001,0.0,19358.30516113,1528.96434738,5725.00537032,63410.037303,0.0,0.0,0.0,0,0.0,0.0,11198.119099040001,0.0,10075.95071886,764.4821736900001,2862.50268516,31705.0186515,0.0,0.0,0.0,0,0.0,0.0,20623.61524261,0.0,19358.30516113,1528.96434738,5725.00537032,63410.037303,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,37165.4274704,895.98579752,2649.19784706,0.0,0.0,0,0,0,0,0.0,0.0,0.0,18848.25809426,895.98579752,2649.1978470599997,0.0,0.0,0,0,0,0,0.0,0.0,0.0,37165.4274704,895.98579752,2649.19784706,0.0,0.0
9,5518125,Curtiss village,0.0,837.69181456,0.0,0.0,2688.49999462,0.0,11348.86104136,0.0,0.0,0.0,0,0.0,0.0,837.69181456,0.0,0.0,1478.01030543,0.0,5674.43052068,0.0,0.0,0.0,0,0.0,0.0,1247.00368519,0.0,0.0,2688.49999462,0.0,11348.86104136,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,1484.2103882000001,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,742.1051941000001,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,1484.2103882000001,0.0,0.0,0.0,0.0
