,GEOID,NAMELSAD,motorway,trunk,primary,secondary,tertiary,unclassified,residential,service,track,footway,cycleway,living_street,cl_motorway,cl_trunk,cl_primary,cl_secondary,cl_tertiary,cl_unclassified,cl_residential,cl_service,cl_track,cl_footway,cl_cycleway,cl_living_street,lane_m_motorway,lane_m_trunk,lane_m_primary,lane_m_secondary,lane_m_tertiary,lane_m_unclassified,lane_m_residential,lane_m_service,lane_m_track,lane_m_footway,lane_m_cycleway,lane_m_living_street,n_motorway,n_trunk,n_primary,n_secondary,n_tertiary,n_unclassified,n_residential,n_service,n_track,n_footway,n_cycleway,n_living_street,n_cl_motorway,n_cl_trunk,n_cl_primary,n_cl_secondary,n_cl_tertiary,n_cl_unclassified,n_cl_residential,n_cl_service,n_cl_track,n_cl_footway,n_cl_cycleway,n_cl_living_street,n_lane_m_motorway,n_lane_m_trunk,n_lane_m_primary,n_lane_m_secondary,n_lane_m_tertiary,n_lane_m_unclassified,n_lane_m_residential,n_lane_m_service,n_lane_m_track,n_lane_m_footway,n_lane_m_cycleway,n_lane_m_living_street
0,5605320,Basin town,0.0,0.0,5061.1708739,1721.26074938,1447.58820574,2711.67453276,53028.9211297,0.0,0,0,0,0,0.0,0.0,2530.58543695,860.63037469,723.79410287,1355.83726638,26514.46056485,0.0,0,0,0,0,0.0,0.0,10093.22015732,3440.81878694,1447.58820574,2711.67453276,53028.9211297,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,38860.6072466,3765.92678267,191.10388693,0.0,0.0,0,0,0,0,0,0.0,0.0,19430.3036233,3765.92678267,191.10388693,0.0,0.0,0,0,0,0,0,0.0,0.0,38860.6072466,3765.92678267,191.10388693,0.0,0.0
1,5611700,Byron town,0.0,0.0,3147.57992323,0.0,0.0,0.0,28254.00119006,0.0,0,0,0,0,0.0,0.0,3147.57992323,0.0,0.0,0.0,14127.00059503,0.0,0,0,0,0,0.0,0.0,5894.15690799,0.0,0.0,0.0,28254.00119006,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2344.7434459,62.76628842,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,1172.37172295,62.76628842,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,2344.7434459,62.76628842,0.0,0.0,0.0
2,5617645,Cowley town,0.0,0.0,4589.5466921199995,795.34694398,1865.5870873000001,0.0,27476.18038886,0.0,0,0,0,0,0.0,0.0,2294.77334606,397.67347199,932.79354365,0.0,13738.09019443,0.0,0,0,0,0,0.0,0.0,6182.56908152,795.34694398,1865.5870873000001,0.0,27476.18038886,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,47.12331661,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,47.12331661,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,47.12331661,0.0,0.0,0.0
3,5600245,Afton town,0.0,14958.56372744,0.0,2818.99491686,0.0,6342.74775898,77438.91619872,0.0,0,0,0,0,0.0,7479.28186372,0.0,1409.49745843,0.0,3171.37387949,38719.45809936,0.0,0,0,0,0,0.0,24744.80558834,0.0,2818.99491686,0.0,6342.74775898,77438.91619872,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,108211.66544106,7862.79705718,22933.73705249,1842.97719819,0.0,0,0,0,0,0,0.0,0.0,54199.25674212,7862.79705718,22933.73705249,1842.97719819,0.0,0,0,0,0,0,0.0,0.0,108211.66544106,7862.79705718,22933.73705249,1842.97719819,0.0
4,5601695,Alpine town,0.0,9906.78905064,0.0,0.0,0.0,3151.72492528,45992.21651939,0.0,0,0,0,0,0.0,4953.39452532,0.0,0.0,0.0,1575.86246264,23462.77471028,0.0,0,0,0,0,0.0,10475.521879779999,0.0,0.0,0.0,3151.72492528,45992.21651939,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,35897.59185385,543.80840612,785.46543464,0.0,0.0,0,0,0,0,0,0.0,0.0,17971.5727177,543.80840612,785.46543464,0.0,0.0,0,0,0,0,0,0.0,0.0,35897.59185385,543.80840612,785.46543464,0.0,0.0
5,5633885,Greybull town,0.0,0.0,7681.54787138,0.0,1709.84437274,321.63707066,58712.59282978,0.0,0,0,0,0,0.0,0.0,3840.77393569,0.0,854.92218637,160.81853533,29356.29641489,0.0,0,0,0,0,0.0,0.0,8559.4960653,0.0,1709.84437274,321.63707066,58712.59282978,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,38259.88932099,0.0,4255.1841591,0.0,0.0,0,0,0,0,0,0.0,0.0,19391.65057956,0.0,4255.1841591,0.0,0.0,0,0,0,0,0,0.0,0.0,38464.92239492,0.0,4255.1841591,0.0,0.0
6,5647950,Lovell town,0.0,0.0,3991.36099196,828.345085,3264.34777748,1988.15714534,49823.36977928,0.0,0,0,0,0,0.0,0.0,3966.13708096,438.18340821000004,1632.1738887400002,994.0785726700001,24911.68488964,0.0,0,0,0,0,0.0,0.0,7982.72198392,828.345085,3264.34777748,1988.15714534,49823.36977928,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,5839.83257982,0.0,129.74525327,0.0,0.0,0,0,0,0,0,0.0,0.0,2919.91628991,0.0,129.74525327,0.0,0.0,0,0,0,0,0,0.0,0.0,5839.83257982,0.0,129.74525327,0.0,0.0
7,5649980,Manderson town,0.0,0.0,2709.47439742,3959.65005272,0.0,0.0,8314.84904196,0.0,0,0,0,0,0.0,0.0,1354.73719871,1979.82502636,0.0,0.0,4157.42452098,0.0,0,0,0,0,0.0,0.0,2709.47439742,3959.65005272,0.0,0.0,8314.84904196,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,4189.53036284,3801.13505863,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,2094.76518142,3801.13505863,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,4189.53036284,3801.13505863,0.0,0.0,0.0
8,5642005,Kemmerer city,0.0,16689.70996219,20205.14043189,0.0,8876.653568,7614.56521898,68597.24755104,0.0,0,0,0,0,0.0,9667.86971894,10172.78915763,0.0,4438.326784,3807.28260949,34298.62377552,0.0,0,0,0,0,0.0,16689.70996219,20205.14043189,0.0,8876.653568,7614.56521898,68597.24755104,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,38652.17379202,18802.08265602,536.83214823,0.0,0.0,0,0,0,0,0,0.0,0.0,19326.08689601,18802.08265602,536.83214823,0.0,0.0,0,0,0,0,0,0.0,0.0,38652.17379202,18802.08265602,536.83214823,0.0,0.0
9,5657810,Opal town,0.0,2572.89861818,0.0,79.28562312,2362.76394848,0.0,7761.19065006,0.0,0,0,0,0,0.0,1286.44930909,0.0,39.64281156,1181.38197424,0.0,3880.59532503,0.0,0,0,0,0,0.0,2572.89861818,0.0,79.28562312,2362.76394848,0.0,7761.19065006,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,514.43415016,1138.00656565,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,257.21707508,1138.00656565,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,514.43415016,1138.00656565,0.0,0.0,0.0
