STATEFP,GEOID,NAMELSAD,ALAND,AWATER,sum
30,3001675,Anaconda-Deer Lodge County,1907998860,12199890,418181.0
02,0236400,Juneau city and borough,7003406836,1426230792,1736098.0
02,0270540,Sitka city and borough,7433415763,5037747536,184935.0
02,0286380,Wrangell city and borough,6619997018,2384375227,134293.0
02,0203000,Anchorage municipality,4420591349,621302197,3.4050653E7
49,4947290,Magna metro township,39125264,57944495,1323268.1372549017
49,4922875,Emigration Canyon metro township,47187917,0,0.0
49,4984050,White City metro township,2256665,0,90786.33333333334
49,4915720,Copperton metro township,807087,0,0.8235294117647058
49,4940470,Kearns metro township,11993405,0,1703211.1607843137
22,2218125,Covington city,20771074,345443,2142646.4784313734
22,2248225,Mandeville city,18444828,423172,2170775.258823529
22,2218650,Crowley city,15154654,1397,2981378.6470588236
22,2205000,Baton Rouge city,223557844,5708637,7.233511961568624E7
22,2253545,Natchitoches city,58765044,9308983,4026110.925490196
22,2210950,Bunkie city,7827181,39783,456963.87450980395
22,2261615,Ponchatoula city,12256259,10687,784104.0039215686
22,2248750,Marksville city,12466681,34862,370049.20784313726
22,2200975,Alexandria city,73790296,1788418,1.2066761674509803E7
22,2260530,Pineville city,32635245,1357876,1691806.7529411768
22,2209340,Breaux Bridge city,19983443,462775,817706.0
22,2267600,St. Martinville city,7903789,277271,205482.07058823528
22,2243010,Leesville city,19822518,337144,1041170.3215686276
22,2200100,Abbeville city,15660962,83689,989433.4823529411
22,2250885,Minden city,38946147,439466,2821764.458823529
22,2263645,Rayne city,9821507,17505,763961.2235294118
22,2270000,Shreveport city,279195930,40270180,4.7750668305882365E7
22,2278715,Ville Platte city,10403641,1289,433691.78431372554
22,2229850,Gonzales city,23676763,278961,2679061.203921569
22,2221240,Donaldsonville city,9784790,60015,363850.0
22,2220610,DeRidder city,24062013,228174,1522712.5921568628
22,2261790,Port Allen city,7342523,1276650,1250608.435294117
22,2283405,Zachary city,67705732,87474,757675.9490196079
22,2210075,Broussard city,46332274,101499,6378515.6901960755
22,2240735,Lafayette city,144582240,203100,2.9703297317647066E7
22,2272485,Springhill city,16092285,206901,422745.59607843135
22,2266655,Ruston city,54750521,175428,5023359.800000001
22,2251410,Monroe city,76804875,8423374,1.731430817254902E7
22,2280955,West Monroe city,20787020,743977,6298395.2156862775
22,2248365,Mansfield city,9459600,19783,326783.0
22,2220435,Denham Springs city,18887710,157595,2096210.9058823532
22,2282495,Winnsboro city,10354904,160383,1244748.3019607845
22,2232755,Hammond city,36355203,9581,8161567.266666666
22,2267250,St. Gabriel city,76811029,579738,9042860.839215687
22,2254035,New Iberia city,28853949,292522,9307942.65490196
22,2258045,Opelousas city,25034040,8028,2901926.8039215677
22,2252040,Morgan City city,15498740,689895,6047250.101960786
22,2213960,Central city,161244698,708155,382688.0
22,2230515,Grambling city,15287902,56873,1106893.1960784313
22,2208920,Bossier City city,113438592,3325431,1.2794674596078433E7
22,2238075,Jeanerette city,5978221,139866,124383.54901960785
22,2227155,Franklin city,25696620,1476965,497414.92549019604
22,2260880,Plaquemine city,7570546,214131,271473.88235294115
22,2241155,Lake Charles city,118232073,7281617,1.6703574352941183E7
22,2231915,Gretna city,10451944,1191856,2361911.219607843
22,2232930,Harahan city,5227222,1234216,298565.3254901962
22,2239475,Kenner city,38541001,600053,1.3330400266666666E7
22,2238355,Jennings city,26947663,47011,1290460.0196078431
22,2281165,Westwego city,8070430,1241824,1149922.262745098
22,2256540,Oakdale city,13447472,161064,421099.58431372547
22,2273640,Sulphur city,29056325,42041,4496782.454901962
27,2740418,Marble city,11141200,261986,4336.0
27,2744980,Nashwauk city,38358155,1808559,51799.0
27,2709316,Calumet city,4662402,198134,1213.0
27,2702872,Aurora city,9577360,557322,84910.69019607843
28,2864200,Ruleville city,6522346,21825,77500.0
28,2849320,Mound Bayou city,2270503,1086,58015.81176470588
28,2863720,Rosedale city,14024179,161250,51807.0
28,2867040,Shelby city,7073122,27405,57909.0
28,2836000,Jackson city,289342143,5532980,3.2187311752941176E7
28,2862520,Ridgeland city,55390227,4587733,4574366.529411766
28,2844520,Madison city,65394922,3059241,1177814.2588235296
28,2812900,Charleston city,3509615,9391,86584.62745098039
28,2855760,Pearl city,66008538,321286,5004401.356862748
28,2862400,Richland city,32439577,168591,5350493.250980391
28,2876720,Vicksburg city,85503989,5386389,9509718.439215684
28,2840600,Lexington city,6261178,9785,24185.274509803923
28,2834740,Indianola city,22198456,225273,1236763.6705882351
28,2814420,Clinton city,108438662,712244,1867297.0823529412
28,2808820,Brookhaven city,56053194,229104,4254976.905882353
28,2881520,Yazoo City city,26118466,322667,1195896.207843137
28,2811100,Canton city,55133669,739030,922333.917647059
28,2813820,Clarksdale city,48657492,17529,2821684.294117647
28,2808300,Brandon city,66468051,234476,2402362.2666666666
28,2817060,Crystal Springs city,14061772,136711,303881.95686274505
28,2831220,Hazlehurst city,11474844,116967,258501.66274509806
28,2829180,Greenville city,69656569,2002716,5772048.454901962
28,2840280,Leland city,9280974,130595,214729.35294117648
28,2843280,McComb city,30510048,154492,2982170.9490196076
28,2844680,Magnolia city,15909646,117173,909577.6980392156
28,2825100,Flowood city,74587182,1033142,4508505.662745097
28,2835260,Itta Bena city,3654131,115789,19462.203921568627
28,2829340,Greenwood city,31947513,922978,4326077.027450981
28,2810140,Byram city,47561697,688657,620926.0666666667
28,2850440,Natchez city,40961580,1527127,1884887.0901960784
29,2923266,Fairfax city,1205634,14911,10094.0
30,3067450,Shelby city,14974418,453079,457614.02352941176
30,3067900,Sidney city,8508776,49128,451760.5725490197
30,3008950,Bozeman city,53350021,128022,6530452.6509803925
30,3073975,Three Forks city,3709633,148667,218615.74509803922
30,3042700,Laurel city,5626414,4019,1158225.090196078
30,3050200,Missoula city,89346378,491344,1.520891551372549E7
30,3016600,Columbia Falls city,5694415,8162,935929.0745098039
30,3049525,Miles City city,8707066,14553,999615.1960784312
30,3016525,Colstrip city,10478036,16125,133952.72549019608
30,3033775,Hamilton city,6278132,92799,781633.2941176471
30,3035600,Helena city,43565749,98206,8781368.04313725
30,3058750,Polson city,11759189,437266,472264.91764705884
30,3018775,Cut Bank city,2995869,10561,513590.49411764706
30,3040075,Kalispell city,32183656,219526,4034048.9254901954
30,3079825,Whitefish city,18106404,13911778,296206.0117647059
30,3043975,Livingston city,14610036,138920,754945.5725490197
30,3032800,Great Falls city,59578859,1236484,8430577.047058823
30,3031450,Glendive city,8997360,62705,547250.7529411765
30,3064525,Roundup city,3349364,571,96133.94117647059
30,3027700,Forsyth city,2982725,46254,235952.18039215688
30,3064150,Ronan city,3117406,737,187111.7764705883
30,3003475,Baker city,2925500,258085,32279.831372549022
30,3035050,Havre city,9606256,1241,441549.1725490196
30,3043450,Libby city,4770965,90891,182921.68627450985
30,3075025,Troy city,2192163,11867,0.0
30,3023125,East Helena city,10406897,173836,173764.47843137255
30,3006550,Billings city,115982241,277939,2.929170393725489E7
31,3122080,Henderson city,1655840,3132,141106.20784313726
31,3102305,Ashland city,3680079,67712,228778.4666666667
31,3137595,Osmond city,2063586,8793,10837.0
31,3125055,Kearney city,37653029,716147,5677576.243137255
31,3151840,Wayne city,7282449,114652,926531.2196078431
31,3137280,Ord city,5441498,1395,1387983.3215686274
31,3105630,Blue Springs city,1985909,48674,0.0
31,3153835,Wymore city,4848190,78725,83199.98039215687
31,3123025,Hooper city,1746193,31602,71666.05882352941
31,3140710,Ravenna city,4300823,13898,84559.92549019608
31,3137525,Osceola city,2387890,304,277591.12941176473
31,3147465,Stromsburg city,2653850,3405,229001.0862745098
31,3100905,Alliance city,12906980,31691,2865610.2509803926
31,3102690,Aurora city,8391461,20355,558027.3215686275
31,3104405,Bennington city,2311662,33090,127721.05098039216
31,3123690,Imperial city,7834700,13555,286925.4274509804
31,3140605,Ralston city,4232125,5247,1403466.2470588237
31,3150020,Valley city,12319680,3107189,2680874.725490196
31,3132060,Milford city,2105419,20572,298906.0470588235
31,3103950,Bellevue city,54725227,590079,8106143.345098041
31,3126385,La Vista city,14007328,5427,4534858.290196078
31,3123480,Humphrey city,1283337,11500,77981.26666666668
31,3135000,North Platte city,35018650,484894,3983641.5137254903
31,3129855,Lyons city,1768206,20660,93734.52941176471
31,3106295,Bridgeport city,2972626,7047,412162.23529411765
31,3151070,Wakefield city,2751613,182706,199128.23529411768
31,3148585,Terrytown city,1224667,90919,107816.83137254903
31,3138295,Papillion city,29878814,702012,3949318.290196078
31,3122640,Holdrege city,10951898,36417,1992080.9607843135
32,3268400,Sparks city,94371261,289555,3.709203632549018E7
32,3224900,Fernley city,314187477,17443735,1565123.407843137
32,3206500,Boulder City city,539404139,83408,807759.1725490197
32,3251800,North Las Vegas city,262323395,112001,4.069866288627451E7
32,3283730,West Wendover city,19367712,1751,41781.09803921569
32,3246000,Mesquite city,82267298,1204149,808695.2823529411
32,3231900,Henderson city,275143250,1272345,3.452182789411765E7
32,3240000,Las Vegas city,367325845,138524,7.934801354117651E7
32,3260600,Reno city,281716689,7338575,6.643582334117648E7
19,1911215,Carter Lake city,4647504,578200,1518499.6470588238
19,1917175,Crescent city,2504907,9252,473.0
19,1952590,Minden city,1467848,13322,19742.886274509805
19,1955560,Neola city,1641855,9378,97246.0
19,1958080,Oakland city,4639984,254792,184786.86666666667
19,1903025,Arnolds Park city,4131645,499482,11344.580392156862
19,1942600,Lake Park city,4086476,184475,251123.88235294117
19,1979500,Underwood city,2820898,65311,225070.50980392157
19,1958710,Okoboji city,4550657,12936,66737.07058823528
19,1959655,Orleans city,2917979,1013,0.0
19,1981615,Wahpeton city,3103512,63595,2236.0392156862745
19,1984450,West Okoboji city,3248765,317159,23537.90196078431
19,1944400,Le Mars city,22110574,22701,3520484.0
19,1903520,Atlantic city,21483224,113854,1201311.717647059
19,1913080,Cherokee city,17498501,62863,831040.8431372546
19,1930225,George city,5940711,12058,123840.0
19,1916860,Council Bluffs city,111271933,7019865,2.299352748235294E7
19,1913575,Clarinda city,13209313,85563,1579680.0980392157
19,1966135,Red Oak city,10167716,146857,1151890.4
19,1945480,Linn Grove city,1445854,66340,0.0
19,1952095,Milford city,5639075,25366,809970.9294117647
19,1964200,Portsmouth city,765024,1208,16642.0
19,1974415,Spirit Lake city,11597778,48884,1970760.4196078428
19,1935265,Hawarden city,7203967,351328,762996.1647058823
19,1950430,Maurice city,1558741,14621,2184.929411764706
19,1968205,Rock Valley city,11552774,135552,1759162.5686274508
19,1971130,Schleswig city,3210135,31306,75362.17647058825
19,1934005,Hancock city,1872285,94783,29804.0
19,1936840,Holstein city,4084470,13675,1031536.0705882352
19,1938010,Ida Grove city,5687844,19162,919723.5921568627
