"county","state","placefp","stab","cntyname","placenm","pop2k","afact"
"county","FIPS state","placefp","State Postal Code","cntyname","Place Name","Total Pop, 2000 census","county to placefp allocation factor"
"01001","01","03220","AL","Autauga AL","Autaugaville town",820,0.0188 
"01001","01","06460","AL","Autauga AL","Billingsley town",116,0.0027 
"01001","01","48712","AL","Autauga AL","Millbrook city",20,0.0005 
"01001","01","62328","AL","Autauga AL","Prattville city",23390,0.5356 
"01001","01","99999","AL","Autauga AL"," ",19325,0.4425 
"01003","01","04660","AL","Baldwin AL","Bay Minette city",7820,0.0557 
"01003","01","19648","AL","Baldwin AL","Daphne city",16581,0.1181 
"01003","01","23320","AL","Baldwin AL","Elberta town",552,0.0039 
"01003","01","25240","AL","Baldwin AL","Fairhope city",12480,0.0889 
"01003","01","26992","AL","Baldwin AL","Foley city",7590,0.0541 
"01003","01","32272","AL","Baldwin AL","Gulf Shores city",5044,0.0359 
"01003","01","44608","AL","Baldwin AL","Loxley town",1348,0.0096 
"01003","01","57144","AL","Baldwin AL","Orange Beach city",3784,0.0269 
"01003","01","61488","AL","Baldwin AL","Point Clear CDP",1876,0.0134 
"01003","01","65208","AL","Baldwin AL","Robertsdale city",3782,0.0269 
"01003","01","70536","AL","Baldwin AL","Silverhill town",616,0.0044 
"01003","01","71976","AL","Baldwin AL","Spanish Fort city",5423,0.0386 
"01003","01","73872","AL","Baldwin AL","Summerdale town",655,0.0047 
"01003","01","99999","AL","Baldwin AL"," ",72864,0.5189 
"01005","01","07672","AL","Barbour AL","Blue Springs town",121,0.0042 
"01005","01","15376","AL","Barbour AL","Clayton town",1475,0.0508 
"01005","01","15640","AL","Barbour AL","Clio town",2206,0.076 
"01005","01","24568","AL","Barbour AL","Eufaula city",13908,0.479 
"01005","01","44344","AL","Barbour AL","Louisville town",612,0.0211 
"01005","01","99999","AL","Barbour AL"," ",10716,0.369 
"01007","01","09136","AL","Bibb AL","Brent city",4024,0.1932 
"01007","01","13672","AL","Bibb AL","Centreville city",2466,0.1184 
"01007","01","55018","AL","Bibb AL","North Bibb town",986,0.0473 
"01007","01","78264","AL","Bibb AL","Vance town",36,0.0017 
"01007","01","80928","AL","Bibb AL","West Blocton town",1372,0.0659 
"01007","01","99999","AL","Bibb AL"," ",11942,0.5734 
"01009","01","01396","AL","Blount AL","Allgood town",629,0.0123 
"01009","01","01660","AL","Blount AL","Altoona town",15,0.0003 
"01009","01","07456","AL","Blount AL","Blountsville town",1768,0.0347 
"01009","01","15472","AL","Blount AL","Cleveland town",1241,0.0243 
"01009","01","17968","AL","Blount AL","County Line town",133,0.0026 
"01009","01","33640","AL","Blount AL","Hayden town",470,0.0092 
"01009","01","34480","AL","Blount AL","Highland Lake town",408,0.008 
"01009","01","43888","AL","Blount AL","Locust Fork town",1016,0.0199 
"01009","01","53448","AL","Blount AL","Nectar town",372,0.0073 
"01009","01","57000","AL","Blount AL","Oneonta city",5576,0.1093 
"01009","01","66408","AL","Blount AL","Rosa town",313,0.0061 
"01009","01","71201","AL","Blount AL","Smoke Rise CDP",1750,0.0343 
"01009","01","71280","AL","Blount AL","Snead town",748,0.0147 
"01009","01","74160","AL","Blount AL","Susan Moore town",721,0.0141 
"01009","01","99999","AL","Blount AL"," ",35864,0.7029 
"01011","01","48424","AL","Bullock AL","Midway town",457,0.039 
"01011","01","77880","AL","Bullock AL","Union Springs city",3670,0.3133 
"01011","01","99999","AL","Bullock AL"," ",7587,0.6477 
"01013","01","29560","AL","Butler AL","Georgiana town",1737,0.0812 
"01013","01","31912","AL","Butler AL","Greenville city",7228,0.3378 
"01013","01","45496","AL","Butler AL","McKenzie town",642,0.03 
"01013","01","99999","AL","Butler AL"," ",11792,0.5511 
"01015","01","01180","AL","Calhoun AL","Alexandria CDP",3692,0.0329 
"01015","01","01852","AL","Calhoun AL","Anniston city",24276,0.2163 
"01015","01","07552","AL","Calhoun AL","Blue Mountain town",233,0.0021 
"01015","01","11128","AL","Calhoun AL","Bynum CDP",1863,0.0166 
"01015","01","29992","AL","Calhoun AL","Glencoe city",9,0.0001 
