,GEOID,NAMELSAD,city type,REGION,label,future trend from SSP 2,CensusPop_20,ssp22030,ssp22040,ssp22050,ssp22060,ssp22070,ssp22080,ssp22090,ssp22100,volume_m3_perCap_2020_ssp2,volume_m3_perCap_2030_ssp2,volume_m3_perCap_2040_ssp2,volume_m3_perCap_2050_ssp2,volume_m3_perCap_2060_ssp2,volume_m3_perCap_2070_ssp2,volume_m3_perCap_2080_ssp2,volume_m3_perCap_2090_ssp2,volume_m3_perCap_2100_ssp2,length_m_perCap_2020_ssp2,length_m_perCap_2030_ssp2,length_m_perCap_2040_ssp2,length_m_perCap_2050_ssp2,length_m_perCap_2060_ssp2,length_m_perCap_2070_ssp2,length_m_perCap_2080_ssp2,length_m_perCap_2090_ssp2,length_m_perCap_2100_ssp2,weighted_HU_density_sqmi,RBUV_Burden_2050,RBUV_Burden_2100,RL_Burden_2050,RL_Burden_2100
0,0473000,Tempe city,urban,West,6 moderately increasing,increasing,180587,206010.9481,229240.0539,250426.2669,270098.966,288434.9701,303168.7129,313335.792,320168.1494,1162.1106660338717,996.1223797298388,901.5662461359636,830.1583634214775,773.5724867833276,727.566235376724,694.5031878534702,673.4435239388545,660.0188911713229,7.268663542100096,6.755171997741815,6.3654262482072,6.060024567603034,5.810403406586308,5.601959843142644,5.448855141289776,5.349793270939472,5.285988627191209,3275.216255109877,decreasingBurden,decreasingBurden,decreasingBurden,decreasingBurden
1,0602000,Anaheim city,urban,West,5 slowly increasing,increasing,346824,382361.0309,411623.5376,435520.9357,456873.3421,475532.8885,487137.0129,493005.2899,494426.1485,707.7255255985641,638.9617309703989,596.454187905185,565.8458553511696,541.1201977178016,521.2720536846525,509.6712324277658,504.0059389407903,502.6535832302118,4.581545411837791,4.339581414371627,4.165181006077771,4.036467578476979,3.930423563366533,3.843877504331244,3.792674340668156,3.767497183822044,3.761471177682695,3076.631924245008,decreasingBurden,decreasingBurden,decreasingBurden,noChange
2,0616532,Costa Mesa city,urban,West,5 slowly increasing,increasing,111918,122507.6181,131009.8166,137498.8404,142877.4354,147582.3371,150078.9134,150775.8423,150116.8875,712.4215419973094,649.3715298760983,609.9449507257182,583.0306965280272,562.5180656659285,545.7590307452682,537.2777372804512,534.9588094927514,537.3072300943869,3.9492513392469486,3.7555681894479775,3.617985831655359,3.521995708895283,3.447621343163719,3.386047718582865,3.354600573593183,3.345966938324585,3.360654432925419,3428.1345659780786,decreasingBurden,decreasingBurden,noChange,decreasingBurden
3,0669000,Santa Ana city,urban,West,3 slowly depopulating,increasing,310227,339688.2829,363356.3736,381437.354,396443.2246,409576.546,416567.5783,418546.9875,416745.6828,532.0995139232962,483.35262089336055,453.896459658306,433.77900552237577,418.431870659876,405.8925139561798,399.5299949457333,397.76623166278273,399.4852091292124,3.3983620797715863,3.2311258139365724,3.1123116246211397,3.029368183276683,2.965042859855842,2.9117771408532214,2.884494190188607,2.876898494705478,2.8893333464479563,3835.773857298153,decreasingBurden,decreasingBurden,noChange,noChange
4,0660102,Redwood City city,urban,West,5 slowly increasing,increasing,84292,93835.37708,102287.447,109825.901,116745.1477,122536.0099,126398.5301,128578.4698,129201.8715,605.3379721100232,544.2065458992834,502.1095008108643,469.8585202588594,443.81099447765126,424.19987482859983,412.0850133969228,405.56205750149815,403.7332689839757,5.849575043969534,5.510807633672739,5.25268624205709,5.0489828771129925,4.880282989459633,4.750621692069176,4.66931846194072,4.625118302135147,4.612692117602703,3544.8301000041392,decreasingBurden,decreasingBurden,decreasingBurden,noChange
5,0636294,Imperial Beach city,urban,West,3 slowly depopulating,increasing,26137,28843.13095,31111.67778,32945.03279,34539.27417,35744.19964,36455.67266,36686.48471,36438.97981,465.02147237745015,418.7879076627352,390.205315721361,369.9001772283167,353.9391429652523,342.78783453428343,336.5340746573419,334.56406571153883,336.8318920577819,5.139274143232582,4.865223562720954,4.66459102420619,4.518374388769901,4.40115511684306,4.318005355922587,4.2709270441869,4.255960132180177,4.284867938941281,4755.604852982096,decreasingBurden,decreasingBurden,noChange,decreasingBurden
6,0653000,Oakland city,urban,West,6 moderately increasing,increasing,440646,495090.3045,543832.1852,588395.8858,630135.2769,666118.6548,691289.5627,707489.0749,714879.4151,616.2638351019931,538.7716791071828,493.5549154290101,458.5689750555573,430.1497264032393,408.4180701589007,394.51859476299336,386.0796115844704,382.35261058157545,4.611352079844683,4.32201570485465,4.102071658417973,3.9262481503629023,3.7793941936717066,3.66443719572396,3.5896110783864987,3.543659016259496,3.523235355513006,6826.437518689463,decreasingBurden,decreasingBurden,decreasingBurden,noChange
7,0666000,San Diego city,urban,West,5 slowly increasing,increasing,1386932,1530617.631,1651861.849,1753955.536,1847572.297,1924501.715,1976102.797,2001849.553,2002822.813,817.5478940172238,711.3808376145786,662.5159749567998,626.4451316051656,596.7628593042134,574.4638679862063,560.4482385934971,553.7163319656972,553.4652094850169,5.587526510475568,5.289404433055845,5.069811938044205,4.903487435763488,4.763694801223262,4.656819238765887,4.5887846676014,4.555862829197412,4.554631274225681,4765.818969032309,decreasingBurden,decreasingBurden,decreasingBurden,noChange
8,0600562,Alameda city,urban,West,5 slowly increasing,increasing,78280,88016.9471,96821.53849,105004.0655,112706.2577,119281.782,123867.9802,126960.748,128407.767,556.1791156431913,494.1761828516943,452.0925274986671,419.1195753147088,392.32013847211147,372.0918243527511,359.2156344149914,351.0396426258153,347.34547241655923,5.18808784586957,4.860566509955578,4.609523617625958,4.406136643804591,4.236025444498811,4.104506335379458,4.019270444418761,3.96451290008269,3.939600633459108,4906.441462878192,decreasingBurden,decreasingBurden,decreasingBurden,noChange
9,0600674,Albany city,urban,West,5 slowly increasing,increasing,20271,22339.62879,24148.33301,25781.59775,27360.30317,28781.69622,29850.7755,30558.0418,30938.01209,450.1051791364266,411.13182864731016,382.3227885510611,359.65433408610807,340.25232881418066,324.53328076806946,313.67096461023965,306.8910151776182,303.3707564890121,3.9922650055596662,3.782215430671537,3.621926625295718,3.4924505555432925,3.378885827439803,3.2850281560819465,3.2190589463169537,3.1774021295891526,3.155636645218161,5244.63718072147,decreasingBurden,decreasingBurden,decreasingBurden,noChange
