,city type,REGION,State_name,CensusPop_20,ssp22050,ssp22100,NAMELSAD,volume_m3_perCap_2020,length_m_perCap_2020,volume_m3_perCap_2050,length_m_perCap_2050,volume_m3_perCap_2100,length_m_perCap_2100
0,periurban,Midwest,17,1473401.0,1619833.012783,1607430.294389,68,827.7151850647224,12.620014837873267,794.6479689324798,11.301158096709257,797.5172804250514,11.070738895756524
1,periurban,Midwest,18,340301.0,416363.57758,480811.57093,12,757.6666303900461,17.649376550203755,703.7980068242633,15.01649405997424,655.5001131195706,13.166233155150447
2,periurban,Midwest,19,157281.0,230265.16972,341814.01643,7,770.3731399409082,11.86165261347283,676.3660175272438,8.049961450303526,590.8227471300777,5.492877643118808
3,periurban,Midwest,20,116600.0,136520.74268,152109.07984999998,6,743.8217664068713,14.90849511762342,703.9214723233014,13.053567205572953,691.5737223652368,12.02724464572867
4,periurban,Midwest,26,132642.0,154272.58383,170079.219117,9,858.240124318607,11.49273574896025,809.5921183673944,9.611972062885544,778.018670037895,8.383120726170073
5,periurban,Midwest,27,730146.0,907908.35661,1070686.51891,30,607.5467201422424,16.356314535972665,573.1619011104181,12.918188447267383,551.8668292939117,11.9345975378207
6,periurban,Midwest,29,767074.0,923419.7505300001,1006561.5782999999,24,694.3125366732552,14.773485288028837,640.3728376050715,12.64539542036485,619.0315059610621,11.540872764633137
7,periurban,Midwest,31,24159.0,35204.31567,50029.22554,1,924.8377666261676,15.158404828146857,808.401209598375,10.51504056357613,708.1752231080526,7.465218384009636
8,periurban,Midwest,38,38626.0,73562.24347,147704.7273,1,694.5986705084354,11.937421929834048,550.028217142381,6.368738271826516,418.721217361378,3.2157596154199286
9,periurban,Midwest,39,1236629.0,1410743.800487,1501126.7803439999,48,785.6211083306333,12.116789824867514,738.5568580023419,10.633189730630413,747.4127313593538,10.67264395440326
10,periurban,Midwest,46,11048.0,17716.4883,36051.27047,1,624.0435617838733,13.797533949278602,532.6886702414047,8.754019999357597,413.4574964124035,4.396552241169152
