,STATEFP,GEOID,NAMELSAD,city type,citytype_at_2030,citytype_at_2040,citytype_at_2050,citytype_at_2060,citytype_at_2070,citytype_at_2080,citytype_at_2090,citytype_at_2100
0,01,0100100,Abanda CDP,rural,rural,rural,rural,rural,rural,rural,rural,rural
1,01,0100124,Abbeville city,rural,rural,rural,rural,rural,rural,rural,rural,rural
2,01,0100460,Adamsville city,periurban,periurban,periurban,periurban,periurban,periurban,periurban,periurban,periurban
3,01,0100484,Addison town,rural,rural,rural,rural,rural,rural,rural,rural,rural
4,01,0100676,Akron town,rural,rural,rural,rural,rural,rural,rural,rural,rural
5,01,0100820,Alabaster city,periurban,periurban,periurban,periurban,periurban,periurban,periurban,periurban,periurban
6,01,0100988,Albertville city,suburban,suburban,suburban,suburban,suburban,suburban,suburban,suburban,suburban
7,01,0101132,Alexander City city,suburban,suburban,suburban,suburban,suburban,suburban,suburban,suburban,suburban
8,01,0101180,Alexandria CDP,periurban,periurban,periurban,periurban,periurban,periurban,periurban,periurban,periurban
9,01,0101228,Aliceville city,rural,rural,rural,rural,rural,rural,rural,rural,rural
10,01,0101396,Allgood town,periurban,periurban,periurban,periurban,periurban,periurban,periurban,periurban,periurban
11,01,0101660,Altoona town,rural,rural,rural,rural,rural,rural,rural,rural,rural
12,01,0101708,Andalusia city,periurban,periurban,periurban,periurban,periurban,periurban,periurban,periurban,periurban
13,01,0101756,Anderson town,rural,rural,rural,rural,rural,rural,rural,rural,rural
14,01,0101852,Anniston city,suburban,suburban,suburban,suburban,suburban,suburban,suburban,suburban,suburban
15,01,0102116,Arab city,periurban,periurban,periurban,periurban,periurban,periurban,periurban,periurban,periurban
16,01,0102260,Ardmore town,rural,rural,rural,rural,rural,rural,rural,rural,rural
17,01,0102320,Argo town,periurban,periurban,periurban,periurban,periurban,periurban,periurban,periurban,periurban
18,01,0102428,Ariton town,rural,rural,rural,rural,rural,rural,rural,rural,rural
19,01,0102500,Arley town,rural,rural,rural,rural,rural,rural,rural,rural,rural
20,01,0102836,Ashford town,rural,rural,rural,rural,rural,rural,rural,rural,rural
21,01,0102860,Ashland town,rural,rural,rural,rural,rural,rural,rural,rural,rural
22,01,0102908,Ashville city,rural,rural,rural,rural,rural,rural,rural,rural,rural
23,01,0102956,Athens city,periurban,periurban,periurban,periurban,periurban,periurban,periurban,periurban,periurban
24,01,0103004,Atmore city,suburban,suburban,suburban,suburban,suburban,suburban,suburban,suburban,suburban
25,01,0103028,Attalla city,suburban,suburban,suburban,suburban,suburban,suburban,suburban,suburban,suburban
26,01,0103076,Auburn city,suburban,suburban,suburban,suburban,suburban,suburban,suburban,suburban,suburban
27,01,0103220,Autaugaville town,rural,rural,rural,rural,rural,rural,rural,rural,rural
28,01,0103364,Avon town,rural,rural,rural,rural,rural,rural,rural,rural,rural
29,01,0103508,Axis CDP,rural,rural,rural,rural,rural,rural,rural,rural,rural
30,01,0103556,Babbie town,rural,rural,rural,rural,rural,rural,rural,rural,rural
31,01,0103676,Baileyton town,rural,rural,rural,rural,rural,rural,rural,rural,rural
32,01,0103724,Bakerhill town,rural,rural,rural,rural,rural,rural,rural,rural,rural
33,01,0103820,Ballplay CDP,rural,rural,rural,rural,rural,rural,rural,rural,rural
34,01,0103940,Banks town,rural,rural,rural,rural,rural,rural,rural,rural,rural
35,01,0104660,Bay Minette city,suburban,suburban,suburban,suburban,suburban,suburban,suburban,suburban,suburban
36,01,0104684,Bayou La Batre city,rural,rural,rural,rural,rural,rural,rural,rural,rural
37,01,0104852,Bear Creek town,rural,rural,rural,rural,rural,rural,rural,rural,rural
38,01,0104900,Beatrice town,rural,rural,rural,rural,rural,rural,rural,rural,rural
39,01,0104948,Beaverton town,rural,rural,rural,rural,rural,rural,rural,rural,rural
40,01,0105140,Belgreen CDP,rural,rural,rural,rural,rural,rural,rural,rural,rural
41,01,0105164,Belk town,rural,rural,rural,rural,rural,rural,rural,rural,rural
42,01,0105188,Bellamy CDP,rural,rural,rural,rural,rural,rural,rural,rural,rural
43,01,0105212,Belle Fontaine CDP,rural,rural,rural,rural,rural,rural,rural,rural,rural
44,01,0105692,Benton town,rural,rural,rural,rural,rural,rural,rural,rural,rural
45,01,0105812,Berlin town,rural,rural,rural,rural,rural,rural,rural,rural,rural
46,01,0105932,Berry town,rural,rural,rural,rural,rural,rural,rural,rural,rural
47,01,0105980,Bessemer city,suburban,suburban,suburban,suburban,suburban,suburban,suburban,suburban,suburban
48,01,0106460,Billingsley town,rural,rural,rural,rural,rural,rural,rural,rural,rural
49,01,0107000,Birmingham city,suburban,suburban,suburban,suburban,suburban,suburban,suburban,suburban,suburban
50,01,0107120,Black town,rural,rural,rural,rural,rural,rural,rural,rural,rural
51,01,0107456,Blountsville town,rural,rural,rural,rural,rural,rural,rural,rural,rural
52,01,0107588,Blue Ridge CDP,rural,rural,rural,rural,rural,rural,rural,rural,rural
53,01,0107672,Blue Springs town,rural,rural,rural,rural,rural,rural,rural,rural,rural
54,01,0107912,Boaz city,suburban,suburban,suburban,suburban,suburban,suburban,suburban,suburban,suburban
55,01,0108104,Boligee town,rural,rural,rural,rural,rural,rural,rural,rural,rural
56,01,0108248,Bon Air town,periurban,periurban,periurban,periurban,periurban,periurban,periurban,periurban,periurban
57,01,0108272,Bon Secour CDP,periurban,periurban,periurban,periurban,periurban,periurban,periurban,periurban,periurban
58,01,0108680,Boykin CDP,rural,rural,rural,rural,rural,rural,rural,rural,rural
59,01,0109016,Brantley town,rural,rural,rural,rural,rural,rural,rural,rural,rural
60,01,0109064,Brantleyville CDP,periurban,periurban,periurban,periurban,periurban,periurban,periurban,periurban,periurban
61,01,0109136,Brent city,rural,rural,rural,rural,rural,rural,rural,rural,rural
62,01,0109208,Brewton city,suburban,suburban,suburban,suburban,suburban,suburban,suburban,suburban,suburban
63,01,0109328,Bridgeport city,suburban,suburban,suburban,suburban,suburban,suburban,suburban,suburban,suburban
64,01,0109400,Brighton city,suburban,suburban,suburban,suburban,suburban,suburban,suburban,suburban,suburban
65,01,0109424,Brilliant town,rural,rural,rural,rural,rural,rural,rural,rural,rural
66,01,0109457,Bristow Cove CDP,rural,rural,rural,rural,rural,rural,rural,rural,rural
67,01,0109500,Brook Highland CDP,suburban,suburban,suburban,suburban,suburban,suburban,suburban,suburban,suburban
68,01,0109736,Brookside town,periurban,periurban,periurban,periurban,periurban,periurban,periurban,periurban,periurban
69,01,0109808,Brookwood town,rural,rural,rural,rural,rural,rural,rural,rural,rural
70,01,0109880,Broomtown CDP,rural,rural,rural,rural,rural,rural,rural,rural,rural
71,01,0110240,Brundidge city,rural,rural,rural,rural,rural,rural,rural,rural,rural
72,01,0111032,Butler town,rural,rural,rural,rural,rural,rural,rural,rural,rural
73,01,0111416,Calera city,periurban,periurban,periurban,periurban,periurban,periurban,periurban,periurban,periurban
74,01,0111488,Calvert CDP,rural,rural,rural,rural,rural,rural,rural,rural,rural
75,01,0111512,Camden city,rural,rural,rural,rural,rural,rural,rural,rural,rural
76,01,0111680,Camp Hill town,rural,rural,rural,rural,rural,rural,rural,rural,rural
77,01,0112016,Carbon Hill city,rural,rural,rural,rural,rural,rural,rural,rural,rural
78,01,0112040,Cardiff town,rural,rural,rural,rural,rural,rural,rural,rural,rural
79,01,0112070,Carlisle-Rockledge CDP,suburban,suburban,suburban,suburban,suburban,suburban,suburban,suburban,suburban
80,01,0112112,Carlton CDP,rural,rural,rural,rural,rural,rural,rural,rural,rural
81,01,0112160,Carolina town,rural,rural,rural,rural,rural,rural,rural,rural,rural
82,01,0112304,Carrollton town,rural,rural,rural,rural,rural,rural,rural,rural,rural
83,01,0112496,Castleberry town,rural,rural,rural,rural,rural,rural,rural,rural,rural
84,01,0112544,Catherine CDP,rural,rural,rural,rural,rural,rural,rural,rural,rural
85,01,0112760,Cedar Bluff town,rural,rural,rural,rural,rural,rural,rural,rural,rural
86,01,0113264,Center Point city,periurban,periurban,periurban,periurban,periurban,periurban,periurban,periurban,periurban
87,01,0113648,Centre city,periurban,periurban,periurban,periurban,periurban,periurban,periurban,periurban,periurban
88,01,0113672,Centreville city,rural,rural,rural,rural,rural,rural,rural,rural,rural
89,01,0114008,Chatom town,rural,rural,rural,rural,rural,rural,rural,rural,rural
90,01,0114104,Chelsea city,periurban,periurban,periurban,periurban,periurban,periurban,periurban,periurban,periurban
91,01,0114152,Cherokee town,rural,rural,rural,rural,rural,rural,rural,rural,rural
