STATEFP,GEOID,NAMELSAD,ALAND,AWATER,sum
30,3001675,Anaconda-Deer Lodge County,1907998860,12199890,1872411.4509803928
02,0236400,Juneau city and borough,7003406836,1426230792,2744789.0
02,0270540,Sitka city and borough,7433415763,5037747536,361243.0
02,0286380,Wrangell city and borough,6619997018,2384375227,178538.0
02,0203000,Anchorage municipality,4420591349,621302197,2.3502854105882354E7
49,4947290,Magna metro township,39125264,57944495,2165102.1176470607
49,4922875,Emigration Canyon metro township,47187917,0,121983.4431372549
49,4984050,White City metro township,2256665,0,598368.7294117645
49,4915720,Copperton metro township,807087,0,85749.96470588232
49,4940470,Kearns metro township,11993405,0,2534288.57254902
22,2218125,Covington city,20771074,345443,1076031.015686275
22,2248225,Mandeville city,18444828,423172,899896.7921568623
22,2218650,Crowley city,15154654,1397,2134962.866666666
22,2205000,Baton Rouge city,223557844,5708637,2.5270395654901963E7
22,2253545,Natchitoches city,58765044,9308983,2031363.164705883
22,2210950,Bunkie city,7827181,39783,639475.2705882352
22,2261615,Ponchatoula city,12256259,10687,603320.905882353
22,2248750,Marksville city,12466681,34862,766058.2431372553
22,2200975,Alexandria city,73790296,1788418,6580277.905882357
22,2260530,Pineville city,32635245,1357876,1737345.6705882356
22,2209340,Breaux Bridge city,19983443,462775,1118258.7686274513
22,2267600,St. Martinville city,7903789,277271,857764.7098039216
22,2243010,Leesville city,19822518,337144,1182040.8156862748
22,2200100,Abbeville city,15660962,83689,1761587.9725490194
22,2250885,Minden city,38946147,439466,1915688.2352941178
22,2263645,Rayne city,9821507,17505,1299106.3372549019
22,2270000,Shreveport city,279195930,40270180,2.5856935407843105E7
22,2278715,Ville Platte city,10403641,1289,1098489.6823529415
22,2229850,Gonzales city,23676763,278961,1330622.243137255
22,2221240,Donaldsonville city,9784790,60015,954209.474509804
22,2220610,DeRidder city,24062013,228174,1571512.4980392146
22,2261790,Port Allen city,7342523,1276650,778240.4901960784
22,2283405,Zachary city,67705732,87474,1557942.690196078
22,2210075,Broussard city,46332274,101499,1773511.8509803938
22,2240735,Lafayette city,144582240,203100,1.524805028235289E7
22,2272485,Springhill city,16092285,206901,843472.8784313725
22,2266655,Ruston city,54750521,175428,2568800.121568629
22,2251410,Monroe city,76804875,8423374,7746956.427450973
22,2280955,West Monroe city,20787020,743977,2574645.294117647
22,2248365,Mansfield city,9459600,19783,702855.0078431368
22,2220435,Denham Springs city,18887710,157595,1150141.796078432
22,2282495,Winnsboro city,10354904,160383,900058.8235294118
22,2232755,Hammond city,36355203,9581,2486388.239215686
22,2267250,St. Gabriel city,76811029,579738,1836890.2352941164
22,2254035,New Iberia city,28853949,292522,4373797.596078432
22,2258045,Opelousas city,25034040,8028,2331770.439215685
22,2252040,Morgan City city,15498740,689895,2572548.9568627453
22,2213960,Central city,161244698,708155,3804044.1372549017
22,2230515,Grambling city,15287902,56873,473762.1019607844
22,2208920,Bossier City city,113438592,3325431,7992694.121568632
22,2238075,Jeanerette city,5978221,139866,700050.1450980392
22,2227155,Franklin city,25696620,1476965,1096833.8392156865
22,2260880,Plaquemine city,7570546,214131,820711.2274509807
22,2241155,Lake Charles city,118232073,7281617,8401260.717647057
22,2231915,Gretna city,10451944,1191856,2326498.6627450995
22,2232930,Harahan city,5227222,1234216,1020361.4352941177
22,2239475,Kenner city,38541001,600053,8061122.658823533
22,2238355,Jennings city,26947663,47011,1653407.9529411767
22,2281165,Westwego city,8070430,1241824,1305528.5411764707
22,2256540,Oakdale city,13447472,161064,794002.0039215687
22,2273640,Sulphur city,29056325,42041,2164647.250980393
27,2740418,Marble city,11141200,261986,89441.31764705881
27,2744980,Nashwauk city,38358155,1808559,172747.27843137257
27,2709316,Calumet city,4662402,198134,60953.02745098039
27,2702872,Aurora city,9577360,557322,365013.6588235295
28,2864200,Ruleville city,6522346,21825,310057.2392156863
28,2849320,Mound Bayou city,2270503,1086,242183.2470588235
28,2863720,Rosedale city,14024179,161250,223436.09019607844
28,2867040,Shelby city,7073122,27405,348915.51372549025
28,2836000,Jackson city,289342143,5532980,1.9308991988235284E7
28,2862520,Ridgeland city,55390227,4587733,2121945.4235294117
28,2844520,Madison city,65394922,3059241,1848045.905882352
28,2812900,Charleston city,3509615,9391,294696.8392156862
28,2855760,Pearl city,66008538,321286,3017992.9372549015
28,2862400,Richland city,32439577,168591,1436739.2039215688
28,2876720,Vicksburg city,85503989,5386389,3786691.133333333
28,2840600,Lexington city,6261178,9785,286727.7607843136
28,2834740,Indianola city,22198456,225273,1472408.3843137254
28,2814420,Clinton city,108438662,712244,2688824.8901960785
28,2808820,Brookhaven city,56053194,229104,2230739.4705882347
28,2881520,Yazoo City city,26118466,322667,1395018.7764705883
28,2811100,Canton city,55133669,739030,1342148.1607843142
28,2813820,Clarksdale city,48657492,17529,2615077.462745098
28,2808300,Brandon city,66468051,234476,1894387.0392156865
28,2817060,Crystal Springs city,14061772,136711,657727.9725490195
28,2831220,Hazlehurst city,11474844,116967,496621.9607843137
28,2829180,Greenville city,69656569,2002716,4918595.68627451
28,2840280,Leland city,9280974,130595,548236.2509803923
28,2843280,McComb city,30510048,154492,1952556.094117646
28,2844680,Magnolia city,15909646,117173,558923.4274509804
28,2825100,Flowood city,74587182,1033142,1462323.2431372548
28,2835260,Itta Bena city,3654131,115789,204449.9254901961
28,2829340,Greenwood city,31947513,922978,2346802.411764709
28,2810140,Byram city,47561697,688657,902278.5215686271
28,2850440,Natchez city,40961580,1527127,2293511.6941176476
29,2923266,Fairfax city,1205634,14911,129090.14901960784
30,3067450,Shelby city,14974418,453079,547735.058823529
30,3067900,Sidney city,8508776,49128,763284.8588235297
30,3008950,Bozeman city,53350021,128022,2861479.352941178
30,3073975,Three Forks city,3709633,148667,281584.61960784334
30,3042700,Laurel city,5626414,4019,1155996.9568627449
30,3050200,Missoula city,89346378,491344,7641661.901960782
30,3016600,Columbia Falls city,5694415,8162,597756.9882352944
30,3049525,Miles City city,8707066,14553,1490875.2000000014
30,3016525,Colstrip city,10478036,16125,394917.8352941177
30,3033775,Hamilton city,6278132,92799,647402.8313725487
30,3035600,Helena city,43565749,98206,4360781.537254903
30,3058750,Polson city,11759189,437266,601379.6156862754
30,3018775,Cut Bank city,2995869,10561,515993.30980392144
30,3040075,Kalispell city,32183656,219526,2500467.149019607
30,3079825,Whitefish city,18106404,13911778,863761.7372549021
30,3043975,Livingston city,14610036,138920,954435.8
30,3032800,Great Falls city,59578859,1236484,8325288.388235294
30,3031450,Glendive city,8997360,62705,855683.6392156864
30,3064525,Roundup city,3349364,571,443235.8392156863
30,3027700,Forsyth city,2982725,46254,429399.0235294118
30,3064150,Ronan city,3117406,737,305889.6039215686
30,3003475,Baker city,2925500,258085,398553.6784313725
30,3035050,Havre city,9606256,1241,1314741.8941176455
30,3043450,Libby city,4770965,90891,500236.54117647064
30,3075025,Troy city,2192163,11867,183638.90980392165
30,3023125,East Helena city,10406897,173836,298674.5098039216
30,3006550,Billings city,115982241,277939,1.3642461615686264E7
31,3122080,Henderson city,1655840,3132,188540.4078431373
31,3102305,Ashland city,3680079,67712,336680.4196078432
31,3137595,Osmond city,2063586,8793,169058.2823529412
31,3125055,Kearney city,37653029,716147,3604162.7294117655
31,3151840,Wayne city,7282449,114652,681530.2352941175
31,3137280,Ord city,5441498,1395,581614.7215686276
31,3105630,Blue Springs city,1985909,48674,64912.274509803916
31,3153835,Wymore city,4848190,78725,282020.1529411765
31,3123025,Hooper city,1746193,31602,166644.25098039216
31,3140710,Ravenna city,4300823,13898,291815.5882352941
31,3137525,Osceola city,2387890,304,197994.48627450978
31,3147465,Stromsburg city,2653850,3405,211918.6039215686
31,3100905,Alliance city,12906980,31691,1653525.156862745
31,3102690,Aurora city,8391461,20355,692079.3137254901
31,3104405,Bennington city,2311662,33090,147189.52156862745
31,3123690,Imperial city,7834700,13555,523137.1647058824
31,3140605,Ralston city,4232125,5247,728858.7176470592
31,3150020,Valley city,12319680,3107189,765503.1137254903
31,3132060,Milford city,2105419,20572,282279.6588235294
31,3103950,Bellevue city,54725227,590079,5175933.772549015
31,3126385,La Vista city,14007328,5427,1074831.3372549019
31,3123480,Humphrey city,1283337,11500,149064.83137254915
31,3135000,North Platte city,35018650,484894,3864416.082352939
31,3129855,Lyons city,1768206,20660,187846.3607843138
31,3106295,Bridgeport city,2972626,7047,395613.79215686274
31,3151070,Wakefield city,2751613,182706,221249.3568627451
31,3148585,Terrytown city,1224667,90919,143374.3764705882
31,3138295,Papillion city,29878814,702012,1654618.71764706
31,3122640,Holdrege city,10951898,36417,1164194.901960784
32,3268400,Sparks city,94371261,289555,8452667.274509806
32,3224900,Fernley city,314187477,17443735,1506059.7137254907
32,3206500,Boulder City city,539404139,83408,1751889.5137254903
32,3251800,North Las Vegas city,262323395,112001,1.0298930529411767E7
32,3283730,West Wendover city,19367712,1751,186662.81960784318
32,3246000,Mesquite city,82267298,1204149,714825.1882352942
32,3231900,Henderson city,275143250,1272345,1.1259447031372555E7
32,3240000,Las Vegas city,367325845,138524,3.1672064462745138E7
32,3260600,Reno city,281716689,7338575,1.846581638823534E7
19,1911215,Carter Lake city,4647504,578200,638253.7529411763
19,1917175,Crescent city,2504907,9252,64898.58431372549
19,1952590,Minden city,1467848,13322,81984.52941176471
19,1955560,Neola city,1641855,9378,146928.59215686275
19,1958080,Oakland city,4639984,254792,225080.19999999998
19,1903025,Arnolds Park city,4131645,499482,210092.3019607843
19,1942600,Lake Park city,4086476,184475,217089.39999999997
19,1979500,Underwood city,2820898,65311,135585.3450980392
19,1958710,Okoboji city,4550657,12936,175329.5215686274
19,1959655,Orleans city,2917979,1013,80105.09803921568
19,1981615,Wahpeton city,3103512,63595,120119.16470588233
19,1984450,West Okoboji city,3248765,317159,71231.86666666664
19,1944400,Le Mars city,22110574,22701,1464601.0313725483
19,1903520,Atlantic city,21483224,113854,1319137.3882352943
19,1913080,Cherokee city,17498501,62863,926573.37254902
19,1930225,George city,5940711,12058,196984.262745098
19,1916860,Council Bluffs city,111271933,7019865,8433306.97647059
19,1913575,Clarinda city,13209313,85563,888484.9098039216
19,1966135,Red Oak city,10167716,146857,991794.8313725491
19,1945480,Linn Grove city,1445854,66340,32109.99607843137
19,1952095,Milford city,5639075,25366,443911.97254901956
19,1964200,Portsmouth city,765024,1208,53140.243137254896
19,1974415,Spirit Lake city,11597778,48884,766226.0745098044
19,1935265,Hawarden city,7203967,351328,474240.16078431375
19,1950430,Maurice city,1558741,14621,40499.619607843146
19,1968205,Rock Valley city,11552774,135552,563220.6078431373
19,1971130,Schleswig city,3210135,31306,153082.28235294117
19,1934005,Hancock city,1872285,94783,62064.388235294115
19,1936840,Holstein city,4084470,13675,301642.42745098035
19,1938010,Ida Grove city,5687844,19162,453347.2980392158
19,1922890,Dunlap city,2987556,41813,249974.80392156861
19,1986835,Woodbine city,3461722,131471,245363.92549019604
19,1937200,Hornick city,649562,14729,38046.20784313726
19,1970320,Salix city,4398259,33829,69970.02352941176
19,1971625,Sergeant Bluff city,7697434,802,450735.6235294117
19,1968160,Rock Rapids city,10900997,126280,474010.0039215685
19,1903295,Ashton city,2614317,13744,69428.13725490197
19,1942690,Lake View city,5381653,747603,337871.3058823529
19,1912900,Charter Oak city,1329665,23396,101251.86666666662
19,1919945,Denison city,16956210,70871,1186005.4274509805
19,1926175,Everly city,2710798,42626,119924.87843137255
19,1962625,Peterson city,1344655,56497,84572.70588235294
19,1931350,Glenwood city,7569973,29962,584179.3215686274
20,2052275,Ogden city,4333942,147626,148050.32156862752
20,2014700,Coldwater city,6635968,871705,291480.6156862746
20,2054200,Palmer city,799808,6130,37213.450980392154
20,2019125,Dwight city,935242,1284,58092.76078431373
20,2054575,Parkerville city,332389,788,8238.64705882353
20,2077825,White City city,3216985,14870,120251.96078431375
20,2024175,Fowler city,1227543,1759,132814.74901960784
20,2028850,Gridley city,1108728,159079,74876.48235294117
20,2011425,Cedar Point city,176431,1517,11297.462745098039
20,2015900,Cottonwood Falls city,1668225,15662,187467.7843137255
20,2045150,Matfield Green city,367689,2035,10226.639215686275
20,2068650,Strong City city,1419866,11507,111101.76078431371
20,2052700,Olivet city,653556,138,21446.545098039212
20,2039125,Lebo city,2479809,227051,190174.56862745105
20,2039650,LeRoy city,2132894,12722,129854.57647058822
20,2076050,Waverly city,1896961,19624,128014.48235294117
20,2051225,North Newton city,2363407,3864,158029.09019607838
20,2001550,Altamont city,4932659,62715,231798.07450980396
20,2071925,Tyro city,1182926,5450,54894.874509803914
20,2074075,Virgil city,1449791,6044,29875.0
20,2009000,Bucklin city,1489942,70012,215115.09411764704
20,2020300,Elk Falls city,1883473,4226,31128.513725490193
20,2071975,Ulysses city,8361106,182677,988139.9882352941
20,2026725,Goddard city,13204119,119464,409398.4549019608
20,2075325,Wamego city,6199952,104949,631722.0980392154
20,2077700,Wheaton city,398973,917,27360.34117647059
20,2049825,Neosho Falls city,1311906,64324,27808.54901960785
20,2009525,Burr Oak city,2132378,10238,99472.66666666669
20,2044300,Mankato city,2525562,454,263516.1568627452
20,2048225,Morganville city,876978,11032,61748.40392156861
20,2065600,Silver Lake city,1457520,71665,153212.92549019607
20,2057000,Pomona city,2445845,27718,143461.3529411765
20,2050450,New Strawn city,2053168,101778,84800.01960784307
20,2070300,Thayer city,1947435,118852,108652.862745098
20,2071125,Towanda city,2368271,11915,212804.66274509803
20,2055450,Perry city,1939736,31774,159457.26666666672
20,2012675,Chautauqua city,1099107,718,30609.141176470584
20,2053850,Oxford city,2346904,2198,219386.12549019605
20,2054450,Park City city,25596482,52365,1197174.4823529413
20,2028800,Grenola city,1204198,10517,57119.52156862745
20,2057725,Princeton city,1008195,9095,49833.513725490186
20,2076625,Wellsville city,4440058,32111,265814.4078431373
20,2079300,Williamsburg city,2530399,26298,75251.36078431371
20,2001625,Altoona city,1382373,6664,76089.96470588235
20,2042650,Longton city,3043400,17843,85619.74117647059
20,2044925,Marquette city,1248402,4213,122409.13725490199
20,2017600,Delphos city,1534852,67157,102049.97647058826
20,2012425,Centralia city,1174591,257,117013.19607843141
20,2034275,Inman city,1994660,70190,204081.09803921566
20,2032850,Holyrood city,1114133,17701,119521.52941176471
20,2052875,Onaga city,1698610,2445,150499.21176470583
20,2062200,St. George city,1670522,1575,72861.88627450979
20,2012550,Chapman city,2416162,4070,220386.15294117646
20,2021425,Enterprise city,1735176,32841,148934.69019607847
20,2049100,Mulvane city,11557408,20847,636344.9490196077
20,2052825,Olsburg city,627102,472,38674.69019607843
20,2003150,Atwood city,2752920,158475,346437.18431372545
20,2011450,Cedar Vale city,1952832,2095,138202.68627450982
20,2020125,Elgin city,504891,1809,18477.3568627451
20,2001675,Americus city,2804809,31050,122260.11764705883
20,2049875,Neosho Rapids city,1307673,16931,50109.423529411775
20,2052800,Olpe city,1817669,327311,78490.64705882354
20,2031125,Haysville city,12146959,28697,1106704.3490196082
20,2044200,Maize city,25221606,3937,445356.1450980391
20,2027425,Grandview Plaza city,2192799,36017,170288.47450980387
20,2048900,Mount Hope city,3800030,64053,138851.40392156856
20,2003250,Auburn city,1802825,8809,111628.47058823529
20,2070800,Tonganoxie city,10503335,95757,429660.39215686277
20,2038400,Lane city,604280,17871,42002.372549019616
20,2058525,Rantoul city,380493,995,31129.30980392157
20,2051525,Nortonville city,1117384,32276,102690.89803921567
20,2066750,South Hutchinson city,7362590,107526,654884.1294117646
20,2009350,Burlingame city,2289517,901,164306.31764705878
20,2074950,Walnut city,3817168,41133,49750.180392156864
20,2020675,Elmdale city,427968,2514,10857.1568627451
20,2043775,McFarland city,459808,20566,33592.64705882353
20,2020250,Elk City city,875895,2059,69705.04313725492
20,2048800,Moundridge city,4063009,106264,363049.8117647058
20,2004450,Bassett city,173169,78380,5717.254901960784
20,2025975,Gas city,1863958,1578,94619.57647058823
20,2050750,Niotaze city,959461,4767,22959.000000000004
20,2017800,Derby city,26616900,167442,1981953.4941176476
20,2073250,Valley Center city,18405616,9336,976201.3372549019
20,2019300,Eastborough city,998073,1820,94906.13725490196
20,2036225,Kechi city,15607411,131758,306653.1098039214
20,2004350,Bartlett city,343312,187,29705.576470588236
20,2009250,Burden city,1339030,20,101440.93725490196
20,2063675,Scranton city,2789926,7575,119597.43921568626
20,2010600,Carbondale city,1893382,61502,180086.84705882362
20,2071575,Troy city,2524664,15607,154086.9686274509
20,2077250,Westphalia city,514039,2111,35941.32156862745
20,2014950,Colony city,1253544,1281,74179.9294117647
20,2028350,Greeley city,890358,15155,70323.57647058823
20,2036875,Kincaid city,1295154,2166,42060.0862745098
20,2063200,Savonburg city,498569,582,17829.588235294115
20,2001350,Alma city,1514197,37583,191717.48235294118
20,2021650,Eskridge city,1340066,612,104070.65098039218
20,2030575,Harveyville city,330187,45,32722.482352941177
20,2063750,Sedan city,2126274,1281,265740.5568627451
20,2053375,Oskaloosa city,2573882,13242,179423.53725490198
20,2001800,Andover city,26955363,141617,925858.4823529411
20,2003900,Baldwin City city,6934599,41813,392997.53725490195
20,2021675,Eudora city,7607046,118170,434621.5568627451
20,2039150,Lecompton city,4548350,19338,90522.50980392157
20,2043900,McLouth city,1492067,11801,119818.57647058825
20,2045950,Meriden city,1958565,24269,129480.60392156859
20,2073300,Valley Falls city,1822092,14956,170195.26666666678
20,2003600,Axtell city,1355119,10252,121681.88627450982
20,2007650,Blue Rapids city,5140632,51544,188204.10588235292
20,2024275,Frankfort city,2608731,12657,211864.6666666667
20,2073525,Vermillion city,538678,21202,33359.937254901946
20,2075950,Waterville city,1273472,37096,145629.0509803922
20,2079800,Winchester city,904449,26951,79607.57254901959
20,2004250,Barnes city,440544,16687,40134.36078431372
20,2028625,Greenleaf city,1171690,3832,89488.21960784317
20,2008475,Bronson city,1156885,572,71417.41176470589
02,0206520,Bethel city,115273171,14508927,338812.0
02,0214330,Chuathbaluk city,11576099,4543934,210.0
02,0242380,Kwethluk city,26353432,4262239,2853.0
02,0245460,Lower Kalskag city,3222578,1310464,675.0
02,0247990,Mekoryuk city,18303027,33631,4712.0470588235285
02,0257340,Old Harbor city,41927386,16569443,409.0
02,0263610,Port Lions city,12914562,9687323,20265.0
02,0283080,Wasilla city,32104865,1901344,440064.72941176477
02,0253930,Nightmute city,256300623,14075259,907.0
02,0261080,Platinum city,122414509,118365,2999.0
02,0281320,Upper Kalskag city,9207917,1151750,1852.0
02,0221040,Eek city,1677566,242697,2074.5372549019608
02,0262510,Port Alexander city,9065654,29821847,269.0
02,0276260,Tenakee Springs city,34055474,12321570,1576.0
02,0239410,King Cove city,63880497,11741637,10890.0
02,0213550,Chignik city,28352067,12704462,1663.0
02,0227530,Galena city,45721025,17751813,101950.0
02,0230060,Grayling city,29082578,16515,5901.5921568627455
02,0234350,Huslia city,40883511,1449800,0.0
02,0242050,Koyukuk city,14859766,290257,1202.3803921568629
02,0246010,McGrath city,109641713,14527333,14972.0
02,0253050,Nenana city,15418483,763703,26098.976470588233
02,0275160,Tanana city,27635821,11208201,44370.0
02,0255910,North Pole city,10580214,36859,305804.1568627452
02,0256350,Nulato city,106425930,6977301,15661.0
02,0204210,Atka city,21933245,72347700,12066.0
02,0256680,Nunapitchuk city,18105043,2501654,6054.0
02,0200065,Adak city,84002711,101098800,256612.48235294118
02,0216360,Coffman Cove city,28220112,6193651,13467.0
02,0234460,Hydaburg city,755589,7081,3868.98431372549
02,0237650,Kasaan city,15703414,1904849,118.0
02,0240400,Klawock city,1763340,754996,4612.3372549019605
02,0277140,Thorne Bay city,69081723,7883794,10491.0
02,0202080,Anaktuvuk Pass city,13407366,139518,15575.450980392157
02,0203880,Anvik city,24580286,6308736,567.0
02,0282750,Wainwright city,26712260,45897774,64068.0
02,0200650,Akhiok city,19166808,5724762,8687.0
02,0243040,Larsen Bay city,10444884,5890617,11338.0
02,0258550,Ouzinkie city,14337042,3878732,2697.0
02,0255030,Nondalton city,17451147,704233,59.68235294117647
02,0224660,False Pass city,64930418,104834309,14141.0
02,0221150,Egegik city,76536210,256285936,13878.0
02,0253270,Newhalen city,15624671,6386436,273.0
02,0260640,Pilot Point city,63584042,337336572,36480.0
02,0263390,Port Heiden city,121120570,1568005,10680.541176470588
02,0208740,Brevig Mission city,6299190,206572,11765.0
