STATEFP,GEOID,NAMELSAD,ALAND,AWATER,sum
30,3001675,Anaconda-Deer Lodge County,1907998860,12199890,2321153.8235294116
02,0236400,Juneau city and borough,7003406836,1426230792,3055606.0
02,0270540,Sitka city and borough,7433415763,5037747536,438175.0
02,0286380,Wrangell city and borough,6619997018,2384375227,201749.0
02,0203000,Anchorage municipality,4420591349,621302197,3.0781521352941178E7
49,4947290,Magna metro township,39125264,57944495,3091699.6549019604
49,4922875,Emigration Canyon metro township,47187917,0,224876.86274509804
49,4984050,White City metro township,2256665,0,641908.0352941178
49,4915720,Copperton metro township,807087,0,96892.02352941174
49,4940470,Kearns metro township,11993405,0,3316094.2941176468
22,2218125,Covington city,20771074,345443,2355825.588235296
22,2248225,Mandeville city,18444828,423172,2730765.796078428
22,2218650,Crowley city,15154654,1397,2827601.596078431
22,2205000,Baton Rouge city,223557844,5708637,3.6848038094117664E7
22,2253545,Natchitoches city,58765044,9308983,3261391.639215683
22,2210950,Bunkie city,7827181,39783,907123.3098039215
22,2261615,Ponchatoula city,12256259,10687,1432351.0980392164
22,2248750,Marksville city,12466681,34862,1240354.2784313716
22,2200975,Alexandria city,73790296,1788418,9945440.850980375
22,2260530,Pineville city,32635245,1357876,2870089.341176473
22,2209340,Breaux Bridge city,19983443,462775,1982721.2274509813
22,2267600,St. Martinville city,7903789,277271,1157079.2862745102
22,2243010,Leesville city,19822518,337144,1609883.537254901
22,2200100,Abbeville city,15660962,83689,2492800.305882351
22,2250885,Minden city,38946147,439466,2823267.388235293
22,2263645,Rayne city,9821507,17505,1748134.305882353
22,2270000,Shreveport city,279195930,40270180,3.658639840784315E7
22,2278715,Ville Platte city,10403641,1289,1510583.4823529415
22,2229850,Gonzales city,23676763,278961,2640903.517647059
22,2221240,Donaldsonville city,9784790,60015,1142960.7568627445
22,2220610,DeRidder city,24062013,228174,2346614.270588234
22,2261790,Port Allen city,7342523,1276650,1091716.7058823525
22,2283405,Zachary city,67705732,87474,3643556.7294117617
22,2210075,Broussard city,46332274,101499,4525760.847058818
22,2240735,Lafayette city,144582240,203100,2.5211895654901955E7
22,2272485,Springhill city,16092285,206901,1111581.705882353
22,2266655,Ruston city,54750521,175428,4032756.301960783
22,2251410,Monroe city,76804875,8423374,1.0775372133333331E7
22,2280955,West Monroe city,20787020,743977,3841471.5647058827
22,2248365,Mansfield city,9459600,19783,984048.4156862749
22,2220435,Denham Springs city,18887710,157595,2189405.2313725483
22,2282495,Winnsboro city,10354904,160383,1167748.9725490198
22,2232755,Hammond city,36355203,9581,4658991.59215686
22,2267250,St. Gabriel city,76811029,579738,2922567.8156862766
22,2254035,New Iberia city,28853949,292522,5893402.717647057
22,2258045,Opelousas city,25034040,8028,3570249.1843137247
22,2252040,Morgan City city,15498740,689895,2928573.878431372
22,2213960,Central city,161244698,708155,6986035.733333333
22,2230515,Grambling city,15287902,56873,642229.9843137257
22,2208920,Bossier City city,113438592,3325431,1.2564628678431377E7
22,2238075,Jeanerette city,5978221,139866,935999.9803921569
22,2227155,Franklin city,25696620,1476965,1543990.7333333334
22,2260880,Plaquemine city,7570546,214131,1195163.4431372557
22,2241155,Lake Charles city,118232073,7281617,1.5874713380392138E7
22,2231915,Gretna city,10451944,1191856,2575607.25882353
22,2232930,Harahan city,5227222,1234216,1261180.364705882
22,2239475,Kenner city,38541001,600053,9294872.16470588
22,2238355,Jennings city,26947663,47011,2477842.7294117655
22,2281165,Westwego city,8070430,1241824,1424757.7529411763
22,2256540,Oakdale city,13447472,161064,1227047.1764705875
22,2273640,Sulphur city,29056325,42041,4933281.196078433
27,2740418,Marble city,11141200,261986,119903.35686274509
27,2744980,Nashwauk city,38358155,1808559,232735.5294117647
27,2709316,Calumet city,4662402,198134,72771.04705882353
27,2702872,Aurora city,9577360,557322,406427.4078431372
28,2864200,Ruleville city,6522346,21825,449086.9137254901
28,2849320,Mound Bayou city,2270503,1086,296537.97254901956
28,2863720,Rosedale city,14024179,161250,351006.3960784314
28,2867040,Shelby city,7073122,27405,433786.062745098
28,2836000,Jackson city,289342143,5532980,2.6311944905882366E7
28,2862520,Ridgeland city,55390227,4587733,4973437.419607844
28,2844520,Madison city,65394922,3059241,5269026.278431372
28,2812900,Charleston city,3509615,9391,391627.33333333343
28,2855760,Pearl city,66008538,321286,5175607.658823535
28,2862400,Richland city,32439577,168591,2664160.5607843157
28,2876720,Vicksburg city,85503989,5386389,5440179.427450983
28,2840600,Lexington city,6261178,9785,380513.24705882353
28,2834740,Indianola city,22198456,225273,2061266.172549019
28,2814420,Clinton city,108438662,712244,4426521.749019607
28,2808820,Brookhaven city,56053194,229104,3215043.2980392156
28,2881520,Yazoo City city,26118466,322667,1965892.7372549023
28,2811100,Canton city,55133669,739030,2041994.8549019601
28,2813820,Clarksdale city,48657492,17529,3431288.9450980388
28,2808300,Brandon city,66468051,234476,4130655.713725491
28,2817060,Crystal Springs city,14061772,136711,924475.4941176466
28,2831220,Hazlehurst city,11474844,116967,674684.5529411767
28,2829180,Greenville city,69656569,2002716,6505053.572549018
28,2840280,Leland city,9280974,130595,733386.6392156864
28,2843280,McComb city,30510048,154492,2757061.0862745116
28,2844680,Magnolia city,15909646,117173,758305.1490196079
28,2825100,Flowood city,74587182,1033142,3318698.784313725
28,2835260,Itta Bena city,3654131,115789,272287.46274509805
28,2829340,Greenwood city,31947513,922978,3177023.0745098037
28,2810140,Byram city,47561697,688657,2179907.9411764704
28,2850440,Natchez city,40961580,1527127,3300230.019607843
29,2923266,Fairfax city,1205634,14911,173114.87450980392
30,3067450,Shelby city,14974418,453079,735980.9137254902
30,3067900,Sidney city,8508776,49128,1297019.0549019605
30,3008950,Bozeman city,53350021,128022,6682270.372549028
30,3073975,Three Forks city,3709633,148667,518178.0156862745
30,3042700,Laurel city,5626414,4019,1411152.1764705882
30,3050200,Missoula city,89346378,491344,1.2250120713725476E7
30,3016600,Columbia Falls city,5694415,8162,1000527.5529411766
30,3049525,Miles City city,8707066,14553,1864444.4784313717
30,3016525,Colstrip city,10478036,16125,573128.3882352941
30,3033775,Hamilton city,6278132,92799,1190133.066666666
30,3035600,Helena city,43565749,98206,6394913.701960786
30,3058750,Polson city,11759189,437266,1145527.9999999995
30,3018775,Cut Bank city,2995869,10561,613587.7568627454
30,3040075,Kalispell city,32183656,219526,4167684.325490195
30,3079825,Whitefish city,18106404,13911778,1442845.5098039217
30,3043975,Livingston city,14610036,138920,1476886.4274509812
30,3032800,Great Falls city,59578859,1236484,1.1064052266666662E7
30,3031450,Glendive city,8997360,62705,1118159.3098039222
30,3064525,Roundup city,3349364,571,531743.1372549017
