,city type,REGION,State_name,CensusPop_20,ssp22050,ssp22100,NAMELSAD,volume_m3_perCap_2020,length_m_perCap_2020,volume_m3_perCap_2050,length_m_perCap_2050,volume_m3_perCap_2100,length_m_perCap_2100
0,periurban,Midwest,17,687826.0,696534.9281252701,635256.09008037,171,787.0576730001878,23.75749315887722,832.5100803469428,23.67307016568607,995.869494926014,28.056189445982064
1,periurban,Midwest,18,265182.0,279228.97257559,269598.67714806,70,809.9796622228941,22.57163478510835,797.8529453247311,21.78204964047887,824.2165666474689,23.644383795258435
2,periurban,Midwest,19,322215.0,351034.1885879,384982.5093395,73,1041.398680190233,21.645713735652173,1056.8057560160582,21.60285727527592,1091.8748608293752,22.259614399008857
3,periurban,Midwest,20,201146.0,217479.41727520002,231889.7714102,41,999.239368660085,26.27488753031505,1012.7995383055712,25.18391135898113,1033.7937911766044,22.32733647005323
4,periurban,Midwest,26,414228.0,429260.54544797,404039.94897286,122,805.5078768284284,20.017080800692447,842.802555302522,21.707271952942783,959.9661150149084,25.018305546880285
5,periurban,Midwest,27,419916.0,472106.9532759,497162.9048093,94,690.7075526479857,22.02069216952618,688.8301344686736,20.36142647867905,709.3469405981409,20.734111915478213
6,periurban,Midwest,29,430027.0,461870.42120794,449830.23811468,114,897.498214809008,24.464369274819393,891.0113813853347,22.93206547656282,956.9916901333168,25.49144404844828
7,periurban,Midwest,31,141300.0,158012.07199072,188010.43939041,31,1051.9111810529866,23.024370518305773,1030.1591765146218,21.047377328687023,986.0812516896252,17.876765233268518
8,periurban,Midwest,38,31737.0,57807.86819585,113500.1620604,8,807.2355363778349,25.433522294004828,743.1492729564488,23.17569893240246,641.7182802434543,15.030438632781735
9,periurban,Midwest,39,637338.0,658947.4710069,621364.3341667,196,688.6432425072926,16.969261155499588,704.8020180488159,17.834510766948235,799.8155360970318,19.89156159831269
10,periurban,Midwest,46,41851.0,54711.68419879,84814.3724694,12,710.2404445496911,24.12159140817502,649.813921441194,20.710554724704444,581.175462113095,15.530565956166578
11,periurban,Midwest,55,419523.0,451164.6076026,453055.971337,94,810.9634597031427,22.853635526549766,808.8139586148409,21.981538296572165,841.3108278134417,24.69057444956598
12,periurban,Northeast,09,271001.0,295663.70964868,309103.3459652,93,481.8490580545944,21.103442648844226,495.8291240461368,18.6168096814936,505.59892270891294,18.27401825348409
13,periurban,Northeast,23,124410.0,124549.4424295,116291.8911508,31,636.523019082633,22.483422228378664,635.0109081479904,22.83304152114368,746.8218845230314,25.25302870086957
14,periurban,Northeast,25,255946.0,286019.05886717,298594.7954701,74,643.4906712834527,17.41875882920536,616.1439751699781,15.963200631671283,621.6191722139912,16.77569928926526
